id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169813055","Basildon","Retail Property (high street)","Parr Court, 26-28 Station Lane, Basildon, SS13 3BG","£270,000","Offers in Excess of","","","Commercial investment opportunity with an established tenant.","https://www.rightmove.co.uk/properties/169813055#/?channel=COM_BUY","2025-11-28T11:49:29Z","","new","Marketed by Ayers & Cruiks, Southend","","51.564231","0.504081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/314660e34/169813055/314660e34edebd617d752cba21705b1a_max_476x317.jpeg"
"168792146","Basildon","Commercial Property","5 Sylvan Court, Sylvan Way, Laindon, Basildon, Essex, SS15 6TH","£585,000","Guide Price","","","Sold prior for £600,000 FOR SALE BY PUBLIC AUCTION ON WEDNESDAY, 3RD DECEMBER 2025 AT 12.00PM NOON. LIVE STREAMED VIA DEDMAN GRAY WEBSITE. BIDDING AVAILABLE BY TELEPHONE, PROXY AND ONLINE; COMMERCIAL INVESTMENT: A FREEHOLD TWO STOREY OFFICE BUILDING 17 PARKING SPACES AND A TENANT IN OCCUPAT...","https://www.rightmove.co.uk/properties/168792146#/?channel=COM_BUY","2025-10-30T12:59:26Z","","price_reduced","Marketed by Dedman Gray Auctions, Essex","","51.578609","0.408054","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/168792146/63413_312683_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/168792146/63413_312683_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/168792146/63413_312683_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/168792146/63413_312683_IMG_02_0000_max_476x317.jpeg"
"143726309","Basildon","Office","7-8 Eastgate Business Centre, Southernhay, Basildon, Essex, SS14","£1,900,000","","","","The property comprises former business centre arranged over second, third and fourth floor, accessed via 2 no. stair and lift cores, with a third escape stair leading to the service yard to the west. The primary access core is located on Southernhay on the northern site boundary and accessed from...","https://www.rightmove.co.uk/properties/143726309#/?channel=COM_BUY","2024-01-17T10:18:08Z","","size_change","Marketed by Kemsley LLP, Chelmsford","","51.569866","0.461459",""
"168552881","Basildon","Residential Development","7-8 Eastgate Business Centre, Southernhay, Basildon, Essex, SS14","£1,900,000","","67","","Comprises former business centre arranged over second-fourth floor, accessed via communal entrance from ground and first floor. ","https://www.rightmove.co.uk/properties/168552881#/?channel=COM_BUY","2025-10-23T19:01:04Z","","new","Marketed by Blue Alpine, London","","51.56981","0.46138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168552881/230087_eastgatebasildon_IMG_05_0000_max_476x317.jpeg"
"168368606","Basildon","Office","2-3 Paycocke Road, Basildon, SS14 3DP","£235,000","","","","Ground floor office with suspended ceiling, carpet, WC, air con, gas central heating and a car park.","https://www.rightmove.co.uk/properties/168368606#/?channel=COM_BUY","2025-10-20T08:44:58Z","","new","Marketed by Ayers & Cruiks, Southend","","51.588578","0.489545","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/168368606/213308_334195-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/168368606/213308_334195-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/168368606/213308_334195-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/168368606/213308_334195-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/168368606/213308_334195-1_IMG_05_0000_max_476x317.jpeg"
"167630228","Basildon","Light Industrial","Unit 1 Wickham Business Park, Honywood Road, Basildon, SS14 3EQ","£750,000","Offers in Region of","","","Large warehouse and ground/first floor offices with parking, roller shutters, comfort cooling & LED lighting.","https://www.rightmove.co.uk/properties/167630228#/?channel=COM_BUY","2025-09-30T17:06:44Z","","new","Marketed by Ayers & Cruiks, Southend","","51.589312","0.490171","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167630228/213308_332333-1_IMG_05_0000_max_476x317.jpeg"
"167251538","Basildon","Office","Sylvan Court, Sylvan Way, Southfields Business Park, Basildon, Essex, SS15 6TH","POA","","","","The property comprises a detached two storey office building constructed in the late 1980's to a high specification within an attractive landscaped environment. The property features brick and glazed external elevations underneath a pitched tiled roof. Internally the office has suspended ceilin...","https://www.rightmove.co.uk/properties/167251538#/?channel=COM_BUY","2025-09-22T10:53:48Z","","new","Marketed by Glenny, Essex","","51.578362","0.407243","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167251538/66660_7055FH_IMG_00_0000_max_476x317.jpeg"
"167251421","Basildon","Light Industrial","Unit 1 Wickham Business Park, Honywood Road, Basildon, Essex, SS14 3EQ","POA","","","","The subject property is a hi-tech end-terrace warehouse, consisting of part brick, part clad elevations, beneath a steel profile sheet roof.","https://www.rightmove.co.uk/properties/167251421#/?channel=COM_BUY","2025-09-22T10:52:37Z","","new","Marketed by Glenny, Essex","","51.588753","0.491821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7b3fd041c/167251421/7b3fd041cdd0380c2d29c523c1e31531_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad89024bf/167251421/ad89024bf6bf801c443e5b39e4b4279e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/430045e2e/167251421/430045e2e675804783c6da45131692a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/98b83169c/167251421/98b83169c9a593732d995731e3f9e3ce_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1aa09e4d0/167251421/1aa09e4d043d595dfdcedd38f59e6bda_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0627b808b/167251421/0627b808b2d3fb737b70015faeb4be54_max_476x317.jpeg"
"167246501","Basildon","Light Industrial","9A Harvey Road, Basildon, Essex, SS13","POA","","","","Semi-detached industrial/warehouse unit on a secure and self-contained site. The structure is of steel portal frame construction with clad elevations with a pitched lined roof with a central valley gutter.","https://www.rightmove.co.uk/properties/167246501#/?channel=COM_BUY","2025-09-22T09:43:13Z","","new","Marketed by Glenny, Essex","","51.585564","0.508647","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/167246501/66660_44760FH_IMG_06_0000_max_476x317.jpeg"
"167631689","Basildon","Office","16, Capricorn Centre, Cranes Farm Road, Basildon, SS14 3JJ","£400,000","Offers in Excess of","","","Two-storey office building with air con, suspended ceilings, kitchenette, WC and 3 allocated parking spaces.","https://www.rightmove.co.uk/properties/167631689#/?channel=COM_BUY","2025-09-30T17:21:19Z","","new","Marketed by Ayers & Cruiks, Southend","","51.585719","0.492211","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167631689/213308_302905-1_IMG_06_0000_max_476x317.jpeg"
