id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166923353","Bedfordshire","Light Industrial","Unit 4, Apollo Business Park at Souldrop Bedfordshire MK44 1HJ""","£457,500","Guide Price","","1","Unit 4. New Build Freehold Commercial Units For Sale/Rent at Apollo Business Park, Souldrop. Completion expected April 2026. 1,808 sqft as per plan. Ideally located off the A6 trunk road, with excellent access to regional hubs and logistics routes. ","https://www.rightmove.co.uk/properties/166923353#/?channel=COM_BUY","2025-09-12T12:45:40Z","","size_change","Marketed by TrustedLand, London","","52.14224","-0.50977","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d493ae398/166923353/d493ae3981c282137b3871488150c58d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f5d53c968/166923353/f5d53c968e882a8481e5a56db57eebfc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f72b9c3c9/166923353/f72b9c3c9a96ca8be05db349b8d6a0a9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/132dbee71/166923353/132dbee713cb630d0bfda050d5263b25_max_476x317.jpeg"
"169949672","Bedfordshire","Land","Land on the West Side of Hitchin Road, Arlesey, Bedfordshire, SG15 6XZ","£1,000","Guide Price","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Roadways Measuring Approximately 0.52 Acres / 2,104 sq m / 22,647 sq ft Freehold Guide Price = &po...","https://www.rightmove.co.uk/properties/169949672#/?channel=COM_BUY","2025-12-03T11:00:45Z","","new","Marketed by Auction House London, London","","51.997486","-0.268779","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949672/285620_320073_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949672/285620_320073_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949672/285620_320073_IMG_02_0000_max_476x317.jpeg"
"169876046","Bedfordshire","Office","200 Horne Lane, Bedford, MK40","£1,800,000","Offers in Excess of","","","Consented development opportunity of 29 apartments (21 x 1 bed and 8 x 2 bed).. The existing property comprises a self contained modern and recently refurbished suite of open plan office accommodation located over three floors with private ground floor main entrance with reception. The property...","https://www.rightmove.co.uk/properties/169876046#/?channel=COM_BUY","2025-12-01T13:19:03Z","","new","Marketed by Kirkby Diamond, Bedford","","52.1365","-0.47208","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169876046/148979_14760FH_IMG_10_0000_max_476x317.jpeg"
"169871618","Bedfordshire","Light Industrial","2-3 Pegasus Mews, Stratton Business Park, Biggleswade, Bedfordshire, SG18","£1,150,000","From","","","Stratton Business Park forms part of a small development of eight modern industrial/warehouse units. Units 2 & 3 are constructed of a steel portal frame with profiled steel cladding under a pitched profile steel roof. The units benefit from three phase power and gas supply, insulated roller shut...","https://www.rightmove.co.uk/properties/169871618#/?channel=COM_BUY","2025-12-01T12:41:40Z","","new","Marketed by Kirkby Diamond, Bedford","","52.075377","-0.238081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871618/148979_24136FH_IMG_25_0000_max_476x317.jpeg"
"162864101","Bedfordshire","Residential Development","Land at Hitchin Road, Upper Caldecote, Biggleswade, SG18 9BU","£550,000","Guide Price","",""," PRIME NEW LISTING. We are excited to present this expansive 4.4-acre plot of land located within a prime location in Upper Caldecote, Biggleswade. *** 88c, Hitchin Road, Biggleswade SG18 9BU sold for £562,500 in Jan 2024**, **50 Hitchin Road, Biggleswade SG18 9BU sold for £520,000 in Mar 2...","https://www.rightmove.co.uk/properties/162864101#/?channel=COM_BUY","2025-06-04T17:51:02Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","52.094283","-0.300132","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/162864101/251369_218156244_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/162864101/251369_218156244_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/162864101/251369_218156244_IMG_02_0000_max_476x317.jpeg"
"169838300","Bedfordshire","Land","Land at Little Staughton Road, Colmworth, Bedford, Bedfordshire, MK44","£50,000","Guide Price","","","Auction date - 18/12/2025. Site Area approximately 0.162 Hectares (0.4 Acres), Right of Way from Little Staughton Road, Possible Potential for Development, subject to consents, Overage is applicable on this site, please refer to the legal pack for further information ","https://www.rightmove.co.uk/properties/169838300#/?channel=COM_BUY","2025-11-28T18:53:55Z","","new","Marketed by Allsop, Auction","","52.218226","-0.378882","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75673/169838300/75673_R251217_222_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75673/169838300/75673_R251217_222_IMG_01_0000_max_476x317.jpeg"
"134173898","Bedfordshire","Garage","**RARELY AVAILABLE SIX SECURE PRIVATE PARKING SPACES** Traction Lane, Bedford, Bedfordshire, MK42","£50,000","Offers Over","1","","**INVESTMENT OPPORTUNITY, IDEAL RENTAL OPPORTUNITY** SIX PRIVATE parking spaces each with their OWN TITLE. Ideally located in UNDERGROUND garage in the popular BRITANIA GATE development which is within a few minutes WALK to BEDFORD SOUTH WING HOSPITAL and town centre. CASH buyers only!","https://www.rightmove.co.uk/properties/134173898#/?channel=COM_BUY","2023-04-27T12:58:21Z","","new","Marketed by Sell New, St. Neots","","52.13008","-0.47581","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118942/134173898/118942_SN01492_IMG_03_0000_max_476x317.png"
"160579415","Bedfordshire","Shop","Peacock Mews, Leighton Buzzard, Bedfordshire, LU7","£25,000","Offers in Region of","","","Looking for a cosy, creative business with strong community ties? Woolly Knits is now available - a charming and profitable knitting and wool shop nestled in the heart of Leighton Buzzard. With a loyal local following, low overheads, and untapped online potential.","https://www.rightmove.co.uk/properties/160579415#/?channel=COM_BUY","2025-04-11T13:27:32Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.91653","-0.66044","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160579415/263843_GO3925_IMG_11_0000_max_476x317.jpeg"
"160661750","Bedfordshire","Land","MK40 1TS","£2,250,000","Offers in Excess of","","","This development opportunity comprises a three storey property offering self contained office accommodation, with reception area, a combination of open-plan and private offices, meeting rooms, and air conditioning throughout. Prior approval for change of use from offices to residential (Ref: 25/...","https://www.rightmove.co.uk/properties/160661750#/?channel=COM_BUY","2025-04-14T13:33:39Z","","new","Marketed by Stimpsons Eves, Bedford","","52.1365","-0.47208","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/160661750/287522_1085FH_IMG_04_0000_max_476x317.jpeg"
"169772996","Bedfordshire","Plot","Willington Road, Cople","£300,000","","","","We are delighted to bring to the market a very rare opportunity to acquire an individual building plot, set back from Willington Road, Cople, in the heart of the village, close to its 11th Century Church. It offers an exciting opportunity as a self-build project, or for a developer looking for th...","https://www.rightmove.co.uk/properties/169772996#/?channel=COM_BUY","2025-11-27T11:26:11Z","","new","Marketed by Lane & Holmes, Bedford","","52.125358","-0.389896","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4188/169772996/4188_34328463_IMG_06_0000_max_476x317.jpeg"
