id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169960451","Berkshire","Land","Dean Lane, Cookham, SL6","£200,000","Guide Price","","","","","","","","LOT 16 - Parcel B - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169960451#/?channel=COM_BUY","2025-12-03T14:05:37Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.56266","-0.73679","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_03_0000_max_476x317.jpeg"
"170009387","Berkshire","Office","Theale Lakes Business Park, Theale, Reading, RG7 4GB","POA","","","","975–13,130 sq. ft.","975","13130","91","1220","Lakeside Business Park catering for a variety of businesses.","https://www.rightmove.co.uk/properties/170009387#/?channel=COM_BUY","2025-12-04T15:28:37Z","","new","Marketed by Hollis Hockley, Reading","","51.425029","-1.069879","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170009387/297365_272959-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170009387/297365_272959-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170009387/297365_272959-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170009387/297365_272959-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/170009387/297365_272959-1_IMG_04_0000_max_476x317.jpeg"
"168491501","Berkshire","Retail Property (high street)","45/45A Cheap Street, Newbury, RG14 5BX","£500,000","","","","2,205 sq. ft.","2205","2205","205","205","Three storey mid terraced retail/office property","https://www.rightmove.co.uk/properties/168491501#/?channel=COM_BUY","2025-10-22T15:03:55Z","","price_reduced","Marketed by Curchod & Co LLP, Basingstoke","","51.399673","-1.3223","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285836/168491501/285836_335204-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285836/168491501/285836_335204-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285836/168491501/285836_335204-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285836/168491501/285836_335204-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285836/168491501/285836_335204-1_IMG_04_0000_max_476x317.jpeg"
"169952093","Berkshire","Land","Plot 4, School Road, Waltham St. Lawrence, Reading, Berkshire, RG10 0NU","£15,000","Guide Price","","","10,890 sq. ft.","10890","10890","1012","1012","FOR SALE BY CONNECT UK AUCTIONS: Excellent opportunity. Freehold Strategic Land Plot, with future potential subject to all consents. The land is sold on an unconditional basis, purchasers considering alternative uses are deemed to rely upon their own enquiries.","https://www.rightmove.co.uk/properties/169952093#/?channel=COM_BUY","2025-12-03T11:37:02Z","","new","Marketed by Connect-UK, Head Office - Crawley","","51.472647","-0.811427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169952093/217880_BZR-713664_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169952093/217880_BZR-713664_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169952093/217880_BZR-713664_IMG_03_0000_max_476x317.jpeg"
"169947464","Berkshire","Shop","High Street, Slough","£700,000","","2","","","","","","","Positioned at 325 High Street, Slough, SL1 1TX, this high-quality mixed-use opportunity combines a modern one-bedroom apartment with an established ground-floor barbershop, creating an attractive proposition for investors seeking reliable rental income in one of Slough’s most central and high-dem...","https://www.rightmove.co.uk/properties/169947464#/?channel=COM_BUY","2025-12-03T10:25:40Z","","new","Marketed by Cameron King, Cippenham","","51.507305","-0.584973","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ff60974c/169947464/9ff60974c3ee3e135a52630c43175974_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f6ee9162e/169947464/f6ee9162eea5d78b9290ab1228a56c67_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0106824e1/169947464/0106824e107ed0bc9c1c51a4b5af2084_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f7dec0f0f/169947464/f7dec0f0fe7c1db84007628a6225c057_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5695dbdf3/169947464/5695dbdf3bcee3664e7ef5e84d490686_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e0d5cecd7/169947464/e0d5cecd75610aeb76b2bab5a919fff4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8fdefb254/169947464/8fdefb2542ed43efbddc31d7de58bad1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fd9e251cf/169947464/fd9e251cf255cc0724be53b15d0f4386_max_476x317.jpeg"
"169960451","Berkshire","Land","Dean Lane, Cookham, SL6","£200,000","Guide Price","","","","","","","","LOT 16 - Parcel B - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169960451#/?channel=COM_BUY","2025-12-03T14:05:37Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.56266","-0.73679","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960451/130351_502012_002042_IMG_03_0000_max_476x317.jpeg"
"169930052","Berkshire","Land","Dean Lane, Cookham, SL6","£200,000","Guide Price","","","","","","","","A substantial freehold parcel of approximately 1.7 acres of land, laid to grass and fully fenced, off Dean Lane, Cookham.","https://www.rightmove.co.uk/properties/169930052#/?channel=COM_BUY","2025-12-02T16:35:36Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.56266","-0.73679","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169930052/130351_502012_002030_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169930052/130351_502012_002030_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169930052/130351_502012_002030_IMG_02_0000_max_476x317.jpeg"
"155658026","Berkshire","Light Industrial","Unit 6, Hungerford Trading Estate Smitham Bridge Road, Hungerford, West Berkshire, RG17 0QP","POA","","","","6,000–12,945 sq. ft.","6000","12945","557","1203","Unit 6 is a mid of terrace property constructed around a steel portal frame with brick and clad elevations under a fully insulated pitched roof. It has recently been comprehensively refurbished and is ready for immediate occupation. To the front of the units are ground and first floor offices w...","https://www.rightmove.co.uk/properties/155658026#/?channel=COM_BUY","2024-12-04T12:36:21Z","","size_change","Marketed by Quintons, Newbury","","51.41283","-1.525106","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/155658026/127330_3398FH_IMG_15_0000_max_476x317.jpeg"
"169563674","Berkshire","Mixed Use","24-26 The Broadway, Newbury, Berkshire, RG14 1AU","£550,000","Guide Price","2","","","","","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Substantial Grade II Listed Mixed Use Building Arranged to Provide Two Ground Floor Retail Units with First Fl...","https://www.rightmove.co.uk/properties/169563674#/?channel=COM_BUY","2025-11-21T10:41:27Z","","price_reduced","Marketed by Auction House London, London","","51.405757","-1.32508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169563674/285620_319366_IMG_00_0000_max_476x317.jpeg"
"169772276","Berkshire","Land","Nine Mile Ride, Finchampstead, WOKINGHAM","£699,000","Guide Price","6","3","","","","","","AUCTION SALE 16 December 2025 - Freehold site comprising three dwellings requiring updatingFurther site development potentialSite area approx. 0.68 acresPrivate Lane and semi-rural locationFull vacant possession","https://www.rightmove.co.uk/properties/169772276#/?channel=COM_BUY","2025-11-27T11:13:12Z","","new","Marketed by Barnard Marcus, Hammersmith Auctions","","51.37693","-0.88272","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169772276/24437_AUC0049726_IMG_06_0000_max_476x317.jpeg"
