id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167651645","Berwickshire","Land","Plot Of Land, Granthouse, Duns, TD11 3RW","£15,000","Guide Price","","","  PRIME NEW LISTING. We are excited to present this large plot located within a prime location in Granthouse, Duns.   Impressive size for guide price. Unique plot extends to approximately 7 acres.   The plot offers immense potential for a variety of uses, subje...","https://www.rightmove.co.uk/properties/167651645#/?channel=COM_BUY","2025-10-01T10:35:40Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.882158","-2.306548","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167651645/251369_214837084_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167651645/251369_214837084_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167651645/251369_214837084_IMG_02_0000_max_476x317.jpeg"
"168156413","Berwickshire","Mixed Use","76 & 76a High Street, Coldstream, TD12 4DH","£85,000","Guide Price","2","1"," PRIME NEW ENTRY. We are excited to present this fantastic mixed use investment opportunity. Spacious 2 bedroom maisonette and commercial unit, located within a prime location in Coldstream.   For rental purposes, the property could potentially achieve a combined rent of £1,000 - ...","https://www.rightmove.co.uk/properties/168156413#/?channel=COM_BUY","2025-10-13T13:53:33Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.651584","-2.251587","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168156413/251369_221466570_IMG_11_0000_max_476x317.png"
"166046951","Berwickshire","Plot","Edington Mill, Chirnside, Scottish Borders, TD11","£135,000","Offers Over","","","GFW are delighted to present this self-build opportunity for a detached residential dwelling situated in an elevated position above Whiteadder Water with fantastic views. The site holds outline planning permission for a dwelling. PLOT SIZE: Approx 0.76 Acres","https://www.rightmove.co.uk/properties/166046951#/?channel=COM_BUY","2025-08-21T11:00:11Z","","new","Marketed by George F.White, Newcastle","","55.793639","-2.167275","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94801/166046951/94801_ALN230100_IMG_09_0000_max_476x317.jpeg"
"163215044","Berwickshire","Hotel","Buccleuch Arms Hotel, The Green, St Boswells, Melrose, TD6 0EW","£1,100,000","Guide Price","","","Freehold. Landmark Site Fronting A68. Charming Coaching Inn - 19 En Suite Bedrooms. Award Winning Scottish Inn of the Year 4x. Large Bar & Bistro - Extensive Garden Space. Boardroom/Private Dining & Function Room","https://www.rightmove.co.uk/properties/163215044#/?channel=COM_BUY","2025-06-12T13:08:02Z","","price_reduced","Marketed by Christie & Co, Hotels","","55.569333","-2.651368","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/163215044/260756_5245065-fh_IMG_05_0001_max_476x317.jpeg"
"169116365","Berwickshire","Pub","TD12","£350,000","Guide Price","1","","Fishermans ArmsMain StreetBirghamColdstreamTD12 4NF.Guide Price £350,000.Presented to the open market this excellent opportunity to own a well-established Restaurant, village pub with owners accommodation included.","https://www.rightmove.co.uk/properties/169116365#/?channel=COM_BUY","2025-11-07T13:01:24Z","","new","Marketed by Shilladys Estate and Letting Agents, Wishaw","","55.645","-2.33124","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283526/169116365/283526_fishermansarms_IMG_09_0000_max_476x317.jpeg"
"165140786","Berwickshire","Land","Plot Of Land, Granthouse, Duns, TD11 3RW","£15,000","Guide Price","","","PRIME NEW LISTING. We are excited to present this large plot located within a prime location in Granthouse, Duns.Impressive size for guide price. Unique plot extends to approximately 16 acres.The plot offers immense potential for a variety of uses, subject to obtaining necessary permissions.","https://www.rightmove.co.uk/properties/165140786#/?channel=COM_BUY","2025-07-30T15:47:09Z","","price_reduced","Marketed by Prime Property, Glasgow","","55.88218","-2.30641","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/165140786/286790_214837084_IMG_11_0000_max_476x317.jpeg"
"168164261","Berwickshire","Mixed Use","76 & 76a High Street, Coldstream, TD12 4DH","£115,000","Guide Price","2","","PRIME NEW ENTRY. We are excited to present this fantastic mixed use investment opportunity. Spacious 2 bedroom maisonette and commercial unit, located within a prime location in Coldstream.For rental purposes, the property could potentially achieve a combined rent of £1,000 - £1,100 per month.","https://www.rightmove.co.uk/properties/168164261#/?channel=COM_BUY","2025-10-13T15:38:18Z","","price_reduced","Marketed by Prime Property, Glasgow","","55.65148","-2.25152","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/168164261/286790_221466570_IMG_10_0000_max_476x317.jpeg"
"168535955","Berwickshire","Retail Property (high street)","Market Square, Duns, Berwickshire, TD11","£70,000","Guide Price","","2","Step into a rare opportunity to own a distinguished piece of Scottish Borders heritage. Situated on the north side of Duns' bustling Market Square, this striking 19th-century building, the former Working Men's Institute which is now a retail premises on the ground floor with offices above.","https://www.rightmove.co.uk/properties/168535955#/?channel=COM_BUY","2025-10-27T09:52:02Z","","new","Marketed by Melrose & Porteous Solicitors & Estate Agents, Duns","","55.77802","-2.34416","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64482/168535955/64482_WMI_IMG_12_0000_max_476x317.jpeg"
"168542609","Berwickshire","Land","Former Market Garden, Eccles Village, Kelso, Roxburghshire, TD5","£225,000","Offers Over","","","Potential Residential Development Site A rare opportunity to acquire a site in the central Scottish Borders with Residential Development Potential.0.812 ha (2.01 acres)Offers Over £225,000","https://www.rightmove.co.uk/properties/168542609#/?channel=COM_BUY","2025-10-23T16:23:52Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.66562","-2.37704","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168542609/230666_Henderson01_IMG_08_0000_max_476x317.jpeg"
"168533456","Berwickshire","Commercial Property","41a High Street, Coldstream, TD12 4DL","£95,000","Offers Over","","","*TO LET £250 PER WEEK/ MAY SELL* Situated within the town centre of Coldstream, 41A High Street are well-positioned, ground floor commercial premises previously operating as a café and ideally placed for passing footfall. The premises are perfectly set up for immediate trading comprising a wel...","https://www.rightmove.co.uk/properties/168533456#/?channel=COM_BUY","2025-10-23T14:10:38Z","","new","Marketed by Geo & Jas Oliver, W.S, Hawick","","55.651259","-2.25278","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165542/168533456/165542_494_IMG_09_0000_max_476x317.jpeg"
