id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168895445","Bolton","Land","TARBET DRIVE, BOLTON","POA","","","","30,000 sq. ft.","30000","30000","2787","2787","Land with Outline Planning for 2 Detached Homes – Plus Potential for 6 Additional Houses (Total 8 Units)* An exceptional off-market development opportunity in Breightmet, Bolton, this substantial 30,000 square feet (approx. 0.69-acre) site benefits from outline planning permission for 2 ...","https://www.rightmove.co.uk/properties/168895445#/?channel=COM_BUY","2025-11-02T10:10:07Z","","new","Marketed by Open House Estate Agents, Nationwide","","53.577404","-2.381982","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/168895445/50334_34268592_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/168895445/50334_34268592_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/168895445/50334_34268592_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/168895445/50334_34268592_IMG_03_0000_max_476x317.jpeg"
"170008250","Bolton","Light Industrial","Henry Lee Street, Bolton, Greater Manchester, BL3","£48,950","","","","3,000 sq. ft.","3000","3000","279","279","Sovereign Estates are proud to offer this rare opportunity industrial unit in a successful location off Derby Street Bolton. The property is of approximately 3000 sq. ft. with approximately 5000 sq. ft of parking etc.","https://www.rightmove.co.uk/properties/170008250#/?channel=COM_BUY","2025-12-04T15:57:47Z","","new","Marketed by Sovereign Estates, Bolton","","53.563","-2.45093","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/97c02ae34/170008250/97c02ae345e79e9e3ec3959f7903949e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/07e3034ca/170008250/07e3034ca33b63065f2fe7987059ddee_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b2d60d7de/170008250/b2d60d7de25860dc49c5b09b01cc817a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5276596d5/170008250/5276596d59e11c61f3aa5f5db95a43a8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/81e6cd484/170008250/81e6cd484069191021edb51cafcdb0e6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/65d2f929e/170008250/65d2f929e562731e33b7ae2c8aa9449b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5178a23b4/170008250/5178a23b41ddf7017bbc2d222942c4ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e2c7bea2f/170008250/e2c7bea2fe1fbea8f4730f5521cd9cd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c38adad45/170008250/c38adad450652cecd3644e10a44fce3a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7d657fef6/170008250/7d657fef63daa343eb8d1fd4c2f07c62_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7667f7dd/170008250/a7667f7ddcb612017e3927bbd1f997f9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/332df9204/170008250/332df9204018b85631e238cda99dc455_max_476x317.jpeg"
"170011637","Bolton","Land","Turner Street, Westhoughton, Bolton, Greater Manchester, BL5 2DZ","£800,000","","","","26,920 sq. ft.","26920","26920","2501","2501","RESIDENTIAL PLOT FOR DEVELOPMENT PLANNING APPLICATION NO. 18711/24 RARE OPPORTUNITY TO PURCHASE LAND FOR DEVELOPMENT Approx. 0.25 Hectares An exceptional and increasingly rare opportunity to acquire a prime residential development plot located on Turner Street, Westhough...","https://www.rightmove.co.uk/properties/170011637#/?channel=COM_BUY","2025-12-04T15:49:21Z","","new","Marketed by Miller Metcalfe, Bolton","","53.532188","-2.525725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/170011637/220871_WHN250278_IMG_11_0000_max_476x317.jpeg"
"170011601","Bolton","Land","Turner Street, Westhoughton, Bolton, Greater Manchester, BL5 2DZ","£800,000","","","","26,920 sq. ft.","26920","26920","2501","2501","RESIDENTIAL PLOT FOR DEVELOPMENT PLANNING APPLICATION NO. 18711/24 RARE OPPORTUNITY TO PURCHASE LAND FOR DEVELOPMENT Approx. 0.25 Hectares An exceptional and increasingly rare opportunity to acquire a prime residential development plot located on Turner Street, Westhough...","https://www.rightmove.co.uk/properties/170011601#/?channel=COM_BUY","2025-12-04T15:48:58Z","","new","Marketed by Miller Metcalfe, Bolton","","53.532188","-2.525725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/170011601/224027_BTN240061_IMG_11_0000_max_476x317.jpeg"
"723062151173152","Bolton","Pub","Swan  Barristers, 2-4 Churchgate, Bolton, BL1 1HJ","£1,500,000","Offers in Excess of","","","11,326 sq. ft.","11326","11326","1052","1052","High Volume Town Centre Freehold Public House For Sale","https://www.rightmove.co.uk/properties/723062151173152#/?channel=COM_BUY","2025-12-04T14:56:35Z","","new","Marketed by Savills, Manchester - Licensed Leisure","","53.579405","-2.426419","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723062151173152/225518_345659-1_IMG_20_0000_max_476x317.jpeg"
"169890551","Bolton","Pub","The Swan & Barristers, 2-4 Churchgate, Bolton, BL1 1HJ","£1,500,000","","","","","","","","","Freehold. Open plan lounge & public bars (200). Extensive undeveloped upper floors. Wet led 1000 + Brewers Barrels per annum. Grade ii listed site extending to 0.26 acres. Licensed from 08:00 - 06:00am","https://www.rightmove.co.uk/properties/169890551#/?channel=COM_BUY","2025-12-01T16:54:12Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","53.579382","-2.426438","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_04_0000_max_476x317.jpeg"
"169771376","Bolton","Land","Land on the north side of Long Causeway Moorfield Chase, Farnworth, Bolton, Greater Manchester, BL4 9DW","£3,500","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION WEDNESDAY 17TH DECEMBER 2025 AT 9.00AM - ***AN EXCITING OPPORTUNITY TO ACQUIRE A LEASEHOLD PLOT OF LAND SITUATED ON THE DESIRABLE NORTH SIDE OF LONG CAUSEWAY WITHIN FARNWORTH, BOLTON***POPULAR AND WELL CONNECTED LOCATION***EXCELLENT POTENTIAL FOR RESIDENTIAL OR INVESTME...","https://www.rightmove.co.uk/properties/169771376#/?channel=COM_BUY","2025-11-27T10:58:38Z","","new","Marketed by Online Property Auction Group, Glasgow","","53.54458","-2.39701","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169771376/236495_320625_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169771376/236495_320625_IMG_01_0000_max_476x317.jpeg"
"169418981","Bolton","Plot","Rock Terrace, Smith Lane, Egerton, Bolton, BL7","£895,000","","","","","","","","","CALLING ALL DEVELOPERS & SELF BUILDERS!!! ARE YOU LOOKING FOR YOUR NEXT GRAND DESIGN PROJECT! **FABULOUS PLOT OF LAND FOR SALE IN BROMLEY CROSS WITH PLANNING FOR TWO DETACHED DWELLINGS** Planning Approved for TWO Large Detached Dwellings Both Over 3000 sq ft - Stunning Q...","https://www.rightmove.co.uk/properties/169418981#/?channel=COM_BUY","2025-11-17T17:03:52Z","","new","Marketed by Regency Estates, Horwich","","53.623258","-2.427694","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22547/169418981/22547_REG250415_IMG_13_0000_max_476x317.jpeg"
"169270988","Bolton","Land","LAND TO THE SOUTH OF, DENTDALE CLOSE, LOSTOCK, BOLTON, GREATER MANCHESTER, BL1 5XD","£1,050,000","","","","44,736 sq. ft.","44736","44736","4156","4156","A residential development site for 3 detached dwellings with direct access via Dentdale Close Lostock. There may be scope for an additional plot STPP. Visual's and layout's of the dwelling types are shown in the brochure on pages 3 and 4. The site is located within a wildlife corridor and has ...","https://www.rightmove.co.uk/properties/169270988#/?channel=COM_BUY","2025-11-12T13:40:32Z","","new","Marketed by Lamb & Swift Commercial, Bolton","","53.575893","-2.489104","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169270988/87577_3556FH_IMG_12_0000_max_476x317.jpeg"
"169176023","Bolton","Hotel","GREATER MANCHESTER - HOTEL/FUNCTION ROOMS","£595,000","","6","","","","","","","Recently refurbished function suite and letting accommodation in Greater Manchester town.","https://www.rightmove.co.uk/properties/169176023#/?channel=COM_BUY","2025-11-10T11:55:42Z","","new","Marketed by Sidney Phillips Limited, North West","","53.54556","-2.37227","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/169176023/223103_94073_IMG_11_0000_max_476x317.jpeg"
