id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168646004","Braintree","Land","London Road, Braintree, Essex, CM77","£200,000","","","","A possible development opportunity on locally renown London Road, Braintree, subject to planning permission, consents and surveys. ","https://www.rightmove.co.uk/properties/168646004#/?channel=COM_BUY","2025-10-27T14:25:07Z","","price_reduced","Marketed by ST. GEORGE PROPERTY GROUP, Halstead","","51.86386","0.53827","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161564/168646004/161564_Land_IMG_05_0000_max_476x317.jpeg"
"169398131","Braintree","Shop","3, 48 & 49 The Depot, Fairfield Road, Braintree, Essex, CM7 3AG","£475,000","","","","A retail investment comprising three ground floor retail units on long leaseholds with 981 years remaining on the leases.","https://www.rightmove.co.uk/properties/169398131#/?channel=COM_BUY","2025-11-17T11:59:03Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.87722","0.55282","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169398131/110398_C2383_IMG_08_0000_max_476x317.jpeg"
"169352600","Braintree","Retail Property (high street)","The Manor House, Little Square, Braintree, CM7 1UT","£40,000","Guide Price","","","LOT 62 **FOR SALE BY ONLINE AUCTION** on 4th December 2025 Freehold Vacant Shop and Upper Parts","https://www.rightmove.co.uk/properties/169352600#/?channel=COM_BUY","2025-11-14T15:06:42Z","","new","Marketed by McHugh & Co, London","","51.878986","0.551455","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237332/169352600/237332_315846_IMG_10_0000_max_476x317.jpeg"
"169336592","Braintree","Light Industrial","13 Kestrel Park, Finch Drive, Braintree, Essex, CM7 2SF","£1,850,000","","","","An industrial unit located on an established industrial estate in close proximity to the A120. Available for sale or to let.","https://www.rightmove.co.uk/properties/169336592#/?channel=COM_BUY","2025-11-14T11:34:11Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.88729","0.53742","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169336592/110398_C2340c_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169336592/110398_C2340c_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/169336592/110398_C2340c_IMG_02_0000_max_476x317.jpeg"
"168380111","Braintree","Land","St Johns Avenue, Braintree","£1","Guide Price","","","FEES NEGOTIABLE – attractively priced to sell’ LAND FOR SALE - This exceptional opportunity offers the chance to acquire the remaining parts of St John’s Avenue, ideally situated close to the town centre and just a short walk from the mainline train station. This rare opportunity presents potenti...","https://www.rightmove.co.uk/properties/168380111#/?channel=COM_BUY","2025-10-20T11:51:53Z","","new","Marketed by Oakheart Property, Chelmsford, covering Witham & Braintree","","51.87416","0.553291","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380111/281948_33778752_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380111/281948_33778752_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380111/281948_33778752_IMG_02_0000_max_476x317.png"
"168301457","Braintree","Land","Rectory Meadow, Bradwell, Braintree, Essex, CM77","£1,900,000","Guide Price","","","This EXCLUSIVE DEVELOPMENT is split into two parts, A very exclusive trio of expansive properties with water frontage, we expect these to have a gated entrance and estate fencing to the waterside for security and safety. The second part is a more modest development with a range ...","https://www.rightmove.co.uk/properties/168301457#/?channel=COM_BUY","2025-10-17T12:04:55Z","","new","Marketed by Joscelyne Chase Commercial, Essex","","51.876092","0.619868","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168301457/74055_DVA250036_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168301457/74055_DVA250036_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168301457/74055_DVA250036_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168301457/74055_DVA250036_IMG_03_0000_max_476x317.jpeg"
"168185627","Braintree","Warehouse","700 Avenue West, Braintree, Essex, CM77","POA","","","","A large industrial warehouse unit with the potential to be split into two self-contained units. Excellent access to the A120.","https://www.rightmove.co.uk/properties/168185627#/?channel=COM_BUY","2025-10-15T10:01:52Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.86587","0.52022","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5223ab5d3/168185627/5223ab5d3f584ca6733dde818193dfef_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3298bd257/168185627/3298bd257cc234d44bd4876ab32f7e57_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3f2890996/168185627/3f2890996befe7ff08f3e21e07a3fcf6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d943aa73f/168185627/d943aa73f25fe0a3ee05291551555898_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5325795f2/168185627/5325795f2e07c748ee452c7c0538f725_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dda97ecd4/168185627/dda97ecd47be5bda60d727e871676aad_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c560dddb9/168185627/c560dddb97d3d149867d831434ad6a8b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/172cf18a5/168185627/172cf18a5733b4e1d9a7f4f5df07a7b6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b0411092e/168185627/b0411092e748f444228d8e35b6084013_max_476x317.jpeg"
"168098273","Braintree","Office","Coggeshall Road, Braintree, Essex, CM7","£440,000","Offers in Excess of","","","Fully let retail and office unit for sale freehold in the centre of Braintree Town.","https://www.rightmove.co.uk/properties/168098273#/?channel=COM_BUY","2025-10-10T16:36:20Z","","new","Marketed by Joscelyne Chase Commercial, Essex","","51.879799","0.552046","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74055/168098273/74055_JCH250140_IMG_13_0000_max_476x317.jpeg"
"721783534343056","Braintree","Distribution Warehouse","Skyline 120 Business Park, Unit 10a/10b Avenue West, Braintree, CM77 7AA","POA","","","","INDUSTRIAL WAREHOUSE TO LET MAY SELL","https://www.rightmove.co.uk/properties/721783534343056#/?channel=COM_BUY","2025-11-27T12:14:09Z","","new","Marketed by M1 Agency LLP, London","","51.866325","0.522065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783534343056/287471_317014-1_IMG_08_0000_max_476x317.jpeg"
"149593619","Braintree","Commercial Property","11 Great Square, CM7","£275,000","","","","Prime Commercial Property Investment Opportunity in the Heart of BraintreeLong Leasehold: 977 Years RemainingDiscover an exceptional commercial property investment opportunity in the affluent area of","https://www.rightmove.co.uk/properties/149593619#/?channel=COM_BUY","2024-06-26T13:19:22Z","","price_reduced","Marketed by Game Estate Agents, West Mersea","","51.878646","0.551678","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23939/149593619/23939_gea_3754042_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23939/149593619/23939_gea_3754042_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23939/149593619/23939_gea_3754042_IMG_02_0000_max_476x317.jpeg"
