id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169683989","Brentwood","Retail Property (high street)","12 High Street, Brentwood, CM14 4AE","£1,450,000","Offers in Region of","","","4,900 sq. ft.","4900","4900","455","455","High Street Commercial Premises","https://www.rightmove.co.uk/properties/169683989#/?channel=COM_BUY","2025-11-25T11:03:08Z","","price_reduced","Marketed by MJM Property Consultants, Essex","","51.620887","0.304789","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_07_0000_max_476x317.jpeg"
"169908446","Brentwood","Land","Car Park, Westbury Road, Brentwood, Essex, CM14","£3,000,000","","","","31,363 sq. ft.","31363","31363","2914","2914","The property comprises an 'L-shaped' piece of land, circa 0.72 acres, previously used as a car park and a short walk from Brentwood High Street and Brentwood mainline train station. The site has planning granted for 45 new homes (41 flats and 4 townhouses) with NO AFFORDABLE HOUSING. Copies of p...","https://www.rightmove.co.uk/properties/169908446#/?channel=COM_BUY","2025-12-02T10:59:25Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.618671","0.296691","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169908446/264539_8907373FH_IMG_06_0000_max_476x317.jpeg"
"87362880","Brentwood","Retail Property (high street)","1-3 Crown Street, Brentwood, Essex, CM14 4AZ","£340,000","","","","1,137 sq. ft.","1137","1137","106","106","Freehold retail investment opportunity in Brentwood, Essex. Occupied by Ladbrokes Betting & Gaming Ltd (t/a Coral) with a current passing rent of £25,750 per annum. The freehold interest is available for £340,000, which represents a gross yield of 7.57%.","https://www.rightmove.co.uk/properties/87362880#/?channel=COM_BUY","2025-12-01T09:45:36Z","","new","Marketed by Harston&Co, London","","51.619571","0.30018","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/87362880/70095_34333027_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/87362880/70095_34333027_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/87362880/70095_34333027_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/87362880/70095_34333027_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/87362880/70095_34333027_IMG_05_0000_max_476x317.jpeg"
"169683989","Brentwood","Retail Property (high street)","12 High Street, Brentwood, CM14 4AE","£1,450,000","Offers in Region of","","","4,900 sq. ft.","4900","4900","455","455","High Street Commercial Premises","https://www.rightmove.co.uk/properties/169683989#/?channel=COM_BUY","2025-11-25T11:03:08Z","","price_reduced","Marketed by MJM Property Consultants, Essex","","51.620887","0.304789","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683989/293924_308598-1_IMG_07_0000_max_476x317.jpeg"
"169258367","Brentwood","Warehouse","Unit 6 Chancerygate, 33 Tallon Road, Hutton, Brentwood, Essex, CM13","£800,000","","","","3,780 sq. ft.","3780","3780","351","351","Unit 6, Chancerygate Business Centre comprises an end-terrace, single storey light industrial/warehouse/trade unit built in 2008. The property provides ground floor warehouse/workshop and first floor offices. There is forecourt parking (five spaces)/loading. The unit has W/C's, kitchenette, 3-pha...","https://www.rightmove.co.uk/properties/169258367#/?channel=COM_BUY","2025-11-12T10:18:45Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.637684","0.353886","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258367/264539_8907290FH_IMG_06_0000_max_476x317.jpeg"
"169166339","Brentwood","Industrial Park","Unit 6 Chancerygate Business Centre, 33 Tallon Road, Hutton, Brentwood, Essex, CM13","POA","","","","3,780 sq. ft.","3780","3780","351","351","Unit 6, Chancerygate Business Centre comprises an end terrace, single storey light industrial/warehouse/trade unit. The property provides ground floor warehouse/workshop and (original) first floor offices. There is forecourt parking (four spaces)/loading. The unit has W/C's, kitchenette, 3-phase...","https://www.rightmove.co.uk/properties/169166339#/?channel=COM_BUY","2025-11-10T09:42:19Z","","new","Marketed by Glenny, Essex","","51.637684","0.353886","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/169166339/66660_50669FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/169166339/66660_50669FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66660/169166339/66660_50669FH_IMG_02_0000_max_476x317.jpeg"
"168683651","Brentwood","Cafe","Childerditch Hall Drive, Brentwood, CM13","£39,995","","","","1,210 sq. ft.","1210","1210","112","112","Cafe - Childerditch Industrial Estate, Brentwood - £39,995","https://www.rightmove.co.uk/properties/168683651#/?channel=COM_BUY","2025-10-28T09:00:43Z","","new","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.581358","0.320865","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b8c3462e4/168683651/b8c3462e4aa869546725032458a95c53_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7f00815c/168683651/a7f00815c235c903b6f37ea8adc93021_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2949e5ddd/168683651/2949e5ddd4b11347f6876a6614e9879d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3c4a94500/168683651/3c4a94500b3dfce8fdd83f967d22f396_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bf21cdc8/168683651/4bf21cdc8f223d705a45a03b44bceae9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/344f8d035/168683651/344f8d03551e7217aa3102d59b3b0a70_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8b3bd5794/168683651/8b3bd579487e3d7e9a72d4cb6f1d6d04_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bad84e727/168683651/bad84e727d4978f5959bace0e4703ba4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c6c8d983e/168683651/c6c8d983e495de4d584cc23e0818913e_max_476x317.jpeg"
"168378086","Brentwood","Mixed Use","Kings Road, Brentwood, Essex, CM14","£3,000,000","Offers in Excess of","28","","8,029 sq. ft.","8029","8029","746","746","Mixed-Use Income Producing Investment Opportunity with Planning Permission for 8 Additional Flats","https://www.rightmove.co.uk/properties/168378086#/?channel=COM_BUY","2025-10-20T11:30:04Z","","new","Marketed by ESTATE OFFICE INVESTMENTS LIMITED, London","","51.61518","0.2993","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228224/168378086/228224_KingsRoadBrentwood_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228224/168378086/228224_KingsRoadBrentwood_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228224/168378086/228224_KingsRoadBrentwood_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228224/168378086/228224_KingsRoadBrentwood_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228224/168378086/228224_KingsRoadBrentwood_IMG_04_0000_max_476x317.jpeg"
"164458898","Brentwood","Office","St. Thomas Road, Brentwood","£665,000","Guide Price","","","","","","","","An exceptional opportunity to acquire a highly versatile and spacious commercial unit in a prime position on St Thomas Road, Brentwood. Ideally located in a sought-after area with excellent accessibility, this adaptable property offers significant potential for a wide range of business uses, maki...","https://www.rightmove.co.uk/properties/164458898#/?channel=COM_BUY","2025-07-14T09:52:22Z","","price_reduced","Marketed by Keith Ashton, Brentwood","","51.620193","0.30423","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9245/164458898/9245_34033158_IMG_10_0000_max_476x317.jpeg"
"167491907","Brentwood","Land","Spital Lane, Brentwood, Essex, CM14","£350,000","","","","","","","","","*BUILDING PLOT FOR SALE* *1.4 MILES TO BRENTWOOD STATION* *0.5 MILES TO M25 / A12 JUNCTION* *POPULAR WEST SIDE OF BRENTWOOD TOWN* *PLANNING REFERENCE 25/00173/FUL* *PLANS PASSED FOR FOUR BEDROOM DETACHED*","https://www.rightmove.co.uk/properties/167491907#/?channel=COM_BUY","2025-09-26T16:25:55Z","","new","Marketed by Balgores Hayes, Brentwood","","51.614759","0.275504","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/421fd5cf7/167491907/421fd5cf778812c2450fdccdab16cdfe_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1911cb87b/167491907/1911cb87bd4d57b3e636c913ed442247_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/373967fd5/167491907/373967fd58136686f70d9d4f20a430ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/325e14f58/167491907/325e14f58f9edb380369894aa4451c60_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a5988cdd4/167491907/a5988cdd477486aed936eadb6c12a70d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df4aa3d44/167491907/df4aa3d443ce8aa510b117e0288917ee_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a2724b17/167491907/8a2724b17afdffa0146bd1228e8d5b5d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e0da9b17e/167491907/e0da9b17efdd2ed0d7a6ae23a0a71b76_max_476x317.jpeg"
