id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168475376","Bristol","Pub","Kings Head, 284 Two Mile Hill Road, Kingswood, Bristol","£245,000","Offers in Excess of","","","The Kings Head is a detached part rendered two storey public house of brick and stone construction beneath a series of pitched tiled roofs with a single storey extension to the rear. The site area is circa 0.058 acres and the footprint is 2236 sf. (Nimbus Maps).","https://www.rightmove.co.uk/properties/168475376#/?channel=COM_BUY","2025-10-22T11:18:21Z","","new","Marketed by MATTHEW PHILLIPS SURVEYORS LIMITED, Lichfield","","51.462788","-2.516857","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246641/168475376/246641_196FH_IMG_07_0000_max_476x317.jpeg"
"169923242","Bristol","Residential Development","Dowry Place, Bristol","£425,000","Guide Price","1","","A Grade II listed mixed-use property arranged as a chiropractor clinic on the ground and lower level, with a 1 bedroom maisonette above. The maisonette offers potential to reconfigure into a 2 bedroom apartment, and the former clinic also offers potential to convert into a 2-3 bedroom apartment (...","https://www.rightmove.co.uk/properties/169923242#/?channel=COM_BUY","2025-12-02T14:57:04Z","","new","Marketed by Maggs & Allen, Auction, Commercial & Investment","","51.449531","-2.621152","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_15_0000_max_476x317.jpeg"
"169827788","Bristol","Office","QC30, Suite 401, 30 Queen Charlotte Street, Bristol, City Of Bristol, BS1","£195,000","","","","The office is located on the fourth floor and provides predominantly open plan space with a partitioned meeting room and kitchenette. The suite benefits from carpeting throughout, suspended ceilings with recessed lighting, and air conditioning. QC30 benefits from a passenger lift, communal WCs,...","https://www.rightmove.co.uk/properties/169827788#/?channel=COM_BUY","2025-11-28T15:40:40Z","","new","Marketed by Burston Cook, Burston Cook","","51.452362","-2.593662","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169827788/211994_5853FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169827788/211994_5853FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169827788/211994_5853FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169827788/211994_5853FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169827788/211994_5853FH_IMG_04_0000_max_476x317.jpeg"
"169809599","Bristol","Land","West side of Wells Road, BRISTOL","£1","Guide Price","","","AUCTION SALE 16 December 2025 - Freehold comprising roadways and verges surrounded by residential properties","https://www.rightmove.co.uk/properties/169809599#/?channel=COM_BUY","2025-11-28T11:06:34Z","","new","Marketed by Barnard Marcus, Hammersmith Auctions","","51.42369","-2.56517","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169809599/24437_AUC0049580_IMG_00_0000_max_476x317.jpeg"
"87140913","Bristol","Storage","Ironmould Lane, Bristol, BS4","£500,000","Offers in Region of","","","*BUSINESS FOR SALE* This opportunity offers the acquisition of a high performing,asset-rich scaffolding company with an exceptional reputation, a loyal customer base, and over 55 years of successful trading across Bristol and the wider South West region.","https://www.rightmove.co.uk/properties/87140913#/?channel=COM_BUY","2025-05-01T09:26:32Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.43375","-2.52904","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/87140913/263843_GO4000_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/87140913/263843_GO4000_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/87140913/263843_GO4000_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/87140913/263843_GO4000_IMG_02_0000_max_476x317.jpeg"
"169725203","Bristol","Commercial Property","Church Road, Bristol, BS5","£200,000","Guide Price","","","Prime Retail Unit with High Street Location on Church Road in Redfield. The property is being sold via a modern method of auction. Please call or visit YOPA Online Auctions for more information.","https://www.rightmove.co.uk/properties/169725203#/?channel=COM_BUY","2025-11-26T09:59:19Z","","price_reduced","Marketed by Yopa, Midlands, South West & Wales","","51.459328","-2.553464","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201719/169725203/201719_468210_IMG_08_0000_max_476x317.jpeg"
"169726586","Bristol","Mixed Use","Two Mile Hill Road, Kingswood, Bristol","£199,950","","1","1","MIXED USE INVESTMENT PROPERTY WITH EXCELLENT RENTAL POTENTIAL IN GREAT LOCATION!! TLS Estate Agents are delighted to bring to the market this exciting opportunity to acquire a mid terrace building that comprises a ground floor lock up retail unit and first floor flat complimented by sizeable ...","https://www.rightmove.co.uk/properties/169726586#/?channel=COM_BUY","2025-11-26T10:22:44Z","","new","Marketed by TLS Estate Agents, Bristol","","51.462773","-2.517894","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22343/169726586/22343_12792987_IMG_16_0000_max_476x317.jpeg"
"169718861","Bristol","Commercial Property","Ashley Down Road, Bristol, BS7","£900,000","Offers in Excess of","",""," Suitable for redevelopment to residential/student accommodation (subject to planning). Large rear workshop with vehicular access. Front showroom with roadside frontage. Yard and vehicle parking spaces.Due to relocation.","https://www.rightmove.co.uk/properties/169718861#/?channel=COM_BUY","2025-11-26T02:03:04Z","","new","Marketed by Bladen Property Consultants, Bristol","","51.48258","-2.58534","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/169718861/216821_KBUNI1_IMG_13_0000_max_476x317.jpeg"
"169656272","Bristol","Land","Westbury-on Trym","£160,000","Guide Price","","","A level parcel of land measuring approx. 493 m² (0.12 acres) offering an exciting opportunity for redevelopment, situated in a prime location on the borders of Westbury-on-Trym and Henleaze. This charming and secluded plot adjoins the Sacred Heart Catholic Church on Grange Court Road an...","https://www.rightmove.co.uk/properties/169656272#/?channel=COM_BUY","2025-11-24T14:39:10Z","","new","Marketed by Maggs & Allen, Auction, Commercial & Investment","","51.488151","-2.613329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169656272/21192_34322367_IMG_09_0000_max_476x317.jpeg"
"169551098","Bristol","Land","Land and Garage Adjacent to 45 King Georges Road, Bristol, Avon, BS13 8HJ","£60,000","Guide Price","3","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Single Storey Lock Up Garage Situated on a Plot of Land Measuring Approximately 195 sq m (2,099 sq ft). Offere...","https://www.rightmove.co.uk/properties/169551098#/?channel=COM_BUY","2025-11-20T18:09:21Z","","new","Marketed by Auction House London, London","","51.411583","-2.623039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_05_0000_max_476x317.jpeg"
