id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169709165","Buckinghamshire","Farm Land","Land At Mundaydean Lane, Marlow, Buckinghamshire","£150,000","Guide Price","","","Approximately 3 Acres - Available as a whole","https://www.rightmove.co.uk/properties/169709165#/?channel=COM_BUY","2025-11-25T17:17:53Z","","new","Marketed by Simmons & Sons, Henley-on-Thames","","51.580267","-0.785747","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35123/169709165/35123_101371_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35123/169709165/35123_101371_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35123/169709165/35123_101371_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35123/169709165/35123_101371_IMG_03_0000_max_476x317.jpeg"
"169921526","Buckinghamshire","Land","Bottom House Farm Lane, Chalfont St. Giles, HP8","£40,000","","","","A rare opportunity to acquire a freehold parcel of grassland located off Bottom House Farm Lane in the highly desirable village of Chalfont St Giles.","https://www.rightmove.co.uk/properties/169921526#/?channel=COM_BUY","2025-12-02T14:30:35Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.646735","-0.584387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6b9e2e997/169921526/6b9e2e997784dcb0199254003dd87f37_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a1601cff0/169921526/a1601cff0ce4bb22622074651d68a6d5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d0c13cb1/169921526/2d0c13cb1b36d8878f2400a017acbb00_max_476x317.jpeg"
"169893782","Buckinghamshire","Warehouse","High Bay 42, 12 Stilebrook Road, Olney, MK46 5EA","POA","","","","Detached modern warehouse unit with 12m clear internal height to high bay and 360 degree access","https://www.rightmove.co.uk/properties/169893782#/?channel=COM_BUY","2025-12-01T17:47:34Z","","new","Marketed by Hollis Hockley, Reading","","52.163358","-0.706584","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893782/297365_300572-1_IMG_09_0000_max_476x317.jpeg"
"164774804","Buckinghamshire","Restaurant","Fingest Road, Frieth, Buckinghamshire, RG9","£550,000","Offers Over","3","1","A detached period property currently trading as a Public House, set in this tranquil Chiltern village.","https://www.rightmove.co.uk/properties/164774804#/?channel=COM_BUY","2025-07-21T17:33:44Z","","price_reduced","Marketed by Ballards Estate Agents, Marlow","","51.608986","-0.848234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19644/164774804/19644_HEN250165_IMG_07_0000_max_476x317.jpeg"
"169821530","Buckinghamshire","Land","Oxford Road, Oakley, Aylesbury","£335,000","Guide Price","","","Exceptional development opportunity within a stunning rural backdrop perfect for a residential location, with full planning approved for the current detached barn to be converted to a detached family home with associated private parking and garden.","https://www.rightmove.co.uk/properties/169821530#/?channel=COM_BUY","2025-11-28T14:02:10Z","","new","Marketed by Connells, Thame","","51.80745","-1.092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1716/169821530/1716_THM307112_IMG_09_0000_max_476x317.jpeg"
"169815587","Buckinghamshire","Plot","Terrington Hill, Marlow, Buckinghamshire, SL7","£550,000","Guide Price","","","A development plot with planning permission granted for a detached home, located in a convenient and sought after residential road in Marlow.","https://www.rightmove.co.uk/properties/169815587#/?channel=COM_BUY","2025-11-28T12:33:51Z","","new","Marketed by Savills New Homes, Buckinghamshire & Hertfordshire","","51.573128","-0.78936","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244736/169815587/244736_AMD250099_IMG_06_0000_max_476x317.jpeg"
"169792040","Buckinghamshire","Plot","Water Lane, Sherington, Buckinghamshire, MK16","£430,000","","","","Situated in the sought after village of Sherington, this superb building plot presents a rare opportunity to create your dream home in a picturesque countryside setting. Fully serviced building plot with existing planning for a four bedroom detached approaching 2,000 square foot","https://www.rightmove.co.uk/properties/169792040#/?channel=COM_BUY","2025-11-27T16:47:44Z","","new","Marketed by Urban & Rural Property Services, Newport Pagnell","","52.108272","-0.710487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/179k/178865/169792040/178865_NEW250343_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/179k/178865/169792040/178865_NEW250343_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/179k/178865/169792040/178865_NEW250343_IMG_02_0000_max_476x317.jpeg"
"162798065","Buckinghamshire","Shop","Cornwall Place, High Street, Buckingham, Buckinghamshire, MK18","£35,000","Offers in Region of","","","Dandy Lions Boutique is a beautifully curated and much-loved independent children's retailer, proudly serving the families of Buckingham and beyond for over 14 years. This elegant high street store specialises in premium baby and children's clothing, gifts, toys and accessories.","https://www.rightmove.co.uk/properties/162798065#/?channel=COM_BUY","2025-06-03T16:05:26Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","52.00097","-0.98533","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/162798065/263843_GO4087_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/162798065/263843_GO4087_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/162798065/263843_GO4087_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/162798065/263843_GO4087_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/162798065/263843_GO4087_IMG_04_0000_max_476x317.jpeg"
"163615883","Buckinghamshire","Restaurant","Cornwall Place, High Street, Buckingham, Buckinghamshire, MK18","£75,000","Offers in Region of","","","Carnitas is a vibrant and highly regarded Latin American restaurant located in an affluent market town, offering a modern twist on traditional cuisine. Set within beautifully refurbished premises finished to an exceptional standard, the business delivers an outstanding dining experience.","https://www.rightmove.co.uk/properties/163615883#/?channel=COM_BUY","2025-06-20T18:40:50Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","52.00097","-0.98533","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/163615883/263843_GO3850_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/163615883/263843_GO3850_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/163615883/263843_GO3850_IMG_00_0000_max_476x317.jpeg"
"169739714","Buckinghamshire","Commercial Property","Verdon Court, Bishops Orchard, Farnham Royal, Slough SL2 3AB","£2,750,000","Guide Price","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A freehold property comprising of 26 x one bedroom flats with multiple communal rooms (Lounge, Office, Kitchen and Storage rooms)....","https://www.rightmove.co.uk/properties/169739714#/?channel=COM_BUY","2025-11-26T13:56:53Z","","new","Marketed by Savills Auctions, London","","51.53714","-0.61912","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169739714/80881_198-18959_IMG_33_0000_max_476x317.jpeg"
