id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169807418","Caithness","Land","Land at Newton Road and Newtonhill, Wick, Caithness","£70,000","Offers Over","","","1,207,483 sq. ft.","1207483","1207483","112179","112179","Good quality agricultural land and useful amenity land in a sought-after location on the outskirts of Wick, Caithness extending to 27.72 acres in total. Available as a whole or in 2 lots.","https://www.rightmove.co.uk/properties/169807418#/?channel=COM_BUY","2025-11-28T12:37:05Z","","new","Marketed by Aberdeen & Northern (Estates) Ltd, Inverurie","","58.43192","-3.1161","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_08_0000_max_476x317.jpeg"
"169551080","Caithness","Land","Plot 25, Christie’s Circle, Keiss, Wick, KW1 4XB","£20,000","Guide Price","","","","","","",""," PRIME NEW LISTING. We are excited to present this approximate 0.15 -acre plot located within a tranquil location in Keiss, Wick.    Potential development opportunity for shrewd investor/developers looking for a plot in an excellent location.   Planning comes with out...","https://www.rightmove.co.uk/properties/169551080#/?channel=COM_BUY","2025-11-20T18:07:38Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","58.532731","-3.118992","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169551080/251369_219594843_IMG_09_0000_max_476x317.png"
"169807418","Caithness","Land","Land at Newton Road and Newtonhill, Wick, Caithness","£70,000","Offers Over","","","1,207,483 sq. ft.","1207483","1207483","112179","112179","Good quality agricultural land and useful amenity land in a sought-after location on the outskirts of Wick, Caithness extending to 27.72 acres in total. Available as a whole or in 2 lots.","https://www.rightmove.co.uk/properties/169807418#/?channel=COM_BUY","2025-11-28T12:37:05Z","","new","Marketed by Aberdeen & Northern (Estates) Ltd, Inverurie","","58.43192","-3.1161","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107152/169807418/107152_STE032_IMG_08_0000_max_476x317.jpeg"
"165803126","Caithness","Commercial Property","Glamis Road, Wick, Highland. KW1 4HR","£115,000","Offers in Region of","","2","","","","","","Yvonne Fitzgerald is delighted to bring to the market this excellent opportunity to purchase a former home of worship which is now vacant. The property offers a lot of potential and also has enclosed railings to the front of it which could be taken down and turned in to a drive.","https://www.rightmove.co.uk/properties/165803126#/?channel=COM_BUY","2025-08-15T15:07:10Z","","price_reduced","Marketed by Yvonne Fitzgerald Properties, Thurso","","58.445928","-3.085145","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238916/165803126/238916_PRA10407_IMG_10_0000_max_476x317.jpeg"
"169566665","Caithness","Land","Plot 25, Christie's Circle, Keiss, Wick, KW1 4XB","£20,000","Guide Price","","","","","","","","PRIME NEW LISTING. We are excited to present this approximate 0.15 -acre plot located within a tranquil location in Keiss, Wick. Potential development opportunity for shrewd investor/developers looking for a plot in an excellent location.","https://www.rightmove.co.uk/properties/169566665#/?channel=COM_BUY","2025-11-21T11:33:31Z","","new","Marketed by Prime Property, Glasgow","","58.53268","-3.11902","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169566665/286790_219594843_IMG_09_0000_max_476x317.png"
"169355219","Caithness","Land","Building Plot, The Shore, Wick, NC500, KW1 4JW","£28,000","Guide Price","","","","","","","","Freehold Building plot in stunning location over looking Wick Bay. The land is the site of a former house- the house has been demolished. The plot is offered without planning permission but the fact that a house previously stood on the plot is normally a positive indicator that planning permis...","https://www.rightmove.co.uk/properties/169355219#/?channel=COM_BUY","2025-11-14T15:46:06Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","58.442831","-3.083486","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169355219/267062_420FH_IMG_09_0000_max_476x317.jpeg"
"169357274","Caithness","Land","The Marina, The Shore, Wick, NC500, KW1 4JW","£19,000","Guide Price","","","","","","","","Costal, freehold land in stunning location on the water over looking Wick Bay and marina. Excellent sized plot of land offering potential for multiple uses and potential for immediate use and is currently used for storage. The position is excellent for storage by the popular marina and busy har...","https://www.rightmove.co.uk/properties/169357274#/?channel=COM_BUY","2025-11-14T16:15:03Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","58.442831","-3.083486","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/169357274/267062_421FH_IMG_16_0000_max_476x317.jpeg"
"719422158001600","Caithness","Place of Worship","Askival, Reay, Highland","£55,000","Offers Over","","","","","","","","A-listed church, believed to date from around 1739, showcasing a traditional T-plan layout and a prominent square bell tower.","https://www.rightmove.co.uk/properties/719422158001600#/?channel=COM_BUY","2025-11-14T15:14:05Z","","new","Marketed by Church of Scotland, Edinburgh","","58.558344","-3.774963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/719422158001600/108596_ReayChurch_IMG_07_0002_max_476x317.jpeg"
"153385646","Caithness","Cafe","Pentland Crescent, Thurso","£125,000","Offers Over","","2","","","","",""," An opportunity to purchase an iconic building on Thurso seafront that had been trading as a cafe with 18+ covers inside and 16 covers outside. Ideally situated along the seafront, within walking distance to the town centre and having uninterrupted views of Thurso Bay, Dunnet Head and the Orkney...","https://www.rightmove.co.uk/properties/153385646#/?channel=COM_BUY","2024-10-04T16:18:36Z","","price_reduced","Marketed by Pollard Property, Thurso","","58.59688","-3.520839","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280223/153385646/280223_12204927_IMG_06_0000_max_476x317.jpeg"
"168013436","Caithness","Place of Worship","WickStFergusChurchRiverside, Wick, Caithness, KW1","£110,000","Offers Over","","","","","","","","Traditional pointed stone church over two levels located within the Caithness town of Wick. ","https://www.rightmove.co.uk/properties/168013436#/?channel=COM_BUY","2025-10-09T09:12:01Z","","new","Marketed by Church of Scotland, Edinburgh","","58.44307","-3.09442","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/168013436/108596_WickStFergusChurch_IMG_19_0000_max_476x317.jpeg"
