id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"155031014","Camden","Pub","Sir Richard Steele, Haverstock Hill, London, NW3","£4,400,000","Offers in Region of","5","","Freehold pub for sale","https://www.rightmove.co.uk/properties/155031014#/?channel=COM_BUY","2024-11-15T15:06:25Z","","new","Marketed by AG&G, London","","51.54702","-0.15897","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267773/155031014/267773_LONF680_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267773/155031014/267773_LONF680_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267773/155031014/267773_LONF680_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267773/155031014/267773_LONF680_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267773/155031014/267773_LONF680_IMG_04_0000_max_476x317.jpeg"
"722858293077345","Camden","Office","4 Grafton Mews, London, W1T 5JE","£2,000,000","","","","An impressive self-contained former Warehouse building situated on a pretty cobbled mews.","https://www.rightmove.co.uk/properties/722858293077345#/?channel=COM_BUY","2025-12-03T10:02:02Z","","new","Marketed by LDG, Commercial, London","","51.523468","-0.138904","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/722858293077345/174701_345365-1_IMG_17_0000_max_476x317.jpeg"
"169817537","Camden","Shop","Kentish Town Road, Kentish Town","£30,000","Guide Price","","","Prime A3 Licensed Kebab Shop for Sale - Kentish Town Road, NW1 An exciting opportunity to acquire a well-established and fully equipped kebab shop in a prime location on Kentish Town Road, NW1.","https://www.rightmove.co.uk/properties/169817537#/?channel=COM_BUY","2025-11-28T13:05:20Z","","new","Marketed by Alex Crown Lettings & Estate Agents, Islington","","51.54431","-0.14184","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102122/169817537/102122_8291_IMG_10_0000_max_476x317.jpeg"
"721782586446129","Camden","Healthcare Facility","319-325 Euston Road, Fitzrovia, NW1 3AD","£2,150,000","","","","Unique purchasing opportunity - two self-contained storefront units - Units previously interconnected - High quality existing fit-out","https://www.rightmove.co.uk/properties/721782586446129#/?channel=COM_BUY","2025-11-27T12:02:29Z","","size_change","Marketed by LDG, Commercial, London","","51.52435","-0.139672","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174701/721782586446129/174701_277696-1_IMG_29_0000_max_476x317.jpeg"
"169766516","Camden","Retail Property (high street)","56 Mill Lane, London","£595,000","Guide Price","","","A freehold building comprising a ground floor commercial unit and three studio flats, four more flats are sold off on long lease. Total GIA is approx. 721 sq ft (67 sq m) Investment let at £16,000 per annum (part vacant).","https://www.rightmove.co.uk/properties/169766516#/?channel=COM_BUY","2025-11-27T09:50:31Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.551199","-0.200445","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169766516/238697_1BB45B0D-7D50-45E8-A248-696BDC31233F_IMG_00_0001_max_476x317.jpeg"
"169765013","Camden","Office","Lymehouse Studios, 30-31 Lyme Street, Camden, London, NW1 0EE","£9,500,000","From","","","A Multi-Let Office Investment & Asset Re-Positioning Opportunity","https://www.rightmove.co.uk/properties/169765013#/?channel=COM_BUY","2025-11-27T09:22:12Z","","new","Marketed by Strettons, Commericial Agency- City & City Fringe","","51.540143","-0.138179","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/169765013/108718_318988-1_IMG_10_0000_max_476x317.jpeg"
"169746311","Camden","Residential Development","North End Way, London, NW3","£1,600,000","Guide Price","","","Cleared site with planning consent for 2x 4-bedroom houses in a prime location adjacent to Hampstead Heath. Cleared site of approximately 0.008 ha (0.02 acre) with planning consents (Ref: APP/X5210/W/20/3261840 and APP/X5210/Y/20/3261841) for a residential development of two 4-bedroom ho...","https://www.rightmove.co.uk/properties/169746311#/?channel=COM_BUY","2025-11-26T15:44:03Z","","new","Marketed by Jeremy Leaf & Co, Residential Development","","51.56281","-0.18019","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83029/169746311/83029_34318492_IMG_00_0000_max_476x317.jpeg"
"163813169","Camden","Office","7 Great James Street, London, WC1N","£4,100,000","Offers in Excess of","","","Comprises office block arranged over lower ground, ground, first, second, third and fourth floor. Planning previously granted in 2022 (now lapsed) for conversion into 5-Bed residential townhouse. SPV can be purchased to minimise stamp duty. ","https://www.rightmove.co.uk/properties/163813169#/?channel=COM_BUY","2025-06-26T09:28:41Z","","price_reduced","Marketed by Blue Alpine, London","","51.52116","-0.1167","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163813169/230087_7greatjamesstreet_IMG_09_0000_max_476x317.jpeg"
"169515104","Camden","Commercial Property","33 Camden High Street, London, NW1 7JE","£990,000","","","","Prime Mixed Use Retail/Residential Investment Potential To Add Additional Floor Shop With 1x1 Bed Maisonette Freehold For Sale","https://www.rightmove.co.uk/properties/169515104#/?channel=COM_BUY","2025-11-20T09:21:08Z","","size_change","Marketed by Christo & Co, London, London","","51.534984","-0.13927","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4f6214e18/169515104/4f6214e18559d563bed73788bf02e86f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/09df0273c/169515104/09df0273c816057f5c630eafb35e9c7c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9c4147f8c/169515104/9c4147f8c013c27db46362c41b2550aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5fc79833e/169515104/5fc79833e361112c90985f3cda260b3c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7d0ade4d8/169515104/7d0ade4d856484d85735f42c4e998ae3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/30e4935e2/169515104/30e4935e2ff00b049b86bcc20aa0cbdd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d857d9fb0/169515104/d857d9fb07b40703c9db07b5ef0d8ce7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d6d63178/169515104/2d6d631783d726047be3a0925924d346_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4910b9cf6/169515104/4910b9cf636457edb2456c8d80b7f54e_max_476x317.jpeg"
"169498667","Camden","Mixed Use","Leigh Street, Euston, London, WC1H","£1,100,000","","1","","Income generating freehold for sale in Euston, consisting of two flats and commercial, remaining units are sold on long leases, to be sold as seen with tenants in situ.","https://www.rightmove.co.uk/properties/169498667#/?channel=COM_BUY","2025-11-19T15:49:32Z","","new","Marketed by Residential Development & Investment London, Covering London","","51.526244","-0.125231","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_14_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257420/169498667/257420_1342146_IMG_20_0001_max_476x317.jpeg"
