id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169819364","Castle Point","Commercial Property","Oxford Road Clacton On Sea","£140,000","","1","1","","","","","","LOCATION The premises are located in Clacton-on-Sea, on the popular and established Oxford Road commercial area. There are a number of retail and trade counter users in the street, as well as residential occupiers. There is on street car parking. The property lies close to Clacton railway station...","https://www.rightmove.co.uk/properties/169819364#/?channel=COM_BUY","2025-11-28T13:25:04Z","","new","Marketed by Boydens, Colchester","","51.79797","1.15698","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6506/169819364/6506_2725230_IMG_00_0000_max_476x317.jpeg"
"169798385","Castle Point","Commercial Property","Jaywick Lane, Clacton-On-Sea","£450,000","","3","1","3,972 sq. ft.","3972","3972","369","369","A unique opportunity to purchase this long established public house which is currently let at £24,000 PA and can be purchased with Tenant or with vacant possession. The property comprises a detached building with the ground floor comprising; separate bar and restaurant areas, cellar, kitchen, uti...","https://www.rightmove.co.uk/properties/169798385#/?channel=COM_BUY","2025-11-27T22:55:05Z","","size_change","Marketed by LAMB & CO PROPERTY LTD, Essex","","51.795185","1.120143","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267131/169798385/267131_34330143_IMG_14_0000_max_476x317.jpeg"
"169780457","Castle Point","Land","Building Plot With Outline Planning Permission, West Clacton","£100,000","Guide Price","","","","","","","","A building plot situated towards the outskirts of Clacton on Sea on the popular Tudor Development, which in the valuers opinion offers the perfect opportunity to build a three bedroom detached property. Further planning information can be found using the planning reference of 24/01883/OUT. ","https://www.rightmove.co.uk/properties/169780457#/?channel=COM_BUY","2025-11-27T13:35:15Z","","new","Marketed by Stoneridge Estates, Clacton On Sea","","51.78265","1.11748","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169780457/98489_SNR1002755_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169780457/98489_SNR1002755_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169780457/98489_SNR1002755_IMG_02_0000_max_476x317.jpeg"
"169666382","Castle Point","Land","Sea Pink Way, Jaywick, Clacton-on-Sea","£250,000","","","","","","","","","** SEAFRONT DEVELOPMENT ** Planning approved for this attractive block of SEVEN APARTMENTS. situated directly on the seafront with sandy beaches. Consisting of 6 x two bedroom and 1 x three bedroom all with an allocated parking space.","https://www.rightmove.co.uk/properties/169666382#/?channel=COM_BUY","2025-11-24T17:09:30Z","","new","Marketed by Mike Vincent & Son, Clacton On Sea","","51.7739","1.11678","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79050/169666382/79050_CS0041_IMG_07_0000_max_476x317.jpeg"
"169600550","Castle Point","Land","Double Building Plot, Amerells Road, Little Clacton","£350,000","","","","","","","","","A double building plot with outline planning permission to facilitate two detached dwellings, assuming both to be 2x three double bedroom detached bungalow both with detached double garages, generous driveways and extensive garden space. The location of this plot offers a village set (cont.)","https://www.rightmove.co.uk/properties/169600550#/?channel=COM_BUY","2025-11-22T13:00:05Z","","new","Marketed by Stoneridge Estates, Clacton On Sea","","51.83538","1.14029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169600550/98489_SNR1002751_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169600550/98489_SNR1002751_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/169600550/98489_SNR1002751_IMG_02_0000_max_476x317.jpeg"
"169311608","Castle Point","Commercial Property","56 Frinton Road, Holland-On-Sea, Clacton-On-Sea, Essex CO15 5UW","£100,000","Guide Price","","","","","","","","FOR SALE BY LIVESTREAM AUCTION ON WEDNESDAY 10TH DECEMBER 2025 TO REGISTER FOR LEGAL PACKS AND BIDDING INSTRUCTIONS PLEASE VISIT OUR WEBSITE ","https://www.rightmove.co.uk/properties/169311608#/?channel=COM_BUY","2025-11-13T15:39:25Z","","new","Marketed by Auction House, East Anglia","","51.803972","1.185692","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67475/169311608/67475_202511031543sq_x8b3_IMG_04_0000_max_476x317.jpeg"
"163553294","Castle Point","Plot","Jaywick Lane, Clacton-On-Sea","£775,000","","","","","","","","","Located on the North West outskirts of Clacton-on-Sea, a unique opportunity to purchase this development site of approximately 0.77 acres, with the benefit of outline planning permission for 9x three bedroom houses. We estimate GDV to be in the region of £2,775,000. (Pub not included).","https://www.rightmove.co.uk/properties/163553294#/?channel=COM_BUY","2025-06-19T17:38:29Z","","price_reduced","Marketed by Lamb & Co, Land & New Homes","","51.795188","1.120249","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9821d6b85/163553294/9821d6b85ad4308c30865467d5e506f4_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/722380c0d/163553294/722380c0ddc9e85bdcaedb11ad6915e0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ac5b1554/163553294/0ac5b1554b972363672c1c013cf2b6a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5bf38775d/163553294/5bf38775d5b26aac97e417cedb418c44_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1b19151ac/163553294/1b19151ac9187cb9c141b9dae8b8a21f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a6b19761b/163553294/a6b19761bbb1a6f52a5593f8e9c6e80e_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/904b3c257/163553294/904b3c2579dc9ae39712d63769b7626c_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/caee4d26f/163553294/caee4d26fd1f5d43f3a893e8fea5fc76_max_476x317.png"
"168589985","Castle Point","Mixed Use","26 & 26A Orwell Road, Clacton-on-Sea, Essex, CO15 1PP","£140,000","Guide Price","2","","","","","","","Please refer to auctioneer for more information **For Sale By Public Auction 12th November 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Vacant Mid Terrace Building Arranged to Provide a Ground Floor...","https://www.rightmove.co.uk/properties/168589985#/?channel=COM_BUY","2025-10-24T16:03:58Z","","new","Marketed by Auction House London, London","","51.789181","1.155585","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168589985/285620_315274_IMG_16_0000_max_476x317.jpeg"
"168317477","Castle Point","Commercial Property","High Street, Clacton on Sea","£90,000","Offers in Excess of","","","","","","","","Situated in a popular town centre position is this lock up shop unit available with immediate possession. The space currently comprises a main shop area to front measuring 15'3 x 11'10 and a shared rear area with brick built cloakroom. ","https://www.rightmove.co.uk/properties/168317477#/?channel=COM_BUY","2025-10-17T15:40:06Z","","new","Marketed by Stoneridge Estates, Clacton On Sea","","51.79071","1.15604","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/168317477/98489_SNR1131025_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/168317477/98489_SNR1131025_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/168317477/98489_SNR1131025_IMG_02_0000_max_476x317.jpeg"
"159426272","Castle Point","Land","Alleyne Way, West Clacton","£350,000","","4","1","","","","","","** FOUR BEDROOM DETACHED BUNGALOW PLUS SEPARATE BUILDING PLOT ** This spacious four bedroom detached chalet style bungalow is offered with a separate building plot with planning permission for a stylish three bedroom detached bungalow. The property is situated on the popular Tudor Green (cont.)","https://www.rightmove.co.uk/properties/159426272#/?channel=COM_BUY","2025-03-14T14:50:14Z","","price_reduced","Marketed by Stoneridge Estates, Clacton On Sea","","51.78265","1.11748","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98489/159426272/98489_SNR1090325_IMG_15_0000_max_476x317.jpeg"
