id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169184042","Conwy","Smallholding","Llanelian, Colwyn Bay","£745,000","","4","2","A delightful and versatile country smallholding enjoying a stunning south-facing position with panoramic views over surrounding open countryside. VIEWING HIGHLY RECOMMENDED","https://www.rightmove.co.uk/properties/169184042#/?channel=COM_BUY","2025-11-10T13:56:39Z","","new","Marketed by Iwan M Williams, Conwy","","53.249557","-3.728448","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_43_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_44_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_45_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_46_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_47_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_48_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_49_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_50_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_51_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157823/169184042/157823_34296283_IMG_52_0000_max_476x317.jpeg"
"169922090","Conwy","Hotel","South Parade, Llandudno, Conwy, LL30","£649,500","","14","","Beachside Guesthouse is a thriving, fully renovated 12-bedroom Victorian Grade II Listed 4-star Bed & Breakfast in Llandudno, ideally located on South Parade.","https://www.rightmove.co.uk/properties/169922090#/?channel=COM_BUY","2025-12-02T14:38:19Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.325827","-3.830963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169922090/241850_COM240213_IMG_27_0000_max_476x317.jpeg"
"169866212","Conwy","Hotel","Ellesmere Road, Colwyn Bay, Conwy, LL29","£400,000","Offers Over","12","11","A substantial 12 Bedroom, 4 Storey Semi-Detached property in the heart of Colwyn Bay, offering spacious and versatile accommodation with off-road parking, a low-maintenance garden, and excellent potential for continued business use or conversion, just moments from local amenities and transport li...","https://www.rightmove.co.uk/properties/169866212#/?channel=COM_BUY","2025-12-01T11:58:51Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.298364","-3.733636","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169866212/241850_ADM250035_IMG_09_0000_max_476x317.jpeg"
"169836656","Conwy","Land","Land Known As Scolwyn Field, Llanrwst Conwy","£60,000","Guide Price","","","4.27 acres or thereabouts of very good quality land. Natural water supply. Development potential Subject to the necessary Planning Permissions. Guide Price – £50,000 to £75,000. Public Auction to be held at the Menai Bridge Community Heritage Trust, Thomas Telford Centre, M...","https://www.rightmove.co.uk/properties/169836656#/?channel=COM_BUY","2025-11-28T17:50:38Z","","new","Marketed by Jones Peckover, Denbigh","","53.143962","-3.802105","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37526/169836656/37526_34332107_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37526/169836656/37526_34332107_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37526/169836656/37526_34332107_IMG_02_0000_max_476x317.png"
"169775303","Conwy","Convenience Store","Abergele Road, LL29","£289,950","","3","","We are pleased to bring to the market this freehold convenience store located in Old Colwyn.","https://www.rightmove.co.uk/properties/169775303#/?channel=COM_BUY","2025-11-27T12:03:10Z","","new","Marketed by Blacks Business Brokers, Bury","","53.29006","-3.70116","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262775/169775303/262775_9381_IMG_08_0000_max_476x317.jpeg"
"167029460","Conwy","Land","Land At North Wales Business Park, Cae Eithin, Abergele, Conwy, LL22 8LJ","POA","","","","The available development site comprises land at North Wales Business Park close to its junction with the A547. It adjoins the office building owner/occupied by Cartrefi Conwy Housing Association. The site has never been developed and is roughly rectangular in shape. The North Wales Business ...","https://www.rightmove.co.uk/properties/167029460#/?channel=COM_BUY","2025-09-16T09:24:18Z","","size_change","Marketed by Legat Owen, Chester","","53.289151","-3.596501","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029460/262844_4596FH_IMG_00_0000_max_476x317.jpeg"
"169705358","Conwy","Land","Brynmor Terrace, Penmaenmawr, Conwy, LL34","£40,000","Offers Over","","","An exciting investment opportunity to own this plot of land beautifully situated in an elevated position overlooking the sea and The Great Orme. Within close proximity to the centre of Penmaenmawr, it's a highly desirable location. There is planning permission for a 2 storey, detached dwelling wi...","https://www.rightmove.co.uk/properties/169705358#/?channel=COM_BUY","2025-11-25T16:17:47Z","","new","Marketed by Dafydd Hardy, Llandudno","","53.268705","-3.921966","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195863/169705358/195863_COL240286_IMG_08_0000_max_476x317.jpeg"
"169575545","Conwy","Industrial Park","Conway Road, Mochdre, Colwyn Bay, Conwy, LL28","£625,000","","","","Prominent detached premises in an established commercial area on the A547 Conwy Road ","https://www.rightmove.co.uk/properties/169575545#/?channel=COM_BUY","2025-11-21T14:07:32Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.288217","-3.766558","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa5a0a4bf/169575545/aa5a0a4bfdad6223dcf3d467d32ab7f9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/acf1c1097/169575545/acf1c1097b273783cb4f9d6ef1317ad7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/720cda905/169575545/720cda9054f91c11ee259b21c4030d16_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c43af1439/169575545/c43af14396446d1c5a872760ea696e3e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/858c7ae8d/169575545/858c7ae8df9a832185be26959e35c5b2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/24826cc1f/169575545/24826cc1f2b9982d10ec4c51ac6ab8c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b0259596c/169575545/b0259596ccccfce581c0c0806fde67b2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f74cbad27/169575545/f74cbad27d325ec5e3c8c51eaa8b43d5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c5da78bc5/169575545/c5da78bc50784a99877dfa8a57cb882d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52ff2d460/169575545/52ff2d46059e0d86f4629bb063972c37_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/97937f0a1/169575545/97937f0a175c533a6f75197b347fedb7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/04e6816e2/169575545/04e6816e226c499c6e7a7713d2155fdf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/70d23af28/169575545/70d23af284426bda7b5757b2f2f7a20e_max_476x317.jpeg"
"159127922","Conwy","Hotel","Bryn Derwen, Betws Road Llanrwst, Conwy, LL26 0PT","£1,500,000","","","","Freehold. Beautiful 19th century country house. Set in c. 14 acres with great views. 7 bedrooms, 3 cottages, owner's accomodation. Scope for major re-development (STP). Not currently trading","https://www.rightmove.co.uk/properties/159127922#/?channel=COM_BUY","2025-03-07T11:56:00Z","","new","Marketed by Christie & Co, Hotels","","53.122335","-3.779858","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/159127922/260756_5646804-fh_IMG_17_0001_max_476x317.jpeg"
"169299128","Conwy","Land","Bryn y M aen Wood, Nr Colwyn Bay LL29","£350,000","Guide Price","","","A rare opportunity to acquire an attractive woodland with mature commercial timber and a versatile general-purpose shed. Situated close to Colwyn Bay.","https://www.rightmove.co.uk/properties/169299128#/?channel=COM_BUY","2025-11-13T12:28:51Z","","new","Marketed by GOLDCREST LAND & FORESTRY GROUP LLP, Edinburgh","","53.26485","-3.74065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233888/169299128/233888_Brynymaen_IMG_18_0000_max_476x317.jpeg"
