id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169763603","Cornwall","Land","Coastal Land, Porthtowan, TR4","£125,000","Offers in Region of","","","","","","","","A Unique Investment Opportunity: Coastal Land with Uninterrupted Sea Views An exceptional and potentially one of the final opportunities to purchase a substantial plot of land offering unparalleled, uninterrupted sea views on the North Cornish Coast. Situated in a commanding position above the cha","https://www.rightmove.co.uk/properties/169763603#/?channel=COM_BUY","2025-11-27T08:35:08Z","","new","Marketed by Emoov, Chelmsford","","50.285956","-5.237004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85856/169763603/85856_5709_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85856/169763603/85856_5709_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85856/169763603/85856_5709_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85856/169763603/85856_5709_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85856/169763603/85856_5709_IMG_04_0000_max_476x317.jpeg"
"170013782","Cornwall","Retail Property (high street)","North Quay, Padstow","£875,000","Offers in Region of","","","","","","","","David Ball Agencies are pleased to offer an exceptional harbourside commercial property for sale on a 999-year lease in the highly sought-after town of Padstow, on Cornwall’s North Coast. The property currently achieves a rental income of £47,600 per annum, increasing to £50,000 in 2026. Opportun...","https://www.rightmove.co.uk/properties/170013782#/?channel=COM_BUY","2025-12-04T16:11:46Z","","new","Marketed by David Ball Agencies, Newquay","","50.542652","-4.93714","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/551f8ae20/170013782/551f8ae2073d838d1f622d46c23fc3d9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9126bcd4e/170013782/9126bcd4e03a6513be551abec0259a03_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e1fd919b9/170013782/e1fd919b9fd91c9767076dd3e1e75b10_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/450624acc/170013782/450624acc7dcb0f171f443c4d1b73e82_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/90673099f/170013782/90673099f401bc543a9c113394d5ebf6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e04a2a680/170013782/e04a2a680d97d249d217dd302fb259b4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bdcf56eba/170013782/bdcf56eba21e9ea7e9571a5b3fce8348_max_476x317.png"
"163398014","Cornwall","Office","Talgarrek House, Victoria Business Park, St Austell","£750,000","","","","8,579 sq. ft.","8579","8579","797","797","Talgarrek House is a modern dedicated detached office building The property provides well-appointed offices, meeting rooms and staff welfare facilities set across two floors. The ground floor benefits from a combination of air conditioning and electrical wall mounted heaters with the first floor bei","https://www.rightmove.co.uk/properties/163398014#/?channel=COM_BUY","2025-06-16T20:03:52Z","","price_reduced","Marketed by Miller Commercial, Commercial Agency","","50.42","-4.83021","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/163398014/212042_8807_IMG_15_0000_max_476x317.jpeg"
"163323911","Cornwall","Plot","Poundstock, Bude, Cornwall, EX23","£525,000","","","","","","","","","A rare opportunity to acquire a pair of generously sized building plots for two homes or to develop one large ""Grand Designs"" style property. Located in the rural parish of Poundstock, Cornwall the site comprises planning for two generous 4 bedroom homes in an Area of Outstanding Natura...","https://www.rightmove.co.uk/properties/163323911#/?channel=COM_BUY","2025-06-14T08:07:38Z","","price_reduced","Marketed by Kivells, Bude","","50.768179","-4.542541","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75200/163323911/75200_BUD250339_IMG_08_0000_max_476x317.jpeg"
"162950672","Cornwall","Commercial Property","(Commercial & Residential) Queen Street, Lostwithiel","£300,000","Offers Over","2","1","","","","","","A superb mixed use investment opportunity which includes substantial retail premises on the ground floor and a spacious two bedroom flat above, occupying a prominent trading position in the heart of the town. Accommodation:- Retail Premises - Main shop area/showroom, office/store room, Staff r...","https://www.rightmove.co.uk/properties/162950672#/?channel=COM_BUY","2025-06-06T11:55:02Z","","price_reduced","Marketed by Jefferys, Lostwithiel","","50.406948","-4.670809","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/162950672/33476_12688796_IMG_13_0000_max_476x317.jpeg"
"169956281","Cornwall","Mixed Use","2 Broad Street, St. Columb Major, Cornwall TR9 6AS","£225,000","Guide Price","6","","","","","","","For sale on 29 January 2026 Our national property auction will be broadcast online with live auctioneers. To bid by proxy, online, or by phone, please submit your registration form no later than 5pm the day before the auction. The auction will commence at 09:00.","https://www.rightmove.co.uk/properties/169956281#/?channel=COM_BUY","2025-12-03T12:42:00Z","","new","Marketed by SDL Property Auctions, Nationwide","","50.434856","-4.940096","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68670/169956281/68670_202508131024sq_vyfb_IMG_19_0000_max_476x317.jpeg"
"169950032","Cornwall","Land","Land Lying to the South of Middleway, St. Blazey, Par, Cornwall, PL24 2LP","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Roadways Measuring Approximately 5.97 Acres / 24,160 sq m / 260,056 sq ft Freehold Guide Price = &...","https://www.rightmove.co.uk/properties/169950032#/?channel=COM_BUY","2025-12-03T11:06:12Z","","new","Marketed by Auction House London, London","","50.353479","-4.714702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169950032/285620_320088_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169950032/285620_320088_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169950032/285620_320088_IMG_02_0000_max_476x317.jpeg"
"169949957","Cornwall","Land","Plot 2, Land Lying to the East of Trenoweth Road, Falmouth, Cornwall, TR11 5GH","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Roadways Measuring Approximately 3.25 Acres / 13,152 sq m / 141,567 sq ft Freehold Guide Price = &...","https://www.rightmove.co.uk/properties/169949957#/?channel=COM_BUY","2025-12-03T11:04:43Z","","new","Marketed by Auction House London, London","","50.142451","-5.082526","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/26d239e7e/169949957/26d239e7ebc4457bfc036dffab2103a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ed5218c4/169949957/9ed5218c493ba91e86546f1f9657fb78_max_476x317.jpeg"
"169949843","Cornwall","Land","Land on the East Side of South Street, St. Austell, Cornwall, PL25 5BN","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Roadways Measuring Approximately 0.69 Acres / 2,792 sq m / 30,053 sq ft Freehold Guide Price = &po...","https://www.rightmove.co.uk/properties/169949843#/?channel=COM_BUY","2025-12-03T11:03:29Z","","new","Marketed by Auction House London, London","","50.334786","-4.793192","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949843/285620_320079_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949843/285620_320079_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169949843/285620_320079_IMG_02_0000_max_476x317.jpeg"
"169949744","Cornwall","Land","Plot 1, Part of Land Abutting Trenoweth Road, Falmouth, Cornwall, TR11 5GH","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 0.09 Acres / 364 sq m / 3,918 sq ft Freehold Guide Price = £1,...","https://www.rightmove.co.uk/properties/169949744#/?channel=COM_BUY","2025-12-03T11:02:01Z","","new","Marketed by Auction House London, London","","50.142544","-5.082647","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/43e1e1bac/169949744/43e1e1bac8378d50100ae28f403e18fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/298424180/169949744/298424180127da92ee1cba2a18a72710_max_476x317.jpeg"
