id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169882895","Cumbria","Land","Amenity Land At Witherslack, Bleacrag Road, Witherslack, Cumbria","£15,000","Offers in Region of","","","By Informal Tender to be submitted to H&H Land and Estates, Cumbria Tourism Business Centre, Staveley, LA8 9PL. No later than 12 noon on Friday 9th January 2026. A wonderful opportunity to acquire a small plot of amenity land located within the Lake District National Park. ","https://www.rightmove.co.uk/properties/169882895#/?channel=COM_BUY","2025-12-01T15:05:06Z","","new","Marketed by H&H Land & Estates, Penrith","","54.250175","-2.877425","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_09_0000_max_476x317.jpeg"
"169952264","Cumbria","Farm Land","CA6 4QQ","£1,550,000","Offers Over","","","Land at Brunstock, comprising good quality agricultural land along with slurry lagoon extending to approximately 55.42 hectares (136.94 acres) of agricultural land.","https://www.rightmove.co.uk/properties/169952264#/?channel=COM_BUY","2025-12-03T11:42:14Z","","new","Marketed by EDWIN THOMPSON, Carlisle","","54.93874","-2.89716","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39a4e8cb8/169952264/39a4e8cb87a368603b51a3b9aaec0069_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a3aff7c6/169952264/8a3aff7c672de0ab1a44e2dc484d19c5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ac71c073b/169952264/ac71c073b66f17f66827e7d3c5de4fb5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3832b9ee2/169952264/3832b9ee2ba18ca033265522d70bc98c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ae8f1429/169952264/4ae8f142962c434b4568c62b2c48ff8c_max_476x317.jpeg"
"87349680","Cumbria","Retail Property (high street)","Holme Head House, Denton Holme, Carlisle, CA2","£600,000","Guide Price","4","4","Holme Head House was originally built in 1865 along with Holme Head Works, a Victorian Cotton Mill which sits alongside the River Caldew. The iconic weir that powered the Mill, is opposite the house which was once the residence of the Mill Manager. Since then is has been used for various purposes...","https://www.rightmove.co.uk/properties/87349680#/?channel=COM_BUY","2025-10-29T14:47:06Z","","price_reduced","Marketed by Hunters, Carlisle","","54.881629","-2.941135","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_23_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76646/87349680/76646_34268554_IMG_33_0000_max_476x317.jpeg"
"157259936","Cumbria","Land","Development Site, Coast Road, Baycliff nr Ulverston","£745,000","","","","This is a rare opportunity to acquire a large site (~0.59 acres) for extensive development in the charming coastal village of Baycliff, near Ulverston. The site offers immense potential, as a development opportunity, with a pre-planning application for the proposed demolishment and creation of ap...","https://www.rightmove.co.uk/properties/157259936#/?channel=COM_BUY","2025-01-23T12:49:55Z","","price_reduced","Marketed by Corrie and Co Ltd, Ulverston","","54.141078","-3.090808","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50055/157259936/50055_33624633_IMG_05_0000_max_476x317.png"
"169882895","Cumbria","Land","Amenity Land At Witherslack, Bleacrag Road, Witherslack, Cumbria","£15,000","Offers in Region of","","","By Informal Tender to be submitted to H&H Land and Estates, Cumbria Tourism Business Centre, Staveley, LA8 9PL. No later than 12 noon on Friday 9th January 2026. A wonderful opportunity to acquire a small plot of amenity land located within the Lake District National Park. ","https://www.rightmove.co.uk/properties/169882895#/?channel=COM_BUY","2025-12-01T15:05:06Z","","new","Marketed by H&H Land & Estates, Penrith","","54.250175","-2.877425","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149141/169882895/149141_KEN250115_IMG_09_0000_max_476x317.jpeg"
"169825721","Cumbria","Commercial Property","22 Main Road, Windermere, Cumbria, LA23 1DY","£13,500","","","","A prominently located vacant shop unit in the heart of the thriving tourist village of Windermere in the Southern Lake District. With 410 sq ft of sales area plus basement storage area. ","https://www.rightmove.co.uk/properties/169825721#/?channel=COM_BUY","2025-11-28T15:06:29Z","","new","Marketed by Hackney & Leigh, Windermere","","54.37893","-2.906531","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3179/169825721/3179_100251035971_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3179/169825721/3179_100251035971_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3179/169825721/3179_100251035971_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3179/169825721/3179_100251035971_IMG_03_0000_max_476x317.jpeg"
"169815890","Cumbria","Commercial Property","14/14a High Street, Wigton, Cumbria, CA7 9NJ","£85,000","Guide Price","","","Guide Price: £85,000 A mixed use development opportunity comprising a semi detached building detailing a former banking premises on the ground floor and a four bedroom residential apartment on the first floor. The ground floor extends to approximately 145 Sq.M (1,560 Sq.Ft) and has rec...","https://www.rightmove.co.uk/properties/169815890#/?channel=COM_BUY","2025-11-28T12:40:40Z","","price_reduced","Marketed by PUGH & COMPANY LIMITED, Manchester","","54.824261","-3.160532","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169815890/184055_121101FH_IMG_16_0000_max_476x317.jpeg"
"169788230","Cumbria","Commercial Property","Market Street, Kirkby Stephen, CA17 4QS","£135,000","Guide Price","","","Guide Price £135,000 - £175,000","https://www.rightmove.co.uk/properties/169788230#/?channel=COM_BUY","2025-11-27T15:48:28Z","","new","Marketed by J.R Hopper & Co, Leyburn - Commercial","","54.473764","-2.348785","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89029/169788230/89029_RX683156_IMG_14_0000_max_476x317.jpeg"
"169707077","Cumbria","Restaurant","Le Gall, 7 Devonshire Street, Carlisle, Cumbria, CA3 8LG","£650,000","Offers in Region of","2","1","* ESTABLISHED CITY CENTRE FOOD & DRINK LOCATION * COMMERCIAL AND RESIDENTIAL USES * INCLUDES BUSINESS, STOCK, FIXTURES & FITTINGS, TRADE NAME AND GOODWILL * FIRST TIME ON THE MARKET SINCE 1996 *","https://www.rightmove.co.uk/properties/169707077#/?channel=COM_BUY","2025-11-25T17:03:35Z","","new","Marketed by Carigiet Cowen Limited, Carlisle","","54.89359","-2.93329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169707077/287663_BB7646_IMG_08_0000_max_476x317.jpeg"
"721783613934769","Cumbria","Distribution Warehouse","Harker View, J44, M6 - Plot 4100, Harker, Carlisle, CA6 4HW","POA","","","","Harker View retail Retail Plot - Roadside Servies, PFS, Drive-Thru, Public House. Detailed planning consent granted. J.44, M6/A7 Carlisle","https://www.rightmove.co.uk/properties/721783613934769#/?channel=COM_BUY","2025-11-27T12:14:10Z","","new","Marketed by M1 Agency LLP, M1 agency (Nottingham) LLP","","54.931505","-2.947051","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290606/721783613934769/290606_344704-1_IMG_00_0000_max_476x317.png"
