id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"164112155","Denbighshire","Light Industrial","5A Douglas Estates, Ffordd Las, Rhyl, Denbighshire, LL18","£73,000","","","","600–628 sq. ft.","600","628","56","58","8.5% NET YIELD - FREEHOLD INDUSTRIAL INVESTMENT FOR SALEFreehold industrial unit situated on a newly converted, self-contained estate.Let on a new 10-year full repairing and insuring (FRI) lease, with rent reviews to the greater of RPI or market rent.Price: £73,000 Rent: £6,240 per annum","https://www.rightmove.co.uk/properties/164112155#/?channel=COM_BUY","2025-07-03T12:17:39Z","","size_change","Marketed by Sandringham Investments, Harrow","","53.31418","-3.4874","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223328/164112155/223328_5adouglas_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223328/164112155/223328_5adouglas_IMG_00_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223328/164112155/223328_5adouglas_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223328/164112155/223328_5adouglas_IMG_03_0001_max_476x317.jpeg"
"167404064","Denbighshire","Workshop","1 Vaughan Street, Rhyl, LL18 1TB","£250,000","","5","3","","","","","","An opportunity has arisen to purchase a substantial 'all' Commercial premises occupying a prominent corner position in a convenient location. Known as the RSPCA incorporating a Veterinary practise the charity are selling as a whole, however there is an opportunity for the Investor buyer to spl...","https://www.rightmove.co.uk/properties/167404064#/?channel=COM_BUY","2025-09-25T09:42:29Z","","price_reduced","Marketed by Peter Large Commercial, Prestatyn","","53.319092","-3.49411","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167404064/229301_S1455921_IMG_15_0000_max_476x317.jpeg"
"157516115","Denbighshire","Warehouse","Elwy Street,  Rhyl, LL18","£70,000","Offers in Region of","","","1,075 sq. ft.","1075","1075","100","100","Elwy is delighted to market for sale a recently refurbished commercial space in a prime central Rhyl location, offering versatility for a variety of uses. The property features a spacious main commercial area, a manager's office, a fitted kitchenette, and a separate WC. This property is ready to ...","https://www.rightmove.co.uk/properties/157516115#/?channel=COM_BUY","2025-01-29T13:27:46Z","","price_reduced","Marketed by Elwy, Rhyl","","53.3182","-3.49202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/157516115/246974_1072_IMG_10_0000_max_476x317.jpeg"
"165114125","Denbighshire","Shop","Clwyd Street, Ruthin","£100,000","Guide Price","2","","","","","","","**NO ONWARD CHAIN** IDEAL INVESTMENT OPPORTUNITY - For Sale by Modern Auction – T & C’s apply. Two retail units, both are currently empty, with a two bedroom flat over which is full of character and in need of some modernisation. PRIME LOCATION with excellent foot traffic and co...","https://www.rightmove.co.uk/properties/165114125#/?channel=COM_BUY","2025-07-30T10:27:47Z","","price_reduced","Marketed by Williams Estates, Ruthin","","53.113597","-3.313159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95821/165114125/95821_34070042_IMG_08_0000_max_476x317.jpeg"
"169965125","Denbighshire","Retail Property (high street)","67 Wellington Road, Rhyl, LL18 1BD","£249,950","","","1","","","","","","For sale is this substantial retail property on a prominent corner position on Wellington Road, situated within the town centre of Rhyl. This large retail unit offers a spacious layout, ideal for retail investors seeking a central location with high footfall. Internally, the property comprises...","https://www.rightmove.co.uk/properties/169965125#/?channel=COM_BUY","2025-12-03T15:13:26Z","","new","Marketed by Peter Large Commercial, Prestatyn","","53.318756","-3.49266","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/16c817a11/169965125/16c817a115f024ab9b5fca12550d38bc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4b406b105/169965125/4b406b105439341f60e9321df199e86f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bc70add81/169965125/bc70add81e25093b1fc970320aa00665_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6bdf79e6b/169965125/6bdf79e6bd7576ee1d421c746179c97c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad38a86aa/169965125/ad38a86aa1f3304b8d87e907cd008b94_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0021dc912/169965125/0021dc912c28958d55626e0699d259f7_max_476x317.jpeg"
"169814873","Denbighshire","Commercial Development","55 - 57 Marine Road, Prestatyn, Denbighshire LL19 7HA","£325,000","","","","","","","","","INVESTMENT OPPORTUNITY to acquire a freehold investment premises which offers a Suite of Offices to the first floor, A Hair Dressing Salon & Beauty Salon which are currently let with a further vacant Unit to the rear.  All units have kitchenette and cloakroom facility...","https://www.rightmove.co.uk/properties/169814873#/?channel=COM_BUY","2025-11-28T12:17:40Z","","new","Marketed by Peter Large Commercial, Prestatyn","","53.338913","-3.403291","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/169814873/229301_S1511749_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/169814873/229301_S1511749_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/169814873/229301_S1511749_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/169814873/229301_S1511749_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/169814873/229301_S1511749_IMG_04_0000_max_476x317.jpeg"
"167148314","Denbighshire","Mixed Use","Bedford Street, Rhyl, Denbighshire LL18 1SY","£200,000","Offers in Region of","2","3","","","","","","A opportunity has arisen to purchase a good size retail unit with kitchen, toilet and storage which also comes with two self contained 1 bedroom flats both being sold with tenants in situ. The property is well maintained throughout and is situated close to the town centre of Rhyl with its shop...","https://www.rightmove.co.uk/properties/167148314#/?channel=COM_BUY","2025-09-18T13:55:30Z","","price_reduced","Marketed by Peter Large Commercial, Prestatyn","","53.319637","-3.493284","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229301/167148314/229301_S1449504_IMG_20_0000_max_476x317.jpeg"
"166598759","Denbighshire","Office","Victoria Road, Prestatyn","£180,000","Guide Price","4","2","","","","","","AVAILABLE FOR SALE VIA THE MODERN METHOD OF AUCTION Welcome to Victoria Road, Prestatyn - a charming property that offers a unique blend of residential and commercial space, perfect for those looking for a versatile living arrangement. This spacious house boasts two reception rooms, idea...","https://www.rightmove.co.uk/properties/166598759#/?channel=COM_BUY","2025-09-04T16:27:48Z","","price_reduced","Marketed by Williams Estates, Prestatyn","","53.336265","-3.414676","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19527/166598759/19527_34150840_IMG_15_0000_max_476x317.jpeg"
"169735217","Denbighshire","Commercial Property","White Horse Inn, 14-16 Bedford Street, Denbighshire, LL18","£160,000","Guide Price","4","4","1,981 sq. ft.","1981","1981","184","184","Being Sold via Secure Sale online bidding. Terms & Conditions apply. Starting Bid £160,000. Elwy are delighted to market for sale the former White Horse Inn - a substantial and historic building offering excellent development potential, located in the heart of Rhyl town centre. ","https://www.rightmove.co.uk/properties/169735217#/?channel=COM_BUY","2025-11-26T12:37:25Z","","new","Marketed by Elwy, Rhyl","","53.3193","-3.49355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246974/169735217/246974_1284_IMG_26_0000_max_476x317.jpeg"
"169684370","Denbighshire","Residential Development","James Building, 4A Rhuddlan Road, Rhyl, LL18 2PW","£150,000","Offers Over","3","2","","","","","","POTENTIAL RESIDENTIAL INVESTMENT (Former planning now lapsed for a detached bungalow or pair of semi's). This commercial property which is situated on the highly frequented Rhuddlan Road, standing in a level location. The heart of this building is made up of six purposeful office rooms, offeri...","https://www.rightmove.co.uk/properties/169684370#/?channel=COM_BUY","2025-11-25T11:10:32Z","","new","Marketed by Peter Large Estate Agents, Rhyl","","53.314568","-3.473525","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12298/169684370/12298_S1509409_IMG_19_0000_max_476x317.jpeg"
