id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167904968","Dorset","Plot","Wingfield Road, Sherborne, Dorset","£200,000","Guide Price","","","","","","","","For sale by Public Auction and via Livestream on Friday, 12 December 2025. A unique opportunity to acquire a plot, currently utilised as garaging, with granted planning permission for two dwellings. Situated in the sought-after town of Sherborne, the site enjoys an excellent position with close p...","https://www.rightmove.co.uk/properties/167904968#/?channel=COM_BUY","2025-10-07T12:17:30Z","","new","Marketed by Symonds & Sampson, Sherborne","","50.944313","-2.52199","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/135k/134801/167904968/134801_34222451_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/135k/134801/167904968/134801_34222451_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/135k/134801/167904968/134801_34222451_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/135k/134801/167904968/134801_34222451_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/135k/134801/167904968/134801_34222451_IMG_02_0000_max_476x317.jpeg"
"170013656","Dorset","Guest House","High East Street, Dorchester","£725,000","","8","8","","","","","","Beautifully positioned on prestigious High East Street, this striking Grade II Listed Georgian property offers exceptional flexibility—equally suited to becoming a luxurious private residence or continuing as a successful boutique guest house. Offering eight beautifully presented bedroom...","https://www.rightmove.co.uk/properties/170013656#/?channel=COM_BUY","2025-12-04T16:10:27Z","","new","Marketed by Mowlam Tominey, Dorchester","","50.715782","-2.433598","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283475/170013656/283475_34341375_IMG_22_0000_max_476x317.jpeg"
"723048735692929","Dorset","Commercial Property","Obscura Cafe, The Square, Bournemouth, BH2 6ED","POA","","","","2,575 sq. ft.","2575","2575","239","239","A unique cafe/restaurant opportunity in Bournemouth town centre.","https://www.rightmove.co.uk/properties/723048735692929#/?channel=COM_BUY","2025-12-04T11:24:03Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.720254","-1.880079","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048735692929/225509_23876-1_IMG_08_0000_max_476x317.jpeg"
"169959965","Dorset","Land","Watkin Road, Boscombe","£2,500,000","Guide Price","4","2","","","","","","Outline planning permission has been sought for the construction of 13 x three storey, four bedroom townhouses with associated off road parking and gardens. ","https://www.rightmove.co.uk/properties/169959965#/?channel=COM_BUY","2025-12-03T14:00:39Z","","new","Marketed by Purely Living, Ashley Cross","","50.723801","-1.836902","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295685/169959965/295685_107_PUNH_IMG_13_0000_max_476x317.jpeg"
"169954001","Dorset","Land","Land at Mill Lane, Sturminster Marshall, Wimborne, Dorset, BH21 4BD","£10,000","Guide Price","","","8,712 sq. ft.","8712","8712","809","809","FOR SALE BY CONNECT UK AUCTIONS: Freehold Land, Circa 0.2 Acres, in an Excellent Location. Future potential for various development, subject to all necessary consents. Prospective purchasers must rely solely on their own enquiries.","https://www.rightmove.co.uk/properties/169954001#/?channel=COM_BUY","2025-12-03T12:03:02Z","","new","Marketed by Connect-UK, Head Office - Crawley","","50.802239","-2.068633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169954001/217880_BZR-82616917_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169954001/217880_BZR-82616917_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169954001/217880_BZR-82616917_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169954001/217880_BZR-82616917_IMG_04_0000_max_476x317.jpeg"
"169450847","Dorset","Mixed Use","Station Road, Swanage, Dorset, BH19","£750,000","Guide Price","7","7","","","","","","** For Sale By Online Auction** Pre Auction Offers Considered** A rare opportunity to acquire a prominent freehold building combining commercial and residential income in one title. Substantial freehold mixed-use investment opportunity with excellent income potential. ","https://www.rightmove.co.uk/properties/169450847#/?channel=COM_BUY","2025-12-03T11:38:04Z","","new","Marketed by Whoobid, Dorset","","50.60988","-1.95896","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238076/169450847/238076_5254StationRoad_IMG_26_0000_max_476x317.jpeg"
"169932944","Dorset","Retail Property (high street)","369 Charminster Road, Charminster, Bournemouth, BH8 9QS","£125,000","","","","573 sq. ft.","573","573","53","53","For Sale - Freehold Retail Investment","https://www.rightmove.co.uk/properties/169932944#/?channel=COM_BUY","2025-12-02T17:14:46Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","50.742118","-1.861696","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932944/88949_271144-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932944/88949_271144-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932944/88949_271144-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932944/88949_271144-1_IMG_03_0000_max_476x317.jpeg"
"169932929","Dorset","Retail Property (high street)","409 Charminster Road, Bournemouth, BH8 9QT","£60,000","","","","380 sq. ft.","380","380","35","35","For Sale - Mixed Use Investment","https://www.rightmove.co.uk/properties/169932929#/?channel=COM_BUY","2025-12-02T17:14:30Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","50.743317","-1.861377","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932929/88949_237626-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932929/88949_237626-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932929/88949_237626-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169932929/88949_237626-1_IMG_03_0000_max_476x317.jpeg"
"169878050","Dorset","Land","134 Land to the Rear of 134 Ameysford Road, Ferndown, Dorset, BH22 9QE","£125,000","Guide Price","","","","","","","","Guide Price £125,000 to £150,000 For sale by unconditional online auction. . Town & Country Property Auctions are proud to present for sale by public auctionthis rare and highly desirable freehold parcel of land, superbly positioned to the rear of Ameysford Road in the sought...","https://www.rightmove.co.uk/properties/169878050#/?channel=COM_BUY","2025-12-01T13:47:11Z","","price_reduced","Marketed by Town & Country Property Auctions, Bournemouth","","50.81607","-1.90087","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283340/169878050/283340_320800_IMG_05_0000_max_476x317.jpeg"
"162144260","Dorset","Residential Development","Building/Home Improvement, Dorset, Dorset","£49,950","","","","","","","","","LANDSCAPING AND GARDEN DESIGN Retirement sale after over 27 years Trade is deliberately kept under the threshold Vauxhall Vivaro and all necessary tools included Adjusted net profits of £28,790 Annual turnover £60,481 REF 591044. EPC Exempt. Business £49,950 Dorset","https://www.rightmove.co.uk/properties/162144260#/?channel=COM_BUY","2025-05-19T17:00:30Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","50.7092","-2.425","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162144260/153122_591044_IMG_05_0001_max_476x317.jpeg"
