id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167196095","Ealing","Mixed Use","Northfield Avenue, London, W13 9QT","£795,000","Guide Price","","","","","","","","Prime Mixed-Use Investment with Development Potential","https://www.rightmove.co.uk/properties/167196095#/?channel=COM_BUY","2025-09-19T14:45:35Z","","new","Marketed by DALINGTON Auction House, London","","51.50234","-0.31616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266033/167196095/266033_RSDNA159_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266033/167196095/266033_RSDNA159_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266033/167196095/266033_RSDNA159_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266033/167196095/266033_RSDNA159_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266033/167196095/266033_RSDNA159_IMG_04_0000_max_476x317.jpeg"
"169916414","Ealing","Warehouse","Unit 2, Waterside Trading Centre, Trumpers Way, Hanwell, W7 2QD","£795,000","Offers in Excess of","","","2,461 sq. ft.","2461","2461","229","229","FOR SALE / TO LET - Warehouse / Business Unit with First Floor Office / Storage and Car Parking","https://www.rightmove.co.uk/properties/169916414#/?channel=COM_BUY","2025-12-02T13:03:15Z","","new","Marketed by Vokins, London","","51.500654","-0.339115","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169916414/286220_345444-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169916414/286220_345444-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169916414/286220_345444-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169916414/286220_345444-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169916414/286220_345444-1_IMG_04_0000_max_476x317.jpeg"
"167967998","Ealing","Garage","Byron Way, Northolt","£14,000","","","","","","","","","Brian Cox offer to the market this leasehold garage. The garage is 8ftx16ft and comes with a 44 year lease. Open to offers.","https://www.rightmove.co.uk/properties/167967998#/?channel=COM_BUY","2025-10-08T09:51:33Z","","price_reduced","Marketed by Brian Cox, Northolt","","51.531044","-0.384063","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e384fff50/167967998/e384fff508f9662e1d8b74a4ea72c76d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d40cc3125/167967998/d40cc31256cf940f5cc705eb891fc134_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bb56d177f/167967998/bb56d177f9dc6f84eec7782647412129_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1f9ab591c/167967998/1f9ab591c8fda8284e174007c7c2552f_max_476x317.jpeg"
"169877621","Ealing","Commercial Property","South Ealing Road, London","£5,250,000","","","","8,543 sq. ft.","8543","8543","794","794","A extremely rare, unbroken freehold investment opportunity comprising of 16 modern apartments arranged over 4 floors. Overview: - Unbroken residential building - Wheelchair friendly lift - Compliant fire alarm system, regularly checked and maintained - Freehold - Building, flats, and appliances...","https://www.rightmove.co.uk/properties/169877621#/?channel=COM_BUY","2025-12-01T13:37:29Z","","price_reduced","Marketed by Mi Commercial, London","","51.50265","-0.30664","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71298/169877621/71298_102099002443_IMG_13_0000_max_476x317.jpeg"
"169865726","Ealing","Mixed Use","11 The Vale, Acton, London, W3 7SH","£450,000","Guide Price","2","","","","","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Mixed Use Corner Building Arranged to Provide a Ground Floor Retail Unit and 2 x One Bedroom Flats on the Uppe...","https://www.rightmove.co.uk/properties/169865726#/?channel=COM_BUY","2025-12-01T11:54:31Z","","new","Marketed by Auction House London, London","","51.506573","-0.24702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169865726/285620_320978_IMG_00_0000_max_476x317.jpeg"
"169836599","Ealing","Mixed Use","141 The Vale, Uxbridge Road, London","£780,000","Guide Price","","","","","","","","High Yielding Mixed Use Investment Opportunity Occupying a Prominent Corner Pitch Ground Floor Retail Unit with Five Flats to the Upper Parts - Ground Floor and Flat Let to Morleys on a Lease Expiring 2039 with the Upper Parts Let on Individual Tenancies Investment Let at £78,842 per annum","https://www.rightmove.co.uk/properties/169836599#/?channel=COM_BUY","2025-11-28T17:49:05Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.506434","-0.254","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169836599/238697_7D04C788-EA11-4C95-9706-98F03C13283C_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169836599/238697_7D04C788-EA11-4C95-9706-98F03C13283C_IMG_00_0003_max_476x317.jpeg"
"169836314","Ealing","Mixed Use","113 The Vale, Uxbridge Road, London","£595,000","Guide Price","","","","","","","","High Yielding Mixed Use Investment Opportunity Occupying a Prominent Corner Pitch Ground Floor Retail Unit with Five Flats to the Upper Parts - Fully Let to Separate Tenants with Two Flats Sold Off Long Leasehold Investment Let at £59,500 per annum","https://www.rightmove.co.uk/properties/169836314#/?channel=COM_BUY","2025-11-28T17:39:18Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.506434","-0.254","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169836314/238697_A377B3E1-7AAB-408C-9CE9-15BF41EA0BD5_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169836314/238697_A377B3E1-7AAB-408C-9CE9-15BF41EA0BD5_IMG_00_0001_max_476x317.jpeg"
"162973004","Ealing","Land","Wood End Lane, Northolt, UB5","£27,000","Guide Price","","","2,744 sq. ft.","2744","2744","255","255","Important Notice: Please be advised that inspections of the site are strictly by appointment only. No unauthorised access is permitted. Interested parties must contact Kearns directly to arrange a viewing. We’ve been informed of individuals accessing the property via p...","https://www.rightmove.co.uk/properties/162973004#/?channel=COM_BUY","2025-06-06T16:09:54Z","","price_reduced","Marketed by Kearns Residential, Ruislip","","51.552204","-0.357426","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236864/162973004/236864_RUI250097_IMG_05_0000_max_476x317.jpeg"
"169767953","Ealing","Residential Development","84 Westfield Road, 84 Westfield Road, London","£300,000","Guide Price","","","805 sq. ft.","805","805","75","75","Freehold Commercial Opportunity / Residential Conversion Opportunity Plans drawn for a two bedroom residential conversion Vacant","https://www.rightmove.co.uk/properties/169767953#/?channel=COM_BUY","2025-11-27T10:13:06Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.506432","-0.321697","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169767953/238697_2272F907-20C1-4D5F-9799-9A66856E80F7_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169767953/238697_2272F907-20C1-4D5F-9799-9A66856E80F7_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169767953/238697_2272F907-20C1-4D5F-9799-9A66856E80F7_IMG_00_0001_max_476x317.jpeg"
"169741772","Ealing","Shop","London, W13","£35,000","","","1","","","","","","GALAXY REAL ESTATE PROUDLY PRESENTS TO THE MARKET.","https://www.rightmove.co.uk/properties/169741772#/?channel=COM_BUY","2025-11-26T14:27:25Z","","new","Marketed by GALAXY REAL ESTATE LIMITED, Hayes","","51.5051","-0.318915",""
