id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169670225","East Ayrshire","Land"," , 4.6 Acre Site and Buildings, Muirhead Farm, Newmilns, Ayrshire, KA169LS","£30,000","Guide Price","","","","","","","","** Timed Online Auction - 04 December 2025 ** Substantial land with disused buildings. Site area approx. 1.8 Hectares (4.6 Acres) ***Potential to be a substantial large dwelling house or multiple houses subject to consents..","https://www.rightmove.co.uk/properties/169670225#/?channel=COM_BUY","2025-11-24T18:51:28Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","55.58563","-4.32526","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c183b5946/169670225/c183b5946f429bc0bc3c5bc2e9209a1a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/815e0956c/169670225/815e0956cc4c731ea49290ef2c3c0d3a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8eb6d4c5a/169670225/8eb6d4c5a669d4c724e22e912a091fd5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3b87d52f0/169670225/3b87d52f01fb40840a253763e5e10cdd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3a36b6d63/169670225/3a36b6d63d2e72cbddee8885809b77c5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6d8e02299/169670225/6d8e0229922656ca96494a38da2403a8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/081466fd9/169670225/081466fd96aed74c44c1908c6df33332_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ca4906dc8/169670225/ca4906dc8eb8740ebea9c13d65b4d999_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4f90f3c8/169670225/f4f90f3c8b43a01f86f1000157d81646_max_476x317.jpeg"
"146129018","East Ayrshire","Land","Land At Wellwood Street, Muirkirk, Cumnock, KA18 3RR","£150,000","Guide Price","","","","","","","","Prime Property Auctions Exciting New Entry. Amazing size plot. of 2.7 ACRES with Incredible Potential with planning for  10 detached 4/5 bedroom houses and 12 semi detached 3 bedroom houses. This  land comes as a great development opportunity with full planning for 22 units with additional drawin...","https://www.rightmove.co.uk/properties/146129018#/?channel=COM_BUY","2024-03-26T09:18:14Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.524909","-4.063864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_18_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_02_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_03_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_05_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_07_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_08_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_10_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_13_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_15_0002_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/146129018/251369_200521881_IMG_17_0002_max_476x317.png"
"158551958","East Ayrshire","Land","Plot 5 Kirk Green, Muirkirk, KA18 3RT","£15,000","Guide Price","3","","","","","",""," Prime Property Auctions is excited to bring to market this plot for 3 bed detached Bungalow with Building Warrant Approved located in Murkirk    *** 151, Main Street, Muirkirk, Cumnock, Ayrshire KA18 3QS solid for £171,000, 141, Main Street, Muirkirk, Cumnock, Ayrshire KA18 3QS s...","https://www.rightmove.co.uk/properties/158551958#/?channel=COM_BUY","2025-02-21T12:13:45Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.525382","-4.060052","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4ca75f29/158551958/d4ca75f29a0239c3162c123d67ef49aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cd08ac671/158551958/cd08ac6715e7a78ce90beaca496cfbbf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/57ed2f692/158551958/57ed2f6924a939f45953fad78f115c99_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b0a36d9ad/158551958/b0a36d9adc9fb8f2c1a009d62f0b5a05_max_476x317.jpeg"
"158553764","East Ayrshire","Land","Plot 4 Kirk Green, Muirkirk, KA18 3RT","£27,000","Guide Price","3","","","","","",""," Prime Property Auctions is excited to bring to market this plot for 3 bed detached Bungalow with Building Warrant Approved located in Murkirk    *** 151, Main Street, Muirkirk, Cumnock, Ayrshire KA18 3QS solid for £171,000, 141, Main Street, Muirkirk, Cumnock, Ayrshire KA18 3QS s...","https://www.rightmove.co.uk/properties/158553764#/?channel=COM_BUY","2025-02-21T12:38:00Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.525479","-4.060222","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/158553764/251369_215229960_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/158553764/251369_215229960_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/158553764/251369_215229960_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/158553764/251369_215229960_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/158553764/251369_215229960_IMG_04_0001_max_476x317.jpeg"
"167247887","East Ayrshire","Cafe","22 Main Street, Muirkirk, Cumnock, KA18 3RA","£25,000","Guide Price","","","614 sq. ft.","614","614","57","57"," PRIME NEW ENTRY. We are excited to bring to market this Vacant Commercial Investment Opportunity located within a prime location in Murkirk    The property could £750 per month (£9,600 P/A). This would provide a fantastic annual yield of  22.5% if achieved for guide price. &nb...","https://www.rightmove.co.uk/properties/167247887#/?channel=COM_BUY","2025-09-22T10:06:01Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.521437","-4.067091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_10_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167247887/251369_216007809_IMG_11_0000_max_476x317.png"
"159969212","East Ayrshire","Land","Plot Of Land, 77a Wellwood Street, Murkirk, KA18 3QX","£25,000","Guide Price","","","","","","",""," Prime New Entry. Property Auctions is excited to bring to market this plot of land w planning approved for 1.5 storey 4 bed room detached bungalow located in sought after area of Murkirk   ***11, Wellwood Street, Muirkirk, Cumnock, Ayrshire KA18 3QX sold for £146,500, 94, Wellwoo...","https://www.rightmove.co.uk/properties/159969212#/?channel=COM_BUY","2025-03-28T16:29:44Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.525884","-4.062166","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/159969212/251369_216234890_IMG_06_0001_max_476x317.png"
"167615885","East Ayrshire","Retail Property (out of town)","39 West Main Street, Darvel, KA17 0EB","£25,000","Guide Price","","","","","","",""," We are excited to present this excellent commercial Investment opportunity, situated in Darvel For rental purposes, property could potentially attract a monthly rental income of £400-£500 p/m (£4,800-£6,000 p/a). Excellent yield potential. Property would benefit from some renovation...","https://www.rightmove.co.uk/properties/167615885#/?channel=COM_BUY","2025-09-30T14:28:29Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.609407","-4.28538","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167615885/251369_216115385_IMG_08_0000_max_476x317.jpeg"
"721601287591457","East Ayrshire","Light Industrial","Riccarton Road, Hurlford, Kilmarnock, KA1 5LQ","POA","","","","10,000–300,000 sq. ft.","10000","300000","929","27871","Industrial design and build opportunities available on a to let / for sale basis","https://www.rightmove.co.uk/properties/721601287591457#/?channel=COM_BUY","2025-11-26T11:46:07Z","","new","Marketed by G M Brown, Glasgow","","55.595209","-4.465585","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601287591457/243653_335219-1_IMG_00_0000_max_476x317.jpeg"
"161814227","East Ayrshire","Land","Development Plot With Lapsed Planning, Miller's Road, Muirkirk, Cumnock","£38,000","Guide Price","","","24,972 sq. ft.","24972","24972","2320","2320","Outstanding development opportunity. Large freehold plot (2,320sqm- 24,972 sqft) with excellent access in attractive and popular residential area, close to local schooling in the popular Ayrshire commuter town of Muirkirk by Cumnock. Planning permission was previously granted for a 5 bedroom de...","https://www.rightmove.co.uk/properties/161814227#/?channel=COM_BUY","2025-05-12T12:19:41Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","55.518439","-4.076428","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/161814227/267062_207FH_IMG_09_0000_max_476x317.jpeg"
"164587472","East Ayrshire","Commercial Property","24 Titchfield Street, Former ABC Cinema, Kilmarnock","£350,000","Guide Price","","","","","","","","3-storey, symmetrical 7-bay, Edwardian Baroque former theatre and cinema located in the heart of the thriving commuter town of Kilmarnock offering a massive opportunity for development. This building enjoys a massive presence in the centre of the town and offers potential for multiple uses with ...","https://www.rightmove.co.uk/properties/164587472#/?channel=COM_BUY","2025-07-16T13:34:48Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","55.605564","-4.496898","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a54c8841/164587472/5a54c88410b307827fa5ec1b51a479f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fa6b63a29/164587472/fa6b63a291400a6e16abd17f8e4959fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bb409507f/164587472/bb409507f19df7e9ecc3069fefdb9f95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ba819f652/164587472/ba819f6527c708c18303d3a8d5501994_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eca58ffa6/164587472/eca58ffa6e0569db03a9dee2c83777dc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e46a3318b/164587472/e46a3318bd912787399428f384b2ceb6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5aef164a1/164587472/5aef164a152aba16d2a3673dd1fcf0ef_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bb7632434/164587472/bb7632434299faa36391404b14201338_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cbe94b8c1/164587472/cbe94b8c16bf70f83b93a9b60796bbdf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1a2fe226d/164587472/1a2fe226d6e1ede55cb585b0f25a7d69_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bff354034/164587472/bff354034059bdc4f76c26c375d71a44_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/242283cc5/164587472/242283cc5263263400ff8cf8aa50f95d_max_476x317.jpeg"
