id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169966385","East Dunbartonshire","Land"," , Land at Dunvegan Drive, Bishopbriggs, G64 3LD","£6,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** ***Substantial plot of land located within popular residential development of private housing***Low cost plot in highly desirable residential area of Glasgow..","https://www.rightmove.co.uk/properties/169966385#/?channel=COM_BUY","2025-12-03T15:37:50Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","55.91836","-4.21934","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966385/43917_14292121_IMG_07_0000_max_476x317.jpeg"
"169374017","East Dunbartonshire","Mixed Use","107, 109, 111, 125 and 127 -129 Main Street, Lennoxtown, Glasgow, Lanarkshire, G66 7DB","£185,000","Guide Price","3","5","","","","","","FOR SALE BY ONLINE AUCTION WEDNESDAY 17TH OF DECEMBER 2025 AT 9AM ***FANTASTIC OPPORTUNITY TO ACQUIRE RESIDENTIAL AND COMMERCIAL PROPERTIES IN ONE PACKAGE!***SITUATED IN THE HEART OF LENNOXTOWN, PERFECTLY POSITIONED WITHIN A FRIENDLY VILLAGE COMMUNITY AT THE FOOT OF THE CAMPSIE FELLS***RARE CHANC...","https://www.rightmove.co.uk/properties/169374017#/?channel=COM_BUY","2025-11-15T12:33:38Z","","new","Marketed by Online Property Auction Group, Glasgow","","55.973305","-4.199446","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169374017/236495_318019_IMG_37_0000_max_476x317.jpeg"
"169399133","East Dunbartonshire","Land","Oak Drive, Lenzie,  G66 4BU","£250,000","Offers Over","5","3","","","","","","An opportunity not to be missed to build a bespoke 5 bedroom detached villa with accommodation comprising :- Large entrance lobby leading to the main living area, lounge and kitchen with direct access to patio/deck Separate utility room Bedroom 5 Family shower room Study...","https://www.rightmove.co.uk/properties/169399133#/?channel=COM_BUY","2025-11-17T12:05:33Z","","new","Marketed by G & S Properties, Bearsden","","55.924938","-4.168844","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169399133/65710_34302142_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169399133/65710_34302142_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169399133/65710_34302142_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169399133/65710_34302142_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169399133/65710_34302142_IMG_04_0000_max_476x317.jpeg"
"167028173","East Dunbartonshire","Land","Plot 2 Huntershill Road Bishopbriggs G64 1RP","£175,000","Offers Over","","","","","","","","Plot 2, Huntershill Bishopbriggs G64 1RP A truly unique chance to buy Plot 2, a generous sized, residential development plot with Planning in Principle. The plots are situated in the village of Bishopbriggs, enjoying a delightful position and conveniently situated close to local amenities incl...","https://www.rightmove.co.uk/properties/167028173#/?channel=COM_BUY","2025-09-16T09:08:39Z","","new","Marketed by Bellus Property, Bishopbriggs","","55.899595","-4.225187","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79174/167028173/79174_24785_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79174/167028173/79174_24785_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79174/167028173/79174_24785_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79174/167028173/79174_24785_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79174/167028173/79174_24785_IMG_03_0000_max_476x317.jpeg"
"164952458","East Dunbartonshire","Plot","Exchange House, Drymen Road, Bearsden, Glasgow","£1,500,000","Offers Over","","","","","","","","RESIDENTIAL DEVELOPMENT OPPORTUNITY Our clients have obtained a full detailed planning consent subject to execution of Section 75 (details in the information pack) for a redevelopment of their property. The reference number for the planning application is TP/ED/18/0871. All th...","https://www.rightmove.co.uk/properties/164952458#/?channel=COM_BUY","2025-07-25T14:00:46Z","","new","Marketed by G & S Properties, Bearsden","","55.916519","-4.330282","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1f8cff0b/164952458/c1f8cff0bd63a178d5d3edccb9ddb18f_max_476x317.png"
"164950286","East Dunbartonshire","Land","Exchange House, Drymen Road, Bearsden, Glasgow","£1,500,000","Offers Over","","","","","","","","No summary available.","https://www.rightmove.co.uk/properties/164950286#/?channel=COM_BUY","2025-07-25T13:25:00Z","","new","Marketed by G & S Properties, Bearsden","","55.916522","-4.330303","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/164950286/65710_34061573_IMG_00_0000_max_476x317.png"
"721600889132609","East Dunbartonshire","Commercial Property","12 Kenilworth Crescent, Bearsden, Glasgow, G61 4DG","£315,000","Offers in Excess of","","","4,100 sq. ft.","4100","4100","381","381","After-School Care / Nursery Investment located within the affluent commuter suburb of Bearsden, Glasgow","https://www.rightmove.co.uk/properties/721600889132609#/?channel=COM_BUY","2025-11-26T11:40:09Z","","new","Marketed by G M Brown, Glasgow","","55.924695","-4.351124","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600889132609/243653_231351-1_IMG_09_0000_max_476x317.jpeg"
"159042527","East Dunbartonshire","Farm","West Shirva Farm, Twechar, Kilsyth, G65","£1,450,000","Offers Over","4","2","","","","","","A fantastic opportunity to acquire a mixed livestock farm extending to approximately 251.26 acres, equipped with a centrally located steading with a good range of buildings and a four-bedroom farmhouse. ","https://www.rightmove.co.uk/properties/159042527#/?channel=COM_BUY","2025-03-05T17:07:20Z","","new","Marketed by Davidson & Robertson, Edinburgh","","55.951879","-4.10566","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234836/159042527/234836_EDI240036_IMG_16_0000_max_476x317.jpeg"
"152784035","East Dunbartonshire","Residential Development","Auchenhowie Road, Milngavie, Glasgow, G62","POA","","","","152,847 sq. ft.","152847","152847","14200","14200","The site extends to 1.42 Hectares (3.5 Acres) or thereby. Access is from Auchenhowie Road (A807) to the north with the access road following the route of the Allander Water adjacent. The main body of the site is elevated from adjacent uses. Part of the larger site will be retained by Scottish W...","https://www.rightmove.co.uk/properties/152784035#/?channel=COM_BUY","2024-09-23T10:49:54Z","","new","Marketed by Lambert Smith Hampton, Glasgow","","55.936588","-4.294794","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182513/152784035/182513_2059042FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182513/152784035/182513_2059042FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182513/152784035/182513_2059042FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182513/152784035/182513_2059042FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182513/152784035/182513_2059042FH_IMG_04_0000_max_476x317.jpeg"
"137950001","East Dunbartonshire","Commercial Property","Regent Street, Kirkintilloch, Glasgow","£110,000","Fixed Price","","","555 sq. ft.","555","555","52","52","Seldom available plot with approved, detailed, planning consent for an architect designed 2 storey family home in an urban, central and quiet area of Kirkintilloch. This plot can be sold as a project with an NHBC registered contractor undertaking the works for a client who wishes to add their own...","https://www.rightmove.co.uk/properties/137950001#/?channel=COM_BUY","2023-07-27T13:07:37Z","","price_reduced","Marketed by CODA Estates Ltd, Glasgow Lenzie","","55.938301","-4.16124","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78938/137950001/78938_32437482_IMG_10_0000_max_476x317.jpeg"
