id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166549733","East Lothian","Pub","The Brig & Barrel, 8 High Street, Dunbar, EH42 1NP","£100,000","Fixed Price","","","","","","","","To Rent. Large Beer Garden. Traditional Public House. Fully Fitted Commercial Kitchen. Excellent Profitable Business. Living Accommodation","https://www.rightmove.co.uk/properties/166549733#/?channel=COM_BUY","2025-09-03T16:18:04Z","","price_reduced","Marketed by Christie & Co, Pubs & Restaurants","","55.999095","-2.537699","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/166549733/260759_5255022-lh_IMG_08_0001_max_476x317.jpeg"
"168933674","East Lothian","Land"," , Portfolio of Sites at West Windygoul Gardens, Tranent, EH332LB","£7,000","Guide Price","","","","","","","","** Timed Online Auction - 04 December 2025 ** *LAND DEVELOPMENT OPPORTUNITY* portfolio of 5 parcels of land at West Windygoul Gardens, Tranent. May be suitable for parking spaces, storage, extension to gardens or amenity land. {STP).","https://www.rightmove.co.uk/properties/168933674#/?channel=COM_BUY","2025-11-03T15:36:39Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","55.93649","-2.96138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bb7a2bd3f/168933674/bb7a2bd3f563a12e0b869bffdb541bdd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fdaee713c/168933674/fdaee713c511a37fb7937bf2bdcf9cc8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f171a697b/168933674/f171a697b1aa69695d6f2823d4206d97_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/596eeb2f0/168933674/596eeb2f0b7b51ef28a096fe6c13a541_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ade63d74e/168933674/ade63d74e9a8aeaa11da40621ce3d172_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/78c328e1c/168933674/78c328e1cff911f9c96a84dd41405ac8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ef342192/168933674/4ef342192e2019dcef03de09903b97f8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e4dd7e439/168933674/e4dd7e43968eaf4d9aafb7b1ccaf7a03_max_476x317.jpeg"
"169685867","East Lothian","Retail Property (high street)"," 7 Market Street , Haddington , EH41","£250,000","Offers Over","","","892 sq. ft.","892","892","83","83","The subjects are located within the historic East Lothian market town of Haddington, approximately 20 miles east of Edinburgh’s city centre.Haddington itself is easily accessible and lies just off the A1, which is one of the main arterial routes that links Scotland to England. Major other East Lo...","https://www.rightmove.co.uk/properties/169685867#/?channel=COM_BUY","2025-11-25T11:37:04Z","","new","Marketed by DM Hall, Edinburgh","","55.956064","-2.776004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685867/146198_ESA3771_IMG_08_0001_max_476x317.jpeg"
"158032958","East Lothian","Place of Worship","6A,BoltonSteading,Haddington,EastLothian,EH41","£52,000","Offers Over","","","","","","","","Detached stone-built church with distinct features located in Bolton, 2 miles south of Haddington. ","https://www.rightmove.co.uk/properties/158032958#/?channel=COM_BUY","2025-02-12T16:43:26Z","","new","Marketed by Church of Scotland, Edinburgh","","55.92117","-2.79139","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/158032958/108596_BoltonChurch_IMG_08_0000_max_476x317.jpeg"
"169224635","East Lothian","Pub","Plough Tavern, 11 Court Street, Haddington, EH41 3DS","£495,000","","","","","","","","","Freehold. Freehold Investment. Annual Barrelage c.143. New Lease. Wet Led Public House. Annual Rent - £53,856","https://www.rightmove.co.uk/properties/169224635#/?channel=COM_BUY","2025-11-11T12:58:07Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","55.955265","-2.779969","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169224635/260759_5255026-fh_IMG_00_0000_max_476x317.jpeg"
"169158401","East Lothian","Land","Plot 182 Church Street, Tranent, EH33 1BL","£250,000","Offers in Region of","","","","","","","","Excellent development opportunity to build three homes in the sought after town of Tranent.","https://www.rightmove.co.uk/properties/169158401#/?channel=COM_BUY","2025-11-09T08:00:03Z","","new","Marketed by McEwan Fraser Legal, Edinburgh","","55.948324","-2.956329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68041/169158401/68041_MFL0245810_IMG_05_0000_max_476x317.jpeg"
"168816962","East Lothian","Plot","East Saltoun Garage, East Saltoun, Pencaitland, Tranent, EH34","£180,000","Offers Over","","","","","","","","Former garage with planning permission in principal for the erection of 2 houses.","https://www.rightmove.co.uk/properties/168816962#/?channel=COM_BUY","2025-10-30T23:33:40Z","","new","Marketed by Savills, Edinburgh Country","","55.89888","-2.839375","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36230/168816962/36230_EDS250265_IMG_06_0000_max_476x317.jpeg"
"168777461","East Lothian","Commercial Property","Woodbine Cottage West Loan, Prestonpans, EH32 9WU","£400,000","Offers in Region of","","","","","","","","A fantastic opportunity to purchase a detached Victorian Villa occupying a larger than average plot.","https://www.rightmove.co.uk/properties/168777461#/?channel=COM_BUY","2025-10-30T09:36:18Z","","new","Marketed by McEwan Fraser Legal, Covering Scotland","","55.958108","-2.981533","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/168777461/67242_MFL4241832_IMG_02_0000_max_476x317.jpeg"
"168560444","East Lothian","Land","Drummohr Avenue, Wallyford, Musselburgh, East Lothian","£500,000","Offers Over","","","40,511 sq. ft.","40511","40511","3764","3764","Rettie are pleased to be marketing a residential development opportunity in Wallyford, East Lothian with detailed planning consent for 10 houses across a 0.9 acre site. For further information please consult the sales particulars. ","https://www.rightmove.co.uk/properties/168560444#/?channel=COM_BUY","2025-10-24T09:21:18Z","","new","Marketed by Rettie, Edinburgh","","55.937222","-3.016742","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e46d3f828/168560444/e46d3f82878aeb385286f2cdc8d382e7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dcac29d26/168560444/dcac29d26cd536df23eb6f32f3da5bce_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8641f9095/168560444/8641f9095ac3349b42848ce817fa1615_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/95db0cecb/168560444/95db0cecb4cb9171d654536cc5b07899_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/815e64bbb/168560444/815e64bbb329e08e1936281876281868_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/38037d456/168560444/38037d4567671992e1252ccd3655b191_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d7f8437da/168560444/d7f8437da200ba926d86f5d77bb30bed_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/73eb8bc11/168560444/73eb8bc112b3ebe4e13749f52efc0be2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fcfe3094/168560444/4fcfe3094637a471f27496e106323239_max_476x317.jpeg"
"168438047","East Lothian","Land","LOT 1 - HOWMUIR WEST, Howmuir, Dunbar, East Lothian, EH42","£1,800,000","Offers Over","","","8,407,080 sq. ft.","8407080","8407080","781043","781043","A WELL LOCATED PARCEL OF PRIME ARABLE LAND","https://www.rightmove.co.uk/properties/168438047#/?channel=COM_BUY","2025-10-21T14:15:41Z","","price_reduced","Marketed by Savills Rural Sales, Edinburgh","","55.983277","-2.614114","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281618/168438047/281618_EDR250052_IMG_06_0000_max_476x317.jpeg"
