id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168939836","East Sussex","Commercial Development","West Hill Road, St Leonards, East Sussex, TN38","£1,000,000","","","","","","","","","27 Luxury Apartments – a mix of high-specification flats with layouts designed to capture light and optimise sea views.Gated & Private Setting – secure, landscaped grounds providing both privacy and exclusivity.Planning Approved (05.02.2025 | Ref: HS/FA/2...","https://www.rightmove.co.uk/properties/168939836#/?channel=COM_BUY","2025-11-03T16:39:19Z","","new","Marketed by Whozoo, London","","50.852432","0.540991","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/168939836/241562_LON0009E7_IMG_05_0000_max_476x317.jpeg"
"721599414834528","East Sussex","Commercial Development","Cottage Building, Church Hill, Patcham Village, Brighton, BN1 8YE","£157,500","Offers in Region of","","","198 sq. ft.","198","198","18","18","REDUCED TO £157,500 -FREEHOLD FOR SALE- CHARACTER BUILDING WITH DEVELOPMENT POTENTIAL (STPNC) OR A VARIETY OF RETAIL OR OFFICE USES","https://www.rightmove.co.uk/properties/721599414834528#/?channel=COM_BUY","2025-11-26T11:26:03Z","","price_reduced","Marketed by Eightfold Commercial Limited, Commercial","","50.86534","-0.151815","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284720/721599414834528/284720_291947-1_IMG_05_0000_max_476x317.jpeg"
"169984244","East Sussex","Office","Former Leaf Hospital, 33 St Anne's Road, Eastbourne, BN21 2HW","£1,800,000","","","","17,082 sq. ft.","17082","17082","1587","1587","Freehold For Sale - Former education / medical health clinic","https://www.rightmove.co.uk/properties/169984244#/?channel=COM_BUY","2025-12-04T09:43:44Z","","new","Marketed by Vail Williams, Crawley","","50.77418","0.275602","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62913/169984244/62913_345481-1_IMG_23_0000_max_476x317.jpeg"
"169960946","East Sussex","Land","Riccards Lane, Whatlington, TN33","£75,000","From","","","","","","","","LOT 19 - Riccards 1 - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169960946#/?channel=COM_BUY","2025-12-03T14:10:37Z","","new","Marketed by Barney Estates and Auctioneers, London","","50.94105","0.50817","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960946/130351_502012_002043_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960946/130351_502012_002043_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960946/130351_502012_002043_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169960946/130351_502012_002043_IMG_03_0000_max_476x317.jpeg"
"169950086","East Sussex","Land","Land on the East Side of Princes Road, Langney Point, Eastbourne, East Sussex, BN23 6EN","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th February 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Roadways Measuring Approximately 3.97 Acres / 16,066 sq m / 172,933 sq ft Freehold Guide Price = &...","https://www.rightmove.co.uk/properties/169950086#/?channel=COM_BUY","2025-12-03T11:07:19Z","","new","Marketed by Auction House London, London","","50.783762","0.320645","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169950086/285620_320108_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169950086/285620_320108_IMG_02_0000_max_476x317.jpeg"
"158643365","East Sussex","Bar / Nightclub","Cameo - Eastbourne, 18-20 Langney Road, Eastbourne, BN21 3EU","£550,000","Offers in Region of","","","","","","","","Freehold. Prominently located Nightclub. 1434.2 sqm (15439 sq ft ) over four floors. Two dance floors over first & second floors. Licensed from 10am–3am 7 days a week. Ideal alternate use venue (STPP)","https://www.rightmove.co.uk/properties/158643365#/?channel=COM_BUY","2025-02-24T17:06:00Z","","price_reduced","Marketed by Christie & Co, Pubs & Restaurants","","50.768752","0.287913","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/158643365/260759_8856087-fh_IMG_09_0001_max_476x317.jpeg"
"169943369","East Sussex","Industrial Park","Unit 5-6, Apex Enterprise Park, Diplocks Way, Hailsham, BN27 3WA","£2,100,000","","","","12,507 sq. ft.","12507","12507","1162","1162","Modern detached industrial warehouse unit","https://www.rightmove.co.uk/properties/169943369#/?channel=COM_BUY","2025-12-03T09:07:44Z","","new","Marketed by SHW, East Sussex","","50.860192","0.247132","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285443/169943369/285443_35831FH_IMG_17_0000_max_476x317.jpeg"
"155124329","East Sussex","Land","Cross In Hand, Heathfield, Sussex","£600,000","Offers in Excess of","","","","","","","","A fantastic opportunity for a local developer/investor to deliver an exclusive scheme of 4 dwellings to the local area, contributing to our much needed housing supply.","https://www.rightmove.co.uk/properties/155124329#/?channel=COM_BUY","2024-11-19T11:00:02Z","","price_reduced","Marketed by Purely Property Group, Hatfield Peverel","","50.973873","0.231568","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241256/155124329/241256_MDC-33714813_IMG_00_0000_max_476x317.png"
"169888733","East Sussex","Retail Property (high street)","FJ Jarvis, High Street, Burwash, TN19 7AG","£425,000","Guide Price","","","","","","","","Freehold. Profitable family business established 1870's. Freehold 3/4 bedroom semi detached property. Retirement sale. Limited opening hours. High Street location. Known locally for their sausages","https://www.rightmove.co.uk/properties/169888733#/?channel=COM_BUY","2025-12-01T16:26:10Z","","new","Marketed by Christie & Co, Retail","","51.008242","0.436234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260771/169888733/260771_3818344-fh_IMG_04_0000_max_476x317.jpeg"
"169888181","East Sussex","Light Industrial","563 Sedlescombe Road North, St. Leonards-On-Sea  TN37 7PB","£450,000","Offers in Region of","","","56,628 sq. ft.","56628","56628","5261","5261","The site extends to approx. 1.31 acres. NB. The amount of usable yard is lower than this accounting for the sloped sides to the quarry, the access road and the unused area to the east side of the site.","https://www.rightmove.co.uk/properties/169888181#/?channel=COM_BUY","2025-12-01T16:17:25Z","","new","Marketed by Flude Property Consultants, Brighton","","50.888172","0.553586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94339/169888181/94339_8065FH_IMG_14_0000_max_476x317.jpeg"
