id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167719229","Essex","Office","Development Land & Office, Rookwood Way, Haverhill, Suffolk, CB9","£950,000","Guide Price","","","87,120 sq. ft.","87120","87120","8094","8094","An opportunity to purchase a c. 2 acre site at the centre of Haverhill's main industrial estate. Site currently provides a two storey office building, car parking for around 50 vehicles, landscaped areas, and two access roads. Established and popular business location, with several high profi...","https://www.rightmove.co.uk/properties/167719229#/?channel=COM_BUY","2025-10-02T14:38:25Z","","new","Marketed by Cheffins Commercial, Cambridge","","52.073426","0.442121","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71682/167719229/71682_204587FH_IMG_12_0000_max_476x317.jpeg"
"162000227","Essex","Plot","Finkle Green Birdbrook, Halstead","£300,000","","","","","","","","","STUNNING RURAL DEVELOPMENT OPPORTUNITY – PART Q BARN CONVERSION WITH PANORAMIC VIEWS A prime rural development site with Part Q planning consent for five barn conversions, located near Birdbrook with sweeping views across open countryside and Moyns Park. Approved under Braintree District...","https://www.rightmove.co.uk/properties/162000227#/?channel=COM_BUY","2025-05-15T16:16:15Z","","price_reduced","Marketed by Jamie Warner Estate Agents, Haverhill","","52.035144","0.481552","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171053/162000227/171053_33887145_IMG_16_0000_max_476x317.jpeg"
"165239627","Essex","Warehouse","Unit & Yard, Stanhope Industrial Estate, Wharf Road, Stanford le Hope, SS17 0EH","£950,000","","","","989–9,456 sq. ft.","989","9456","92","878","Detached new build unit with offices approx. 3,996 sq ft and yard approx. 5,460 sq ft FOR SALE/TO LET in Stanford le Hope *PRICE REDUCED*","https://www.rightmove.co.uk/properties/165239627#/?channel=COM_BUY","2025-08-01T15:19:41Z","","size_change","Marketed by Branch Associates, Essex","","51.50713","0.44271","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/165239627/274622_ABInstallsSLHFH_IMG_06_0000_max_476x317.jpeg"
"169839161","Essex","Commercial Property","3 Mildmay Road, Romford, RM7 7DA","£115,000","Guide Price","","","","","","","","Lot 100 – 3 MILDMAY ROAD, ROMFORD, RM7 7DA Guide Price – £150,000 Plus fees The property is to be offered online by Clive Emson Auctioneers on 11 December 2025.","https://www.rightmove.co.uk/properties/169839161#/?channel=COM_BUY","2025-11-28T19:59:28Z","","price_reduced","Marketed by Accord Sales & Lettings, serving Havering","","51.57775","0.171682","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68735/169839161/68735_fd93e5c8-4ccd-4c39-9689-e59b9fdd23ab_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68735/169839161/68735_fd93e5c8-4ccd-4c39-9689-e59b9fdd23ab_IMG_01_0000_max_476x317.jpeg"
"153583166","Essex","Land","Frinton Road, Thorpe-le-soken","£95,000","Guide Price","3","2","","","","","","We are pleased to offer for sale this well presented three-bedroom property in Elm Farm Country Park, a 22-acre area of parkland close to the picturesque village of Thorpe-le-Soken. It is within four miles of Frinton's seafront and the scenic Essex coast which is known for its favourable climate....","https://www.rightmove.co.uk/properties/153583166#/?channel=COM_BUY","2024-11-12T15:37:31Z","","price_reduced","Marketed by Ezemove Limited, Colchester","","51.85507","1.17085","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82775/153583166/82775_103373000713_IMG_09_0000_max_476x317.jpeg"
"169992761","Essex","Office","1 Dedham Vale Business Centre, Manningtree Road, Dedham, Essex, CO7","£225,000","Guide Price","","","946 sq. ft.","946","946","88","88","The property comprises a self-contained ground floor office with a pitched, insulated roof, timber cladding, and a feature vaulted ceiling. It features a glazed UPVC entrance door leading to a reception / waiting area, a single accessible WC and kitchenette. The office is fitted with carpets, L...","https://www.rightmove.co.uk/properties/169992761#/?channel=COM_BUY","2025-12-04T11:56:17Z","","new","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.952069","1.014616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169992761/181355_14870901FH_IMG_10_0000_max_476x317.jpeg"
"169977815","Essex","Restaurant","High Street, Hornchurch","£120,000","","","","","","","","","Located in a highly visible position in HORNCHURCH, Essex, this RESTAURANT has been in the same family's hands for 32 years and has an excellent reputation for high quality food with a 5* hygiene rating. A premium of 120,000 is sought for goodwill, f&f's and a renewable lease.","https://www.rightmove.co.uk/properties/169977815#/?channel=COM_BUY","2025-12-04T00:57:05Z","","new","Marketed by Delaney's, Commercial","","51.5615","0.222677","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169977815/174500_CS0076_IMG_11_0000_max_476x317.jpeg"
"169966370","Essex","Land"," , Plot 93 at Redgates Lane, Sewards End, Essex, CB102LW","£48,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** EXCELLENT opportunity to purchase SUBSTANTIAL sized plot located in the village of Sewards End, Essex..","https://www.rightmove.co.uk/properties/169966370#/?channel=COM_BUY","2025-12-03T15:37:44Z","","new","Marketed by Future Property Auctions, Glasgow","","52.02242","0.28763","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966370/43917_14292172_IMG_06_0000_max_476x317.jpeg"
"169966373","Essex","Land"," , Plot 95 at Redgates Lane, Sewards End, Essex, CB102LW","£48,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** SUPER opportunity to purchase SUBSTANTIAL sized plot located in the village of Sewards End, Essex..","https://www.rightmove.co.uk/properties/169966373#/?channel=COM_BUY","2025-12-03T15:37:46Z","","new","Marketed by Future Property Auctions, Glasgow","","52.02242","0.28763","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169966373/43917_14292155_IMG_06_0000_max_476x317.jpeg"
"169966376","Essex","Land"," , Plot 96 at Redgates Lane, Sewards End, Essex, CB102LW","£48,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** PERFECT opportunity to purchase EXCELLENT sized plot located in the village of Sewards End, Essex..","https://www.rightmove.co.uk/properties/169966376#/?channel=COM_BUY","2025-12-03T15:37:48Z","","new","Marketed by Future Property Auctions, Glasgow","","52.02242","0.28763","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0615fddb7/169966376/0615fddb7dadc4a53f24b9d9c3886412_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41c53c157/169966376/41c53c15790b4148e010230b7ce4411b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3b3384a1e/169966376/3b3384a1ecdef0111c67e4786ccd0475_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b71a857f8/169966376/b71a857f8e1d840a9bbf644b101c609e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6d29767ef/169966376/6d29767ef0f5b1cb4844ab17eb0ba9d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3a05ba443/169966376/3a05ba443a2169bda4b8dda249c8efc5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ee609eb9/169966376/0ee609eb96640b5718f9ef5d869e2149_max_476x317.jpeg"
