id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"159594575","Fareham","Office","Bramble House, Furzehall Farm, 112 Wickham Road, Fareham, Hampshire, PO16 7JH","POA","","","","Bramble House comprises a detached purpose build, modern office over ground, first and second floors. The building is set in landscaped grounds with allocated car parking provided (30 spaces). The main entrance / foyer provides access to a central stair core and lift, serving each floor. Six off...","https://www.rightmove.co.uk/properties/159594575#/?channel=COM_BUY","2025-03-19T09:43:34Z","","new","Marketed by Eddisons Commercial Limited, Eddisons Fareham","","50.864983","-1.181458","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/159594575/265493_3022856FH_IMG_26_0000_max_476x317.jpeg"
"166647425","Fareham","Office","One Turnberry House, The Links, 4400 Parkway, Fareham, PO15 7FJ","£685,000","","","","FULLY REFURBISHED OPEN PLAN OFFICE SPACE","https://www.rightmove.co.uk/properties/166647425#/?channel=COM_BUY","2025-09-05T16:12:24Z","","price_reduced","Marketed by Vail Williams, Southampton","","50.879287","-1.23835","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/166647425/101996_107187-1_IMG_09_0000_max_476x317.jpeg"
"722865322730561","Fareham","Commercial Development","Faraday Business Park, Daedalus, Solent Airport, Lee-on-the-Solent, PO13 9FU","POA","","","","OF INTEREST TO OWNER OCCUPIERS: Development Sites From 1.0 – 12.33 acres, Potential for 20,000-175,000 sq ft, Suitable for a Variety of Uses","https://www.rightmove.co.uk/properties/722865322730561#/?channel=COM_BUY","2025-12-03T11:02:10Z","","size_change","Marketed by Realest, Industrial & Logistics","","50.811921","-1.195957",""
"169261322","Fareham","Office","5 Gloster Court, Whittle Avenue, Fareham, Hampshire, PO15 5SH","£240,000","","","","The property comprises a two storey semi-detached office building which is part of the Gloster Court development. Unit 5 has a modern open plan layout with good internal dimensions. The building is accessed via its own ground floor entrance lobby. The ground floor and first floor offices are self...","https://www.rightmove.co.uk/properties/169261322#/?channel=COM_BUY","2025-11-12T11:06:50Z","","new","Marketed by Lambert Smith Hampton, Southampton","","50.870026","-1.259461","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/169261322/182711_17876FH_IMG_06_0000_max_476x317.jpeg"
"168034451","Fareham","Office","1 - 4 North Park, Mayles Lane, Knowle, Hampshire, PO17 5LJ","POA","","","","North Park began life as part of the grouped structures forming Knowle Farm, dating back to 17th century. The property features barn-style single storey office buildings, with 16 parking spaces and the benefit of planning permission for an extension and conversion to four residential units. Prev...","https://www.rightmove.co.uk/properties/168034451#/?channel=COM_BUY","2025-10-09T13:23:48Z","","new","Marketed by Lambert Smith Hampton, Fareham","","50.883448","-1.206864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/168034451/168011_2076145FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/168034451/168011_2076145FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/168034451/168011_2076145FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/168034451/168011_2076145FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/168034451/168011_2076145FH_IMG_04_0000_max_476x317.jpeg"
"167902028","Fareham","Retail Property (high street)","201 West Street, Fareham, PO16 0EN","£130,000","","","","NEW BUILD GROUND FLOOR RETAIL UNIT FOR SALE","https://www.rightmove.co.uk/properties/167902028#/?channel=COM_BUY","2025-10-07T11:41:49Z","","price_reduced","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.852738","-1.185864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167902028/286838_327552-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167902028/286838_327552-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167902028/286838_327552-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167902028/286838_327552-1_IMG_03_0000_max_476x317.jpeg"
"86611512","Fareham","Hotel","Lysses House Hotel, 15 High Street, Fareham, Hampshire, PO16 7BQ","£1,500,000","Guide Price","","","Freehold. 21 ensuite bedrooms. Extensive function/private dining facilities. Picturesque gardens. Terrace 'al-fresco' dining. Car parking","https://www.rightmove.co.uk/properties/86611512#/?channel=COM_BUY","2023-10-12T14:55:30Z","","new","Marketed by Christie & Co, Hotels","","50.855293","-1.173649","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_14_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_17_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_18_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_19_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_10_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_11_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_12_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_13_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_15_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260756/86611512/260756_3847999-fh_IMG_16_0002_max_476x317.jpeg"
"167315738","Fareham","Office","Radio House, Whittle Avenue, Fareham, Hampshire, PO15 5SX","£1,200,000","","","","A detached part single, part two storey office/industrial building with steel clad elevations and windows at ground and first floor. Access is via a pedestrian entrance and with a concertina loading door. Externally there is a tarmac forecourt with parking for 23 vehicles. Internally the property...","https://www.rightmove.co.uk/properties/167315738#/?channel=COM_BUY","2025-09-23T14:44:07Z","","new","Marketed by Lambert Smith Hampton, Southampton","","50.870014","-1.258099","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182711/167315738/182711_2069267FH_IMG_08_0000_max_476x317.jpeg"
"167109581","Fareham","Plot","Wickham, Hampshire","£400,000","Guide Price","2","1","A rare opportunity to acquire a period two bedroom semi-detached cottage and building plots to the rear for a pair of two bedroom semi-detached bungalows with planning permission granted reference 23/00600/FUL.","https://www.rightmove.co.uk/properties/167109581#/?channel=COM_BUY","2025-09-17T16:33:55Z","","new","Marketed by Byrne Runciman, Wickham","","50.899871","-1.189176","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41009/167109581/41009_BRWIC_698111_IMG_08_0000_max_476x317.jpeg"
"166905458","Fareham","Land","Mays Lane, Stubbington, PO14","£255,000","Guide Price","","","* Plot of land for sale with planning permission granted for a two bedroom detached bungalow *","https://www.rightmove.co.uk/properties/166905458#/?channel=COM_BUY","2025-09-12T08:05:59Z","","new","Marketed by Fenwicks Estate Agents, Lee On The Solent","","50.828506","-1.212992","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6928/166905458/6928_12750425_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6928/166905458/6928_12750425_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6928/166905458/6928_12750425_IMG_02_0000_max_476x317.jpeg"
