id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167031446","Flintshire","Leisure Facility","Willow Farm Glamping, Small Holding No. 7, Kinnerton Road, Higher Kinnerton, Chester, Flintshire, CH4 9AN","£1,200,000","","","","A unique opportunity to acquire a versatile lifestyle property. Set within 1.54 Acres of picturesque countryside and located 1 mile from Higher Kinnerton, it offers tranquility and business potential. Nestled in an idyllic location surrounded by beautiful open countryside, this remarkable prope...","https://www.rightmove.co.uk/properties/167031446#/?channel=COM_BUY","2025-09-16T09:38:28Z","","new","Marketed by Legat Owen, Chester","","53.13422","-3.016938","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167031446/262844_9008FH_IMG_13_0000_max_476x317.jpeg"
"169892885","Flintshire","Land","Dock Road, Connah's Quay, Deeside, Flintshire, CH5","£800,000","Offers Over","","","LAND AVAILABLE | POTENTIAL FOR DEVELOPMENT | RENTAL INCOME IN PLACE A rare opportunity to acquire approximately 2 acres of versatile land at Musgrave Farm, Connah’s Quay, ideally positioned near the River Dee with attractive open views. The land is currently used as a ...","https://www.rightmove.co.uk/properties/169892885#/?channel=COM_BUY","2025-12-01T17:32:12Z","","new","Marketed by William Gleave, Holywell","","53.219133","-3.051431","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245207/169892885/245207_WGH250283_IMG_08_0000_max_476x317.jpeg"
"161973821","Flintshire","Pub","FLINTSHIRE - BEAUTIFULLY REFURBISHED COUNTRY PUB AND LETTING ACCOMODATION ","£600,000","","4","","Beautifully appointed family run public house in affluent Flintshire village offering four bedroom holiday apartment and planning permission for further development. ","https://www.rightmove.co.uk/properties/161973821#/?channel=COM_BUY","2025-05-15T11:02:24Z","","price_reduced","Marketed by Sidney Phillips Limited, North West","","53.32378","-3.32444","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/161973821/223103_95132_IMG_28_0000_max_476x317.jpeg"
"169684994","Flintshire","Retail Property (high street)","Broughton Hall Road, Broughton, Chester","£250,000","","","","Hammer & Tongs represents a rare opportunity to acquire both a highly regarded, long-established local business and the freehold retail premises from which it operates. Situated in the heart of Broughton and positioned just moments from the ever-popular Broughton Park Shopping Centre, this versat...","https://www.rightmove.co.uk/properties/169684994#/?channel=COM_BUY","2025-11-25T11:21:27Z","","new","Marketed by Reid and Roberts, Mold","","53.163383","-2.994568","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267017/169684994/267017_34323979_IMG_08_0000_max_476x317.jpeg"
"169577351","Flintshire","Land","5.5 ACRES OF LAND AT FFORDD PENRALLT, GWAENYSGOR","POA","","","","An attractive parcel of land at Ffordd Penrallt, Gwaenysgor amounting in all to approximately 5.5 acres. Excellent village location and access, suitable for a variety of uses including equestrian, amenity and agricultural. FOR SALE BY INFORMAL TENDER 12.00 NOON - THURSDAY 15TH JANUARY 2026","https://www.rightmove.co.uk/properties/169577351#/?channel=COM_BUY","2025-11-21T17:38:42Z","","new","Marketed by J Bradburne Price & Co, Mold","","53.32149","-3.39011","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90326/169577351/90326_LANDATGWAENYSGOR_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90326/169577351/90326_LANDATGWAENYSGOR_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90326/169577351/90326_LANDATGWAENYSGOR_IMG_00_0000_max_476x317.jpeg"
"169496462","Flintshire","Light Industrial","Church Street, Connah's Quay, Deeside","£425,000","","","","A large commercial property for sale which briefly comprises of two shop floor areas, a reception/waiting area and a W.C. Benefitting from a large parking area and being in a prime location on a busy main road. Easily accessed from the A55 and located on the A548 Coastal Road. Tenure: Freehold. C...","https://www.rightmove.co.uk/properties/169496462#/?channel=COM_BUY","2025-11-19T15:14:37Z","","new","Marketed by Williams Estates, Mold","","53.224464","-3.071026","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186836/169496462/186836_34312411_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186836/169496462/186836_34312411_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186836/169496462/186836_34312411_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186836/169496462/186836_34312411_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186836/169496462/186836_34312411_IMG_04_0000_max_476x317.jpeg"
"169437902","Flintshire","Light Industrial","Unit 3, Vista Link Industrial Estate, Manor Lane, Hawarden, Flintshire, CH5 3PJ","POA","","","","UNDER REFURBISHMENT Detached warehouse unit 115,000 sq ft (10,683 sq m) Leasehold - £3.50 per sq ft Freehold - on application","https://www.rightmove.co.uk/properties/169437902#/?channel=COM_BUY","2025-11-18T11:08:49Z","","new","Marketed by Legat Owen, Chester","","53.175682","-2.997287","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437902/262844_9131FH_IMG_05_0000_max_476x317.jpeg"
"169437884","Flintshire","Light Industrial","Unit 2, Vista Link Industrial Estate, Manor Lane, Hawarden, Flintshire, CH5 3PJ","POA","","","","Detached warehouse / industrial unit with self contained yard 40,502 sq ft (3,762.76 sq m) Leasehold - £263,263 per annum Freehold - on application","https://www.rightmove.co.uk/properties/169437884#/?channel=COM_BUY","2025-11-18T11:08:30Z","","new","Marketed by Legat Owen, Chester","","53.184864","-3.027009","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437884/262844_9124FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437884/262844_9124FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437884/262844_9124FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437884/262844_9124FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437884/262844_9124FH_IMG_04_0000_max_476x317.jpeg"
"169437854","Flintshire","Light Industrial","Unit 1, Vista Link Industrial Estate, Manor Lane, Hawarden, Flintshire, CH5 3PJ","POA","","","","UNDER REFURBISHMENT Detached industrial unit with self contained yard 47,163 sq ft (4,381.59 sq m) Leasehold - £330,000 per annum Freehold - on application","https://www.rightmove.co.uk/properties/169437854#/?channel=COM_BUY","2025-11-18T11:08:12Z","","new","Marketed by Legat Owen, Chester","","53.175682","-2.997287","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169437854/262844_9103FH_IMG_09_0000_max_476x317.jpeg"
"169420577","Flintshire","Land","The Airfields, Deeside, CH5 2RD","POA","","","","1.00 acre For Sale, Deeside","https://www.rightmove.co.uk/properties/169420577#/?channel=COM_BUY","2025-11-17T17:31:00Z","","new","Marketed by B8 Real Estate LLP, Warrington","","53.212599","-3.015874","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169420577/102728_337885-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169420577/102728_337885-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169420577/102728_337885-1_IMG_02_0000_max_476x317.jpeg"
