id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169459625","Gosport","Distribution Warehouse","Unit 28 Regents Trade Park, Barwell Road, Gosport, Hampshire, PO13","£295,000","","","","The unit is of steel portal frame construction with part brick and block, part clad external elevations incorporating glazed panels. Unit 28 is an end of terrace unit with a mezzanine floor fitted out as office accommodation. There are 2 ground floor WC's and a kitchen facility.","https://www.rightmove.co.uk/properties/169459625#/?channel=COM_BUY","2025-11-18T16:59:46Z","","new","Marketed by Lambert Smith Hampton, Fareham","","50.835365","-1.174564","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/169459625/168011_2080579FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/169459625/168011_2080579FH_IMG_01_0000_max_476x317.jpeg"
"168399737","Gosport","Land","Land at Brewers Lane, Gosport, Hampshire, PO13 0JU","£5,500","Guide Price","","","**For Sale By Online Auction To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 911 sq m (9,805 sq ft) Freehold Guide Price = £5,500+ Location The land is situated on a r...","https://www.rightmove.co.uk/properties/168399737#/?channel=COM_BUY","2025-10-20T16:14:43Z","","new","Marketed by Auction House London, London","","50.820729","-1.166221","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168399737/285620_314898_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/168399737/285620_314898_IMG_01_0000_max_476x317.jpeg"
"168176603","Gosport","Warehouse","Classic House, Toronto Place, Gosport, PO12 4UZ, PO12 4UZ","£550,000","Offers in Region of","","","The buildings are purpose-built workshop/industrial premises, the majority of which are of steel portal frame design with profile corrugated sheeting. There are sections of brick and blockwork infill panels. There are two distinct areas to the site each occupied. The site we are selling compris...","https://www.rightmove.co.uk/properties/168176603#/?channel=COM_BUY","2025-10-13T19:05:45Z","","new","Marketed by Eddisons Commercial Limited, Eddisons Fareham","","50.798042","-1.137916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265493/168176603/265493_3017294FH_IMG_05_0000_max_476x317.jpeg"
"167848397","Gosport","Light Industrial","Unit 8 Westfield Industrial Estate, Gosport, Hampshire, PO12","POA","","","","Westfield Industrial Estate is located in Gosport directly off Anns Hill Road. Unit 8 comprises of a main unit with 3.7m Haunch and 5.2m Central clearance. The mezzanine floor has restricted head clearance. The property has a secure yard, additional covered store and two single garages.","https://www.rightmove.co.uk/properties/167848397#/?channel=COM_BUY","2025-10-10T11:37:16Z","","new","Marketed by Trafalgar Property Consultancy, Gosport","","50.79593","-1.14976","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/167848397/283427_RM083_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/167848397/283427_RM083_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/167848397/283427_RM083_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/167848397/283427_RM083_IMG_03_0001_max_476x317.png"
"163790282","Gosport","Land","Haslar Road, Gosport","£69,000","","","","We are pleased to offer this unique market opportunity Haslar Road in the charming town of Gosport, this lockup garage presents an excellent opportunity for those seeking secure parking or additional storage space. With ample room to accommodate two vehicles, this property is ideal for car enthus...","https://www.rightmove.co.uk/properties/163790282#/?channel=COM_BUY","2025-06-25T15:26:09Z","","price_reduced","Marketed by Bernards Estate and Lettings Agents, Gosport","","50.793319","-1.121536","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285137/163790282/285137_33990431_IMG_06_0000_max_476x317.jpeg"
"167597369","Gosport","Commercial Property","Cleveland Road, Gosport","£340,000","","6","3","A recently converted HMO with 6 bedrooms which in our opinion is presented to a high standard. There are 2 shower rooms and 1 en-suite shower room, a communal living space and kitchen with 2 ovens, hobs and washing machines. Outside is a low maintenance outdoor area.","https://www.rightmove.co.uk/properties/167597369#/?channel=COM_BUY","2025-09-30T11:00:15Z","","new","Marketed by Dimon Estate Agents, Gosport","","50.791007","-1.13904","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/35ade5f6b/167597369/35ade5f6baa1cb5edd2269f46d46f4fc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/46e4f66f0/167597369/46e4f66f02e90aaaaa2bcafd3b26faff_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c52e8da9b/167597369/c52e8da9b38db9434855a0d0f75c2e73_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d2fb93389/167597369/d2fb93389134bf2712de36a7d82b9be6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/605b20c9d/167597369/605b20c9d7f3e004e417bfd33f4bb5ff_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12e680d36/167597369/12e680d36ae996cb6886c9f7231be412_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/562103040/167597369/562103040b44e6edd9c32e0b5c4e28fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a31525820/167597369/a315258200c4f9acc8634f3341598eda_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a0026a8f6/167597369/a0026a8f6bad25f5048b86b0930f00fd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ed019e0a/167597369/4ed019e0a2087b52edf2ca019a2e2217_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/20ab0ba65/167597369/20ab0ba651f08faa85056a8385275600_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3b5cf923f/167597369/3b5cf923f8c57b72e993b3a2537f96c0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4865fb5ca/167597369/4865fb5cab587ab056bd89be053b41c1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/698f4c90e/167597369/698f4c90e907240826f76e2286b22e86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a2f585a4d/167597369/a2f585a4d1412fb44a2bd340b2694334_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/36b5a27d0/167597369/36b5a27d0fd88a88b294fd12594f8cd1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/48f7eedcb/167597369/48f7eedcb6fac0153a9830ee16fa001f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/64ce0a5ff/167597369/64ce0a5ffa8efeae863921e1a22911bf_max_476x317.jpeg"
"156132524","Gosport","Cafe","The Fomer Chapel Royal Haslar, Haslar Road, Gosport","POA","","","","An exciting opportunity to establish a cafe within the prestigious Royal Haslar Development in Gosport. Offering 4,000 sq ft of versatile Class E space, this property is perfectly positioned to serve a thriving seafront community of over 800 residential units.","https://www.rightmove.co.uk/properties/156132524#/?channel=COM_BUY","2024-12-20T17:22:11Z","","size_change","Marketed by Trafalgar Property Consultancy, Gosport","","50.78708","-1.12427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156132524/283427_RM012_IMG_05_0000_max_476x317.jpeg"
"161366789","Gosport","Mixed Use","Unit 10, North Meadow, Weevil Lane, Gosport","£85,000","","","","A rare opportunity to acquire a charming commercial unit in the sought-after Royal Clarence Yard. This ground floor, Grade II listed property offers a well-presented space, ideal for a small office, studio, or boutique business. ","https://www.rightmove.co.uk/properties/161366789#/?channel=COM_BUY","2025-05-06T10:21:14Z","","new","Marketed by Trafalgar Property Consultancy, Gosport","","50.80259","-1.12608","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/161366789/283427_RM048_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/161366789/283427_RM048_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/161366789/283427_RM048_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/161366789/283427_RM048_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/161366789/283427_RM048_IMG_03_0000_max_476x317.jpeg"
"157201700","Gosport","Convenience Store","Building 34, Department of Pathology, Royal Haslar","POA","","","","An exciting opportunity to establish a convenience store within the prestigious Royal Haslar Development in Gosport. Offering 4,000 sq ft of versatile Class E space, this property is perfectly positioned to serve a thriving seafront community of over 800 residential units.","https://www.rightmove.co.uk/properties/157201700#/?channel=COM_BUY","2025-01-22T11:57:52Z","","new","Marketed by Trafalgar Property Consultancy, Gosport","","50.78708","-1.12427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/157201700/283427_RMS021_IMG_06_0000_max_476x317.jpeg"
"156131819","Gosport","Pub","The Old Gym Royal Haslar, Haslar Road Gosport","POA","","","","An exceptional opportunity to create a thriving public house and restaurant within the historic Royal Haslar Development in Gosport. This unique Class E property, formerly the Royal Gym, offers a generous 4,000 sq ft of versatile space, ready to be transformed into a standout destination.","https://www.rightmove.co.uk/properties/156131819#/?channel=COM_BUY","2024-12-20T17:06:27Z","","size_change","Marketed by Trafalgar Property Consultancy, Gosport","","50.78708","-1.12427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/156131819/283427_RM010_IMG_08_0000_max_476x317.jpeg"
