id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"165316739","Greater Manchester","Distribution Warehouse","Water Street, Stockport, Greater Manchester, SK1","POA","","","","A freehold warehouse/industrial unit incorporating main warehouse plus a private office. The First-floor mezzanine comprises of two office rooms, hallway and landing area. The premises also benefit from ladies' gents and toilet facilities. Externally, ample parking.","https://www.rightmove.co.uk/properties/165316739#/?channel=COM_BUY","2025-08-04T11:53:33Z","","new","Marketed by Portfolio Lets Limited, Manchester","","53.41787","-2.15373","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_13_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243230/165316739/243230_Unit141MeadowIndustrialEstateWaterStPortwood_IMG_14_0000_max_476x317.png"
"169952882","Greater Manchester","Mixed Use","Indemnity House, Chatham Street, Manchester, M1 3AY","£1,620,000","Offers in Region of","","","The property is situated on the south east side of Chatham Street at its junction with Roby Street in the heart of Manchester City Centre. Piccadilly Gardens is within close proximity as is Piccadilly Train Station and Metrolink Station. All city centre shops, bars, restaurants, hotels and tran...","https://www.rightmove.co.uk/properties/169952882#/?channel=COM_BUY","2025-12-03T11:47:33Z","","new","Marketed by W T Gunson, Manchester - BPG","","53.479742","-2.234085","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/169952882/96044_1618FH_IMG_12_0000_max_476x317.jpeg"
"167597639","Greater Manchester","Workshop","Church Street, WA3","£150,000","","","","Offered for sale is this good sized plot (330m2) with planning permission for the erection of a two storey dwelling (93m2) and detachedworkshop with parking (following removal of existing garages and commercial buildings) Plan Ref A/24/97004/full","https://www.rightmove.co.uk/properties/167597639#/?channel=COM_BUY","2025-09-30T11:06:43Z","","price_reduced","Marketed by Cooke & Company, Leigh","","53.48238","-2.59338","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45477/167597639/45477_124churchstreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45477/167597639/45477_124churchstreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45477/167597639/45477_124churchstreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45477/167597639/45477_124churchstreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45477/167597639/45477_124churchstreet_IMG_04_0000_max_476x317.jpeg"
"169904915","Greater Manchester","Mixed Use","348 Ashton Road, Oldham OL8 3HF","£110,000","Guide Price","1","","For sale on 17 December 2025 Our national property auction will be broadcast online with live auctioneers. To bid by proxy, online, or by phone, please submit your registration form no later than 5pm the day before the auction. The auction will commence at 09:00.","https://www.rightmove.co.uk/properties/169904915#/?channel=COM_BUY","2025-12-02T09:58:16Z","","price_reduced","Marketed by SDL Property Auctions - Commercial, Nationwide","","53.525312","-2.11122","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230138/169904915/230138_202505140839sq_a0th_IMG_07_0000_max_476x317.jpeg"
"169904960","Greater Manchester","Retail Property (high street)","178 Burton Road, West Didsbury, Manchester, M20 1LH","£550,000","Offers in Excess of","","","Rare opportunity to purchase a high quality mixed use fully income producing investment on Burton Road","https://www.rightmove.co.uk/properties/169904960#/?channel=COM_BUY","2025-12-02T09:59:18Z","","price_reduced","Marketed by Gifford Dixon Commercial Property, Manchester","","53.427374","-2.242011","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287705/169904960/287705_315311-1_IMG_16_0000_max_476x317.jpeg"
"169890551","Greater Manchester","Pub","The Swan & Barristers, 2-4 Churchgate, Bolton, BL1 1HJ","£1,500,000","","","","Freehold. Open plan lounge & public bars (200). Extensive undeveloped upper floors. Wet led 1000 + Brewers Barrels per annum. Grade ii listed site extending to 0.26 acres. Licensed from 08:00 - 06:00am","https://www.rightmove.co.uk/properties/169890551#/?channel=COM_BUY","2025-12-01T16:54:12Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","53.579382","-2.426438","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169890551/260759_5652112-fh_IMG_04_0000_max_476x317.jpeg"
"169885679","Greater Manchester","Spa","Old Market Place, Altrincham, Greater Manchester, WA14","£25,000","","","","BUSINESS FOR SALE £25,000Including fixtures, fittings and goodwillWELL ESTABLISHED BEAUTY SALON FOR SALE ALONG WITH NEW LEASE TERMS TO BE AGREED. IDEALLY SITUATED IN ALTRINCHAM TOWN CENTRE, THE WELL PRESENTED GROUND FLOOR UNIT PROVIDES A LARGE OPEN PLAN SALON WITH THREE INDIVIDUAL TREATMENT ROOMS","https://www.rightmove.co.uk/properties/169885679#/?channel=COM_BUY","2025-12-01T15:48:36Z","","new","Marketed by Thomas Willmax Ltd, Sale","","53.38859","-2.35065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206906/169885679/206906_6AOLDMARKETPLACE_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206906/169885679/206906_6AOLDMARKETPLACE_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206906/169885679/206906_6AOLDMARKETPLACE_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206906/169885679/206906_6AOLDMARKETPLACE_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206906/169885679/206906_6AOLDMARKETPLACE_IMG_04_0000_max_476x317.jpeg"
"154573118","Greater Manchester","Commercial Property","Bradshawgate, Leigh, WN7","£150,000","Offers Over","","3","Commercial Unit | Buy-to-Let Opportunity | Long Term Tenants Currently Situated | Large Primary Business Area | Kitchen Space | | Private Meeting Room | Central Location Within Leigh - Perfect for Commuters","https://www.rightmove.co.uk/properties/154573118#/?channel=COM_BUY","2024-11-04T15:57:13Z","","new","Marketed by Let Property Sales & Management, Glasgow","","53.49587","-2.51458","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/154573118/246740_211969657_IMG_22_0000_max_476x317.jpeg"
"169127159","Greater Manchester","Mixed Use","The Bridgewater Hotel,  Liverpool Road, Eccles","£350,000","Guide Price","3","1","TO BE SOLD BY ONLINE AUCTION ON 12TH NOVEMBER 2025 UNLESS SOLD PRIOR UNDER AUCTION TERMS.The Bridgewater Hotel, 264 Liverpool Road, M30...","https://www.rightmove.co.uk/properties/169127159#/?channel=COM_BUY","2025-11-07T15:23:36Z","","price_reduced","Marketed by Edward Mellor Ltd, Auction","","53.482345","-2.356188","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/169127159/43164_EM-164764_IMG_13_0000_max_476x317.jpeg"
"169877333","Greater Manchester","Shop","Kingsway, Manchester","£50,000","","2","2","Buisness for sale!! Nestled in the bustling area of Kingsway, Manchester, this unique property presents an excellent opportunity for both business and residential living. The premises comprises a well-established café, fully decorated and ready for immediate operation, along with a comfortab...","https://www.rightmove.co.uk/properties/169877333#/?channel=COM_BUY","2025-12-01T13:30:34Z","","price_reduced","Marketed by Open House Estate Agents, Nationwide","","53.441513","-2.203759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50334/169877333/50334_34333970_IMG_10_0000_max_476x317.jpeg"
