<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"161308325","Gwynedd","Land","The Nannau Estate, Llanfachreth, Dolgellau, Gwynedd, LL40","£15,000,000","Guide Price","","","A Spectacular Upland Farming Estate","https://www.rightmove.co.uk/properties/161308325#/?channel=COM_BUY","2025-04-30T08:49:42Z","","new","Marketed by Savills Rural Sales, Telford","","52.769966","-3.86218","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273785/161308325/273785_LIR240062_IMG_12_0000_max_476x317.jpeg"
"169937291","Gwynedd","Land","Station Road, Bangor, Gwynedd, LL57","£450,000","","","","A Warehouse with showroom/office, good sized industrial yard, located in the city centre.","https://www.rightmove.co.uk/properties/169937291#/?channel=COM_BUY","2025-12-02T20:26:20Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.222831","-4.134052","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169937291/241850_HOF250072_IMG_15_0000_max_476x317.jpeg"
"169881584","Gwynedd","Commercial Property","Bank Place, Porthmadog","£165,000","","6","1","Tom Parry & Co are delighted to offer for sale this substantial commercial property situated in a fantastic location just off the High Street in the bustling harbour town of Porthmadog. This property offers a fantastic opportunity for those looking to invest in a versatile space with development ...","https://www.rightmove.co.uk/properties/169881584#/?channel=COM_BUY","2025-12-01T14:46:08Z","","price_reduced","Marketed by Tom Parry & Co, Porthmadog","","52.9262","-4.130893","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35762/169881584/35762_34334240_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35762/169881584/35762_34334240_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35762/169881584/35762_34334240_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35762/169881584/35762_34334240_IMG_03_0000_max_476x317.jpeg"
"721780988220112","Gwynedd","Mixed Use","280 High Street, Bangor, Gwynedd LL57 1UL","£90,000","Guide Price","","","FOR SALE BY AUCTION TUESDAY 16TH DECEMBER 2025 (UNLESS SOLD PRIOR). Ground Floor Shop & Flat....","https://www.rightmove.co.uk/properties/721780988220112#/?channel=COM_BUY","2025-11-28T15:10:03Z","","new","Marketed by Barnett Ross, Barnett Ross","","53.228208","-4.123101","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721780988220112/83301_Bangor_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721780988220112/83301_Bangor_IMG_01_0002_max_476x317.jpeg"
"169669427","Gwynedd","Farm","Cae Uchaf Farm, Clogwyn Melyn","£425,000","Guide Price","3","1","Tyddyn 6 erw yn cynnwys ffermdy ac ystod eang o adeiladau fferm draddodiadol a modern i gyd mewn lleoliad gwledig gyda golygfeydd panoramig ar draws arfordir tuag at Sir Fôn | 6-acre smallholding comprising a farmhouse and a range of traditional and modern farm buildings all in a rural location ...","https://www.rightmove.co.uk/properties/169669427#/?channel=COM_BUY","2025-11-24T18:15:02Z","","new","Marketed by Tir Ac Eiddo LWH Land and Property CYF, Pwllheli","","53.06175","-4.264691","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169669427/253754_LWG-ROB046-Smallholding_IMG_23_0000_max_476x317.jpeg"
"169649111","Gwynedd","Restaurant","The Old Courthouse, Castle Ditch, Caernarfon, Gwynedd, LL55 2AY","£700,000","","","","Freehold. Historic Landmark Location. Grade I Listed. Versatile Event Space. Restaurant & Bar. Development Opportunities","https://www.rightmove.co.uk/properties/169649111#/?channel=COM_BUY","2025-11-24T12:38:09Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","53.139498","-4.276755","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169649111/260759_5665021-fh_IMG_03_0000_max_476x317.jpeg"
"169566812","Gwynedd","Farm","Hendre Bach Farm, Clynnog Fawr - 50.14ac","£800,000","Guide Price","3","1","Fferm 50 erw yn cynnwys ffermdy 3 ystafell wely ac ystod adeiladau fferm traddodiadol a modern i gyd mewn lleoliad gwledig a cyfleus ger Pontllyfni | A 50 acre farm comprising a 3 bedroom farmhouse and a range of traditional and modern farm buildings all in a rural and convenient location near Po...","https://www.rightmove.co.uk/properties/169566812#/?channel=COM_BUY","2025-11-21T11:33:02Z","","new","Marketed by Tir Ac Eiddo LWH Land and Property CYF, Pwllheli","","53.032956","-4.328571","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253754/169566812/253754_LWG-OWE022_IMG_31_0000_max_476x317.jpeg"
"169539377","Gwynedd","Mixed Use","36 High Street, Caernarfon, Gwynedd LL55 1RH","£185,000","Guide Price","","","FOR SALE VIA ONLINE UNCONDITIONAL AUCTION. BIDDING OPENS MONDAY 8TH DECEMBER & CLOSES WEDNESDAY 10TH DECEMBER.","https://www.rightmove.co.uk/properties/169539377#/?channel=COM_BUY","2025-11-20T14:50:22Z","","new","Marketed by Auction House, Covering North Wales","","53.140706","-4.275749","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281666/169539377/281666_202510261522sq_izsl_IMG_08_0000_max_476x317.jpeg"
"169538933","Gwynedd","Cafe","High Street, Bangor","£280,000","","","","This versatile commercial and residential property is positioned beside Bangor Cathedral, at the gateway to the main High Street, an enviable location that benefits from a consistently high volume of foot traffic. The ground floor features an established café/restaurant space, complete w.","https://www.rightmove.co.uk/properties/169538933#/?channel=COM_BUY","2025-11-20T14:40:26Z","","new","Marketed by Varcity Living Limited, Bangor","","53.226051","-4.126786","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210281/169538933/210281_34317101_IMG_15_0000_max_476x317.jpeg"
"168746903","Gwynedd","Land","Fron Oleu, The Crescent, Bangor, Gwynedd, LL57 2PY","£20,000","Guide Price","","","For sale by Online Auction -  A rare development opportunity in the sought-after Upper Bangor area. This 25m x 8m (200m2) plot comes with full approved planning permission for the construction of two spacious 2-bedroom flats ideal for developers, investors, or those looking to create high...","https://www.rightmove.co.uk/properties/168746903#/?channel=COM_BUY","2025-10-29T12:42:24Z","","price_reduced","Marketed by Town & Country Property Auctions, Wrexham - Auctions","","53.22681","-4.132169","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/186k/185198/168746903/185198_316140_IMG_06_0000_max_476x317.jpeg"
