id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"157967309","Hackney","Office","12 Waterson Street, London, E2 8HL","£675,000","","","","880 sq. ft.","880","880","82","82","Refurbished Ground Floor Office For Sale or Rent with Underground Secure Parking Space","https://www.rightmove.co.uk/properties/157967309#/?channel=COM_BUY","2025-02-07T17:54:24Z","","new","Marketed by BELCOR, City Fringe","","51.528457","-0.076517","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/157967309/189137_278826-1_IMG_16_0000_max_476x317.jpeg"
"169922960","Hackney","Office","First Floor, 23 Bateman's Row, London, EC2A 3HH","£950,000","","","","1,295 sq. ft.","1295","1295","120","120","First Floor Office and Showroom Space in a RIBA award winning building designed by Theis & Khan","https://www.rightmove.co.uk/properties/169922960#/?channel=COM_BUY","2025-12-02T14:52:27Z","","size_change","Marketed by Stirling Ackroyd, Commercial","","51.525349","-0.078369","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169922960/157631_345580-1_IMG_17_0000_max_476x317.jpeg"
"87363291","Hackney","Mixed Use","Windus Road, London, N16","£750,000","Guide Price","2","","1,301 sq. ft.","1301","1301","121","121","A Victorian terraced freehold mixed use property comprising a restaurant on the ground floor and a two bedroom flat on the first floor being sold with vacant possession upon completion.","https://www.rightmove.co.uk/properties/87363291#/?channel=COM_BUY","2025-12-01T13:45:14Z","","new","Marketed by Dexters Development & Investment, North London","","51.5663","-0.07198","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82977/87363291/82977_11-13WindusRoad_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82977/87363291/82977_11-13WindusRoad_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82977/87363291/82977_11-13WindusRoad_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82977/87363291/82977_11-13WindusRoad_IMG_02_0000_max_476x317.jpeg"
"169877948","Hackney","Office","17 Willow Street, London, EC2A 4BH","£500,000","","","","650 sq. ft.","650","650","60","60","Penthouse Shoreditch Loft For Sale or Rent","https://www.rightmove.co.uk/properties/169877948#/?channel=COM_BUY","2025-12-01T13:44:55Z","","new","Marketed by BELCOR, City Fringe","","51.525268","-0.082735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877948/189137_288632-1_IMG_17_0000_max_476x317.jpeg"
"169815008","Hackney","Commercial Property","Powell Road, London, E5","£1,500,000","Guide Price","","1","4,306 sq. ft.","4306","4306","400","400","For Sale – Commercial Space (Class D1 Use) Block B, 22 Powell Road, London E8 5DJ Approx. 400 m² (4,305 sq ft) Guide Price: £1,500,000","https://www.rightmove.co.uk/properties/169815008#/?channel=COM_BUY","2025-11-28T12:21:05Z","","new","Marketed by Chris Anthony Estates, London","","51.5568","-0.05693","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169815008/122383_1508_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169815008/122383_1508_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169815008/122383_1508_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169815008/122383_1508_IMG_03_0000_max_476x317.jpeg"
"169814546","Hackney","Office","Powell Road, London, E5","£500,000","Guide Price","","1","969 sq. ft.","969","969","90","90","For Sale – Commercial Office (Class E / Former B1 Use) Lower Ground Floor, Block A, 22 Powell Road, London E5 8DJ Approx. 90 m² (968 sq ft) Guide Price: £500,000 Offered on a longterm 999-year lease","https://www.rightmove.co.uk/properties/169814546#/?channel=COM_BUY","2025-11-28T12:11:48Z","","new","Marketed by Chris Anthony Estates, London","","51.5568","-0.05693","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169814546/122383_1507_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169814546/122383_1507_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/123k/122383/169814546/122383_1507_IMG_02_0000_max_476x317.jpeg"
"166904855","Hackney","Retail Property (high street)","Hackney Road, Shoreditch, E2","£500,000","Guide Price","","","995 sq. ft.","995","995","92","92","No summary available.","https://www.rightmove.co.uk/properties/166904855#/?channel=COM_BUY","2025-09-12T06:46:28Z","","price_reduced","Marketed by PEACH PROPERTIES (UK) LIMITED, London","","51.53122","-0.068993","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271343/166904855/271343_34165307_IMG_22_0000_max_476x317.jpeg"
"169408898","Hackney","Commercial Property","Stoke Newington Church Street, N16","£50,000","","","","1,097 sq. ft.","1097","1097","102","102","Rent - £32,000 p/a | Ground Floor & Basement Premises | Excellent Location | 1,097 Sq.Ft | Lease Assignment","https://www.rightmove.co.uk/properties/169408898#/?channel=COM_BUY","2025-11-17T14:51:50Z","","price_reduced","Marketed by Michael Naik, London","","51.562114","-0.080103","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f12627409/169408898/f12627409cfc05b039d17704e8f6324b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/219af8d2f/169408898/219af8d2fd1d4e57f8b62014132a33b8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/58c979357/169408898/58c97935762ac5f65adfa53bfa7cee55_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3db82511f/169408898/3db82511f1c089a2d4f11ca89d67c0ac_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c57d34ca1/169408898/c57d34ca1dae43139e00b332ea1a1629_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/edf9b36d1/169408898/edf9b36d1a9ccf8fb4a68df7edf35b47_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/afbf6a613/169408898/afbf6a6133b7589ad3bf13431dd27383_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a4c47bec/169408898/2a4c47becf27c43f1f67f60ce05f6f05_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8e6bcceb9/169408898/8e6bcceb9230a08f227c05550d51188d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41544e701/169408898/41544e7018e2fb0f463381de1a48f8d0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/327f4c99a/169408898/327f4c99a410ebdf27370160108282f5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/31f8a8f79/169408898/31f8a8f79920e9a4b0e4e2efda256ab9_max_476x317.jpeg"
"165703541","Hackney","Restaurant","Stoke Newington High Street, London, N16","£30,000","Offers in Region of","","","893 sq. ft.","893","893","83","83","Leaf & Wild is now offered for sale as a fully fitted, ready-to-launch restaurant premises. Having invested significantly in the brand, interior fit-out, and high-spec kitchen equipment, the founder has since moved on to new ventures, creating an excellent opportunity for a new owner to take over.","https://www.rightmove.co.uk/properties/165703541#/?channel=COM_BUY","2025-08-13T14:16:30Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.5612","-0.07364","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/165703541/263843_GO4384_IMG_03_0000_max_476x317.jpeg"
"169677911","Hackney","Office","3 Printing House Yard, Hackney Road, London, E2 7PR","£1,300,000","","","","1,700 sq. ft.","1700","1700","158","158","Self Contained Office Building In Gated Community","https://www.rightmove.co.uk/properties/169677911#/?channel=COM_BUY","2025-11-25T09:17:56Z","","new","Marketed by Stirling Ackroyd, Commercial","","51.527736","-0.077386","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169677911/157631_338138-1_IMG_09_0000_max_476x317.jpeg"
