id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"160810241","Haringey","Retail Property (high street)","2 Wellington Terrace, Turnpike Lane, London, N8 0PX","£850,000","","","","2,116 sq. ft.","2116","2116","197","197","For Sale: A prominently positioned mixed-use Freehold asset offering vacant upper floors, presenting an immediate value-add opportunity.","https://www.rightmove.co.uk/properties/160810241#/?channel=COM_BUY","2025-04-17T10:49:26Z","","new","Marketed by WINKWORTH DEVELOPMENT AND COMMERCIAL INVESTMENT LIMITED, London","","51.590392","-0.104119","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/160810241/229532_295157-1_IMG_05_0000_max_476x317.jpeg"
"169834091","Haringey","Retail Property (high street)","Langham Road, London, Greater London, N15 3NP","POA","","","","1,110 sq. ft.","1110","1110","103","103","The property comprises a ground floor retail unit and a first-floor office that forms part of a two-storey mixed use block. The ground floor benefits from a large aluminium framed glass frontage, full length security shuttering, a shop canopy and shop signage. It is separated into a main shop f...","https://www.rightmove.co.uk/properties/169834091#/?channel=COM_BUY","2025-11-28T17:00:16Z","","new","Marketed by Exigen Property, London","","51.590843","-0.102081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191261/169834091/191261_889FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191261/169834091/191261_889FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191261/169834091/191261_889FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191261/169834091/191261_889FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191261/169834091/191261_889FH_IMG_04_0000_max_476x317.jpeg"
"169765760","Haringey","Retail Property (high street)","456 West Green Road, Haringey","£700,000","Guide Price","","","2,538 sq. ft.","2538","2538","236","236","A freehold mixed-use property comprising a ground floor retail unit and two flats above. Total GIA approx. 2,538 sq ft (235.78 sq m). Investment let at £32,900 per annum.","https://www.rightmove.co.uk/properties/169765760#/?channel=COM_BUY","2025-11-27T09:36:50Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.587152","-0.097356","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169765760/238697_7C67DAD9-36A3-478F-A2D3-56953362CEF5_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169765760/238697_7C67DAD9-36A3-478F-A2D3-56953362CEF5_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169765760/238697_7C67DAD9-36A3-478F-A2D3-56953362CEF5_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169765760/238697_7C67DAD9-36A3-478F-A2D3-56953362CEF5_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169765760/238697_7C67DAD9-36A3-478F-A2D3-56953362CEF5_IMG_00_0001_max_476x317.jpeg"
"169736645","Haringey","Commercial Property","Green Lanes, London, N13","£675,000","","","","","","","","","****FREEHOLD FOR SALE PRIME N13 LOCATION**** ","https://www.rightmove.co.uk/properties/169736645#/?channel=COM_BUY","2025-11-26T13:41:57Z","","new","Marketed by Varosi Lettings & Estates, London","","51.61008","-0.11013","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/145k/144152/169736645/144152_Green83_IMG_08_0000_max_476x317.jpeg"
"721603187611696","Haringey","Retail Property (high street)","Unit C, 67 Lawrence Road, Seven Sisters, N15 4EY","£200,000","","","","535 sq. ft.","535","535","50","50","One vacant shell & core retail unit available for sale/to let.","https://www.rightmove.co.uk/properties/721603187611696#/?channel=COM_BUY","2025-11-26T11:58:09Z","","size_change","Marketed by Forest Real Estate, London","","51.586926","-0.079954","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2119f7383/721603187611696/2119f73831adc62d7081db53a852cda8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/939865f6b/721603187611696/939865f6bbd082817efb90a49128e75d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b261771bd/721603187611696/b261771bd3d64218b4e14fb7e10ebbb1_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9cfbb87de/721603187611696/9cfbb87de5f548661c36afd58c3c806b_max_476x317.png"
"169581869","Haringey","Residential Development","Priory Road, London, N8","£1,750,000","Guide Price","5","1","","","","","","A semi-detached halls adjoining period house in need of full refurbishment and with planning consent for conversion to 3 flats. Planning consent (HGY/2024/2499) has been granted by the London Borough of Haringey for conversion including a ground floor rear extension. Further development poten...","https://www.rightmove.co.uk/properties/169581869#/?channel=COM_BUY","2025-11-21T15:43:59Z","","new","Marketed by Jeremy Leaf & Co, Residential Development","","51.587722","-0.13305","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4947cf46c/169581869/4947cf46c28252c2663907ecea4eef6e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/163ed2d85/169581869/163ed2d85404be664a7773060608d8b8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fba43c0c6/169581869/fba43c0c610de59814e8a0f59cff62f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/88ddd079b/169581869/88ddd079b2a40413247069cc4107ed72_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/428f24f96/169581869/428f24f96d8e638bec1537819453ac32_max_476x317.jpeg"
"169544417","Haringey","Mixed Use","61-63 Tottenham Lane, London","£2,700,000","Guide Price","","","6,668 sq. ft.","6668","6668","619","619","Rarely Available and Unique Opportunity Freehold Mixed Use Investment Comprising a Double Fronted Retail Unit and 12 Flats within the Upper Parts and Rear Mews Fully Let with Ground Floor Recently Renewing on a 10 Year Lease - Residential Units Let on ASTs with Asset Management Potential Via Re...","https://www.rightmove.co.uk/properties/169544417#/?channel=COM_BUY","2025-11-20T16:10:37Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.583982","-0.115993","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169544417/238697_8A430662-D09A-4550-B912-F1E8C25F710D_IMG_00_0001_max_476x317.jpeg"
"169523516","Haringey","Mixed Use","24 White Hart Lane, London","£270,000","Guide Price","","","","","","","","Rarely Available Mixed-Use Asset Management Opportunity Located Adjacent to Tottenham Stadium Vacant End of Terrace Retail Unit with Vacant Separately Accessed Two Bedroom Flat to the Upper Parts - Offering Asset Management Potential Via Letting Offered with Full Vacant Possession","https://www.rightmove.co.uk/properties/169523516#/?channel=COM_BUY","2025-11-20T11:03:45Z","","new","Marketed by Savills, Savills Auctions- Commercial","","51.605557","-0.070766","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169523516/238697_004CCC51-FB11-4208-B352-1E3E6A28B535_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169523516/238697_004CCC51-FB11-4208-B352-1E3E6A28B535_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169523516/238697_004CCC51-FB11-4208-B352-1E3E6A28B535_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169523516/238697_004CCC51-FB11-4208-B352-1E3E6A28B535_IMG_00_0001_max_476x317.jpeg"
"164345336","Haringey","Light Industrial","20 Bull Lane, Edmonton, Greater London, N18","£2,300,000","Offers in Excess of","","","9,687 sq. ft.","9687","9687","900","900","A circa 1920's built single storey industrial workshop/warehouse with later additions of offices to the front. Ancillary second brick built building/storage area on site, accessed by a shared driveway. External yard/loading area and parking. The property was reroofed some 20 years ago to a prof...","https://www.rightmove.co.uk/properties/164345336#/?channel=COM_BUY","2025-07-09T10:54:35Z","","price_reduced","Marketed by Kirkby Diamond, Enfield","","51.609005","-0.075313","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265568/164345336/265568_26798FH_IMG_09_0000_max_476x317.jpeg"
"723058573382577","Haringey","Commercial Property","The Winchester, 206 Archway Road, London, N6 5BA","£1,500,000","Offers in Region of","","","3,489 sq. ft.","3489","3489","324","324","Freehold Public House Investment For Sale in Highgate, Business Unaffected","https://www.rightmove.co.uk/properties/723058573382577#/?channel=COM_BUY","2025-12-04T14:56:07Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","51.573646","-0.140946","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058573382577/225509_338041-1_IMG_10_0000_max_476x317.png"
