id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"164542445","Harlow","Cafe","Barrows Road, Harlow, Essex, CM19","£199,995","","","","144–284 sq. ft.","144","284","13","26","FREEHOLD SALE. Situated in an industrial area with many other businesses. Seating area is 144 sqft and comes with 6 tables, chairs included. Kitchen area is 140 sqft and was newly fitted in 2020. Included is a cooker, fridge, microwave and coffee making machine. See full details. ","https://www.rightmove.co.uk/properties/164542445#/?channel=COM_BUY","2025-07-18T11:11:42Z","","new","Marketed by Bell and Co Estate Agents Limited, Braintree","","51.76638","0.06552","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_05_0000_max_476x317.jpeg"
"169804358","Harlow","Office","Astra Centre, Edinburgh Way, Harlow, CM20 2BN","POA","","","","8,696 sq. ft.","8696","8696","808","808","The Astra Centre comprises a detached modern two storey office building of brick construction beneath a pitched tiled roof. Unit 7 provides flexible, open plan accommodation across ground and first floors, with a mix of meeting rooms, WC's, and kitchenette facilities. The property benefits f...","https://www.rightmove.co.uk/properties/169804358#/?channel=COM_BUY","2025-11-28T09:27:26Z","","new","Marketed by Lambert Smith Hampton, Living & Capital Markets","","51.7841","0.114597","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297266/169804358/297266_2081431FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297266/169804358/297266_2081431FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297266/169804358/297266_2081431FH_IMG_02_0000_max_476x317.jpeg"
"168825638","Harlow","Commercial Development","Hoggs Farm, Harlow Common, Harlow, Essex","£875,000","","","","","","","","","Discover the potential of Hoggs Farm, a truly unique property ideal for those seeking a characterful redevelopment project with immense scope. This detached Grade II Listed farmhouse, believed to date back to the 17th century, boasts a wealth of original features and historical charm. While alt...","https://www.rightmove.co.uk/properties/168825638#/?channel=COM_BUY","2025-10-31T09:23:23Z","","new","Marketed by Mullucks - Commercial, Bishops Stortford","","51.758373","0.146781","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/168825638/152810_1621FH_IMG_06_0000_max_476x317.jpeg"
"721598905156625","Harlow","Distribution Warehouse","Unit 4, Harolds Road, The Pinnacles, Harlow, CM19 5BJ","£415,000","","","","2,783 sq. ft.","2783","2783","259","259","Industrial/Warehouse Unit","https://www.rightmove.co.uk/properties/721598905156625#/?channel=COM_BUY","2025-11-26T11:20:06Z","","new","Marketed by Derrick Wade Waters, Industrial","","51.764765","0.063998","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598905156625/105212_331700-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598905156625/105212_331700-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598905156625/105212_331700-1_IMG_02_0000_max_476x317.jpeg"
"168044912","Harlow","Office","Essex House, Units 3 & 4 Astra Centre, Edinburgh Way, Harlow, CM20 2BN","POA","","","","3,618–7,724 sq. ft.","3618","7724","336","718","Essex House comprises two self-contained office buildings, arranged over ground and first floor. Unit 4 has an additional level of accommodation within the eaves space, providing additional office accommodation. Unit 3 is under going modest refurbishment, whilst Unit 4 has been finished to a good...","https://www.rightmove.co.uk/properties/168044912#/?channel=COM_BUY","2025-10-09T15:50:57Z","","new","Marketed by Glenny, North London and Hertfordshire","","51.784622","0.115348","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/168044912/66657_40074FH_IMG_11_0000_max_476x317.jpeg"
"167651072","Harlow","Commercial Property","Hastingwood Road, Hastingwood, Harlow","£850,000","","","","4,326 sq. ft.","4326","4326","402","402","** FREEHOLD BUSINESS CENTRE FOR SALE ** - Phoenix House is situated in a semi-rural location off Hastingwood Road, in Hastingwood, Harlow, within 1 mile (1.6 km) of the Hastingwood Roundabout which provides access to the M11 and A414. The M11 provides access to the M25 to the south and Stansted A...","https://www.rightmove.co.uk/properties/167651072#/?channel=COM_BUY","2025-10-01T10:28:58Z","","new","Marketed by Clarke Hillyer Limited, Loughton","","51.747032","0.150926","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/167651072/216248_34208950_IMG_11_0000_max_476x317.jpeg"
"721598779328480","Harlow","Distribution Warehouse","Unit 9 RO24, Harlow Business Park, Harlow, CM19 5QB","£445,000","","","","1,609 sq. ft.","1609","1609","149","149","Industrial/warehouse on business park","https://www.rightmove.co.uk/properties/721598779328480#/?channel=COM_BUY","2025-11-26T11:15:53Z","","new","Marketed by Derrick Wade Waters, Industrial","","51.76884","0.05625","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598779328480/105212_301173-1_IMG_05_0000_max_476x317.jpeg"
"165381116","Harlow","Retail Property (high street)","Gothic House, 1 High Street, Harlow, CM17 0DN","£825,000","From","","","2,857 sq. ft.","2857","2857","265","265","Unbroken and attractive three storey Freehold, to be sold with tenants in situ fully let and income producing investment","https://www.rightmove.co.uk/properties/165381116#/?channel=COM_BUY","2025-08-05T12:58:16Z","","new","Marketed by Strettons, Commercial and Industrial Agency","","51.783598","0.133827","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/165381116/109090_315380-1_IMG_17_0000_max_476x317.jpeg"
"164542445","Harlow","Cafe","Barrows Road, Harlow, Essex, CM19","£199,995","","","","144–284 sq. ft.","144","284","13","26","FREEHOLD SALE. Situated in an industrial area with many other businesses. Seating area is 144 sqft and comes with 6 tables, chairs included. Kitchen area is 140 sqft and was newly fitted in 2020. Included is a cooker, fridge, microwave and coffee making machine. See full details. ","https://www.rightmove.co.uk/properties/164542445#/?channel=COM_BUY","2025-07-18T11:11:42Z","","new","Marketed by Bell and Co Estate Agents Limited, Braintree","","51.76638","0.06552","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/164542445/168764_HORIZONCAFE_IMG_05_0000_max_476x317.jpeg"
"721598850631089","Harlow","Distribution Warehouse","1-4 Ployters Road, Staple Tye, Harlow, CM18 7PS","£1,400,000","","","","12,367 sq. ft.","12367","12367","1149","1149","Industrial/Warehouse Unit with mezzanine floors","https://www.rightmove.co.uk/properties/721598850631089#/?channel=COM_BUY","2025-11-26T11:15:08Z","","new","Marketed by Derrick Wade Waters, Industrial","","51.750942","0.088282","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598850631089/105212_305327-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598850631089/105212_305327-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598850631089/105212_305327-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598850631089/105212_305327-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598850631089/105212_305327-1_IMG_04_0000_max_476x317.jpeg"
