id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"154969466","Hart","Restaurant","Fleet Road, Hampshire, GU51","£225,000","","","1","","","","","","Galaxy Real Estate proudly presents a prime Subway franchise in a bustling high-street location. Cash buyers only and proof of funds required","https://www.rightmove.co.uk/properties/154969466#/?channel=COM_BUY","2024-11-14T13:45:02Z","","price_reduced","Marketed by GALAXY REAL ESTATE LIMITED, Hayes","","51.2796","-0.84434","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/154969466/257963_3056_IMG_06_0000_max_476x317.jpeg"
"169921178","Hart","Retail Property (high street)","Bank House, High Street, Hartley Wintney, RG27 8NZ","£395,000","Offers in Region of","","","543 sq. ft.","543","543","50","50","Class E / retail unit in prominent location in Hartley Wintney","https://www.rightmove.co.uk/properties/169921178#/?channel=COM_BUY","2025-12-02T14:25:46Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.305732","-0.90091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921178/297368_205289-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921178/297368_205289-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921178/297368_205289-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921178/297368_205289-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921178/297368_205289-1_IMG_04_0000_max_476x317.jpeg"
"169752530","Hart","Pub","The Four Horseshoes, Long Sutton, Hook, Hampshire","£695,000","Guide Price","4","4","2,703 sq. ft.","2703","2703","251","251","A freehold public house and inn set in a delightful location on the edge of the charming village of Long Sutton. An exciting opportunity to acquire a traditional public house with excellent potential for redevelopment (STP), situated in the highly sought-after village of Long Sutton. Enjoying ...","https://www.rightmove.co.uk/properties/169752530#/?channel=COM_BUY","2025-11-26T17:25:39Z","","new","Marketed by Hellards Estate Agents, Alresford","","51.217968","-0.930203","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_10_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13045/169752530/13045_S1510614_IMG_11_0000_max_476x317.png"
"169707044","Hart","Shop","Kings Road, Fleet, Hampshire, GU51","£160,000","","","","","","","","","Ground floor retail unit, including off-street parking, being sold with vacant possession and 199 year lease. Space includes second room currently with kitchen units and cloakroom with rear access to parking area. Suitable for alternative uses, subject to any necessary planning consent. ","https://www.rightmove.co.uk/properties/169707044#/?channel=COM_BUY","2025-11-25T16:46:32Z","","new","Marketed by Vickery, West End, Woking","","51.284043","-0.835536","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22901/169707044/22901_CRL250032_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22901/169707044/22901_CRL250032_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22901/169707044/22901_CRL250032_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22901/169707044/22901_CRL250032_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22901/169707044/22901_CRL250032_IMG_04_0000_max_476x317.jpeg"
"134088446","Hart","Land","Mill Corner, North Warnborough, Hook, Hampshire, RG29 1HE","£9,000","Guide Price","","","4,020 sq. ft.","4020","4020","373","373","FOR SALE VIA ONLINE AUCTION: Terms and conditions apply. We are pleased to offer to auction this plot of land measuring approximately 0.0923acres (373.5sqm) with a perimeter of roughly 81.6m and is located along Mill Lane, a countryside location with good road access to the M3. The closest tra...","https://www.rightmove.co.uk/properties/134088446#/?channel=COM_BUY","2023-04-25T15:38:45Z","","price_reduced","Marketed by Pattinsons, Pattinsons Auction- National Auctioneer","","51.2642","-0.9537","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/134088446/251528_424170_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/134088446/251528_424170_IMG_01_0000_max_476x317.png"
"164237174","Hart","Commercial Property","Kings Road, FLEET, GU51","£400,000","","4","1","","","","","","JIGSAW ESTATES are pleased to bring to the market this investment opportunity for the freehold tenure of 12 Kings Road in Fleet town centre.  The property is situated just 0.6 miles from Fleet station which runs regular services directly to London Waterloo.  In addition to this,...","https://www.rightmove.co.uk/properties/164237174#/?channel=COM_BUY","2025-07-07T10:53:47Z","","price_reduced","Marketed by Jigsaw Estates, Camberley","","51.283985","-0.835528","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150905/164237174/150905_29215661_IMG_13_0000_max_476x317.jpeg"
"168253952","Hart","Land","Cranford Park Drive, Yateley, Hampshire","£500,000","Guide Price","3","1","","","","","","Commanding frontage of 70ft. Requires improvement, considerable potential to extend or redevelop.  OFFERS INVITED PRIOR TO AUCTION.  Useful outbuilding of workshop and store.  ","https://www.rightmove.co.uk/properties/168253952#/?channel=COM_BUY","2025-10-16T12:00:07Z","","new","Marketed by Martin & Pole, Wokingham","","51.339447","-0.8309","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7566/168253952/7566_1252_IMG_21_0000_max_476x317.jpeg"
"723058122548496","Hart","Pub","The Anchor Inn, Vigo Lane, Yateley, GU46 6EP","£650,000","Offers in Excess of","","","2,270 sq. ft.","2270","2270","211","211","Freehold Public House For Sale","https://www.rightmove.co.uk/properties/723058122548496#/?channel=COM_BUY","2025-12-04T14:55:33Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","51.331228","-0.838427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058122548496/225509_334525-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058122548496/225509_334525-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058122548496/225509_334525-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058122548496/225509_334525-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058122548496/225509_334525-1_IMG_04_0000_max_476x317.jpeg"
"721781550455329","Hart","Commercial Property","Co-Op C-Store, Redfields Lane, Church Crookham, Fleet, GU52 0RB","£1,575,000","Offers in Region of","","","4,226 sq. ft.","4226","4226","393","393","Convenience Store Investment. Let to Co-Op Group Food Ltd (c12yrs remaining)","https://www.rightmove.co.uk/properties/721781550455329#/?channel=COM_BUY","2025-11-27T11:55:08Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Guildford","","51.253112","-0.849107","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282641/721781550455329/282641_331148-1_IMG_10_0000_max_476x317.jpeg"
"157458584","Hart","Bar / Nightclub","Propaganda Music Canteen, 317-321 Fleet Road, Fleet, GU51 3BU","£50,000","Guide Price","","","","","","","","Leasehold. Located in Central Fleet. Capacity for 250,GIA 5274 sq ft / 489.9 sq m. 15-year lease expiring November 2036. T/O £417,267 y/e March 24. 2-bedroom flat & Offices","https://www.rightmove.co.uk/properties/157458584#/?channel=COM_BUY","2025-01-28T11:27:01Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","51.27882","-0.84456","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/157458584/260759_3858284-lh_IMG_07_0001_max_476x317.jpeg"
