id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"159952535","Havant","Commercial Development","South Park Court ","£950,000","Offers in Region of","","","807 sq. ft.","807","807","75","75","A fantastic opportunity to invest in a commercial property portfolio within the established South Park Court development. This investment includes two ground-floor commercial units, both offering secure long-term income.","https://www.rightmove.co.uk/properties/159952535#/?channel=COM_BUY","2025-03-28T13:51:01Z","","price_reduced","Marketed by Trafalgar Property Consultancy, Gosport","","50.85045","-0.98427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/159952535/283427_RM039_IMG_00_0000_max_476x317.jpeg"
"723053657605217","Havant","Light Industrial","Stantons Yard, Larchwood Avenue, Havant, PO9 3BF","POA","","","","43,560 sq. ft.","43560","43560","4047","4047","1 Acre Commercial Piece of Land for Sale in Havant","https://www.rightmove.co.uk/properties/723053657605217#/?channel=COM_BUY","2025-12-04T14:20:12Z","","new","Marketed by Savills, Southampton","","50.863633","-1.013883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/914cc94df/723053657605217/914cc94df6110b455da85fea4ec04092_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/206e1e737/723053657605217/206e1e7377bdf7afa017b35279d71b36_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1fa951e0f/723053657605217/1fa951e0fd5a73eebf04f14b94200167_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d60aeecc1/723053657605217/d60aeecc168ff53af4e0354a3960d5c3_max_476x317.png"
"167843816","Havant","Shop","Belmont Grove, Bedhampton","£159,000","","","","","","","","","Exciting opportunity to purchase this commercial unit situated in the heart of a popular residential location in Bedhampton. The unit currently comprises; Space at rear for kitchen, restaurant and WC. Please Contact us for further information and to arrange your viewing time.","https://www.rightmove.co.uk/properties/167843816#/?channel=COM_BUY","2025-10-06T11:14:33Z","","price_reduced","Marketed by Fry & Kent, Drayton","","50.855511","-1.004191","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a8159444/167843816/2a81594446df1402144ccd2682a7fee8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3ebb6497e/167843816/3ebb6497ea6e80c7031aae2b803f0de5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c5752e6da/167843816/c5752e6dae4572cba36ea3a1a80d8c94_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7789569d2/167843816/7789569d2d5644e4f4cd542633b82050_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6c8f049e5/167843816/6c8f049e56673805134fd3a341d8bf36_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fea48c49a/167843816/fea48c49a34eae335f11de6eb24b5e6d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fea78d96e/167843816/fea78d96e139ee05e6f2a28ba301ed31_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b6dab1a17/167843816/b6dab1a17a16a2217327729dc1aac5e1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c315cf505/167843816/c315cf505c45231a158d494b7e8fd556_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/06fd439ea/167843816/06fd439ea0484de4299e77ad2246bb9d_max_476x317.jpeg"
"168071084","Havant","Cafe","Cafe & Sandwich Bars, Hampshire","£199,950","","","","","","","","","EXCEPTIONAL INDEPENDENT COFFEE SHOP Prime busy main road location Seats 18 to 20 people with room for more Significant growth opportunity Genuine reason for sale Weekly turnover £15,500 REF 591272. EPC Band B. Business, Offers Around £199,950 Havant","https://www.rightmove.co.uk/properties/168071084#/?channel=COM_BUY","2025-10-10T11:00:12Z","","new","Marketed by Ernest Wilson & Co Limited, EW Leeds","","50.8519","-0.9812","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168071084/153122_591272_IMG_07_0000_max_476x317.jpeg"
"167614766","Havant","Retail Property (high street)","West Street, Havant, Hampshire, PO9","£575,000","","","","","","","","","Prime location - Full Building - Commercial & Residential - Fully Let - Let to Savers & AST - Total Passing Rent: £46,500p.a.x. - Price: £575,000","https://www.rightmove.co.uk/properties/167614766#/?channel=COM_BUY","2025-09-30T14:14:04Z","","new","Marketed by TSA Property Consultants Ltd, Glasgow","","50.85188","-0.98381","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/167614766/200465_SaversHampshireINV_IMG_04_0000_max_476x317.png"
"167098493","Havant","Warehouse","Unit C5 Cairo Place, Penner Road, Havant, PO9 1QN","£500,000","","","","3,891 sq. ft.","3891","3891","361","361","Rare Freehold Investment Available","https://www.rightmove.co.uk/properties/167098493#/?channel=COM_BUY","2025-09-17T14:12:45Z","","new","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.844271","-0.987642","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167098493/286838_140066-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167098493/286838_140066-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167098493/286838_140066-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167098493/286838_140066-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167098493/286838_140066-1_IMG_04_0000_max_476x317.jpeg"
"160030466","Havant","Mixed Use","South Park Court ","£1,750,000","Offers in Region of","8","","807 sq. ft.","807","807","75","75","The development was completed in 2008 by our client and has been maintained to a high standard. The development consists of 26 flats and two commercial units on the ground floor. This mixed used investment has four flats and twocommercial units together with the long leasehold ground rent income.","https://www.rightmove.co.uk/properties/160030466#/?channel=COM_BUY","2025-03-31T11:36:22Z","","new","Marketed by Trafalgar Property Consultancy, Gosport","","50.85045","-0.98427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/160030466/283427_RM040_IMG_00_0000_max_476x317.jpeg"
"159952535","Havant","Commercial Development","South Park Court ","£950,000","Offers in Region of","","","807 sq. ft.","807","807","75","75","A fantastic opportunity to invest in a commercial property portfolio within the established South Park Court development. This investment includes two ground-floor commercial units, both offering secure long-term income.","https://www.rightmove.co.uk/properties/159952535#/?channel=COM_BUY","2025-03-28T13:51:01Z","","price_reduced","Marketed by Trafalgar Property Consultancy, Gosport","","50.85045","-0.98427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283427/159952535/283427_RM039_IMG_00_0000_max_476x317.jpeg"
"153984515","Havant","Mixed Use","58 West Street, Havant, Hampshire, PO9","£500,000","Fixed Price","3","","1,967 sq. ft.","1967","1967","183","183","Comprises ground floor retail shop and a self-contained flat at first floor. Includes car park at rear for c. 6-7 cars. ","https://www.rightmove.co.uk/properties/153984515#/?channel=COM_BUY","2024-10-19T16:37:47Z","","new","Marketed by Blue Alpine, London","","50.85188","-0.98381","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad287e467/153984515/ad287e467cfdf9f3b6e7ee1fafe6624f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/921ae14a1/153984515/921ae14a1c2489e562d874df66391229_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9551e994d/153984515/9551e994d270451c53a2d4363fc342d3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3638094fd/153984515/3638094fde36e2ad18bb973805deb374_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d90aa8aa7/153984515/d90aa8aa78481ad1c4e28970ea4f6b8a_max_476x317.jpeg"
"145867397","Havant","Commercial Development","Former Colt International Site, New Lane, Havant, Hampshire, PO9","POA","","","","84,071 sq. ft.","84071","84071","7810","7810","Lambert Smith Hampton (LSH) have been appointed by Homes England to market this employment site, located at the junction of New Lane and Bartons Road, Havant, enjoying prominent road frontage. The site was formerly occupied by Colt International and was acquired by Homes England in 2017, who lat...","https://www.rightmove.co.uk/properties/145867397#/?channel=COM_BUY","2024-03-18T17:19:07Z","","new","Marketed by Lambert Smith Hampton, Fareham","","50.866676","-0.968711","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/145867397/168011_2047689FH_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/145867397/168011_2047689FH_IMG_01_0000_max_476x317.jpeg"
