<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169729193","Havering","Commercial Property","Hornchurch Road, Hornchurch, RM11","£150,000","Guide Price","","1","This commercial space for sale is situated in a prime location close to Hornchurch and Romford town centres offering a spacious front office, second room and kitchen making a great investment opportunity. Offered for sale with the freehold. Front office - 15' 10 x 19' 4 Back office - 15' 08"" x...","https://www.rightmove.co.uk/properties/169729193#/?channel=COM_BUY","2025-11-26T10:52:09Z","","new","Marketed by Griffin Residential Group, Gates, Parish & Co, Upminster","","51.565073","0.20028","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_05_0000_max_476x317.jpeg"
"169839161","Havering","Commercial Property","3 Mildmay Road, Romford, RM7 7DA","£150,000","Guide Price","","","Lot 100 – 3 MILDMAY ROAD, ROMFORD, RM7 7DA Guide Price – £150,000 Plus fees The property is to be offered online by Clive Emson Auctioneers on 11 December 2025.","https://www.rightmove.co.uk/properties/169839161#/?channel=COM_BUY","2025-11-28T19:59:28Z","","new","Marketed by Accord Sales & Lettings, serving Havering","","51.57775","0.171682","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68735/169839161/68735_fd93e5c8-4ccd-4c39-9689-e59b9fdd23ab_IMG_00_0000_max_476x317.jpeg"
"169750745","Havering","Land","Land to the Rear of 61 Frederick Road, Rainham, Essex, RM13 8NR","£45,000","Guide Price","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A freehold parcel of land in a prime residential area, measuring approximately 77.17 sq m, with residential development (subject t...","https://www.rightmove.co.uk/properties/169750745#/?channel=COM_BUY","2025-11-26T16:53:39Z","","new","Marketed by Savills Auctions, London","","51.52841","0.17598","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750745/80881_198-20071_IMG_08_0000_max_476x317.jpeg"
"169730627","Havering","Land","Land adjoining The Goose, 143 South Street, Romford, RM1 1PL","£450,000","Offers in Excess of","","","Development opportunity for sale freehold","https://www.rightmove.co.uk/properties/169730627#/?channel=COM_BUY","2025-11-26T11:11:43Z","","new","Marketed by Savills, Margaret Street - Licensed Leisure","","51.574508","0.184086","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169730627/225521_232574-1_IMG_08_0000_max_476x317.jpeg"
"169729193","Havering","Commercial Property","Hornchurch Road, Hornchurch, RM11","£150,000","Guide Price","","1","This commercial space for sale is situated in a prime location close to Hornchurch and Romford town centres offering a spacious front office, second room and kitchen making a great investment opportunity. Offered for sale with the freehold. Front office - 15' 10 x 19' 4 Back office - 15' 08"" x...","https://www.rightmove.co.uk/properties/169729193#/?channel=COM_BUY","2025-11-26T10:52:09Z","","new","Marketed by Griffin Residential Group, Gates, Parish & Co, Upminster","","51.565073","0.20028","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250106/169729193/250106_43961_IMG_05_0000_max_476x317.jpeg"
"168497141","Havering","Warehouse","Star Business Centre, Marsh Way, Rainham, Havering, London, RM13","£485,000","","","","Industrial/warehouse unit with office approx. 1,754 sq ft and mezzanine FOR SALE in Rainham","https://www.rightmove.co.uk/properties/168497141#/?channel=COM_BUY","2025-10-22T16:16:25Z","","size_change","Marketed by Branch Associates, Essex","","51.51325","0.17372","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/168497141/274622_C7StarFH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/168497141/274622_C7StarFH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/168497141/274622_C7StarFH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/168497141/274622_C7StarFH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274622/168497141/274622_C7StarFH_IMG_04_0000_max_476x317.jpeg"
"169547180","Havering","Land","Land Adjacent to 1 Fairview Avenue, Rainham, Essex, RM13 9RL","£130,000","Guide Price","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 135 sq m (1,453 sq ft). Plans have been Drawn up for the Erection of a Th...","https://www.rightmove.co.uk/properties/169547180#/?channel=COM_BUY","2025-11-20T16:50:52Z","","new","Marketed by Auction House London, London","","51.52298","0.215833","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169547180/285620_319298_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169547180/285620_319298_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169547180/285620_319298_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169547180/285620_319298_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169547180/285620_319298_IMG_03_0000_max_476x317.jpeg"
"169426187","Havering","Cafe","Ardleigh Green Road, Hornchurch","£80,000","","","","This wonderfully presented cafe/dessert bar is located in a prominent position in Hornchurch, Essex. The main seating area leads to a preparation kitchen, an area with further seating and a fully equipped kitchen. A premium of 80,000 is sought for the transfer of a 6.5 year lease, goodwill and F&F.","https://www.rightmove.co.uk/properties/169426187#/?channel=COM_BUY","2025-11-18T01:29:03Z","","new","Marketed by Delaney's, Commercial","","51.5836","0.220089","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169426187/174500_CS0075_IMG_09_0000_max_476x317.jpeg"
"168904976","Havering","Land","Crow Lane, Romford, RM7","£620,000","Fixed Price","","","Introducing a unique opportunity to acquire a piece of land situated at the rear of Crow Lane, boasting a Certificate of Lawful Use or Development for the establishment of three caravans.","https://www.rightmove.co.uk/properties/168904976#/?channel=COM_BUY","2025-11-03T09:04:42Z","","price_reduced","Marketed by GBP Estates, Romford","","51.568295","0.166113","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42510/168904976/42510_e7e4579d-006f-4284-b67d-1f97e0b55802_IMG_08_0000_max_476x317.jpeg"
"169791125","Havering","Office","Station Lane, Hornchurch, London, RM12","£300,000","Fixed Price","","","The property being offered for sale by way of long lease is one of the largest in the development, since it affords a greater depth. It is located within a three storey building, with the subject space being located on the first floor (retail is on the ground floor and residential space is above). T","https://www.rightmove.co.uk/properties/169791125#/?channel=COM_BUY","2025-11-27T17:21:12Z","","new","Marketed by Hilbery Chaplin Residential, Havering - Sales","","51.56076","0.22096","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10529/169791125/10529_RIPONHOUSESUITE1_IMG_06_0001_max_476x317.jpeg"
