id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168211808","Herefordshire","Place of Worship","Barton Road, Hereford, Herefordshire, HR4 0AY","£450,000","Guide Price","","","Bruton Knowles are delighted to receive kind instructions to offer for sale the former Church of St. Nicholas and St. Nicholas House, Barton Road, Hereford. The former Church of St Nicholas and St Nicholas House comprising a site of 0.54 acres are to be sold for conversion to alternative use. T...","https://www.rightmove.co.uk/properties/168211808#/?channel=COM_BUY","2025-10-15T15:24:41Z","","new","Marketed by Bruton Knowles, Leominster","","52.054048","-2.722527","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275198/168211808/275198_12325FH_IMG_12_0000_max_476x317.jpeg"
"169914824","Herefordshire","Plot","Fownhope, Hereford","£325,000","","4","3","An excellent opportunity to acquire a Freehold building plot with Detailed Planning Permission, set in a sought-after village location within walking distance of local amenities.","https://www.rightmove.co.uk/properties/169914824#/?channel=COM_BUY","2025-12-02T12:46:12Z","","new","Marketed by Flint & Cook, Hereford","","52.008598","-2.616498","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51345/169914824/51345_34336208_IMG_08_0000_max_476x317.jpeg"
"169890509","Herefordshire","Commercial Property","Copse Cross Street, Ross-On-Wye","£250,000","Guide Price","2","2","A UNIQUE INVESTMENT OPPORTUNITY to acquire a FREEHOLD PROPERTY CONTAINING TWO LARGE ONE-BEDROOM FLATS each offering Circa 600 SQ,FT of accommodation and being CONVENIENTLY LOCATED within the CENTRE OF TOWN in ROSS ON WYE having EASY ACCESS TO LOCAL SHOPS and AMENITIES. Flat A on the ground floor ...","https://www.rightmove.co.uk/properties/169890509#/?channel=COM_BUY","2025-12-01T16:53:37Z","","new","Marketed by Steve Gooch Estate Agents, Mitcheldean","","51.912944","-2.58392","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0e8397160/169890509/0e83971601df49aaf443b87bc527d2de_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/968745a60/169890509/968745a60eccd3a38e1d1f3fe613ca41_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cb01850b8/169890509/cb01850b87ceef648ee6e67a07a6b233_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c0a6f6f27/169890509/c0a6f6f27d819ec881fffdcee84407fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d98292b8e/169890509/d98292b8e107f13263831c7da4a3523f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f0d43ebab/169890509/f0d43ebab61c82c8b0afcdbeafd5340f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/10a92d0c5/169890509/10a92d0c510a3255813e91ae5126aa80_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa3252178/169890509/aa3252178237a329f3a7d285901bcce9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ff2d25e8b/169890509/ff2d25e8bc90c4c4da1107b02c84a3cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/583c2a5a3/169890509/583c2a5a331659289748419fba6e1414_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e3bfe7d94/169890509/e3bfe7d945666f3b3db93ad630d9bb03_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/92e85701d/169890509/92e85701d085d79407b8f16b150d2360_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa0cf0cf7/169890509/aa0cf0cf7ebe1b08f182076bfba2ef6e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9e01a6659/169890509/9e01a6659e99574b06fbf7cdcf4b8889_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccc605916/169890509/ccc6059160ec21d8d66a5ccd50dd51ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/67a5495d3/169890509/67a5495d399ac17bd74887f318c1325a_max_476x317.jpeg"
"169884386","Herefordshire","Hotel","The Corners Inn  Kingsland  LEOMINSTER Herefordshire HR6 9RY  United Kingdo","£650,000","","10","","For Sale | The Corners Inn | Kingsland, Leominster","https://www.rightmove.co.uk/properties/169884386#/?channel=COM_BUY","2025-12-01T15:30:19Z","","new","Marketed by Colliers International, Hotels","","52.248977","-2.815825","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125635/169884386/125635_a032400000prs1rAAA_IMG_10_0000_max_476x317.jpeg"
"157351175","Herefordshire","Land","., Winforton, Hereford","£95,000","Offers in Region of","","","Plot of land for sale with planning permission secured for the construction of a three bedroom detached home situated in a popular and convenient village location. Being sold with NO ONWARD CHAIN please contact the team for more information.","https://www.rightmove.co.uk/properties/157351175#/?channel=COM_BUY","2025-01-25T12:04:20Z","","price_reduced","Marketed by Connells, Hereford","","52.11719","-3.02869","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1693/157351175/1693_HER315464_IMG_07_0000_max_476x317.jpeg"
"165693413","Herefordshire","Farm Land","New Barns Farm, Michaelchurch Escley, Hereford, Herefordshire","£1,000,000","Guide Price","","","Attractive small holding comprising two-bedroom cottage, farm buildings, productive pasture and woodland. About 86.88 acres (35.16 ha)","https://www.rightmove.co.uk/properties/165693413#/?channel=COM_BUY","2025-08-13T11:36:54Z","","price_reduced","Marketed by Strutt & Parker, Central Estates & Farm Agency","","52.000059","-3.007052","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e12a0bd87/165693413/e12a0bd873be1fce431159761aa2c8a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/942b64609/165693413/942b64609b878554878855658735f6f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a66ee717b/165693413/a66ee717b2acfb1a62275604975a1f6d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ed9c7fc84/165693413/ed9c7fc84f87943f945f60ec866ed195_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b08430c1/165693413/5b08430c1899bc1939a2b9ab34e86f6e_max_476x317.jpeg"
"167581223","Herefordshire","Farm Land","Grove Farm, Michaelchurch Escley, Hereford, Herefordshire","£1,150,000","Guide Price","","","Traditional let farm (subject to Agricultural Holdings Act tenancy) with farmhouse, good range of traditional and modern farm buildings and productive grass land. About 191.80 acres (77.63 ha)","https://www.rightmove.co.uk/properties/167581223#/?channel=COM_BUY","2025-09-29T19:16:21Z","","price_reduced","Marketed by Strutt & Parker, Central Estates & Farm Agency","","52.010322","-3.007824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69573/167581223/69573_CFA250010_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69573/167581223/69573_CFA250010_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69573/167581223/69573_CFA250010_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69573/167581223/69573_CFA250010_IMG_03_0000_max_476x317.jpeg"
"169177868","Herefordshire","Land","Land at Firs Farm, Michaelchurch Escley, Hereford, Herefordshire","£420,000","Guide Price","",""," Pasture land with road access and river frontage About 57.92 acres (23.44 ha)","https://www.rightmove.co.uk/properties/169177868#/?channel=COM_BUY","2025-11-10T12:22:27Z","","price_reduced","Marketed by Strutt & Parker, Central Estates & Farm Agency","","52.014562","-3.003672","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6613a54b9/169177868/6613a54b99184b983004700d5e66cb7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/54ed4bc3d/169177868/54ed4bc3dfbd51d023cd34d7623a2eb5_max_476x317.jpeg"
"165693365","Herefordshire","Farm Land","Cefn-Ceist Farm, Michaelchurch Escley, Hereford, Herefordshire","£1,800,000","Guide Price","","","Cefn-Ceist Farm comprises a detached traditional four-bedroom farmhouse with a good range of farm buildings, productive pasture and ancient woodland in a ring fence. About 174.03 acres (70.44 ha) ","https://www.rightmove.co.uk/properties/165693365#/?channel=COM_BUY","2025-08-13T11:35:49Z","","price_reduced","Marketed by Strutt & Parker, Central Estates & Farm Agency","","52.018029","-2.997503","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0882c9d3f/165693365/0882c9d3fafdd53b42bec37156692af0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a4e538eb/165693365/2a4e538eb3f5af39f7061fd68eb31d6c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bbd5558ee/165693365/bbd5558eecd49d5f3f8b3601e7f7de45_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7eee9e219/165693365/7eee9e21997cbac4afa2ae529fc11471_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6dabe41dc/165693365/6dabe41dccaca14c7760d059a7e00d19_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b08430c1/165693365/5b08430c1899bc1939a2b9ab34e86f6e_max_476x317.jpeg"
"169591202","Herefordshire","Farm Land","Bank Farm, Michaelchurch Escley, Hereford","£1,750,000","Guide Price","","","Bank Farm comprises about 195.63 acres (79.15 ha) inlcuding a detached two-bedroom bungalow with a range of farm buildings, productive pasture and ancient woodland. About 195.63 acres (79.15 ha) ","https://www.rightmove.co.uk/properties/169591202#/?channel=COM_BUY","2025-11-21T18:17:43Z","","price_reduced","Marketed by Strutt & Parker, National Estates & Farm Agency","","52.00637","-2.99503","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69579/169591202/69579_CFA250005_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69579/169591202/69579_CFA250005_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69579/169591202/69579_CFA250005_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69579/169591202/69579_CFA250005_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69579/169591202/69579_CFA250005_IMG_04_0000_max_476x317.jpeg"
