id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169957898","Hertfordshire","Land","Cotterells, Hemel Hempstead, HP1","£150,000","Guide Price","","","","","","","","Summary - Freehold rectangular site of circa 141.4 sq.m (1522 sq.ft) - Planning granted for a three storey detached - Proposed property to comprise 3 double beds - Sought after area - Bidder Security £3,500 *fully refundable if unsuccessful bidder","https://www.rightmove.co.uk/properties/169957898#/?channel=COM_BUY","2025-12-03T13:12:52Z","","new","Marketed by David Doyle Estate Agents, Boxmoor","","51.747695","-0.475725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/274635bba/169957898/274635bbacb75ba75927426de7993752_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cd0be52f7/169957898/cd0be52f7b8703cb0a95d0ba06a8173d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39e883b8a/169957898/39e883b8a7c3cb9ed076b7c07f7b8af2_max_476x317.jpeg"
"169986488","Hertfordshire","Land","Warden Nursery Newgatestreet Road, Goffs Oak","£400,000","Offers in Region of","","","","","","","","A rare opportunity to acquire a chain free 0.247 acre plot of land offering outline planning permission for the erection of a single (custom/self build) detached eco dwelling with access in the heart of Goffs Oak. Application No 07/25/0006/O","https://www.rightmove.co.uk/properties/169986488#/?channel=COM_BUY","2025-12-04T10:25:45Z","","new","Marketed by Paul Wallace Estate Agents, Cheshunt","","51.719322","-0.095544","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9092/169986488/9092_12794096_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9092/169986488/9092_12794096_IMG_01_0000_max_476x317.jpeg"
"169983698","Hertfordshire","Land","Plot to the rear of Arnold Close, Hitchin, SG4","£150,000","Guide Price","","","","","","","","A rarely available single building plot with planning permission for a two-bedroom house (20/01667/S73) with existing garage and parking. Our client is renewing the planning permission so we are inviting offers subject to this. Ideal for a small local builder! The plot at its longest and widest p...","https://www.rightmove.co.uk/properties/169983698#/?channel=COM_BUY","2025-12-04T09:33:18Z","","new","Marketed by Wellington Evans, Hitchin","","51.953958","-0.260709","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239360/169983698/239360_ac37a382-5945-4df8-89ef-6ce9ee92770e_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239360/169983698/239360_ac37a382-5945-4df8-89ef-6ce9ee92770e_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239360/169983698/239360_ac37a382-5945-4df8-89ef-6ce9ee92770e_IMG_02_0000_max_476x317.jpeg"
"170003717","Hertfordshire","Land","Toms Croft, Hemel Hempstead, HP2","£300,000","Guide Price","","","","","","","","Freehold land with planning for pair of semi-detached - 2 x 3 bed semi-detached houses - Site area circa 310 m2 - Proposed size for each property circa 101.6 sq.m (1,094 sq.ft) - Bidder Security £6,000 *fully refundable if unsuccessful bidder","https://www.rightmove.co.uk/properties/170003717#/?channel=COM_BUY","2025-12-04T14:16:55Z","","new","Marketed by David Doyle Estate Agents, Boxmoor","","51.751391","-0.463577","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/170003717/5412_RX700451_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/170003717/5412_RX700451_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/170003717/5412_RX700451_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/170003717/5412_RX700451_IMG_03_0000_max_476x317.jpeg"
"169879964","Hertfordshire","Commercial Property","Lawn Lane, Hemel Hempstead, HP3","£165,000","Guide Price","","","1 sq. ft.","1","1","0","0","**Being sold via Secure Sale online bidding. Terms & Conditions apply**. This commercial unit with planning permission granted to demolish and rebuild into a new commercial unit with two flats above (ref: 25/00422/FUL)","https://www.rightmove.co.uk/properties/169879964#/?channel=COM_BUY","2025-12-01T14:18:11Z","","size_change","Marketed by David Doyle Estate Agents, Boxmoor","","51.740131","-0.466513","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/169879964/5412_RX687663_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/169879964/5412_RX687663_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/169879964/5412_RX687663_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5412/169879964/5412_RX687663_IMG_03_0000_max_476x317.jpeg"
"155885264","Hertfordshire","Land","Astrope, Long Marston","£235,000","Guide Price","","","806,731 sq. ft.","806731","806731","74948","74948","An exciting opportunity to acquire a block of permanent pasture situated between Astrope and Long Marston. Pastureland extending to approximately 18.52 acres.","https://www.rightmove.co.uk/properties/155885264#/?channel=COM_BUY","2024-12-12T10:15:32Z","","new","Marketed by Howkins & Harrison LLP, Towcester","","51.824306","-0.699114","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160772/155885264/160772_33558024_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160772/155885264/160772_33558024_IMG_01_0000_max_476x317.jpeg"
"169957898","Hertfordshire","Land","Cotterells, Hemel Hempstead, HP1","£150,000","Guide Price","","","","","","","","Summary - Freehold rectangular site of circa 141.4 sq.m (1522 sq.ft) - Planning granted for a three storey detached - Proposed property to comprise 3 double beds - Sought after area - Bidder Security £3,500 *fully refundable if unsuccessful bidder","https://www.rightmove.co.uk/properties/169957898#/?channel=COM_BUY","2025-12-03T13:12:52Z","","new","Marketed by David Doyle Estate Agents, Boxmoor","","51.747695","-0.475725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/274635bba/169957898/274635bbacb75ba75927426de7993752_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cd0be52f7/169957898/cd0be52f7b8703cb0a95d0ba06a8173d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39e883b8a/169957898/39e883b8a7c3cb9ed076b7c07f7b8af2_max_476x317.jpeg"
"169708955","Hertfordshire","Industrial Park","8-9 Lismirrane Industrial Park, Elstree Road, Elstree, Borehamwood WD6 3EE","£6,500,000","","","","41,018 sq. ft.","41018","41018","3811","3811","The freehold property comprises a detached former warehouse and office complex totalling 39,012 sq.ft GIA, which has been divided into several units, with 2 parts currently let out, having a site area for the freehold unit of 1.699 ac including the shared estate road. Space available for occupat...","https://www.rightmove.co.uk/properties/169708955#/?channel=COM_BUY","2025-11-25T17:14:01Z","","size_change","Marketed by Aitchison Raffety, St. Albans","","51.642917","-0.316555","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/169708955/287567_103690FH_IMG_07_0000_max_476x317.jpeg"
"169927589","Hertfordshire","Commercial Development","R/o 2, Eldon Avenue, Borehamwood, WD6 1PP","£50,000","Offers in Excess of","","","523 sq. ft.","523","523","49","49","Development Site for Double Garage with planning consent.","https://www.rightmove.co.uk/properties/169927589#/?channel=COM_BUY","2025-12-02T16:02:49Z","","new","Marketed by Stimpsons, Watford","","51.659123","-0.272548","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106571/169927589/106571_338169-1_IMG_06_0000_max_476x317.jpeg"
"169962362","Hertfordshire","Land","South Approach, Northwood, HA6","£70,000","Guide Price","","","","","","","","LOT 23 - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169962362#/?channel=COM_BUY","2025-12-03T14:25:31Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.62514","-0.43067","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962362/130351_502012_002047_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962362/130351_502012_002047_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962362/130351_502012_002047_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962362/130351_502012_002047_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962362/130351_502012_002047_IMG_04_0000_max_476x317.jpeg"
