id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150582497","Isle of Wight","Guest House","Atherley Road","£575,000","Guide Price","","","","","","","","Well presented guest house for sale with a separate 2/3 bedroom owners accommodation in a great location","https://www.rightmove.co.uk/properties/150582497#/?channel=COM_BUY","2024-07-24T10:43:27Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.63354","-1.17843","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/150582497/203909_101276042055_IMG_20_0000_max_476x317.jpeg"
"723058728506641","Isle of Wight","Commercial Property","Salterns Village, Salterns Road, Seaview, Isle of Wight, PO34 5AQ","£2,500,000","","","","435,600 sq. ft.","435600","435600","40469","40469","Retirement Sale. Freehold Holiday Village with 16 Holiday Homes, Reception, Cafe, and Varied Planning Permissions.","https://www.rightmove.co.uk/properties/723058728506641#/?channel=COM_BUY","2025-12-04T14:55:56Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.721475","-1.11506","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058728506641/225509_345658-1_IMG_21_0000_max_476x317.jpeg"
"148002371","Isle of Wight","Cafe","Esplanade, Shanklin, Isle of Wight","£379,000","Guide Price","1","","","","","","","Occupying a prime beach front position, perfect to capture all year round trade from both visitors and local custom; The Salix beach cafe has provided a fantastic income to its current owners with potential to increase. Voted 3rd Best Café / Tearoom on the Isle of Wight, with a 5-Star Food Hygien...","https://www.rightmove.co.uk/properties/148002371#/?channel=COM_BUY","2024-05-15T09:42:54Z","","price_reduced","Marketed by Fine & Country, Isle of Wight","","50.63025","-1.17239","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52848/148002371/52848_60902798_IMG_11_0000_max_476x317.jpeg"
"167613842","Isle of Wight","Land","Palmers Lane, Newchurch","£95,000","","","","","","","","","Approximately 8 Acres of Grazing/Agricultural Land. ","https://www.rightmove.co.uk/properties/167613842#/?channel=COM_BUY","2025-09-30T14:01:15Z","","price_reduced","Marketed by Hose Rhodes Dickson, Newport","","50.66495","-1.20816","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167613842/203909_101276042270_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167613842/203909_101276042270_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167613842/203909_101276042270_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167613842/203909_101276042270_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167613842/203909_101276042270_IMG_04_0000_max_476x317.jpeg"
"169745849","Isle of Wight","Land","Postern Road, Camp Hill, Newport, Isle of Wight, PO30","£575,000","","","","","","","","","Development Opportunity - Former Governors residence with significant potential. The Site: Holly Grange measures approx. 2 acres (0.8 ha) and consists of a single residential property which was the formerly used as the Camp Hill Prison governor’s residence. The existing property...","https://www.rightmove.co.uk/properties/169745849#/?channel=COM_BUY","2025-11-26T15:37:04Z","","new","Marketed by Watson Bull & Porter, Newport","","50.71091","-1.31429","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/64/169745849/64_WNT250274_IMG_06_0000_max_476x317.jpeg"
"169730006","Isle of Wight","Land","Fort Warden, Fort Warden Road, , Fort Warden Road, Totland Bay","£1,100,000","Guide Price","","","75,359 sq. ft.","75359","75359","7001","7001","Prime coastal development opportunity - A rarely available site of approx. 0.701 ha (1.73 acres) with views of the Solent in Totland Bay. Planning permission granted for a 3 storey block of 25 flats (8 x 2 beds & 17 x 3 bed).","https://www.rightmove.co.uk/properties/169730006#/?channel=COM_BUY","2025-11-26T11:02:51Z","","new","Marketed by Savills, Savills Auctions- Commercial","","50.687805","-1.538708","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169730006/238697_484093F0-D748-47DB-B438-E554B5B0637B_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169730006/238697_484093F0-D748-47DB-B438-E554B5B0637B_IMG_00_0001_max_476x317.jpeg"
"169729496","Isle of Wight","Leisure Facility","Ryde Theatre Queens Road,, Ryde Theatre","£650,000","Guide Price","","","16,848 sq. ft.","16848","16848","1565","1565","Of interest to investors and developers - A rarely available iconic Grade II listed landmark in the heart of Ryde and one the Isle of Wight’s most characterful historic buildings, used as a former theatre/ town hall and historical land mark, built in 1883. Net internal Area 1,565.27m2 (16,848.43 ...","https://www.rightmove.co.uk/properties/169729496#/?channel=COM_BUY","2025-11-26T10:56:10Z","","new","Marketed by Savills, Savills Auctions- Commercial","","50.726962","-1.151677","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/823845980/169729496/8238459807965d499fe88b98fe95777f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/037cdaa1b/169729496/037cdaa1b4cc34ee356051591924f130_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4dc645607/169729496/4dc645607d412d3f04e88078eae88626_max_476x317.jpeg"
"169702196","Isle of Wight","Commercial Property","3 Union Street","£125,000","Offers in Region of","","","","","","","","Retail shop with basement in a vibrant commercial location currently let on 7 year term.","https://www.rightmove.co.uk/properties/169702196#/?channel=COM_BUY","2025-11-25T15:31:01Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.73189","-1.1614","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169702196/203909_101276042368_IMG_08_0000_max_476x317.jpeg"
"169697081","Isle of Wight","Commercial Property","42 High Street","£875,000","Offers in Region of","","","","","","","","Well-located Freehold retail investment in a prime pitch in the centre of the Island's County Town","https://www.rightmove.co.uk/properties/169697081#/?channel=COM_BUY","2025-11-25T14:15:34Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.69986","-1.29494","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169697081/203909_101276042366_IMG_00_0000_max_476x317.jpeg"
"169694408","Isle of Wight","Commercial Property","34 High Street","£80,000","Offers in Region of","","","","","","","","Well placed in the centre of Shanklin High Street with on-street parking adjacent and supported by other eateries and restaurants","https://www.rightmove.co.uk/properties/169694408#/?channel=COM_BUY","2025-11-25T13:34:56Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.62887","-1.17907","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694408/203909_101276042362_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694408/203909_101276042362_IMG_01_0000_max_476x317.jpeg"
