id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"164509982","Islington","Office","60 Ironmonger Row, London, EC1V 3QR","£3,950,000","Offers in Region of","","","5,392 sq. ft.","5392","5392","501","501","A stylishly refurbished warehouse conversion with self contained entrances, excellent natural light + terraces","https://www.rightmove.co.uk/properties/164509982#/?channel=COM_BUY","2025-07-15T10:21:55Z","","price_reduced","Marketed by Pilcher London, London","","51.526831","-0.094245","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_19_0000_max_476x317.jpeg"
"169968176","Islington","Retail Property (high street)","Newington Green Road, London, N1","£975,000","","2","","457 sq. ft.","457","457","42","42","Freehold Building For Sale - Shop arranged over ground floor and basement plus 2 x 1 bed flats - Vacant Possession","https://www.rightmove.co.uk/properties/169968176#/?channel=COM_BUY","2025-12-03T16:15:21Z","","new","Marketed by Claridges Commercial Property Consultants, Woodford Green","","51.54803","-0.0876","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169968176/291845_02501_IMG_06_0000_max_476x317.jpeg"
"169939019","Islington","Office","Stroud Green Road, London","£500,000","","","","797 sq. ft.","797","797","74","74","Office Space for Sale (A1/A2) - Stroud Green Road","https://www.rightmove.co.uk/properties/169939019#/?channel=COM_BUY","2025-12-03T01:11:19Z","","new","Marketed by Stelfort, London","","51.57","-0.114239","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169939019/67576_CS0009_IMG_09_0000_max_476x317.jpeg"
"169829807","Islington","Retail Property (high street)","383-385 Liverpool Road, Highbury & Islington, London, N1","£900,000","","","","2,669 sq. ft.","2669","2669","248","248","An adaptable Class E premises offering approximately 2,669 sq ft of well-arranged ground floor workspace in a highly sought-after N1 setting. The accommodation suits a broad range of occupiers, including office users, studios, consulting practices and hybrid operators seeking efficient, flexible ...","https://www.rightmove.co.uk/properties/169829807#/?channel=COM_BUY","2025-11-28T16:07:29Z","","new","Marketed by Whozoo, London","","51.54489","-0.107854","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169829807/241562_LON0009F1_IMG_10_0000_max_476x317.jpeg"
"721958963042337","Islington","Mixed Use","2 Chapel Market, Islington, London N1 9EZ","£1,350,000","Guide Price","","","","","","","","FOR SALE BY AUCTION ON TUESDAY 16TH DECEMBER 2025 (UNLESS SOLD PRIOR). Ground Floor Restaurant and Basement with 3 Self-Contained Flats....","https://www.rightmove.co.uk/properties/721958963042337#/?channel=COM_BUY","2025-11-28T15:04:03Z","","new","Marketed by Barnett Ross, Barnett Ross","","51.533477","-0.110811","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721958963042337/83301_ChapelMarket_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721958963042337/83301_ChapelMarket_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721958963042337/83301_ChapelMarket_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83301/721958963042337/83301_ChapelMarket_IMG_03_0004_max_476x317.jpeg"
"164509982","Islington","Office","60 Ironmonger Row, London, EC1V 3QR","£3,950,000","Offers in Region of","","","5,392 sq. ft.","5392","5392","501","501","A stylishly refurbished warehouse conversion with self contained entrances, excellent natural light + terraces","https://www.rightmove.co.uk/properties/164509982#/?channel=COM_BUY","2025-07-15T10:21:55Z","","price_reduced","Marketed by Pilcher London, London","","51.526831","-0.094245","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/164509982/76308_302477-1_IMG_19_0000_max_476x317.jpeg"
"169670516","Islington","Retail Property (high street)","The Design Works, 93-99 Goswell Road, Clerkenwell, EC1V 7EY","£1,550,000","","","","1,988 sq. ft.","1988","1988","185","185","Rare Opportunity To Lease Or Purchase This Prime Clerkenwell Showroom Property","https://www.rightmove.co.uk/properties/169670516#/?channel=COM_BUY","2025-11-24T19:07:03Z","","new","Marketed by Compton, London","","51.525283","-0.099698","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/169670516/235154_334973-1_IMG_17_0000_max_476x317.jpeg"
"169641461","Islington","Office","Compton Street, EC1V","£1,100,000","Offers in Excess of","","","1,267 sq. ft.","1267","1267","118","118","Rare find Freehold for sale in prime Clerkenwell location, London EC1. Currently used as a hair and beauty salon, with other possible uses subject to planning. Passing rent is £70,000 per annum inclusive of VAT. The area, steeped in history from medieval times, has be...","https://www.rightmove.co.uk/properties/169641461#/?channel=COM_BUY","2025-11-24T10:55:14Z","","new","Marketed by HURFORD SALVI CARR, London- Commercial","","51.524619","-0.102442","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169641461/283745_ALC240008_IMG_38_0000_max_476x317.jpeg"
"158477369","Islington","Office","48 Kingsway Place, London, EC1R 0LU","£635,000","","","","1,493 sq. ft.","1493","1493","139","139","Rare Lower Ground Floor Office Within Converted Victorian School","https://www.rightmove.co.uk/properties/158477369#/?channel=COM_BUY","2025-02-20T04:31:11Z","","price_reduced","Marketed by BELCOR, City Fringe","","51.524772","-0.105936","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/158477369/189137_281022-1_IMG_09_0000_max_476x317.jpeg"
"169578056","Islington","Pub","The Two Brewers PH, 109 Roman Way, London, N7 8LR","£1,150,000","Guide Price","","","3,000–3,500 sq. ft.","3000","3500","279","325","Freehold Inner London Public House and Residential Investment - FOR SALE BY AUCTION 11TH DECEMBER 2025","https://www.rightmove.co.uk/properties/169578056#/?channel=COM_BUY","2025-11-21T17:19:55Z","","size_change","Marketed by Acuitus Limited, Acuitus","","51.54632","-0.1158","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169578056/275780_A13469-LOT11-HIGHBURY_IMG_05_0000_max_476x317.jpeg"
