id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168136877","Kensington and Chelsea","Mixed Use","Campden Hill Road, London, W8","£1,300,000","Offers in Excess of","1","","","","","","","Mixed Use - Unbroken FreeholdKensington1 shop & 1 flatTotal Income: £71,689 per annum5.5% gross yield ","https://www.rightmove.co.uk/properties/168136877#/?channel=COM_BUY","2025-10-13T09:49:11Z","","new","Marketed by Chestertons, Capital Markets","","51.50825","-0.19965","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/168136877/262526_188CHR_IMG_06_0000_max_476x317.jpeg"
"158150183","Kensington and Chelsea","Land","Unit 10 Latimer Road, Notting Hill, London, W10 6RQ","£3,250,000","Guide Price","","","6,006 sq. ft.","6006","6006","558","558","To be sold by auction on Tuesday 25th November 2025","https://www.rightmove.co.uk/properties/158150183#/?channel=COM_BUY","2025-02-12T11:48:05Z","","price_reduced","Marketed by Savills, Margaret Street- Development","","51.518146","-0.224721","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/158150183/208037_CBD2A05E-5B08-460D-A8AB-CB81C9EDE036_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/158150183/208037_CBD2A05E-5B08-460D-A8AB-CB81C9EDE036_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/158150183/208037_CBD2A05E-5B08-460D-A8AB-CB81C9EDE036_IMG_00_0001_max_476x317.jpeg"
"169327901","Kensington and Chelsea","Industrial Development","Unit 10 Latimer Industrial Estate, Latimer Road, London","£3,250,000","Guide Price","","","6,006 sq. ft.","6006","6006","558","558","A freehold property comprising a commercial warehouse and hard standing. The site extends to approx. 0.17 acres (688 sq m) and the building has an approx. GIA of 6,006 sq ft (558 sq m). Planning Permission granted for 8 residential units with Class E commercial floor space. Vacant.","https://www.rightmove.co.uk/properties/169327901#/?channel=COM_BUY","2025-11-14T06:45:52Z","","price_reduced","Marketed by Savills, Savills Auctions- Commercial","","51.517925","-0.224531","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169327901/238697_403824DD-52D2-4C31-BC9F-270C93B30949_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169327901/238697_403824DD-52D2-4C31-BC9F-270C93B30949_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169327901/238697_403824DD-52D2-4C31-BC9F-270C93B30949_IMG_00_0000_max_476x317.jpeg"
"169577681","Kensington and Chelsea","Residential Development","Warwick Road, London, SW5","£9,000,000","","24","","","","","","","A freehold detached 4-storey property located near the junction of Warwick Road and Cromwell Road. It consists of 14 self contained studio flats, 8 one-bedroom flats and 2 two-bedroom flats.","https://www.rightmove.co.uk/properties/169577681#/?channel=COM_BUY","2025-11-21T15:47:13Z","","new","Marketed by Metropole Properties Holdings Limited, London","","51.49226","-0.20014","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291005/169577681/291005_Warwick_IMG_00_0000_max_476x317.jpeg"
"169070690","Kensington and Chelsea","Cafe","Mortimer Square, London, W11","£740,000","Offers in Region of","","","","","","","","Established Cafe over ground with self-contained residential upper floors.","https://www.rightmove.co.uk/properties/169070690#/?channel=COM_BUY","2025-11-06T16:16:15Z","","new","Marketed by AWCHILDS LTD, London","","51.51022","-0.21673","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/178k/177749/169070690/177749_AB_IMG_00_0000_max_476x317.jpeg"
"169048118","Kensington and Chelsea","Retail Property (high street)","Notting Hill Mixed-Use Opportunity, 22 Pembridge Road, London, W11 3HL","POA","","","","3,098 sq. ft.","3098","3098","288","288","Notting Hill Mixed-Use Opportunity","https://www.rightmove.co.uk/properties/169048118#/?channel=COM_BUY","2025-11-06T10:43:26Z","","new","Marketed by Robert Irving Burns, Robert Irving Burns","","51.509654","-0.196982","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/169048118/207110_335365-1_IMG_18_0000_max_476x317.jpeg"
"168387968","Kensington and Chelsea","Retail Property (high street)","Kensington High Street, London, W8","£2,975,000","Guide Price","","","2,099 sq. ft.","2099","2099","195","195","FOR SALE: Retail unit on Kensington High St to Läderach (UK) Limited on a lease expiring in 2034 for a rental income of £185,000 p.a.","https://www.rightmove.co.uk/properties/168387968#/?channel=COM_BUY","2025-10-20T13:47:21Z","","new","Marketed by Prideview Group, Middlesex","","51.50035","-0.19406","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168387968/241790_Kensington4_IMG_07_0000_max_476x317.jpeg"
"168385604","Kensington and Chelsea","Retail Property (high street)","Kensington High Street, London, W8","£2,800,000","Guide Price","","","795 sq. ft.","795","795","74","74","FOR SALE: Retail unit on Kensington High St let to Philip Morris Limited (t/a IQOS) on a lease expiring in 2028 for £175,000 p.a. ","https://www.rightmove.co.uk/properties/168385604#/?channel=COM_BUY","2025-10-20T13:32:52Z","","new","Marketed by Prideview Group, Middlesex","","51.50035","-0.19406","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168385604/241790_Kensington3_IMG_01_0000_max_476x317.jpeg"
"168384923","Kensington and Chelsea","Retail Property (high street)","Kensington High Street, London, W8","£2,450,000","Guide Price","","","1,714 sq. ft.","1714","1714","159","159","FOR SALE: Retail unit on Kensington High St let to Rituals Cosmetics UK Limited on a lease expiring in 2029 for £150,000 p.a.","https://www.rightmove.co.uk/properties/168384923#/?channel=COM_BUY","2025-10-20T13:00:12Z","","price_reduced","Marketed by Prideview Group, Middlesex","","51.50035","-0.19406","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241790/168384923/241790_Kensington2_IMG_07_0000_max_476x317.jpeg"
"168383138","Kensington and Chelsea","Retail Property (high street)","Kensington High Street, London, W8","£3,200,000","Guide Price","","","3,000 sq. ft.","3000","3000","279","279","FOR SALE: Retail unit on High Kensington let to Paris Baguette UK Co Ltd for £218,395.93 p.a until December 2036","https://www.rightmove.co.uk/properties/168383138#/?channel=COM_BUY","2025-10-20T12:35:53Z","","new","Marketed by Prideview Group, Middlesex","","51.50035","-0.19406","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c8606247f/168383138/c8606247f334afd16de9cf0973532b5f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa161863a/168383138/aa161863ac75913313f9d09a7bd83cb1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e32f3201/168383138/3e32f32017f173303277ce2ef6bc05e2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5e3e7c46a/168383138/5e3e7c46aefc2aff83f5fcb8b11d6adf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cddcdb607/168383138/cddcdb607bf64b8a316e3b451059de43_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5348c5c0e/168383138/5348c5c0e3dafc3a4dbc4c05b018b01f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e6a15a19a/168383138/e6a15a19a2ab4e2664baf8f8aefb5b40_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/07b0efb36/168383138/07b0efb3614c16615554f1a7cd472c7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bcc587b9c/168383138/bcc587b9c297b7eb3ff7694834951fb1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbff2e33a/168383138/fbff2e33a35bb138859f1aa857490973_max_476x317.jpeg"
