id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169956524","Kent","Land","Crockenhill Road, Orpington, BR8","£20,000","Guide Price","","","","","","","","LOT 2 - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169956524#/?channel=COM_BUY","2025-12-03T12:45:46Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.38428","0.14543","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169956524/130351_502012_002032_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169956524/130351_502012_002032_IMG_01_0000_max_476x317.jpeg"
"170018861","Kent","Commercial Development","Stone Street, Gravesend, SE22","£450,000","Guide Price","","","","","","","","An exceptional commercial property in Gravesend with approved planning permission for mixed-use development, promising excellent rental returns and superb transport links.","https://www.rightmove.co.uk/properties/170018861#/?channel=COM_BUY","2025-12-04T17:03:12Z","","new","Marketed by Kallars, Sidcup","","51.441059","0.369017","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80169/170018861/80169_KLL_SDC_LFSYCL_710_902473152_IMG_09_0000_max_476x317.jpeg"
"169962740","Kent","Land","Ness Road, Erith, Kent, DA8","£25,000","Guide Price","","","","","","","","LOT 29 - Parcel AL - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169962740#/?channel=COM_BUY","2025-12-03T14:30:34Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.47972","0.21212","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962740/130351_502012_002053_IMG_05_0000_max_476x317.jpeg"
"161890373","Kent","Commercial Property","Harbour Street, Ramsgate, CT11","£425,000","","3","2","","","","","","FREEHOLD MIXED INVESTMENT PROPERTY LOCATED IN PRIME TOWN CENTRE LOCATIONThis substantial mixed commercial and residential property is located in the heart of busy Harbour Street, Ramsgate, just a short distance from the Royal harbour and High Street. The property comprises a shop premis...","https://www.rightmove.co.uk/properties/161890373#/?channel=COM_BUY","2025-05-13T16:40:23Z","","price_reduced","Marketed by Terence Painter Estate Agents, Broadstairs","","51.333177","1.419864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12759/161890373/12759_13409849_IMG_15_0000_max_476x317.jpeg"
"161913848","Kent","Commercial Property","Harbour Street, Ramsgate, Kent, CT11","£425,000","","3","3","","","","","","FREEHOLD MIXED INVESTMENT PROPERTY LOCATED IN PRIME TOWN CENTRE LOCATIONThis substantial mixed commercial and residential property is located in the heart of busy Harbour Street, Ramsgate, just a short distance from the Royal harbour and High Street. The property comprises a shop premises trading ","https://www.rightmove.co.uk/properties/161913848#/?channel=COM_BUY","2025-05-14T10:27:02Z","","price_reduced","Marketed by Terence Painter Estate Agents, Kent","","51.33303","1.42013","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258536/161913848/258536_5harbourstreet_IMG_20_0000_max_476x317.jpeg"
"169956524","Kent","Land","Crockenhill Road, Orpington, BR8","£20,000","Guide Price","","","","","","","","LOT 2 - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169956524#/?channel=COM_BUY","2025-12-03T12:45:46Z","","new","Marketed by Barney Estates and Auctioneers, London","","51.38428","0.14543","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169956524/130351_502012_002032_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169956524/130351_502012_002032_IMG_01_0000_max_476x317.jpeg"
"87182631","Kent","Commercial Property","High Street, Ramsgate","£190,000","Offers in Region of","3","1","","","","","","INVESTORS DELIGHT 1 x 3 Bedroom Flat having a lounge and a bathroom. The flat is let out on an AST Ideally this flat would be sold with a one bedroom flat and a 2 bedroom flat plus the shops below. The asking price of £600,000.00. is for the whole block. Also available is a piece of l...","https://www.rightmove.co.uk/properties/87182631#/?channel=COM_BUY","2025-07-17T14:13:13Z","","price_reduced","Marketed by LOVETTS RAMSGATE, Ramsgate","","51.333713","1.419711","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a2615200c/87182631/a2615200c7a9afec874a0abf1c00ef15_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b899fc637/87182631/b899fc63785542f7f096cc8e24a947c8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/235f59e4c/87182631/235f59e4cff6ff3d47363be24f60fad0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f37f39035/87182631/f37f39035d3ba1f6113ae663e5c7638a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dfc022f79/87182631/dfc022f7905bb7479194f28376f55b0f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b500cf3cf/87182631/b500cf3cfdac07310a63876bc7330664_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa9c5c833/87182631/aa9c5c83350d7623877ba54b150ab373_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/972a5939e/87182631/972a5939e6d51bbedbec1c5e4ea4d12b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23e0be60d/87182631/23e0be60d9d5715f4cbb427b3b55c1b3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/832258911/87182631/83225891141b67d0a35c3580b69d5b05_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b65ef9c13/87182631/b65ef9c13bf905c6df9b4ad5ebc87789_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0e100037d/87182631/0e100037ddaa5f857a2010dfe0d03f95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1d35ef8bb/87182631/1d35ef8bbd0697b852a4d4ae4aaf7f43_max_476x317.jpeg"
"722869208777329","Kent","Light Industrial","London Medway Commercial Park - Plot 1c / 1d Options, Medway, Kingsnorth, ME3 9ND","POA","","","","96,500–197,200 sq. ft.","96500","197200","8965","18320","Freehold and Leasehold - Design and Build","https://www.rightmove.co.uk/properties/722869208777329#/?channel=COM_BUY","2025-12-03T11:52:06Z","","size_change","Marketed by CBRE Industrial, London","","51.4285","0.602615","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869208777329/217223_70780-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869208777329/217223_70780-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869208777329/217223_70780-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869208777329/217223_70780-1_IMG_00_0000_max_476x317.jpeg"
"722869202702609","Kent","Light Industrial","London Medway Commercial Park - Plot 2 Options, Medway, Kingsnorth, ME3 9ND","POA","","","","163,750–436,100 sq. ft.","163750","436100","15213","40515","Freehold and Leasehold - Design and Build","https://www.rightmove.co.uk/properties/722869202702609#/?channel=COM_BUY","2025-12-03T11:52:04Z","","size_change","Marketed by CBRE Industrial, London","","51.4285","0.602615","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b7bbba1e/722869202702609/2b7bbba1e2a05e5295aa315facaee9c4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3904af27d/722869202702609/3904af27d02fc4d71b9393511a7ac088_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/097a4c553/722869202702609/097a4c553f441562f0d602a6160dd12f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b382416a6/722869202702609/b382416a6423cae68776b6794875b3b6_max_476x317.jpeg"
"722869131182432","Kent","Light Industrial","London Medway Commercial Park, Medway, Kingsnorth, ME3 9ND","POA","","","","60,562–436,100 sq. ft.","60562","436100","5626","40515","Freehold and Leasehold - Design and Build","https://www.rightmove.co.uk/properties/722869131182432#/?channel=COM_BUY","2025-12-03T11:50:05Z","","size_change","Marketed by CBRE Industrial, London","","51.4285","0.602615","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869131182432/217223_45491-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869131182432/217223_45491-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869131182432/217223_45491-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869131182432/217223_45491-1_IMG_03_0000_max_476x317.jpeg"
