id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"165164066","Lancashire","Retail Property (high street)","50 Poulton Street, Kirkham, Preston, PR4 2AH","£275,000","Offers in Region of","","","The property comprises a well-presented mid-terrace, double-fronted retail unit built with cavity red brick elevations. The front elevation has been rendered, giving it a clean, modern look while retaining character with a traditional timber-framed shopfront. The pitched roof is finished with con...","https://www.rightmove.co.uk/properties/165164066#/?channel=COM_BUY","2025-07-31T10:04:34Z","","price_reduced","Marketed by Turner Westwell Commercial Agents, Chorley","","53.782181","-2.87484","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9c1dd21cd/165164066/9c1dd21cd49fc83386386ea9498f08bd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d7c7a9eb7/165164066/d7c7a9eb7045d916e490597591101e9d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c88ff863/165164066/7c88ff86357392902a85bba260d90aaa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/373987b9f/165164066/373987b9f4e554be4258489382751ae6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/06d18f8b1/165164066/06d18f8b13f233d14a62f686d99caa46_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b42064e00/165164066/b42064e003a91f98c7509e2d7194835d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a29001758/165164066/a29001758ae755d2cfdb3d5379bcccd2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c612495f/165164066/7c612495faa7dafc8c824c8f4249ffd1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2f5986e1e/165164066/2f5986e1ebc31be2a2525bd7746a11ca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b7114aa08/165164066/b7114aa08588de260fedf50fa138252e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/49d6ed931/165164066/49d6ed931ea589a51602ff6232fafa45_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5d971202d/165164066/5d971202d773dc765e2d44a6d1283558_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b36813b8e/165164066/b36813b8eb7bce9c89d328788fc223a8_max_476x317.jpeg"
"169956290","Lancashire","Commercial Property","Former St. Lawrences Church, Edward Street, Morecambe, Lancashire LA4 4AJ","£145,000","Guide Price","","","Online Auction - 13th to 14th January 2026","https://www.rightmove.co.uk/properties/169956290#/?channel=COM_BUY","2025-12-03T12:42:21Z","","new","Marketed by Auction House North West, Commercial","","54.071423","-2.868396","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169956290/165644_202512031231sq_rz11_IMG_05_0000_max_476x317.jpeg"
"169954700","Lancashire","Mixed Use","44 Woodlands Road, Lytham St Annes, FY8 4BX","£259,950","","","","A substantial mid terraced 4 storey property located in a popular local shopping parade at Ansdell which is situated between Lytham and St Annes. The property consist of a Carpet shop to the ground and lower ground floors with two self contained flats to the uppers (1 x 3 bedroom and 1 x 1 bedroom).","https://www.rightmove.co.uk/properties/169954700#/?channel=COM_BUY","2025-12-03T12:11:07Z","","new","Marketed by Kays Peake Properties Ltd, Blackpool","","53.74211","-2.99185","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ecebc309a/169954700/ecebc309a25a27400f7478dcf5506525_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e83353579/169954700/e8335357907400d1239cc11e12b56118_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/514a9dd89/169954700/514a9dd891bdcb514be66d4eea4bfbf8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b0573bc6e/169954700/b0573bc6e2d87650307877503bb32204_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b431f45e8/169954700/b431f45e82f97fe9949007091d138889_max_476x317.jpeg"
"157174859","Lancashire","Retail Property (high street)","Beach Road, Thornton-Cleveleys, Lancashire, FY5 1EG","£100,000","Guide Price","","","*For sale via secure sale online bidding: terms and conditions apply.* We are pleased to offer to auction this Investment Property comprising a Ground Floor Retail Unit, Separate Office and a 1/2-bedroom Apartment and a Storage Unit. This substantial semi-detached property is situated on a ...","https://www.rightmove.co.uk/properties/157174859#/?channel=COM_BUY","2025-01-21T18:06:06Z","","price_reduced","Marketed by Pattinsons, Pattinsons Auction- National Auctioneer","","53.8805","-3.042","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/157174859/251528_472118_IMG_22_0000_max_476x317.jpeg"
"169946189","Lancashire","Land","Land at Edge Farm, Rabbit Lane, Burscough, L40 8JJ","£70,000","Guide Price","","","Agricultural Land on Rabbit Lane, Burscough","https://www.rightmove.co.uk/properties/169946189#/?channel=COM_BUY","2025-12-03T10:05:05Z","","new","Marketed by Ian Anthony Estates, Ormskirk","","53.596245","-2.880047","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12157/169946189/12157_S1513966_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12157/169946189/12157_S1513966_IMG_01_0000_max_476x317.jpeg"
"166806404","Lancashire","Light Industrial","Spen Enterprise Park, Knowsley Park Way, Haslingden, BB4 4RS","POA","","","","The development will comprise a series of modern industrial/business units constructed in a short terrace. They are of steel portal frame construction with brickwork and insulated profile steel clad walls and roof, including double skin translucent roof panels. Access to each unit is via a roll...","https://www.rightmove.co.uk/properties/166806404#/?channel=COM_BUY","2025-09-10T08:41:46Z","","size_change","Marketed by Taylor Weaver Limited, England","","53.693648","-2.323897","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78105/166806404/78105_5562FH_IMG_22_0000_max_476x317.jpeg"
"169935185","Lancashire","Shop","High Street, Rishton, Blackburn","£115,000","","","","An end terraced 2 story office/retail premises, situated in a prominent position on High Street, Rishton, offered for sale as a tenanted investment. ","https://www.rightmove.co.uk/properties/169935185#/?channel=COM_BUY","2025-12-02T18:00:26Z","","new","Marketed by Eric Clarke, Bolton","","53.7685","-2.4142","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/40k/39887/169935185/39887_HIG324_IMG_12_0000_max_476x317.jpeg"
"152044109","Lancashire","Hotel","Raffles Hotel, Hornby Road, Blackpool, Lancashire, FY1","£299,999","Offers Over","14","","Kenricks are pleased to offer this beautifully appointed 14 bedroom Licensed Hotel for sale.This substantial 3 storey double fronted Hotel is situated in the busy all year round trading location of Hornby Road, Central Blackpool being close to entertainments and amenities.","https://www.rightmove.co.uk/properties/152044109#/?channel=COM_BUY","2024-09-04T16:37:54Z","","price_reduced","Marketed by Kenricks Commercial Estate Agents, Blackpool","","53.81433","-3.04895","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1492af951/152044109/1492af9511a68bb837836ec9fd0b5fa2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/818415257/152044109/818415257429abcf9d77f0cc94680110_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9d1e6eabc/152044109/9d1e6eabc7f5b20c80a184ffa2d76fc8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d56ff96cc/152044109/d56ff96cc5e10fbae3151397cbfdc2f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cac3bb939/152044109/cac3bb9396327820ff7a1ad704416c4f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5caf3b2c5/152044109/5caf3b2c5945462043174313506fb556_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0cbb507ae/152044109/0cbb507aeb3b1cdff661a85013e0db58_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6223adfe6/152044109/6223adfe67745e78265364e9f434ff8d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f381e2bb/152044109/0f381e2bb73750b143d09a82653f9ff2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d68c1db42/152044109/d68c1db42163a2f8ea4dc019d6058d88_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ac6faa6c0/152044109/ac6faa6c0a35cb8a3bdbd7e41501b2ec_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d7211bfde/152044109/d7211bfde7d4d05c1383d1402e160bbf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/88b159050/152044109/88b159050bbd30836b9f475c5f8eed68_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/621a3214d/152044109/621a3214d8f56b64bf59e210803fb494_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2c90b315f/152044109/2c90b315f2988cdea8a82b61e09521ce_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/132876903/152044109/132876903dbd28057dc62cad466018ad_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b46f4cd7/152044109/2b46f4cd7f7046ce005e7848e4fd25df_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/755482c90/152044109/755482c908054be0a4a1220824ad0fc5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/978f3440d/152044109/978f3440d537946c5430c46c54956bb7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e13d57c61/152044109/e13d57c61fafb740e10b5c665a7e94d5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/77b6709a0/152044109/77b6709a0523f17e820bf07efdce1f1f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6391608d7/152044109/6391608d71257dad4a61fc37c338171f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/03eb8467d/152044109/03eb8467d540ef67601ddcc9cdfea3f9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d04264fdc/152044109/d04264fdc50cbede48b289a81f587c2e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e641c7a72/152044109/e641c7a72264cbf928b04f261c7533e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a8ad8aec9/152044109/a8ad8aec9aacd92c630abdac5acbee76_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7f90589d/152044109/a7f90589d4d9d2881ef592eea18ef87f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d09a17754/152044109/d09a17754235a5ccbd3e7409c1ac95d4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3590668bb/152044109/3590668bb3a49319e12e18828a042ab5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6f8971880/152044109/6f8971880b090574800e5f8562a3b691_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8d7d84a52/152044109/8d7d84a5283a7d0d668e5acb8d7925d3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a4680c2b/152044109/2a4680c2b38b68cc01d2089dacc17953_max_476x317.jpeg"
"166765868","Lancashire","Restaurant","Lord Street, Fleetwood, Lancashire, FY7 6LH","£120,000","Guide Price","","","For sale via secure sale online bidding - terms and conditions apply. An opportunity to acquire a hot food takeaway, bakery and sandwich shop, established over 30 years in a prime location on the main high street in Fleetwood. The property is of a generous size and the corner location off...","https://www.rightmove.co.uk/properties/166765868#/?channel=COM_BUY","2025-09-09T12:13:07Z","","price_reduced","Marketed by Pattinsons, Pattinsons Auction- National Auctioneer","","53.9211","-3.0156","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/166765868/251528_491010_IMG_11_0000_max_476x317.jpeg"
"165114833","Lancashire","Light Industrial","13 London Street, Fleetwood, Lancashire, FY7","£90,000","Guide Price","","","**FOR SALE BY ONLINE AUCTION** On Behalf of Pattinson Auctions Kenricks are pleased to offer this Warehouse for Sale.This brick built mid terraced warehouse / workshop is currently being used as storage and formerly used as an industrial printers is situated in London Street in Fleetwood.","https://www.rightmove.co.uk/properties/165114833#/?channel=COM_BUY","2025-07-30T10:39:18Z","","price_reduced","Marketed by Kenricks Commercial Estate Agents, Blackpool","","53.92207","-3.01195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128788/165114833/128788_MIS414M_IMG_04_0000_max_476x317.jpeg"
