id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169032101","Lewisham","Office","Rivoli Offices, Unit E, 59 Ladywell Road, London, SE13 7UT","POA","","","","Long Leasehold Unit For Sale Opposite Ladywell Station","https://www.rightmove.co.uk/properties/169032101#/?channel=COM_BUY","2025-11-05T17:19:14Z","","size_change","Marketed by Hindwoods, London","","51.456676","-0.017963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/107985462/169032101/107985462c879a9a3a4b38a24766f469_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1a79024c/169032101/c1a79024c0eb8f0515bc0aaf5c978e7e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/627ae69d4/169032101/627ae69d4857d81424ee34d4829841be_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/002a27093/169032101/002a270939a1c2c6d35b536fe5ec9f9d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eda1cc7ab/169032101/eda1cc7ab712a729abca14609ea44f92_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/84a86a5f8/169032101/84a86a5f844626d9eb81b78adc9ad94d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3597d11b7/169032101/3597d11b70de56ec4cf97b008846f910_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/82eeb003e/169032101/82eeb003ec029f0b00a904dcc6000f4d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b74ac1581/169032101/b74ac15819690a67ebf3f313d796ac90_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f0bb06961/169032101/f0bb06961a2e6e691068bc5dec3edae4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4eccfcc3/169032101/d4eccfcc3f8967e33ae0c657552a7ed8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aadaac2cd/169032101/aadaac2cd420b3a98262709c31e9d3c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9156432a5/169032101/9156432a5c66d504f7fecfee2ae45337_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c01fe91d/169032101/7c01fe91d00f21144de257dd7bd8cc81_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/54c02ed9a/169032101/54c02ed9a1b127fbbffc883f20d289cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8cbc27aaf/169032101/8cbc27aafcc754885e90393cd9af3dbd_max_476x317.jpeg"
"169736996","Lewisham","Land","42 St. German's Road, London, Greater London, SE23 1RX","£200,000","Offers in Excess of","","","This parcel of land offers a strong opportunity for a small residential development, supported by a previous planning consent (DC/19/113222, dated 10 July 2020) for the construction of a two-storey plus basement two-bedroom house, with a roof terrace. Positioned on the corner of Park Rise Road an...","https://www.rightmove.co.uk/properties/169736996#/?channel=COM_BUY","2025-11-26T13:06:35Z","","new","Marketed by Kalmars Commercial Limited, London","","51.443034","-0.039873","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169736996/271649_8504FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169736996/271649_8504FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169736996/271649_8504FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169736996/271649_8504FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169736996/271649_8504FH_IMG_04_0000_max_476x317.jpeg"
"169642205","Lewisham","Land","8a Courtrai Road, London, SE23","£2,800,000","Offers in Region of","","","A rare chance to secure a unique plot in one of SE23's most sought-after residential streets. ","https://www.rightmove.co.uk/properties/169642205#/?channel=COM_BUY","2025-11-24T11:11:59Z","","new","Marketed by ROCKWELL GREEN PROPERTIES LIMITED, London","","51.45238","-0.04094","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169642205/288347_CourtraiRDLND_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169642205/288347_CourtraiRDLND_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169642205/288347_CourtraiRDLND_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169642205/288347_CourtraiRDLND_IMG_01_0000_max_476x317.png"
"169549058","Lewisham","Mixed Use","32 Deptford High Street, Deptford, London, SE8 4AF","£300,000","Guide Price","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Mid Terrace Building Arranged to Provide a Lower Ground and Ground Floor Commercial Unit with First Floor Anci...","https://www.rightmove.co.uk/properties/169549058#/?channel=COM_BUY","2025-11-20T17:19:11Z","","new","Marketed by Auction House London, London","","51.475887","-0.025681","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/95bbc8f1d/169549058/95bbc8f1d2fb175b7909e55fd41f5504_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5344f7406/169549058/5344f7406caa1e194e4faca15aa29106_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/492739827/169549058/4927398273ec663481f8ee5d9a8be1b3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/147f8231b/169549058/147f8231bd654775848f68a988d2cb64_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/63374e6c3/169549058/63374e6c3e739c360971ba8cbd78071b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1968df7d0/169549058/1968df7d091f9765cec2a5bd46df37bb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7880c01e/169549058/a7880c01e5088fe0d54c116c8f960953_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/94fe2b1f2/169549058/94fe2b1f2953c2e6111a6bc344b323bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ae6caec5/169549058/4ae6caec5666695fd669543963913fc2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ca6e6a63/169549058/0ca6e6a638ce0cb607194fbaa3a8a49f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3dd1a849f/169549058/3dd1a849fef6bf7a8d1780589615a93e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ad0b9b30/169549058/5ad0b9b30eae6b31539bae4902c0e951_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9c567b77c/169549058/9c567b77cca2e3b0f15cf22e60ea549b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/16b21711d/169549058/16b21711d0ce673011923b846330752c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7b8424a5/169549058/c7b8424a59a0ef137ed5f3ce12772c74_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/79d2be7d4/169549058/79d2be7d44cae4c559b2ff02c3605986_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7656e688b/169549058/7656e688b83356e25bef260d3a5a42ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d24de3c5/169549058/2d24de3c5b07816d2efcaad5251729aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2184ad320/169549058/2184ad32056d3b9675932c743b511d2e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e2b251f76/169549058/e2b251f761661362184442286d2c44ca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6bd08c7f3/169549058/6bd08c7f3d8e5d09dbc0fb6a8715929a_max_476x317.jpeg"
"169497521","Lewisham","Shop","226 Brownhill Road, Lewisham, London, SE6 1AT","£160,000","Guide Price","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Lower Ground and Ground Floor Commercial Unit Let Producing £18,000 Per Annum (Reflecting a Gross Initia...","https://www.rightmove.co.uk/properties/169497521#/?channel=COM_BUY","2025-11-19T15:31:55Z","","new","Marketed by Auction House London, London","","51.44487","-0.00703","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fb3e3d50f/169497521/fb3e3d50f0e3cafabc94c33db7f1e5bb_max_476x317.jpeg"
"168986300","Lewisham","Residential Development","240-242 Brockley Road, London, SE4 2SU","£2,250,000","Offers in Excess of","","","Consented development opportunity to create 14 private design-led apartments in the heart of Brockley.","https://www.rightmove.co.uk/properties/168986300#/?channel=COM_BUY","2025-11-11T14:15:41Z","","new","Marketed by GLPG, Marylebone","","51.46121","-0.03527","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257165/168986300/257165_Brockley_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257165/168986300/257165_Brockley_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257165/168986300/257165_Brockley_IMG_02_0000_max_476x317.jpeg"
"163276022","Lewisham","Shop","47 Brockley Rise, Forest Hill, London","£190,000","Offers Over","","","A unique opportunity to acquire this commercial unit in one of South London's most sought-after area, Honor Oak, which is housed within the ground floor of this period 3-storey building. Internally the unit sits c.63sqm/678sqft of floor space, which is currently occupied by a fast-food franchise,...","https://www.rightmove.co.uk/properties/163276022#/?channel=COM_BUY","2025-06-13T11:26:51Z","","price_reduced","Marketed by Acorn Limited, Acorn Commercial","","51.443287","-0.042744","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/163276022/83142_36688FH_IMG_00_0000_max_476x317.jpeg"
"169174319","Lewisham","Childcare Facility","Unit 1 Fairway House , Clyde Terrace , Forest Hill, London, SE23 3EH","£595,000","","","","The space is divided into two areas on the ground floor of new residential blocks, both being approximately square, benefiting from good ceiling heights, large windows and all the modern services, including gas, fitted to service play points. The units are in shell and core condition and ready to...","https://www.rightmove.co.uk/properties/169174319#/?channel=COM_BUY","2025-11-10T11:31:20Z","","size_change","Marketed by Kalmars Commercial Limited, London","","51.437134","-0.053899","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169174319/271649_8499FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169174319/271649_8499FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169174319/271649_8499FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169174319/271649_8499FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169174319/271649_8499FH_IMG_03_0000_max_476x317.jpeg"
"152509226","Lewisham","Childcare Facility","Unit 2 Fairway House , Clyde Terrace , Forest Hill, London, SE23 3EH","£925,000","","","","The space is divided into two areas on the ground floor of new residential blocks, both being approximately square, benefiting from good ceiling heights, large windows and all the modern services, including gas, fitted to service play points. The units are in shell and core condition and ready to...","https://www.rightmove.co.uk/properties/152509226#/?channel=COM_BUY","2024-09-16T16:56:03Z","","size_change","Marketed by Kalmars Commercial Limited, London","","51.437134","-0.053899","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/152509226/271649_4951FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/152509226/271649_4951FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/152509226/271649_4951FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/152509226/271649_4951FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/152509226/271649_4951FH_IMG_04_0000_max_476x317.jpeg"
"169134326","Lewisham","Land","45 Camplin Street, London, Greater London, SE14 5QX","£250,000","Guide Price","","","A small infill site that historically was used as a yard, currently occupied by planting boxes but with excellent development potential, located within the Hatcham Conservation Area. The property extends to approximately 2,315 sq ft (0.05 acres) and sits between two terraced houses on Camplin Str...","https://www.rightmove.co.uk/properties/169134326#/?channel=COM_BUY","2025-11-07T16:43:56Z","","new","Marketed by Kalmars Commercial Limited, London","","51.478188","-0.046521","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169134326/271649_8456FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169134326/271649_8456FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169134326/271649_8456FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169134326/271649_8456FH_IMG_03_0000_max_476x317.jpeg"
