id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169195913","Merseyside","Retail Property (high street)","Bevington Bush, Liverpool, Merseyside, L3","£275,000","","","","Westminster Park forms a stunning gateway into Liverpool City Centre. This exciting new development is located in the Bevington Bush area, opposite Unite`s Liberty Point student scheme, LJMUs James Parsons Building and the new Merseyside Police Headquarters.","https://www.rightmove.co.uk/properties/169195913#/?channel=COM_BUY","2025-11-10T16:37:06Z","","new","Marketed by Elixir Property Ltd, Cheshire","","53.41549","-2.9889","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296639/169195913/296639_BevingtonBush_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296639/169195913/296639_BevingtonBush_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296639/169195913/296639_BevingtonBush_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296639/169195913/296639_BevingtonBush_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296639/169195913/296639_BevingtonBush_IMG_04_0000_max_476x317.jpeg"
"169945409","Merseyside","Commercial Property","King Street, Wallasey","£139,950","Offers in Region of","","","Nestled on the bustling King Street in Wallasey, this commercial unit presents an excellent opportunity for entrepreneurs and investors alike. Boasting a large shop front area, the property enjoys high visibility, making it ideal for retail or service-based businesses. The interior is thoughtfull...","https://www.rightmove.co.uk/properties/169945409#/?channel=COM_BUY","2025-12-03T09:50:59Z","","new","Marketed by Bakewell and Horner, Wallasey","","53.419437","-3.027456","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169945409/3341_34337768_IMG_18_0000_max_476x317.jpeg"
"169411496","Merseyside","Commercial Property","Marshside Road, Southport","£145,000","","2","2"," A semi-detached house in a popular location currently split into two one bedroom flats. Both flats will need refurbishment. There is a large driveway with parking for several vehicles and gates through to a good sized rear paved area. Ground floor flat: This flat has been adapted and includ...","https://www.rightmove.co.uk/properties/169411496#/?channel=COM_BUY","2025-11-17T15:24:06Z","","price_reduced","Marketed by Lynn Thompson Estate/Letting Agents, Southport","","53.66766","-2.970395","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15416/169411496/15416_12788537_IMG_16_0000_max_476x317.jpeg"
"164670248","Merseyside","Office","Temple Street, Liverpool, Merseyside, L2 5RH","£275,000","Guide Price","","","For sale via secure sale online bidding - terms and conditons apply. 3 Temple Square offers modern and well-appointed office accommodation in the heart of Liverpool City Centre. Ideally located just off Dale Street, this property is perfectly positioned between the city's vibrant Business...","https://www.rightmove.co.uk/properties/164670248#/?channel=COM_BUY","2025-07-18T09:33:13Z","","price_reduced","Marketed by Pattinsons, Pattinsons Auction- National Auctioneer","","53.4072","-2.9898","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/164670248/251528_483089_IMG_19_0000_max_476x317.jpeg"
"169920278","Merseyside","Commercial Property","Mast at, Kelvinside, Wallasey, Merseyside, CH44 7JY","£15,000","Guide Price","","","For Sale by Public Online Auction on 25/02/2026 13:00 . The site comprises a relatively level, rectangular shaped parcel of land, extending to approximately 0.012 hectares (0.03 acres). The site is currently occupied by a telecommunications aerial mast and there are no other buildings on the s...","https://www.rightmove.co.uk/properties/169920278#/?channel=COM_BUY","2025-12-02T14:08:50Z","","new","Marketed by Lambert Smith Hampton, Auctions","","53.405293","-3.024881","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97984/169920278/97984_317130_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97984/169920278/97984_317130_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97984/169920278/97984_317130_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97984/169920278/97984_317130_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97984/169920278/97984_317130_IMG_04_0001_max_476x317.jpeg"
"169887827","Merseyside","Mixed Use","122/a Oakfield Road, Walton, Liverpool, Merseyside, L4 0UQ","£495,000","Guide Price","6","","For sale via Secured Sale starting on 29/01/2026 10:00and finishing at 03:00 PM. Guide Price: £495,000 Large Mixed Use Property in Close Proximity to Anfield Stadium This large double-fronted three-storey corner property is prominently positioned at the junction of Oakfield Road and ...","https://www.rightmove.co.uk/properties/169887827#/?channel=COM_BUY","2025-12-01T16:12:29Z","","new","Marketed by Howsold, Liverpool","","53.427368","-2.957657","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288620/169887827/288620_320704_IMG_14_0000_max_476x317.jpeg"
"163274108","Merseyside","Commercial Property","Blundell Street, Liverpool","£65,000","Offers in Excess of","","","A rare opportunity has arisen to acquire this stunning space in the centre of the expanding Baltic Triangle area of the city, with its bars, restaurants and developing residential/retail quarter the Club has become well known as a late night music and party venue with food, drinks, live music and...","https://www.rightmove.co.uk/properties/163274108#/?channel=COM_BUY","2025-06-13T11:10:48Z","","price_reduced","Marketed by John Brown Estate Agents, St Helens","","53.396663","-2.984364","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43961/163274108/43961_33731457_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43961/163274108/43961_33731457_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43961/163274108/43961_33731457_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43961/163274108/43961_33731457_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43961/163274108/43961_33731457_IMG_04_0000_max_476x317.jpeg"
"169831598","Merseyside","Land","4 –12 Upper Aughton Road, Birkdale, Southport, PR8","£450,000","Guide Price","","","The property includes two dilapidated mixed-use units with residential upper floors and an extensive rear yard containing derelict stables/outbuildings. The existing structures require full refurbishment or redevelopment. There may be scope for refurbishment of existing buildings where commerci...","https://www.rightmove.co.uk/properties/169831598#/?channel=COM_BUY","2025-11-28T16:24:09Z","","new","Marketed by Fitton Estates, Merseyside/Lancashire","","53.63192","-3.003402","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169831598/203123_2667FH_IMG_07_0000_max_476x317.jpeg"
"169829699","Merseyside","Land","ST. HELENS, Merseyside","£20,000","Guide Price","","","AUCTION SALE 16 December 2025 - Freehold irregular shaped parcel of landApproximately 3.9 acresPotential for development or alternative uses (STPP)","https://www.rightmove.co.uk/properties/169829699#/?channel=COM_BUY","2025-11-28T16:06:14Z","","new","Marketed by Barnard Marcus, Hammersmith Auctions","","53.4334","-2.69174","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169829699/24437_AUC0049554_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169829699/24437_AUC0049554_IMG_01_0000_max_476x317.jpeg"
"157716737","Merseyside","Commercial Property","15 Devonshire Road, Prenton, Birkenhead CH43 4UP","£495,000","Guide Price","7","7","A sizable end of terrace Georgian house, divided into a portfolio of 7 self-contained flats, all well-presented, generating a steady, substantial income.","https://www.rightmove.co.uk/properties/157716737#/?channel=COM_BUY","2025-02-03T16:11:01Z","","price_reduced","Marketed by Larch Property, Preston On Severn","","53.387306","-3.040387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114013/157716737/114013_33647878_IMG_16_0000_max_476x317.jpeg"
