id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169873553","Merton","Plot","Christchurch Road, Colliers Wood, London SW19","£1,350,000","Offers in Excess of","","","Calling All Developers ** Plans submitted - 9 x flats + commercial ** Decision Jan 2026 Corner plot in a prominent position close to underground - GDV Estimated £5.6m","https://www.rightmove.co.uk/properties/169873553#/?channel=COM_BUY","2025-12-01T12:57:08Z","","new","Marketed by Christopher St James, Colliers Wood","","51.415538","-0.177834","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/169873553/245558_33746565_IMG_18_0000_max_476x317.jpeg"
"169431530","Merton","Commercial Property","257A Queens Road, Wimbledon, London, SW19 8NY","£195,000","Guide Price","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Vacant End of Terrace Commercial Building. Offered With Planning Permission to Change to Residential Use F...","https://www.rightmove.co.uk/properties/169431530#/?channel=COM_BUY","2025-11-18T09:30:22Z","","price_reduced","Marketed by Auction House London, Hampstead","","51.42474","-0.188962","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82574/169431530/82574_319110_IMG_12_0000_max_476x317.jpeg"
"168938729","Merton","Residential Development","Epsom Road, Morden","£195,000","Guide Price","2","1","FOR SALE BY AUCTION: A spacious first floor apartment for modernisation, with pleasant views and a private garden, just a couple of minutes' walk from St Helier station. No Chain.","https://www.rightmove.co.uk/properties/168938729#/?channel=COM_BUY","2025-11-03T16:25:44Z","","price_reduced","Marketed by Big Black Hen.com, Hertfordshire","","51.390708","-0.204173","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17282/168938729/17282_34282239_IMG_20_0000_max_476x317.jpeg"
"168860309","Merton","Plot","3 New Close, Wimbledon, London SW19","£550,000","Offers in Excess of","","","Development opportunity for sale - Extend and convert the existing house to create 5 x flats","https://www.rightmove.co.uk/properties/168860309#/?channel=COM_BUY","2025-10-31T17:00:06Z","","new","Marketed by Christopher St James, Colliers Wood","","51.404537","-0.183025","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168860309/245558_34278736_IMG_08_0000_max_476x317.jpeg"
"168703979","Merton","Distribution Warehouse","220 Garth Road, Morden, SM4","POA","","","","Rare freehold opportunity in a prominent industrial area The property is a 5-bay industrial building, split into 5 units with offices, showroom and car parking to the front. To the rear a 6th standalone more modern two storey brick build workshop with first floor residential accommodation adjac...","https://www.rightmove.co.uk/properties/168703979#/?channel=COM_BUY","2025-10-28T13:42:51Z","","new","Marketed by Knight Frank, Logistics and Industrial - Commercial","","51.38549","-0.225189","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_00_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_01_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_02_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_03_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_04_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_05_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_06_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_07_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155477/168703979/155477_LIC012563689_IMG_08_0003_max_476x317.jpeg"
"168639071","Merton","Plot","Wilton Road, Colliers Wood, London SW19","£950,000","Guide Price","","","For sale by auction unless sold prior ** Of interest to Investors & Developers ** Freehold semi detached house with planning granted to convert into self contained flats","https://www.rightmove.co.uk/properties/168639071#/?channel=COM_BUY","2025-10-27T12:19:48Z","","price_reduced","Marketed by Christopher St James, Colliers Wood","","51.418991","-0.170883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168639071/245558_33779824_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168639071/245558_33779824_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168639071/245558_33779824_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245558/168639071/245558_33779824_IMG_03_0000_max_476x317.jpeg"
"87292578","Merton","Warehouse","Unit 6 Mitcham Industrial Estate, Streatham Road, Mitcham, CR4 2AP","£4,000,000","","","","A fully refurbished 10,230 sq ft mid-terrace trade counter/industrial warehouse unit located on the established Mitcham Industrial Estate.","https://www.rightmove.co.uk/properties/87292578#/?channel=COM_BUY","2025-10-14T10:45:12Z","","new","Marketed by Cogent Real Estate, London","","51.413518","-0.153421","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/87292578/182522_236048-1_IMG_09_0000_max_476x317.jpeg"
"167851073","Merton","Office","203-207 Merton Road, London, SW19 1EE","£395,000","Offers in Region of","","","Brand New Commercial Unit For Sale Or To Let","https://www.rightmove.co.uk/properties/167851073#/?channel=COM_BUY","2025-10-06T12:48:48Z","","new","Marketed by Field & Sons, London","","51.415902","-0.192741","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/167851073/56019_333472-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/167851073/56019_333472-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56019/167851073/56019_333472-1_IMG_02_0000_max_476x317.jpeg"
"167592074","Merton","Residential Development","Merton Road, London, SW19","£3,000,000","Offers in Excess of","13","","For Sale - The Freehold plus 9x apartments in this modern purpose built block.","https://www.rightmove.co.uk/properties/167592074#/?channel=COM_BUY","2025-09-30T10:05:06Z","","new","Marketed by Dexters Development & Investment, South London","","51.4193","-0.19373","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236726/167592074/236726_HoratioHouse_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236726/167592074/236726_HoratioHouse_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236726/167592074/236726_HoratioHouse_IMG_02_0000_max_476x317.jpeg"
"164818778","Merton","Land","Martin Grove, Morden","£775,000","Offers Over","","","Barnard Marcus are proud to present this amazing investment opportunity in an amazing location.","https://www.rightmove.co.uk/properties/164818778#/?channel=COM_BUY","2025-07-22T16:27:07Z","","price_reduced","Marketed by Barnard Marcus, Morden","","51.40202","-0.20325","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150398/164818778/150398_MOD103484_IMG_05_0000_max_476x317.jpeg"
