id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169901564","Midlothian","Commercial Development","Navaar House Hotel, 23 Bog Road, Penicuik, EH26 9BY","£300,000","Offers Over","6","","","","","","","A landmark property in Penicuik offering exceptional scale and development potential. Navaar House Hotel extends to approximately 610 sq m and sits on a generous plot, presenting a rare opportunity for conversion, redevelopment or continued hospitality use. Available on its own or as a combine...","https://www.rightmove.co.uk/properties/169901564#/?channel=COM_BUY","2025-12-02T09:11:56Z","","new","Marketed by Cox & Co, Edinburgh","","55.82668","-3.2259","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/173k/172862/169901564/172862_P643_IMG_09_0000_max_476x317.jpeg"
"169799366","Midlothian","Plot","Site at 10 Ashbank, Vogrie Road,  Gorebridge EH23 4NJ","£390,000","Offers Over","4","4","","","","","","STUNNING RESIDENTIAL DEVELOPMENT SITE FOR SALE. Detailed Planning Permission in Place for the erection of 2 dwellinghouses and associated works. Stunning residential development site in attractive rural setting at Vogrie Road, Gorebridge, Midlothian","https://www.rightmove.co.uk/properties/169799366#/?channel=COM_BUY","2025-11-28T01:16:59Z","","new","Marketed by Ballantynes, Edinburgh","","55.836172","-3.037231","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49877/169799366/49877_RS1687_IMG_10_0000_max_476x317.jpeg"
"159783521","Midlothian","Commercial Property","Former Rosehill Care Home, 27 Park Road, Dalkeith, EH22 3DH","£850,000","Offers in Excess of","","","","","","","","Freehold. Closed Care Home development opportunity. 11 bedroom purpose built extension. House prices above GB average. 0.5 acre site. Suitable for commercial or residential (stpp)","https://www.rightmove.co.uk/properties/159783521#/?channel=COM_BUY","2025-03-25T11:24:01Z","","new","Marketed by Christie & Co, Care","","55.8899","-3.07508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_11_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_30_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_31_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260747/159783521/260747_5274749-fh_IMG_25_0002_max_476x317.jpeg"
"169336424","Midlothian","Pub","Cross Borders Brewery & Tap Room, 28/1 Hardengreen Industrial Estate, Eskbank, Dalkeith, EH22 3NX","£20,000","","","","","","","","","Leasehold. Trading Brewery & Tap Room. Large Industrial Unit c.3,000 sq.ft. Fully Licensed. Lease Expiry May 2031. Annual Rent - £21,100","https://www.rightmove.co.uk/properties/169336424#/?channel=COM_BUY","2025-11-14T11:10:09Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","55.88369","-3.081609","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260759/169336424/260759_5255045-lh_IMG_02_0000_max_476x317.jpeg"
"169411841","Midlothian","Land"," , Land to the East of St Mungos Church, Penicuik, EH268JA","£14,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** The area outlined pink is Land to the East of St Mungo's Church, Penicuik, EH26 8JA being 0.68 acres or thereby. Freehold area of Land - Full ownership - PRICED FOR AUCITON SALE..","https://www.rightmove.co.uk/properties/169411841#/?channel=COM_BUY","2025-11-17T15:30:10Z","","new","Marketed by Future Property Auctions, Glasgow","","55.82739","-3.21778","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411841/43917_14288432_IMG_05_0000_max_476x317.jpeg"
"169411847","Midlothian","Land"," , Land to the West of High Park Rise, Penicuik, EH268LG","£27,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** Approx. 5.30 acres / 2.15 hectare site comprising woodland positioned between residential properties on Bellerophon Drive and High Park Rise. Freehold Sale of Land. Full ownership..","https://www.rightmove.co.uk/properties/169411847#/?channel=COM_BUY","2025-11-17T15:30:12Z","","new","Marketed by Future Property Auctions, Glasgow","","55.82686","-3.2168","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411847/43917_14288449_IMG_08_0000_max_476x317.jpeg"
"162533999","Midlothian","Land","Corner Plot Morris Road, Newton Grange, EH22 4ST","£375,000","Guide Price","","","","","","","","PRIME NEW LISTING! We are excited to present this excellent 89,000 square foot plot of land, located within a prime location in Newtongrange.Sure to appeal to investors looking for an excellent development opportunity. Plot comes with 2 options of expired planning permission.","https://www.rightmove.co.uk/properties/162533999#/?channel=COM_BUY","2025-05-28T15:22:26Z","","new","Marketed by Prime Property, Glasgow","","55.87176","-3.05584","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/162533999/286790_203705480_IMG_19_0000_max_476x317.jpeg"
"168622607","Midlothian","Land","Lot 4 Land at Black Mount, By Howgate, Midlothian, EH26","£260,000","Offers Over","","","2,753,863 sq. ft.","2753863","2753863","255842","255842","CLOSING DATE SET FOR THURSDAY, 08 January 2026 AT 12 NOON. The land within Lot 4 extends to about 25.58 Ha (63.22 Acres) in total. The land comprises a productive mix of arable and silage ground with an area of grazing ground.","https://www.rightmove.co.uk/properties/168622607#/?channel=COM_BUY","2025-10-26T20:56:18Z","","size_change","Marketed by Galbraith, Stirling","","55.800962","-3.167573","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622607/26208_STR250209_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622607/26208_STR250209_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622607/26208_STR250209_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622607/26208_STR250209_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622607/26208_STR250209_IMG_04_0000_max_476x317.jpeg"
"168622604","Midlothian","Land","Lot 3 Land at Black Mount, By Howgate, Midlothian, EH26","£350,000","Offers Over","","","4,239,695 sq. ft.","4239695","4239695","393880","393880","CLOSING DATE SET FOR THURSDAY, 08 January 2026 AT 12 NOON. The land within Lot 3 extends to about 39.39 Ha (97.33 Acres) in total. It comprises a productive area of arable, silage and grazing ground with a small area of peatland.","https://www.rightmove.co.uk/properties/168622604#/?channel=COM_BUY","2025-10-26T20:56:16Z","","new","Marketed by Galbraith, Stirling","","55.800962","-3.167573","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168622604/26208_STR250208_IMG_06_0000_max_476x317.jpeg"
"168617444","Midlothian","Land","Lot 1 Land at Black Mount, By Howgate, Midlothian, EH26","£1,375,000","Offers Over","","","24,069,078 sq. ft.","24069078","24069078","2236090","2236090","CLOSING DATE SET FOR THURSDAY, 08 January 2026 AT 12 NOON. The land within Lot 1 comprises a contiguous area of arable, pasture and grazing land which extends to about 223.61 Ha (552.55 Acres) in total.","https://www.rightmove.co.uk/properties/168617444#/?channel=COM_BUY","2025-10-25T21:56:36Z","","price_reduced","Marketed by Galbraith, Stirling","","55.797573","-3.169762","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/168617444/26208_STR250206_IMG_07_0000_max_476x317.jpeg"
