id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169794923","Neath Port Talbot","Land","Building plots 10 Glynneath Road, Resolven, Neath, West Glamorgan, SA11 4DP","£19,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 81 - Land with potential ; ONLINE AUCTION from 16-18 DECEMBER 2025 An opportunity to acquire a plot of land with lapsed outline planning for 2 properties. The plot is situated in a pleasant position overlooking the River Neath and benefits from fine vie...","https://www.rightmove.co.uk/properties/169794923#/?channel=COM_BUY","2025-11-27T17:34:42Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.714901","-3.699759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169794923/113059_320717_IMG_00_0000_max_476x317.jpeg"
"169777235","Neath Port Talbot","Residential Development","82 Church Road, Seven Sisters, Neath, SA10 9DT","£64,000","Guide Price","3","1","","","","","","FOR SALE BY ONLINE AUCTION - Lot 58 - Property for Renovation; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER A spacious end of terrace property with stone and brick elevations to the front. The property was previously a dental surgery however it would be ideal for use as one dwell...","https://www.rightmove.co.uk/properties/169777235#/?channel=COM_BUY","2025-11-27T12:26:44Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.764977","-3.716465","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777235/113059_320134_IMG_06_0000_max_476x317.jpeg"
"169736570","Neath Port Talbot","Land","Owen Jones Way, Bryn, Port Talbot","£225,000","Guide Price","","","","","","","","BUILDING PLOTS WITH PLANNING CONSENT: Plot 1,2 & 3 - Purchase three plots with planning permission for three spacious 4-bed detached homes with garage, balcony, and countryside views. Interested? Let us know ASAP, subject to availability.","https://www.rightmove.co.uk/properties/169736570#/?channel=COM_BUY","2025-11-26T13:01:58Z","","new","Marketed by Peter Alan, Maesteg","","51.61579","-3.71076","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63587/169736570/63587_MTG304055_IMG_02_0000_max_476x317.jpeg"
"715064089275648","Neath Port Talbot","Trade Counter","Former Civils  Lintels, Milland Road, Milland Road Industrial Estate, Neath, SA11 1NJ","£975,000","Offers in Excess of","","","2,115–17,606 sq. ft.","2115","17606","196","1636","Large former trade counter / builders merchant site comprising 3 no. detached industrial units","https://www.rightmove.co.uk/properties/715064089275648#/?channel=COM_BUY","2025-10-23T10:40:07Z","","size_change","Marketed by Sanderson Weatherall, Bristol","","51.65735","-3.811673","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261917/715064089275648/261917_335093-1_IMG_05_0000_max_476x317.jpeg"
"169678508","Neath Port Talbot","Pub","Neath Road, Neath, South Glamorgan, Neath Port Talbot, SA11","£175,000","Fixed Price","4","","","","","","","NEATH PORT TALBOT (M4 CORRIDOR) - SUBURBAN MAIN ROAD PUBLIC HOUSE Suburban main road public houseOpen plan bar area (80+)4 Bedroom owners accommodationGood trade gardensTurnover £180,000 inclusive of VAT - purely wet sales","https://www.rightmove.co.uk/properties/169678508#/?channel=COM_BUY","2025-11-25T09:33:05Z","","new","Marketed by Sidney Phillips Limited, Wales","","51.63397","-3.81736","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b6e3601fc/169678508/b6e3601fc765b24c7d8bfab37f5b5aeb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c5ade2ae7/169678508/c5ade2ae7551fd3db1444e22c9ea8eb4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d26cc674b/169678508/d26cc674b86255f72ae9fb4583cd60e4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7fab080f/169678508/c7fab080fd2cde5429f97d90273de54e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b57540eca/169678508/b57540eca426707acb4c0a34326b0712_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/77d7e6f7c/169678508/77d7e6f7caeb6bf2c5f617b7f4a7feb0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/002dcb228/169678508/002dcb2286f8f2848c1b22513cdc6110_max_476x317.jpeg"
"169541459","Neath Port Talbot","Land","Dunraven Street, Glyncorrwg, Port Talbot","£60,000","","","","","","","","","Ferriers Estate Agents are pleased to offer this parcel of land on the site of the former ambulance hall in Glyncorrwg. Located in a rural village which offers holiday accommodation and is very popular with enthusiasts of outdoor pursuits. The area has mile upon mile of cycle tracks and footpaths...","https://www.rightmove.co.uk/properties/169541459#/?channel=COM_BUY","2025-11-20T15:21:50Z","","new","Marketed by Ferriers Estate Agents, Maesteg","","51.679111","-3.628205","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113590/169541459/113590_34317272_IMG_08_0000_max_476x317.jpeg"
"169120493","Neath Port Talbot","Farm","Approximately 65.39 acres of Agricultural Land, Gelli March Farm, Cadoxton, Neath, SA10 8AF","£380,000","Guide Price","","","","","","",""," Situation The land is situated to the north west of Cadoxton, Neath and adjoins Neath Golf Club. The land is a short travelling distance from convenient amenities.  Description The property extends to approximately 125.35 acres (50.73 hectares) of agricultural land as outlined in red...","https://www.rightmove.co.uk/properties/169120493#/?channel=COM_BUY","2025-11-07T13:54:01Z","","new","Marketed by Herbert R Thomas, Cowbridge","","51.693464","-3.795025","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120493/30641_12786156_IMG_05_0000_max_476x317.jpeg"
"169120625","Neath Port Talbot","Farm Land","Approximately 125.35 acres of Agricultural Land, Gelli March Farm, Cadoxton, Neath, SA10 8AF","£540,000","Guide Price","","","","","","","","Situation The land is situated to the north west of Cadoxton, Neath and adjoins Neath Golf Club. The land is a short travelling distance from convenient amenities. Description The property extends to approximately 125.35 acres (50.73 hectares) of agricultural land as outlined in red o...","https://www.rightmove.co.uk/properties/169120625#/?channel=COM_BUY","2025-11-07T13:56:14Z","","new","Marketed by Herbert R Thomas, Cowbridge","","51.693696","-3.795487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120625/30641_12786137_IMG_05_0000_max_476x317.jpeg"
"169120583","Neath Port Talbot","Farm","Lot 1 - Approximately 59.96 acres of Agricultural Land, Gelli March Farm, Cadoxton, Neath, SA10 8AF","£160,000","Guide Price","","","","","","","","Situation The land is situated to the north west of Cadoxton, Neath and adjoins Neath Golf Club. The land is a short travelling distance from convenient amenities.  Description The property extends to approximately 125.35 acres (50.73 hectares) of agricultural land as outlined in red&n...","https://www.rightmove.co.uk/properties/169120583#/?channel=COM_BUY","2025-11-07T13:55:42Z","","new","Marketed by Herbert R Thomas, Cowbridge","","51.693648","-3.795356","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30641/169120583/30641_12786151_IMG_05_0000_max_476x317.jpeg"
"169035245","Neath Port Talbot","Land","Glan Gwrelych And Ynys Y Nos Avenue, Glynneath, Neath","£120,000","Guide Price","","","","","","","","**LAND WITH PLANNING PERMISSION** An exciting opportunity to purchase a parcel of development land of approx. 2.47 acres, with outline planning consent for 3x detached homes along with gardens & parking. Get in touch for further information.","https://www.rightmove.co.uk/properties/169035245#/?channel=COM_BUY","2025-11-05T19:00:36Z","","price_reduced","Marketed by Peter Alan, Neath","","51.74672","-3.60908","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63605/169035245/63605_NTH309005_IMG_04_0000_max_476x317.jpeg"
