id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167253977","North Ayrshire","Takeaway","Golden Eagle, 27 Main Street, Dalry, KA24 5DP","£55,000","Guide Price","","","240 sq. ft.","240","240","22","22"," Prime Property Auctions New Entry. Large Commercial unit located in the busy thoroughfare of Dalry, North Ayrshire. Premises extends to approximately 240 feet squared. Property is currently being tenanted at a monthly rent of £720 per calendar month. Sure to appeal to a variety of buyer...","https://www.rightmove.co.uk/properties/167253977#/?channel=COM_BUY","2025-09-22T11:30:38Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.708628","-4.721291","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167253977/251369_192172915_IMG_12_0000_max_476x317.jpeg"
"163165418","North Ayrshire","Shop","44 Main Street, Beith, KA15 2AA","£25,000","Guide Price","","","","","","","","PRIME NEW LISTING. We are excited to present this commercial property located within a prime location in Beith. For rental purposes, this property could potentially achieve between £500-£600 a month, offering an impressive yield if achieved at the guide price. This presents a fantastic high-yi...","https://www.rightmove.co.uk/properties/163165418#/?channel=COM_BUY","2025-06-11T15:07:08Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.751538","-4.631412","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163165418/251369_218398376_IMG_13_0000_max_476x317.jpeg"
"164011166","North Ayrshire","Land","Land at Northacre Grove, Kilwinning, KA13 7ER","£350,000","Guide Price","","","","","","","","- PRIME NEW LISTING. We are excited to present this prestigious 3.3 acres of land with full planning permission for 10, 3-bedroom semi-detached houses, 5, 4-bedroom detached houses, and 5, 5-bedroom detached houses located within a prime location in Kilwinning.   - Sales Evidence: **15...","https://www.rightmove.co.uk/properties/164011166#/?channel=COM_BUY","2025-07-01T13:53:56Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.661747","-4.704041","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/164011166/251369_217333508_IMG_08_0000_max_476x317.jpeg"
"165347075","North Ayrshire","Shop","44 Main Street, Dreghorn, KA11 4AA.","£75,000","Guide Price","","","","","","",""," PRIME NEW LISTING. We are excited to present this tenanted commercial property located within a prime location in 44 Main Street, Dreghorn, KA11 4AA. **62 Main Street, Dreghorn, Irvine KA11 4AA previously sold for £120,000 in 2024**, **80 Main Street, Dreghorn, Irvine KA11 4AA previously s...","https://www.rightmove.co.uk/properties/165347075#/?channel=COM_BUY","2025-08-04T17:18:21Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.610445","-4.614304","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165347075/251369_219684546_IMG_15_0000_max_476x317.jpeg"
"165665168","North Ayrshire","Shop","33 Main Street, Beith, KA15 2AD","£80,000","Guide Price","","","","","","","","  PRIME NEW LISTING. We are excited to present this tenanted commercial property located within a prime location in 33 Main Street, Beith, KA15 2AD. **53 Main Street, Beith KA15 2AD sold for £180,000**; **27 Lomond Crescent, Beith KA15 2EA sold for £147,000**. For rental purposes, the pr...","https://www.rightmove.co.uk/properties/165665168#/?channel=COM_BUY","2025-08-12T16:07:36Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.751667","-4.631805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165665168/251369_220265110_IMG_23_0000_max_476x317.jpeg"
"168034814","North Ayrshire","Land","Development At Station Drive, Irvine, KA11 3BP","£145,000","Guide Price","","","","","","",""," PRIME NEW LISTING. We are excited to present this unique opportunity to acquire a development site in Springside, Irvine, within prime location in North Ayrshire.   Sales Evidence: **5, Old Smithy, Springside, Irvine KA11 3BF sold for £170,000, 7, Old Smithy, Springside, Irvine...","https://www.rightmove.co.uk/properties/168034814#/?channel=COM_BUY","2025-10-09T13:27:24Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.619124","-4.589611","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168034814/251369_221910526_IMG_09_0000_max_476x317.jpeg"
"169581551","North Ayrshire","Retail Property (out of town)","10 Main Street, Dalry, KA24 5DH","£70,000","Guide Price","","","","","","","","  PRIME NEW LISTING. We are excited to present this tenanted commercial property located within a prime location in Dalry.   Excellent Investment Opportunity with long term tenants in situ   For rental purposes, this property is currently tenanted at £500 per m...","https://www.rightmove.co.uk/properties/169581551#/?channel=COM_BUY","2025-11-21T15:39:31Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.708649","-4.720937","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169581551/251369_219606083_IMG_09_0000_max_476x317.jpeg"
"168709742","North Ayrshire","Land"," Land at 9, Mill Road, Kilbirnie, KA257DZ","£9,000","Guide Price","","","","","","","","** Deadline for Offers - 05 December 2025 ** ***LOW GUIDE PRICE, FREEHOLD PLOTS*** 4 plots of land within the grounds of a block of exclusive apartments***.","https://www.rightmove.co.uk/properties/168709742#/?channel=COM_BUY","2025-10-28T15:03:01Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","55.75318","-4.68281","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168709742/43917_14112771_IMG_06_0000_max_476x317.jpeg"
"721407063963265","North Ayrshire","Place of Worship","Irvine Church and Hall, North Ayrshire","£245,000","Offers Over","","","","","","","","Large church and hall set within the town of Irvine.","https://www.rightmove.co.uk/properties/721407063963265#/?channel=COM_BUY","2025-11-25T09:51:02Z","","new","Marketed by Church of Scotland, Edinburgh","","55.624127","-4.662414","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/721407063963265/108596_IrvineChurchandHall_IMG_11_0001_max_476x317.jpeg"
"161205323","North Ayrshire","Restaurant","Eglinton Street, Irvine, North Ayrshire, KA12","£119,000","Guide Price","","","","","","","","The property comprises a two storey development with a single storey extension to the rear of the building. The property offers a dual display window with a single entrance door to the centre. The unit benefits from a prominent roadside position on a very busy thoroughfare. Internally the proper...","https://www.rightmove.co.uk/properties/161205323#/?channel=COM_BUY","2025-04-28T11:04:52Z","","price_reduced","Marketed by Wilsons Auctions Ltd, Covering Scotland","","55.617239","-4.668758","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210269/161205323/210269_WAD250086_IMG_10_0000_max_476x317.jpeg"
