id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167719088","North Somerset","Land","Garden Development Plots, Bristol Road, BS25","£225,000","Guide Price","3","","An opportunity to purchase residential development plot with granted planning permission for 2 residential houses with gardens & parking spots going FOR AUCTION if not Sold before on Tuesday 14th October 2025 at Mendip Spring Golf Club, Honeyhall Lane, Congresbury, BS49 5JT for a 19:00pm start. ","https://www.rightmove.co.uk/properties/167719088#/?channel=COM_BUY","2025-10-02T14:36:14Z","","price_reduced","Marketed by NANCEKIVELL & PARTNERS LTD, Wrington","","51.33643","-2.79071","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280304/167719088/280304_PickeringJ_IMG_07_0000_max_476x317.jpeg"
"169956998","North Somerset","Mixed Use","Meadow Street, Weston-super-Mare, North Somerset, BS23","£240,000","","","","Exceptional Mixed-Use Investment Opportunity – Weston-super-Mare Town Centre. This is a mixed-use freehold property in a Weston-super-Mare town centre location. The property comprises a ground floor commercial unit, two studio apartments and one one-bedroom apartment, all of whic...","https://www.rightmove.co.uk/properties/169956998#/?channel=COM_BUY","2025-12-03T12:51:50Z","","new","Marketed by David Plaister Ltd, Weston Super Mare","","51.348","-2.97735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_21_0000_max_476x317.jpeg"
"169923242","North Somerset","Residential Development","Dowry Place, Bristol","£425,000","Guide Price","1","","A Grade II listed mixed-use property arranged as a chiropractor clinic on the ground and lower level, with a 1 bedroom maisonette above. The maisonette offers potential to reconfigure into a 2 bedroom apartment, and the former clinic also offers potential to convert into a 2-3 bedroom apartment (...","https://www.rightmove.co.uk/properties/169923242#/?channel=COM_BUY","2025-12-02T14:57:04Z","","new","Marketed by Maggs & Allen, Auction, Commercial & Investment","","51.449531","-2.621152","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21192/169923242/21192_34336677_IMG_15_0000_max_476x317.jpeg"
"169776983","North Somerset","Retail Property (high street)","58 Orchard Street, Weston-super-Mare, Avon, BS23 1RL","£32,000","Guide Price","","","FOR SALE BY ONLINE AUCTION - Lot 63 - Commercial Property; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER This is a freehold shop unit located in a central, high street position just off the Boulevard in Weston Super Mare, offered with vacant possession. The gross internal area is...","https://www.rightmove.co.uk/properties/169776983#/?channel=COM_BUY","2025-11-27T12:23:08Z","","price_reduced","Marketed by Paul Fosh Commercial, South Wales","","51.349808","-2.975541","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218492/169776983/218492_319608_IMG_10_0000_max_476x317.jpeg"
"169777457","North Somerset","Plot","Unit 3 Flavour, Hewish, North Somerset, BS24 6RN","£5,000","Guide Price","","","FOR SALE BY ONLINE AUCTION - Lot 51 - Commercial / Development opportunity; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER 2025  Unit 3 is located in a central village location of Hewisham but located 2 minutes off J21 of the M5 and the compound yard is set on the main trunk road of Br...","https://www.rightmove.co.uk/properties/169777457#/?channel=COM_BUY","2025-11-27T12:30:37Z","","price_reduced","Marketed by Paul Fosh Auctions, Newport","","51.37067","-2.870285","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777457/113059_319814_IMG_07_0000_max_476x317.jpeg"
"169777367","North Somerset","Land","Compound E, Flavour, Hewish, Weston-super-Mare, Avon, BS24 6RN","£2,500","Guide Price","","","FOR SALE BY ONLINE AUCTION - Lot 36- Compound for Owner Use/Occupation; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER 2025  Currently comprising of a 20ft container situated on a yard (container included in sale) this is likely to appeal to those looking for a secure compound, builder...","https://www.rightmove.co.uk/properties/169777367#/?channel=COM_BUY","2025-11-27T12:28:47Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.370457","-2.869864","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777367/113059_319812_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777367/113059_319812_IMG_01_0000_max_476x317.jpeg"
"169551098","North Somerset","Land","Land and Garage Adjacent to 45 King Georges Road, Bristol, Avon, BS13 8HJ","£60,000","Guide Price","3","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Single Storey Lock Up Garage Situated on a Plot of Land Measuring Approximately 195 sq m (2,099 sq ft). Offere...","https://www.rightmove.co.uk/properties/169551098#/?channel=COM_BUY","2025-11-20T18:09:21Z","","new","Marketed by Auction House London, London","","51.411583","-2.623039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169551098/285620_319636_IMG_05_0000_max_476x317.jpeg"
"169221725","North Somerset","Commercial Development","Regent Street, Weston-super-mare","£275,000","Guide Price","","","A freehold ground floor commercial rental unit let producing an income of £30,000 per annum, with 5 years remaining on the lease to an established amusement arcade, trading as Caesars Palace. The unit extends to approximately 2,385 ft². Regent Street sits in the heart of Weston-super-M...","https://www.rightmove.co.uk/properties/169221725#/?channel=COM_BUY","2025-11-11T12:14:20Z","","new","Marketed by Maggs & Allen, Auction, Commercial & Investment","","51.347602","-2.979777","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7929731c4/169221725/7929731c46996bef7b1d36408953cff1_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3b9404ffc/169221725/3b9404ffc6d4c40fd59efb9a2284a1a8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7bc27951/169221725/c7bc27951f86416cabedab3bc0f99a66_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a56b2c4e2/169221725/a56b2c4e2c7979d9613255ff74a56d82_max_476x317.jpeg"
"167925953","North Somerset","Commercial Property","MIXED USE INVESTMENT | £185,840 pa - £204,840 pa INCOME","£1,800,000","Guide Price","18","12","Hollis Morgan – DECEMBER LIVE ONLINE AUCTION - Freehold MIXED USE INVESTMENT ( 11,912 Sq ft ) comprising 3 x 6 BED HMO plus 2 x RETAIL UNITS | £185,840 pa INCOME with scope to increase to £204,840 pa | Scope for EXTRA 3 X 6 BED FLATS stc","https://www.rightmove.co.uk/properties/167925953#/?channel=COM_BUY","2025-10-07T16:09:09Z","","price_reduced","Marketed by Hollis Morgan, Commercial, Land, Development and Investment","","51.436405","-2.852524","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_43_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_44_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_45_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_46_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_47_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_48_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_49_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_50_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120784/167925953/120784_34223694_IMG_51_0000_max_476x317.jpeg"
"169195067","North Somerset","Restaurant","Oxford Street, Weston-super-Mare, North Somerset, BS23","£600,000","","2","","This fantastic mixed-use property in Weston-super-Mare presents a rare investment opportunity, combining a well-established restaurant, four apartments, and additional commercial space. Sold with tenants in situ, the property provides an immediate and reliable income stream, appealing to those se...","https://www.rightmove.co.uk/properties/169195067#/?channel=COM_BUY","2025-11-10T16:21:44Z","","new","Marketed by David Plaister Ltd, Weston Super Mare","","51.346311","-2.977669","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169195067/105727_DPO250634_IMG_28_0000_max_476x317.jpeg"
