<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167965955","North Yorkshire","Land","Meadowbank Farm, Scoreby, Gate Helmsley, York, North Yorkshire, YO41","£850,000","Guide Price","","","A mixed arable and grassland farm with extensive range of farm buildings, together with long frontage onto the River Derwent and fishing rights. ","https://www.rightmove.co.uk/properties/167965955#/?channel=COM_BUY","2025-10-08T09:20:09Z","","new","Marketed by Savills Rural Sales, York","","53.982079","-0.937292","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/91001a6d0/167965955/91001a6d0c7a7194ac18d7a798860c4c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0474c9cf7/167965955/0474c9cf7dfb9187eb5e7ea784521509_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3ca193f7a/167965955/3ca193f7abcb750a9f11cd4c1dded4f1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d1dd8ff0a/167965955/d1dd8ff0ae57d740cc7913fbcc6cd0ce_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/645d3f632/167965955/645d3f632a0b12c07d2d84bebd104aa4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/556e336a3/167965955/556e336a37ed8eefcc51ff039a62083e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1497a9d88/167965955/1497a9d88639fdeee02606d46e267421_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f23ebc74c/167965955/f23ebc74caf6531fcf9df5515638b4f5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a93492467/167965955/a93492467f114eefc7eb2cbd07fa9229_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3c5cd2fce/167965955/3c5cd2fce86eb1f1f6c2b0e7292d92cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/582f30f92/167965955/582f30f92afe1e0392d30e7aa9bd9816_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/90f159dc4/167965955/90f159dc4fa2aef2d2e1c9ccd6853cca_max_476x317.jpeg"
"722867854237216","North Yorkshire","Light Industrial","Catterick 52, J52 A1M, Catterick Road, Catterick, DL10 7PQ","POA","","","","NEW 50 acre logistics and manufacturing park.","https://www.rightmove.co.uk/properties/722867854237216#/?channel=COM_BUY","2025-12-03T11:40:10Z","","size_change","Marketed by Dove Haigh Phillips LLP, Leeds","","54.387135","-1.657028","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867854237216/58716_156528-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867854237216/58716_156528-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867854237216/58716_156528-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867854237216/58716_156528-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867854237216/58716_156528-1_IMG_04_0000_max_476x317.jpeg"
"722867816443056","North Yorkshire","Light Industrial","Unit D Catterick 52, J52 A1M, Catterick Road, Catterick, DL10 7PQ","POA","","","","NEW 50 acre logistics and manufacturing park.","https://www.rightmove.co.uk/properties/722867816443056#/?channel=COM_BUY","2025-12-03T11:40:08Z","","size_change","Marketed by Dove Haigh Phillips LLP, Leeds","","54.387135","-1.657028","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867816443056/58716_156482-1_IMG_05_0000_max_476x317.jpeg"
"169937723","North Yorkshire","Commercial Property","North Street, Scarborough","£49,950","Guide Price","","","An excellent opportunity to acquire this very well presented and established business in Scarborough town centre. North Street Kitchen is a social cafe and restaurant that has built up a great reputation since its inception in 2021, having previously traded as Boddy’s of North Street for a vast n...","https://www.rightmove.co.uk/properties/169937723#/?channel=COM_BUY","2025-12-02T21:47:59Z","","new","Marketed by Colin Ellis Estate Agents, Scarborough","","54.28269","-0.40098","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69295/169937723/69295_34337549_IMG_05_0000_max_476x317.jpeg"
"169923284","North Yorkshire","Factory","Newgate, Malton, YO17","£850,000","Offers Over","","","Outstanding opportunity to purchase a well-established business, highly profitable, freehold property asset & £500k tax credit. ANP £250k. ROI four years","https://www.rightmove.co.uk/properties/169923284#/?channel=COM_BUY","2025-12-02T14:57:48Z","","new","Marketed by Nationwide Business Sales LTD, Castleford","","54.13627","-0.798861","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/169923284/240671_RX700233_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/169923284/240671_RX700233_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/169923284/240671_RX700233_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/169923284/240671_RX700233_IMG_03_0000_max_476x317.jpeg"
"169920983","North Yorkshire","Commercial Property","106 High Street, Redcar TS10 3DL","£90,000","Guide Price","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A mid terrace freehold retail investment comprising a large ground floor retail premises. Situated in the heart of Redcar town cen...","https://www.rightmove.co.uk/properties/169920983#/?channel=COM_BUY","2025-12-02T14:22:46Z","","new","Marketed by Savills Auctions, London","","54.61759","-1.0632","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169920983/80881_198-20077_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169920983/80881_198-20077_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169920983/80881_198-20077_IMG_02_0000_max_476x317.jpeg"
"169687913","North Yorkshire","Retail Property (high street)","Newport Road, Middlesbrough, North Yorkshire, TS1","£10,200","","","","A rare opportunity to lease a versatile three-storey commercial property in a prominent Middlesbrough location.","https://www.rightmove.co.uk/properties/169687913#/?channel=COM_BUY","2025-12-02T13:38:41Z","","new","Marketed by Magnum Properties - Commercial, Linthorpe Road","","54.57563","-1.24273","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9f89b3591/169687913/9f89b3591678a35a6a86e49058e02ce8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bf4a5c8fa/169687913/bf4a5c8faac09854a30c1d60b575cc94_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7f2f86e29/169687913/7f2f86e299ec72d5d0a6116677075478_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ed2c7b641/169687913/ed2c7b641cee0fd53fd6efe5694f5605_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/60328eebd/169687913/60328eebd7b1d835dad3932eb602e00c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/04992ac47/169687913/04992ac47e63131cec0d6df08069114c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/706e5750a/169687913/706e5750a5b36cfc57b03ee5f022b269_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a081104be/169687913/a081104bee022d808229892e05b9a9cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d1e4142a0/169687913/d1e4142a04aa83cc80fccd4289a7c26f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/25c14faf7/169687913/25c14faf7574c8d8a03c0174c00d334f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f24ab88dc/169687913/f24ab88dc37da40ca0f1f4a2b1830c40_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2ac78980f/169687913/2ac78980f230ef6400596c394fc634a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8d88c61a7/169687913/8d88c61a75b685055a91ad6742cdaf36_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/78e343fb9/169687913/78e343fb9b8869c5c52b188c046347f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a35f79133/169687913/a35f791330e538c6331b7d6d5df99c9d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fa8f48db7/169687913/fa8f48db71e6a916985d562b7faf3de5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/53be88f58/169687913/53be88f587f5108d41fa541845ddc3be_max_476x317.jpeg"
"159824144","North Yorkshire","Commercial Property","14 16 & 16a Farndale Avenue, York, YO10 3PE","£500,000","","","","The property comprises a fully occupied commercial investment property which comprises three single storey retail units within a small parade. To the rear of the property is a communal yard with parking spaces and three garages.","https://www.rightmove.co.uk/properties/159824144#/?channel=COM_BUY","2025-03-26T09:10:36Z","","new","Marketed by Garness Jones Commercial, York","","53.956651","-1.033623","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824144/286442_11958FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824144/286442_11958FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824144/286442_11958FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824144/286442_11958FH_IMG_03_0000_max_476x317.jpeg"
"159824765","North Yorkshire","Commercial Property","112 Micklegate, York, YO1 6JX","£450,000","Offers in Region of","","","The property provides a ground floor restaurant/kitchen with dining to the rear, along with additional basement seating and storage. The entire property was comprehensively refurbished in 2016, including the residential accommodation on the first and second floors.","https://www.rightmove.co.uk/properties/159824765#/?channel=COM_BUY","2025-03-26T09:20:16Z","","new","Marketed by Garness Jones Commercial, York","","53.956601","-1.089882","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824765/286442_11982FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824765/286442_11982FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824765/286442_11982FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286442/159824765/286442_11982FH_IMG_03_0000_max_476x317.jpeg"
"169916084","North Yorkshire","Residential Development","The Surgery, St Giles Road, Skelton, York, YO30 1XX","£250,000","Offers Over","","","A detached former surgery is located in the attractive village of Skelton, just a few miles north-west of York. The surrounding area includes a conservation zone, adding to its historic charm, while local amenities such as a village shop/Post Office, pub/social club and primary school support the...","https://www.rightmove.co.uk/properties/169916084#/?channel=COM_BUY","2025-12-02T12:55:56Z","","new","Marketed by Garness Jones Commercial, Hull","","54.001087","-1.134529","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0b5dcc6bf/169916084/0b5dcc6bf5385f971ba676cd5ce61ef5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41f59b85a/169916084/41f59b85ac575c27e2a1ceca8ed751c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7fdeeffc3/169916084/7fdeeffc3f13fcbc08fdca39c070e137_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8487ee689/169916084/8487ee689a8f42c59951269fdde4dd6b_max_476x317.jpeg"
