id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169902689","Orkney","Land","Girnigoe, Shapinsay, Orkney","£360,000","Offers Over","3","3","","","","","","The farm and lands of Girnigoe enjoys a beautiful waterfront location on the island of Shapinsay. The farmland extends to 75 acres or thereby together with an area of foreshore extending to the MLWS mark. The spacious 3 bedroom farmhouse offers accommodation on one level and benefits from oi...","https://www.rightmove.co.uk/properties/169902689#/?channel=COM_BUY","2025-12-02T09:25:25Z","","new","Marketed by Lows Solicitors, Orkney","","59.074325","-2.838475","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169902689/95786_BRS250226_IMG_08_0000_max_476x317.jpeg"
"169770950","Orkney","Land","Plot 15, Swartiquoy Balfour, Balfour, Orkney, Orkney, KW17 2DZ","£5,000","Guide Price","","","","","","","","Idyllic plot of land with sea view located on picturesque Orkney Island. Circa 201.48sqm. Incredible opportunity for use as a camping/caravan site or for a self-build holiday cottage (STP).","https://www.rightmove.co.uk/properties/169770950#/?channel=COM_BUY","2025-11-27T10:50:11Z","","price_reduced","Marketed by Online Property Auction Scotland, Glasgow","","59.032074","-2.909279","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/275k/274601/169770950/274601_320611_IMG_08_0000_max_476x317.jpeg"
"169411931","Orkney","Land"," , Fishing Fields, 0.54 Acre Site, Harray Loch, Orkney, KW172LE","£6,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** 0.54 acre site with fishing rights and access to the renowned Loch of Harray, the largest loch on Orkney Mainland close to World Heritage Neolithic Sites; The Stones of Stenness and Ring of Brodgar..","https://www.rightmove.co.uk/properties/169411931#/?channel=COM_BUY","2025-11-17T15:30:37Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","59.03902","-3.21276","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169411931/43917_14288806_IMG_08_0000_max_476x317.jpeg"
"169654460","Orkney","Plot","Parcel of land alongside Chalmersquoy, Westray, Orkney, KW17 2BZ","£99,950","Offers Over","","","","","","","","K Allan Properties are delighted to present this desirable parcel of land to the market. The land is positioned on the waterfront of Broughton, on the outskirts of Pierowall village on the popular island of Westray and benefits from a spectacular sea view. The land is 1.5 acres and there a...","https://www.rightmove.co.uk/properties/169654460#/?channel=COM_BUY","2025-11-24T14:07:27Z","","new","Marketed by K Allan Properties Ltd, Kirkwall","","59.315376","-2.980914","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239954/169654460/239954_34322234_IMG_06_0000_max_476x317.jpeg"
"169652750","Orkney","Land","Land At Springwell, Sanday, Orkney","£30,000","Offers Over","","","191,664 sq. ft.","191664","191664","17806","17806","A rare opportunity to acquire a generous parcel of land extending to approximately 4.4 acres, beautifully positioned on the idyllic island of Sanday, Orkney. Set within peaceful rural surroundings and boasting far-reaching views over the sea and surrounding coastline and a ruinous outbuilding sta...","https://www.rightmove.co.uk/properties/169652750#/?channel=COM_BUY","2025-11-24T13:44:33Z","","new","Marketed by Lows Solicitors, Orkney","","59.220286","-2.688687","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169652750/95786_BRS250216_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169652750/95786_BRS250216_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169652750/95786_BRS250216_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169652750/95786_BRS250216_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169652750/95786_BRS250216_IMG_04_0000_max_476x317.jpeg"
"169328591","Orkney","Plot","Serviced Building Site, Plot 1, Downatown","£60,000","Fixed Price","","","","","","","","Large serviced building site extends to 1930m2 or thereby ","https://www.rightmove.co.uk/properties/169328591#/?channel=COM_BUY","2025-11-14T08:20:57Z","","new","Marketed by Lows Solicitors, Orkney","","59.0934","-3.27945","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/237cce3f7/169328591/237cce3f74ffeef1f4d096ab650bf3d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/92cd6bb7a/169328591/92cd6bb7a889aa062e142c5fd161bd35_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6413e0d54/169328591/6413e0d5460485dac348d8536599e981_max_476x317.jpeg"
"169328405","Orkney","Plot","Serviced Building Site, Plot 5, Downatown","£45,000","Fixed Price","","","","","","","","Serviced building site extends to 800m2 or thereby ","https://www.rightmove.co.uk/properties/169328405#/?channel=COM_BUY","2025-11-14T07:55:47Z","","new","Marketed by Lows Solicitors, Orkney","","59.093993","-3.278084","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169328405/95786_BRS250215_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169328405/95786_BRS250215_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169328405/95786_BRS250215_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/169328405/95786_BRS250215_IMG_03_0000_max_476x317.jpeg"
"165517910","Orkney","Land","Fishing Galore, Harray Loch, Harray, Orkney, KW17 2LF","£11,500","Guide Price","","","23,659 sq. ft.","23659","23659","2198","2198","Do not miss out on this outstanding opportunity to land in one of Scotland's most desirable locations. 0.54 acre site with fishing rights and access to the renowned Loch of Harray, the largest loch on Orkney Mainland close to the World Heritage Neolithic Sites; The Stones of Stenness and Ring of...","https://www.rightmove.co.uk/properties/165517910#/?channel=COM_BUY","2025-08-08T09:26:55Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","59.022133","-3.217419","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/165517910/267062_312FH_IMG_12_0000_max_476x317.jpeg"
"168543545","Orkney","Plot"," Plot 10, Sea View, Shapinsay, Balfour, Orkney, KW172DZ","£14,000","Guide Price","","","","","","","","** Timed Online Auction - 11 December 2025 ** ***MASSIVE 1950sqm FREEHOLD PLOT RARE OPPORTUNITY to purchase a freehold plot of land in front of the famous Lairo Water with stunning sea views. Perfect Bolthole or holiday escape..","https://www.rightmove.co.uk/properties/168543545#/?channel=COM_BUY","2025-10-23T16:13:03Z","","price_reduced","Marketed by Future Property Auctions, Glasgow","","59.04517","-2.85618","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/168543545/43917_14112329_IMG_08_0000_max_476x317.jpeg"
"155426318","Orkney","Land","Building Site, The Paddock, Woodstock Road, Holm","£75,000","Offers Over","","","","","","","","This elevated building site offers an outstanding panoramic view including 3 lighthouses, 8 islands and Scapa Flow. There is planning consent (OIC Ref 23/151/PP) to erect a spacious 4 bedroom dwelling house with one bedroom annexe. The property extends to 2200m², or thereby, and th...","https://www.rightmove.co.uk/properties/155426318#/?channel=COM_BUY","2024-11-27T11:54:37Z","","new","Marketed by Lows Solicitors, Orkney","","58.90022","-2.853902","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95786/155426318/95786_BRS240127_IMG_05_0000_max_476x317.jpeg"
