<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162377312","Richmond upon Thames","Residential Development","Vineyard Path, London, SW14","£625,000","","2","","A two bedroom, two bathroom modern property set over 1200 sq. ft. with a balcony and a garage. This stunning 950+ year leasehold is set over three floors and with no onward chain","https://www.rightmove.co.uk/properties/162377312#/?channel=COM_BUY","2025-06-02T09:02:29Z","","new","Marketed by Chestertons, Capital Markets","","51.46932","-0.26555","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262526/162377312/262526_SEE210218_IMG_10_0000_max_476x317.jpeg"
"152227271","Richmond upon Thames","Spa","London","£95,000","Offers in Region of","","","Are you ready to step into the world of beauty and entrepreneurship? Your opportunity awaits with a well-established and thriving beauty business located in the affluent suburb of London. Take the reins of this flourishing business and make your mark in the beauty industry.","https://www.rightmove.co.uk/properties/152227271#/?channel=COM_BUY","2024-09-09T19:44:37Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.42585","-0.3371","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/152227271/263843_GO3373_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/152227271/263843_GO3373_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/152227271/263843_GO3373_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/152227271/263843_GO3373_IMG_02_0000_max_476x317.jpeg"
"169779527","Richmond upon Thames","Land","Land Adjacent to 22 Kingfisher Drive, Richmond, Surrey, TW10 7UD","£10,000","Guide Price","","","**For Sale By Public Auction 11th December 2025 10:00 AM To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 180 sq m (1,935 sq ft) Freehold Guide Price = £10,000+ Locatio...","https://www.rightmove.co.uk/properties/169779527#/?channel=COM_BUY","2025-11-27T13:13:00Z","","new","Marketed by Auction House London, London","","51.43449","-0.319156","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169779527/285620_320573_IMG_05_0000_max_476x317.jpeg"
"169539659","Richmond upon Thames","Land","217 Kingston Road, Teddington, Middlesex, TW11 9JN","£1,700,000","Guide Price","13","","For sale by Online Auction -  Unique opportunity to purchase a site with full planning permission for erection of a detached building comprising 7 self contained flats and a single family dwelling with associated access, parking and landscaping. The block of flats comprises: 4 x two bed...","https://www.rightmove.co.uk/properties/169539659#/?channel=COM_BUY","2025-11-20T14:54:19Z","","new","Marketed by Town and Country Property Auctions, London","","51.421474","-0.318881","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257324/169539659/257324_319529_IMG_09_0000_max_476x317.jpeg"
"169462190","Richmond upon Thames","Land","Land Adjacent to 89 Stanley Road, Teddington, Middlesex, TW11 8SY","£1,000","Guide Price","","","**For Sale By Public Auction 11th December 2025 10:00 AM To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 32 sq m (344 sq ft) Let to the Council Producing £100 Per Annum ","https://www.rightmove.co.uk/properties/169462190#/?channel=COM_BUY","2025-11-18T17:41:23Z","","new","Marketed by Auction House London, London","","51.430757","-0.345583","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169462190/285620_318959_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169462190/285620_318959_IMG_01_0001_max_476x317.jpeg"
"169453241","Richmond upon Thames","Shop","AN E-COMMERCE CUSTOMISABLE GIFT RETAILER, Surrey","Offers Invited","","","","BASED IN SURREY. OPERATING NATIONWIDE Generated a turnover of £23,000 in YE24. Management accounts indicate a turnover of £21,000 for YE25. Offering includes aprons, chef hats, mugs and t-shirts. Operates through Shopify, Amazon, Etsy and eBay. Achieved prominence with minimal marketi...","https://www.rightmove.co.uk/properties/169453241#/?channel=COM_BUY","2025-11-18T15:30:13Z","","new","Marketed by Knightsbridge Business Sales Limited, Bolton","","51.467","-0.2896","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/169453241/90616_165170_IMG_08_0000_max_476x317.jpeg"
"169298210","Richmond upon Thames","Office","First Floor St Georges House, 15 St. Georges Road, Richmond, TW9 2LE","£900,000","Guide Price","","","Interested parties should contact Knight Frank Auctions for further information. ","https://www.rightmove.co.uk/properties/169298210#/?channel=COM_BUY","2025-11-13T12:08:14Z","","new","Marketed by Knight Frank Auctions, Auctions","","51.466789","-0.289223","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169298210/223211_318103_IMG_14_0000_max_476x317.jpeg"
"169002341","Richmond upon Thames","Residential Development","High Street, Kingston upon Thames KT1","£1,350,000","Offers in Region of","","","Mixed-use freehold comprising 2 x retail units, warehouses and dilapidated buildings / garages totalling approximately 8,150ft² situated on a site of 0.24 acres ","https://www.rightmove.co.uk/properties/169002341#/?channel=COM_BUY","2025-11-05T10:39:19Z","","new","Marketed by Kingsbury, London","","51.41217","-0.31114","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259091/169002341/259091_Kingston_IMG_08_0000_max_476x317.jpeg"
"168963560","Richmond upon Thames","Pub","LA-524850 - Royal Oak, 13 Richmond Road, Twickenham TW1 3AB","£1,300,000","","","","Freehold Pubs, Large ground floor open plan trade area, Function room to first floor, Theatre style trade kitchen, Affluent Southwest London town, Prominent position, edge of Twickenham Town Centre","https://www.rightmove.co.uk/properties/168963560#/?channel=COM_BUY","2025-11-04T11:31:46Z","","new","Marketed by Fleurets Limited, London","","51.44857","-0.324977","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82045/168963560/82045_LA-524850_IMG_05_0000_max_476x317.jpeg"
"168635990","Richmond upon Thames","Office","The Vestry House, 21-23 Paradise Road, Richmond, TW9 1SA","POA","","","","Investment / Development opportunity in a prime position in Richmond Town Centre.","https://www.rightmove.co.uk/properties/168635990#/?channel=COM_BUY","2025-10-27T11:37:37Z","","new","Marketed by Bray Fox Smith Ltd, London","","51.459995","-0.302076","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/168635990/91417_335640-1_IMG_00_0000_max_476x317.jpeg"
