id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169985105","Rochdale","Land","Land adjacent to 4 Rudman Street ","£100,000","Offers in Excess of","","","","","","","","ADAMSONS BARTON KENDAL are delighted to offer for sale this fabulous plot of land, with planning permission for 2 luxury detached houses, on an irregular shaped site off Rudman Street.  The properties to be built are three storey with a hallway, vanity room and gym / reception room with...","https://www.rightmove.co.uk/properties/169985105#/?channel=COM_BUY","2025-12-04T10:00:12Z","","new","Marketed by Barton Kendal Residential, Rochdale","","53.628784","-2.167427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/169985105/19110_12645471_IMG_15_0000_max_476x317.jpeg"
"169782083","Rochdale","Land","Land And Roadway At Red Lumb Mill, Red Lumb Street, Rochdale, Lancashire, OL12 7TX","£1,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION ON WEDNESDAY 17TH OF DECEMBER 2025 AT 9AM. - ***AN EXCEPTIONAL OPPORTUNITY TO ACQUIRE A FREEHOLD PLOT OF LAND AND ASSOCIATED ACCESS ROADWAY***SITUATED IN THE SEMI-RURAL SETTING OF RED LUMB, ON THE NORTHERN FRINGE OF ROCHDALE***OFFERING A VARIETY OF FUTURE USES***","https://www.rightmove.co.uk/properties/169782083#/?channel=COM_BUY","2025-11-27T14:00:49Z","","new","Marketed by Online Property Auction Group, Glasgow","","53.63668","-2.23892","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5f53b1310/169782083/5f53b1310a6a9e33447e7bb05e0487cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d0ca8ebc5/169782083/d0ca8ebc58286716a98522f0a22d3c3f_max_476x317.jpeg"
"169588073","Rochdale","Land"," Land at, Ings Lane, Rochdale, Greater Manchester, Lancashire, OL127LQ","£16,000","Guide Price","","","","","","","","** Deadline for Offers - 05 December 2025 ** Land for Sale at Ings Lane, Rochdale. Approx 0.602acres of mostly wooded land adjacent to a commercial unit. The site may be suitable for multiple uses (subject to consents).","https://www.rightmove.co.uk/properties/169588073#/?channel=COM_BUY","2025-11-21T17:01:05Z","","new","Marketed by Future Property Auctions, Glasgow","","53.62797","-2.18428","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169588073/43917_14290251_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169588073/43917_14290251_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169588073/43917_14290251_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169588073/43917_14290251_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169588073/43917_14290251_IMG_04_0000_max_476x317.jpeg"
"169546292","Rochdale","Commercial Property","Cheetham Street, Rochdale","£650,000","","","","","","","","","Acobas are delighted to bring to market a fully let, mixed use freehold investment. Prominent period 3-storey corner building, a former public house now with a barbershop and bubble tea business occupying the ground floor. The building comprises of: Two ground floor c...","https://www.rightmove.co.uk/properties/169546292#/?channel=COM_BUY","2025-11-20T16:38:43Z","","new","Marketed by Acobas, Knutsford","","53.619468","-2.156354","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277175/169546292/277175_34317619_IMG_08_0000_max_476x317.jpeg"
"157395374","Rochdale","Commercial Property","Market Street, Rochdale","£199,950","Offers in Region of","","","","","","",""," FANTASTIC OPPORTUNITY TO PURCHASE THIS COMMERCIAL PROPERTY WHICH CAN BE CHANGED TO A RESIDENTIAL PROPERTY (SUBJECT TO PLANNING). The property is located on Market Street, the main road through the picturesque village of Whitworth which offers true village life, only minutes from Rochdale, an...","https://www.rightmove.co.uk/properties/157395374#/?channel=COM_BUY","2025-01-27T09:49:36Z","","price_reduced","Marketed by Andrew Kelly, Rochdale and Surrounding","","53.66032","-2.173953","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97586/157395374/97586_12572547_IMG_19_0000_max_476x317.jpeg"
"169432898","Rochdale","Land","Land off Campion Way, Rochdale, Greater Manchester OL12 7UL","£5,000","Guide Price","","","","","","","","Online auction 9th - 10th December 2025","https://www.rightmove.co.uk/properties/169432898#/?channel=COM_BUY","2025-11-18T09:53:01Z","","new","Marketed by Auction House North West, Commercial","","53.63185","-2.17734","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169432898/165644_202510271228sq_150l_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169432898/165644_202510271228sq_150l_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169432898/165644_202510271228sq_150l_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165644/169432898/165644_202510271228sq_150l_IMG_03_0000_max_476x317.jpeg"
"168437414","Rochdale","Land","Land At Links View, Rochdale, Lancashire, OL11 4DD","£1,000","Guide Price","","","","","","","","Guide Price: £1,000 A freehold site extending to a total of approximately 1 Acres (0.4 Hectares) and comprising roadways and land at Links View which forms part of a wider and established residential development situated 2 miles from Rochdale.","https://www.rightmove.co.uk/properties/168437414#/?channel=COM_BUY","2025-10-21T14:09:38Z","","new","Marketed by PUGH & COMPANY LIMITED, Manchester","","53.611141","-2.184301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/168437414/184055_120657FH_IMG_00_0000_max_476x317.jpeg"
"169446338","Rochdale","Commercial Property","CHURCH STILE, ROCHDALE","£250,000","Guide Price","","","","","","","","We are pleased to introduce an exceptional opportunity at 28 Church Stile, Rochdale, OL16 1QE. For sale by auction on Monday 27th October This property presents a unique commercial to residential project with approved planning permission for the conversion of an existing nursery into fou...","https://www.rightmove.co.uk/properties/169446338#/?channel=COM_BUY","2025-11-18T13:36:32Z","","new","Marketed by PROPERTIES UNDER THE HAMMER AUCTIONS, Covering Nationwide","","53.613384","-2.157049","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286730/169446338/286730_34191364_IMG_08_0000_max_476x317.jpeg"
"87189780","Rochdale","Commercial Property","Pioneer House, Rochdale Exchange, OL16","£550,000","","","1","3,218 sq. ft.","3218","3218","299","299","A former department store unit forming part of the busy Rochdale Exchange Shopping Centre. This large, split-level retail unit offers approximately 3,218.1 sq. ft. of open-plan ground floor space. The property is currently presented as a shell, offering a blank canvas for a full refurbishment","https://www.rightmove.co.uk/properties/87189780#/?channel=COM_BUY","2025-07-10T11:41:36Z","","price_reduced","Marketed by Kirkham Property, Chadderton","","53.6191","-2.15705","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/87189780/229673_557_IMG_12_0000_max_476x317.jpeg"
"162301883","Rochdale","Commercial Property","FOR SALE - 68 Drake Street, Rochdale","£317,786","","","","","","","","","FOR SALE - 68 Drake Street, Rochdale. OL16 1PA Substantial 3 Storey Town Centre Shop/Offices 1,150 sq.ft per floor approximately * Prominent main road position * Rare Opportunity to purchase * Deceptively Large property * Potential for residential conversion * Upper Floors with dedicated...","https://www.rightmove.co.uk/properties/162301883#/?channel=COM_BUY","2025-05-22T13:03:28Z","","price_reduced","Marketed by Barton Kendal Residential, Rochdale","","53.615498","-2.154873","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/162301883/19110_12678471_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/162301883/19110_12678471_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/162301883/19110_12678471_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/162301883/19110_12678471_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/162301883/19110_12678471_IMG_04_0000_max_476x317.jpeg"
