id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"164925806","Rochford","Restaurant","West Street, Rochford, Essex, SS4","£45,000","","","","355 sq. ft.","355","355","33","33","Located in the Market Square and comprising a well frequented Coffee Shop/Cafe in approx. 355 sq.ft. overall. Internal seating for 24 plus another 16 al fresco. Open 5 days a week only from 8.30am till 3.30pm.","https://www.rightmove.co.uk/properties/164925806#/?channel=COM_BUY","2025-07-24T20:26:52Z","","price_reduced","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.58232","0.70588","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_06_0000_max_476x317.jpeg"
"164925806","Rochford","Restaurant","West Street, Rochford, Essex, SS4","£45,000","","","","355 sq. ft.","355","355","33","33","Located in the Market Square and comprising a well frequented Coffee Shop/Cafe in approx. 355 sq.ft. overall. Internal seating for 24 plus another 16 al fresco. Open 5 days a week only from 8.30am till 3.30pm.","https://www.rightmove.co.uk/properties/164925806#/?channel=COM_BUY","2025-07-24T20:26:52Z","","price_reduced","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.58232","0.70588","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/164925806/208157_DBS250024_IMG_06_0000_max_476x317.jpeg"
"169052237","Rochford","Commercial Property","Southend Road, Rochford, SS4","£600,000","","","","2,724 sq. ft.","2724","2724","253","253","SHOP, 2 FLATS & 2 GARAGES INVESTMENT – Southend Road, Rochford","https://www.rightmove.co.uk/properties/169052237#/?channel=COM_BUY","2025-11-06T11:36:13Z","","new","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.57683","0.703726","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169052237/258737_RX294243_IMG_14_0000_max_476x317.jpeg"
"167648294","Rochford","Light Industrial","P & A Hydraulics Ltd, Swaines Industrial Estate, Ashingdon Road, Rochford, Essex, SS4","£515,000","","","","4,678 sq. ft.","4678","4678","435","435","The property comprises detached Industrial/warehouse unit arranged to provide front office area/reception plus kitchen, leading to rear warehouse/workshop accessed from by the side loading roller shutter, plus spray booth and managers office and stores. An interconnected side workshop/warehouse ...","https://www.rightmove.co.uk/properties/167648294#/?channel=COM_BUY","2025-10-01T09:57:32Z","","new","Marketed by Kemsley LLP, Basildon","","51.588768","0.698274","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/167648294/264509_8907295FH_IMG_06_0000_max_476x317.jpeg"
"167632034","Rochford","Retail Property (high street)","5 North Street, Rochford, SS4 1AB","£280,000","Offers in Region of","","","345–924 sq. ft.","345","924","32","86","Ground floor features 2 areas for hairdressing, a galley kitchen and WC with a one-bedroom flat above.","https://www.rightmove.co.uk/properties/167632034#/?channel=COM_BUY","2025-09-30T17:25:36Z","","size_change","Marketed by Ayers & Cruiks, Southend","","51.583075","0.706887","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632034/213308_235307-1_IMG_04_0000_max_476x317.jpeg"
"167632334","Rochford","Retail Property (high street)","202 Ashingdon Road, Rochford, SS4 1TB","£60,000","Offers in Region of","","","1,234 sq. ft.","1234","1234","115","115","Established DIY shop located in Rochford, with parking & potential to grow by extending current limited hours.","https://www.rightmove.co.uk/properties/167632334#/?channel=COM_BUY","2025-09-30T17:28:38Z","","new","Marketed by Ayers & Cruiks, Southend","","51.593878","0.698244","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632334/213308_332477-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167632334/213308_332477-1_IMG_01_0000_max_476x317.jpeg"
"166532069","Rochford","Commercial Property","North Street, Rochford, Essex, SS4","£239,950","","","","696 sq. ft.","696","696","65","65","Located just around the corner from the Market Square and comprising a celebrated Gents Hair Salon in some 696 sq.ft. let with an income of £10,140pa, together with a s/c 1 bedroom flat above, which could be let for circa £9,600pa & therefore a ERV of £19,740pa.","https://www.rightmove.co.uk/properties/166532069#/?channel=COM_BUY","2025-09-03T12:24:25Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.58302","0.70678","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/166532069/208157_DBS230015_IMG_05_0000_max_476x317.jpeg"
"157463129","Rochford","Shop","Roche Close, Rochford, Essex, SS4","£82,500","","","","527 sq. ft.","527","527","49","49","An vacant office / retail in a courtyard location just off North Street, Rochford, approx. 527 sq. ft. The office benefits from a kitchen, W/C and excellent transport links.","https://www.rightmove.co.uk/properties/157463129#/?channel=COM_BUY","2025-01-28T12:27:41Z","","price_reduced","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.58304","0.70577","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/157463129/208157_DCM250007_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/157463129/208157_DCM250007_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/157463129/208157_DCM250007_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/157463129/208157_DCM250007_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/157463129/208157_DCM250007_IMG_04_0000_max_476x317.jpeg"
"164351633","Rochford","Restaurant","Restaurant, Rochford, SS4","£99,995","","","","2,331 sq. ft.","2331","2331","217","217","LONG ESTABLISHED 60-70 COVER RESTAURANT - NORTH STREET, ROCHFORD. LEASHOLD £99,995 + SAV","https://www.rightmove.co.uk/properties/164351633#/?channel=COM_BUY","2025-07-09T12:09:57Z","","new","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.58475","0.700207","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/164351633/258737_RX598144_IMG_15_0000_max_476x317.jpeg"
"163026125","Rochford","Land","Land East of Cherry Orchard Way, Rochford","POA","","","","426,888 sq. ft.","426888","426888","39659","39659","Development Opportunity with existing consent in Rochford, Essex: Residential, Commercial or Retirement/Care Village","https://www.rightmove.co.uk/properties/163026125#/?channel=COM_BUY","2025-06-09T06:43:47Z","","new","Marketed by Savills, Chelmsford","","51.577105","0.681434","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208118/163026125/208118_DCAD29A8-2D13-412C-B68A-C1E2F309B094_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208118/163026125/208118_DCAD29A8-2D13-412C-B68A-C1E2F309B094_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208118/163026125/208118_DCAD29A8-2D13-412C-B68A-C1E2F309B094_IMG_00_0000_max_476x317.jpeg"
