id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169413935","Salford","Office","UNIT 2 DIGITAL PARK, SALFORD QUAYS, M50 1DR","£600,000","Guide Price","","","3,245 sq. ft.","3245","3245","301","301","Attractive self-contained office for sale in Salford Quays on the popular Digital Park, close to MediaCity. Fully fitted and inclusive of 8 parking spaces.","https://www.rightmove.co.uk/properties/169413935#/?channel=COM_BUY","2025-11-17T16:01:15Z","","size_change","Marketed by Canning O'Neill, Manchester","","53.477329","-2.310317","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_14_0000_max_476x317.jpeg"
"169926143","Salford","Warehouse","209 Bury New Road, Manchester, M8 8DU","POA","","","","3,790 sq. ft.","3790","3790","352","352","TO LET (MAY SELL) - Prominent Roadside / Trade Counter Opportunity","https://www.rightmove.co.uk/properties/169926143#/?channel=COM_BUY","2025-12-02T15:42:45Z","","new","Marketed by Sixteen Real Estate, Manchester","","53.498126","-2.254747","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205655/169926143/205655_336014-1_IMG_06_0000_max_476x317.jpeg"
"168232001","Salford","Commercial Property","Salisbury House, St Stephen St, Salford, M3","£65,000","","","","829 sq. ft.","829","829","77","77","*** TAKEAWAY BUSINESS FOR SALE *** EXCELLENT LOCATION OFF TRINITY WAY & CHAPEL STREET *** GOOD FOOTFALL *** CENTRAL COMMUTER ROUTE *** CLOSE TO UNIVERISTY CAMPUSES *** PUBLIC PARKING AT FRONT *** AVAILABLE NOW *** ","https://www.rightmove.co.uk/properties/168232001#/?channel=COM_BUY","2025-10-16T01:09:59Z","","new","Marketed by Lancashire Properties, Manchester","","53.4855","-2.25704","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123907/168232001/123907_CS0171_IMG_08_0000_max_476x317.jpeg"
"714156205055024","Salford","Light Industrial","102 Great Clowes Street, Salford, M7 1RN","£1,100,000","","","","33,497 sq. ft.","33497","33497","3112","3112","Freehold Multi-Let Commercial Premises","https://www.rightmove.co.uk/properties/714156205055024#/?channel=COM_BUY","2025-10-27T15:47:02Z","","new","Marketed by Sanderson Weatherall, Manchester","","53.494936","-2.258858","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/714156205055024/261932_333577-1_IMG_06_0000_max_476x317.jpeg"
"168148040","Salford","Cafe","Cafe & Sandwich Bars, Greater Manchester","£230,000","","1","","","","","","","SANDWICH BAR Significant potential to grow sales and profits Prominent roadside position with excellent visibility Convenient roadside parking One-bedroom accommodation above (requiring reinstatement) Weekly turnover £1,500 REF 591275. EPC Band C. Business and Property, Offers Around £230,000 S...","https://www.rightmove.co.uk/properties/168148040#/?channel=COM_BUY","2025-10-13T12:00:15Z","","new","Marketed by Ernest Wilson & Co Limited, EW Leeds","","53.4838","-2.2969","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/168148040/153122_591275_IMG_05_0000_max_476x317.jpeg"
"167536808","Salford","Commercial Development","Former Buzz Bingo, Hankinson Way, Salford","POA","","","","89,298 sq. ft.","89298","89298","8296","8296","Prime Development Opportunity in Salford, Greater Manchester with existing planning consent secured for a 268 unit scheme arranged over 3-blocks with a maximum height of 9-storeys (ground plus 8 storeys), along with 76 surface car parking spaces.","https://www.rightmove.co.uk/properties/167536808#/?channel=COM_BUY","2025-09-28T20:25:11Z","","new","Marketed by Savills, Manchester","","53.488797","-2.286704","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/165k/164159/167536808/164159_D0B5343E-3928-480B-96FF-19726CC85AF5_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/165k/164159/167536808/164159_D0B5343E-3928-480B-96FF-19726CC85AF5_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/165k/164159/167536808/164159_D0B5343E-3928-480B-96FF-19726CC85AF5_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/165k/164159/167536808/164159_D0B5343E-3928-480B-96FF-19726CC85AF5_IMG_03_0001_max_476x317.jpeg"
"169413935","Salford","Office","UNIT 2 DIGITAL PARK, SALFORD QUAYS, M50 1DR","£600,000","Guide Price","","","3,245 sq. ft.","3245","3245","301","301","Attractive self-contained office for sale in Salford Quays on the popular Digital Park, close to MediaCity. Fully fitted and inclusive of 8 parking spaces.","https://www.rightmove.co.uk/properties/169413935#/?channel=COM_BUY","2025-11-17T16:01:15Z","","size_change","Marketed by Canning O'Neill, Manchester","","53.477329","-2.310317","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94360/169413935/94360_can_web_13375_IMG_14_0000_max_476x317.jpeg"
"165111350","Salford","Office","Bury Street, Manchester, Greater Manchester, M3","£1,550,000","Offers in Excess of","","","5,814 sq. ft.","5814","5814","540","540","Strategically positioned on the periphery of Manchester city centre. Fully let investment offering secure income with reversion on the rents","https://www.rightmove.co.uk/properties/165111350#/?channel=COM_BUY","2025-07-30T09:59:02Z","","new","Marketed by OBI PROPERTY LIMITED, Manchester","","53.48529","-2.25178","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63162/165111350/63162_QuebecOffice_IMG_10_0000_max_476x317.jpeg"
"723050908217216","Salford","Office","50 Kansas Avenue, Baltimore House, 50 Kansas Avenue, Salford, M50 2GL","POA","","","","12,244 sq. ft.","12244","12244","1138","1138","A self-contained 12,250 sq ft office building arranged over two floors within close proximity of Media City with refurbishment potential.","https://www.rightmove.co.uk/properties/723050908217216#/?channel=COM_BUY","2025-12-04T12:51:06Z","","new","Marketed by Savills, Manchester Offices","","53.478076","-2.297165","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/723050908217216/232334_120313-1_IMG_08_0000_max_476x317.jpeg"
"163708856","Salford","Land","Land at Langley Road","POA","","","","","","","","","Prime location of development land situated on Langley Road, Salford, Greater Manchester, suitable for a variety of uses, such as Housing and Industrial/Commercial. Site extends to circa 8 acres.","https://www.rightmove.co.uk/properties/163708856#/?channel=COM_BUY","2025-06-24T09:24:10Z","","new","Marketed by W. MAHER & SONS LIMITED, Warrington","","53.50622","-2.29252","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/28a4e2b57/163708856/28a4e2b57cea1bce21cc922c1eb5800c_max_476x317.jpeg"
