id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169902368","Somerset","Commercial Development","West Bay Park, Watchet","£145,000","","2","2","NO ONWARD CHAIN - A well presented detached two bedroom, two bathroom park home with far reaching stunning coast views, gas central heating and No Onward Chain.","https://www.rightmove.co.uk/properties/169902368#/?channel=COM_BUY","2025-12-02T09:22:14Z","","size_change","Marketed by Wilkie May & Tuckwood, Watchet","","51.18243","-3.338299","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_14_0000_max_476x317.jpeg"
"169956998","Somerset","Mixed Use","Meadow Street, Weston-super-Mare, North Somerset, BS23","£240,000","","","","Exceptional Mixed-Use Investment Opportunity – Weston-super-Mare Town Centre. This is a mixed-use freehold property in a Weston-super-Mare town centre location. The property comprises a ground floor commercial unit, two studio apartments and one one-bedroom apartment, all of whic...","https://www.rightmove.co.uk/properties/169956998#/?channel=COM_BUY","2025-12-03T12:51:50Z","","new","Marketed by David Plaister Ltd, Weston Super Mare","","51.348","-2.97735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105727/169956998/105727_DPO180733_IMG_21_0000_max_476x317.jpeg"
"169927160","Somerset","Commercial Property","5 High Street, Burnham-On-Sea","£345,000","","3","2","*** FABULOUS HIGH STREET COMMERCIAL OPPORTUNITY WITH OFF STREET PARKING *** LARGE OFFICE(S) SPACE AND TWO FLATS *** WHAT A FABULOUS OPPORTUNITY *** WHOLE COMMERCIAL PROPERTY ON BURNHAM HIGH STREET *** LARGE COMMERCIAL PREMISES WITH A MAIN OFFICE, SECOND BACK OFFICE *** KITCHEN, STORE ROOM AND CLO...","https://www.rightmove.co.uk/properties/169927160#/?channel=COM_BUY","2025-12-02T17:16:12Z","","new","Marketed by Olive Estate Agents, Somerset","","51.234649","-2.997364","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297488/169927160/297488_32811729_IMG_23_0000_max_476x317.jpeg"
"169914524","Somerset","Retail Property (high street)","Catherine Hill, Frome, Somerset, BA11","£55,000","Leasehold","","","Established Jewellery Wholesale Business for Sale - A Profitable & Flexible Opportunity","https://www.rightmove.co.uk/properties/169914524#/?channel=COM_BUY","2025-12-02T12:44:24Z","","new","Marketed by Ware Commercial, Torquay","","51.2311","-2.32377","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107023/169914524/107023_Pocoloco_IMG_05_0000_max_476x317.jpeg"
"169910882","Somerset","Commercial Property","Chaffcombe Lane, Chard","£375,000","Guide Price","","","A long-leasehold site available for sale via private treaty","https://www.rightmove.co.uk/properties/169910882#/?channel=COM_BUY","2025-12-02T11:42:24Z","","new","Marketed by Symonds & Sampson, Dorchester","","50.888439","-2.940524","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208265/169910882/208265_34335983_IMG_24_0000_max_476x317.jpeg"
"141524363","Somerset","Plot","BUNGALOW & APPROX. 10.16 ACRES, West Street, South Petherton, Somerset, TA13","£700,000","Guide Price","3","","Existing 3 bedroom bungalow with approx. 4.11ha (10.16 acres) land with development potential (subject to requisite consents). Lapsed planning for 4 dwellings Ref.16/00646/FUL.","https://www.rightmove.co.uk/properties/141524363#/?channel=COM_BUY","2023-11-01T10:51:06Z","","new","Marketed by KLP, Exeter","","50.94378","-2.81778","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/141524363/129328_911PT_IMG_10_0000_max_476x317.jpeg"
"136282355","Somerset","Plot","RESIDENTIAL DEVELOPMENT SITE, Lowerside Lane, Glastonbury, BA6","Offers Invited","","","","A development site with outline planning permission for up to 90 dwellings.","https://www.rightmove.co.uk/properties/136282355#/?channel=COM_BUY","2023-06-20T14:48:03Z","","new","Marketed by KLP, Exeter","","51.15608","-2.72029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129328/136282355/129328_881_IMG_07_0000_max_476x317.jpeg"
"169902368","Somerset","Commercial Development","West Bay Park, Watchet","£145,000","","2","2","NO ONWARD CHAIN - A well presented detached two bedroom, two bathroom park home with far reaching stunning coast views, gas central heating and No Onward Chain.","https://www.rightmove.co.uk/properties/169902368#/?channel=COM_BUY","2025-12-02T09:22:14Z","","size_change","Marketed by Wilkie May & Tuckwood, Watchet","","51.18243","-3.338299","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248345/169902368/248345_34334699_IMG_14_0000_max_476x317.jpeg"
"169879766","Somerset","Light Industrial","Oxford Road, Pen Mill Trading Estate, Yeovil, Somerset, BA21 5HR","£375,000","Guide Price","","","Versatile detached business unit providing two full height bays of industrial / storage accommodation with rear roller shutter doors, ground floor front office and kitchen and WC facilities and a mezzanine area above providing two further offices and storage. The building benefits from a large fr...","https://www.rightmove.co.uk/properties/169879766#/?channel=COM_BUY","2025-12-01T14:13:53Z","","new","Marketed by GTH, Yeovil","","50.951969","-2.60554","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193142/169879766/193142_2126FH_IMG_06_0000_max_476x317.jpeg"
"145250759","Somerset","Light Industrial","Lowmoor Industrial Estate, Wellington, Somerset, TA21","£265,000","","","","Semi-detached industrial unit for sale or to let located on the edge of Wellington. G.I.A of 372.37 sq m (4,008 sq ft). Warehouse, office, store and kitchen. Toilet to be constructed. Concrete Yard to front with parking for 6/8 vehicles. Popular industrial estate 4 miles from J26 of the M5 motorway.","https://www.rightmove.co.uk/properties/145250759#/?channel=COM_BUY","2024-02-29T11:31:11Z","","new","Marketed by Carter Jonas LLP - Taunton, Taunton","","50.99037","-3.24387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220103/145250759/220103_5aLowmoorSALE_IMG_06_0000_max_476x317.jpeg"
