id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"133876829","South Lanarkshire","Commercial Property","Bannatyne Street, Lanark, Lanarkshire, ML11","£65,000","Offers Over","2","1","Commercial Space | Lanark Town Centre Location | Large Front Lobby | Private Office Space | Washing Room & WC","https://www.rightmove.co.uk/properties/133876829#/?channel=COM_BUY","2023-04-25T11:17:26Z","","price_reduced","Marketed by Let Property Sales & Management, Glasgow","","55.67354","-3.77472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_15_0000_max_476x317.jpeg"
"722868078412769","South Lanarkshire","Light Industrial","10 Broompark Road, Blantyre, Glasgow, G72 0DR","£400,000","Offers in Excess of","","","Prominent commercial premises suitable for a variety of uses","https://www.rightmove.co.uk/properties/722868078412769#/?channel=COM_BUY","2025-12-03T11:45:11Z","","new","Marketed by G M Brown, Glasgow","","55.786076","-4.100971","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/484a7186f/722868078412769/484a7186f8bc2bff183e7feef4a8cd5c_max_476x317.jpeg"
"169945754","South Lanarkshire","Commercial Property","9 Burnbank Cross, Hamilton, Lanarkshire, ML3 9HH","£75,000","Guide Price","","","FOR SALE BY ONLINE AUCTION WEDNESDAY 17TH DECEMBER 2025 AT 9.00AM ***For Sale High-Yielding Retail Investment / Freehold Commercial Unit***Commercial Investment property let to ***WILLIAM HILL BOOKMAKERS*** 100% prime national tenant*** Let for £12,500 per annum*** Massive 16.66% Rental Yi...","https://www.rightmove.co.uk/properties/169945754#/?channel=COM_BUY","2025-12-03T09:57:02Z","","new","Marketed by Online Property Auction Group, Glasgow","","55.781055","-4.06818","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169945754/236495_320692_IMG_00_0001_max_476x317.jpeg"
"133876829","South Lanarkshire","Commercial Property","Bannatyne Street, Lanark, Lanarkshire, ML11","£65,000","Offers Over","2","1","Commercial Space | Lanark Town Centre Location | Large Front Lobby | Private Office Space | Washing Room & WC","https://www.rightmove.co.uk/properties/133876829#/?channel=COM_BUY","2023-04-25T11:17:26Z","","price_reduced","Marketed by Let Property Sales & Management, Glasgow","","55.67354","-3.77472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/133876829/246740_191629471_IMG_15_0000_max_476x317.jpeg"
"169917284","South Lanarkshire","Land"," Land at , Redlawood Road, Cambuslang, G727UZ","£60,000","Guide Price","","","** Timed Online Auction - 11 December 2025 ** ***Large FREEHOLD plot with massive potential. Large plot of land located within a popular residential area of Cambuslang, Glasgow***.","https://www.rightmove.co.uk/properties/169917284#/?channel=COM_BUY","2025-12-02T13:20:30Z","","new","Marketed by Future Property Auctions, Glasgow","","55.82078","-4.12151","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917284/43917_14291866_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917284/43917_14291866_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917284/43917_14291866_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917284/43917_14291866_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917284/43917_14291866_IMG_04_0000_max_476x317.jpeg"
"169917281","South Lanarkshire","Commercial Property"," , Patersons Church, Lawrie Street, Stonehouse, ML93LN","£238,000","Guide Price","","","** Timed Online Auction - 11 December 2025 ** ***Stunning FREEHOLD former church with full vacant possession*** Fully restored and upgraded throughout. High impact coloured lighting in bell tower. ***Highly professional,tasteful restoration***.","https://www.rightmove.co.uk/properties/169917281#/?channel=COM_BUY","2025-12-02T13:20:28Z","","new","Marketed by Future Property Auctions, Glasgow","","55.70031","-3.98432","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917281/43917_14291900_IMG_08_0000_max_476x317.jpeg"
"169917275","South Lanarkshire","Land"," , Buildings, Site and Former Water Tank, Langlees Road, Biggar, ML126NP","£23,000","Guide Price","","","** Timed Online Auction - 11 December 2025 ** ***Former Water Tank Site with Attractive Views - 0.20 Acres (823 sq.m).***Fantastic potential development opportunity***.","https://www.rightmove.co.uk/properties/169917275#/?channel=COM_BUY","2025-12-02T13:20:25Z","","new","Marketed by Future Property Auctions, Glasgow","","55.62418","-3.54831","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169917275/43917_14291985_IMG_06_0000_max_476x317.jpeg"
"161751809","South Lanarkshire","Land","Former Hawksland Reservoir, Greenrig Road, Hawksland, ML11 9QB","£300,000","Guide Price","4","1"," Prime New Entry! We are excited to bring to market this substantial site boasting 3.14 acres with planning approved within agricultural greenbelt set in a picturesque area of Hawksland   *** Ardveenan House, Darnfillan Farm, Stonebyres, Lanark, Lanarkshire ML11 9QB sold for £500,...","https://www.rightmove.co.uk/properties/161751809#/?channel=COM_BUY","2025-05-09T15:56:55Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.650801","-3.820067","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_10_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_11_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/161751809/251369_217208002_IMG_14_0000_max_476x317.jpeg"
"163102226","South Lanarkshire","Pub","Struths Bar, Larkhall, ML9 1DX","£65,000","Guide Price","","","   PRIME NEW LISTING. We are excited to present this vacant commercial unit, located within a prime location in Larkhall.   Previously tenanted at £800 per calendar month, the property also boasts an alcohol license, making it ideal for those looking to transform it into a ...","https://www.rightmove.co.uk/properties/163102226#/?channel=COM_BUY","2025-06-10T14:00:21Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.741497","-3.974927","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163102226/251369_218508136_IMG_11_0000_max_476x317.jpeg"
"165711953","South Lanarkshire","Pub","The Courtyard Bar, 31 Campbell Street, Hamilton, ML3 6AS","£280,000","Guide Price","","","  PRIME NEW LISTING. We are excited to present this tenanted commercial investment opportunity located within a prime location in Hamilton.    Property is situated in a busy footfall area of Hamilton, benefiting from large footfall traffic. PRIME COMMERCIAL INVESTMENT LOCAT...","https://www.rightmove.co.uk/properties/165711953#/?channel=COM_BUY","2025-08-13T16:23:04Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.776254","-4.035295","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/165711953/251369_220285448_IMG_17_0000_max_476x317.jpeg"
