id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169848173","South Tyneside","Commercial Property","Westoe Road, South Shields, Tyne and Wear, NE33","£279,995","Offers in Region of","6","2","Fully licensed, turn-key HMO just 3 mins from South Tyneside College. 6 doubles & 2 singles, fully compliant, vacant and ready to let. EPC D.","https://www.rightmove.co.uk/properties/169848173#/?channel=COM_BUY","2025-11-29T12:19:23Z","","price_reduced","Marketed by Browns Estate Agents, South Shields","","54.987908","-1.423723","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_43_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273878/169848173/273878_BRW_BRW_LFSYCL_647_836425349_IMG_44_0000_max_476x317.jpeg"
"169710917","South Tyneside","Commercial Property","Park Road, Hebburn","£165,000","Guide Price","","","FOR SALE BY WAY OF ONLINE AUCTION - 11TH DECEMBER 2025! Option 1 - Terms and Conditions apply. See Agents Property Auctions Website for full details.  An end-terraced commercial property currently fitted out and tra...","https://www.rightmove.co.uk/properties/169710917#/?channel=COM_BUY","2025-11-25T18:01:31Z","","new","Marketed by Andrew Craig, Auction","","54.972452","-1.516044","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93604/169710917/93604_472433_IMG_05_0000_max_476x317.jpeg"
"169237178","South Tyneside","Commercial Property","58 Norham Terrace, Jarrow, South Tyneside ","£280,000","","","","Freehold Convenience Store Investment Let to Morrisons Daily. Secure national covenant through major supermarket operator. Rental income £20,000 per annum. Net internal area 227.46 sq. m. (2,448 sq. ft.). 10-year lease from 3rd November 2023. Gross yield of 7.14 % on the purchase price. Est...","https://www.rightmove.co.uk/properties/169237178#/?channel=COM_BUY","2025-11-11T16:01:04Z","","new","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.96463","-1.488696","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169237178/63935_12769975_IMG_08_0000_max_476x317.jpeg"
"169215557","South Tyneside","Hotel","Ocean Road, South Shields, Tyne and Wear, NE33 2JL","£215,000","Guide Price","","","*For sale via secure sale online bidding: terms and conditions apply.* We are delighted to offer to the market this well presented seven bedroom end terrace property on the popular Ocean Road, South Shields. Currently used as guest house the property benefits from gas central heating and doubl...","https://www.rightmove.co.uk/properties/169215557#/?channel=COM_BUY","2025-11-11T10:54:05Z","","new","Marketed by Pattinson Estate Agents, South Shields","","54.9998","-1.4263","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74678/169215557/74678_477711_IMG_17_0000_max_476x317.jpeg"
"154017968","South Tyneside","Retail Property (high street)","Henderson Road, South Shields, Tyne and Wear, NE34 9QW","£33,000","","","","BUSINESS FOR SALE We are pleased to offer for sale a hairdressing business on the popular Henderson road, Simonside, the subject premises is a ground floor Hairdressing business in South Shields. The business is very well known and a respected hairdressers in the area. The current owner has l...","https://www.rightmove.co.uk/properties/154017968#/?channel=COM_BUY","2024-10-21T14:36:08Z","","price_reduced","Marketed by Pattinsons, Pattinsons Commercial North East","","54.9677","-1.4611","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/154017968/251951_454609_IMG_29_0000_max_476x317.jpeg"
"163987064","South Tyneside","Restaurant","St Bedes, East Boldon, NE36","£35,000","Guide Price","","","East Boldon comprises an affluent residential commuter village in the North East region between Sunderland and South Shields, together with the neighbouring high amenity value villages of Cleadon and Whitburn.The property is situated just off the A184, surrounded by a cluster of retailers and the...","https://www.rightmove.co.uk/properties/163987064#/?channel=COM_BUY","2025-06-30T20:08:07Z","","price_reduced","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.944759","-1.426034","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/08bdf524a/163987064/08bdf524a4722c1a6fad6d13581eb59f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/21daea096/163987064/21daea09658cf40e7e0a7d0ea4f7b085_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/86ae398a3/163987064/86ae398a376fc01198dae70eaaf73628_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dcca5c422/163987064/dcca5c422387fb1dfc3102d067dc2196_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fe9c18058/163987064/fe9c180585dc0d6999d6a5fd0d679e0e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8496e6099/163987064/8496e609911d7499bdbe604f65713a1a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0428da810/163987064/0428da8105c6077f5df0f6e5103f2460_max_476x317.jpeg"
"168997508","South Tyneside","Commercial Property","4-6 King Street, South Shields","£295,000","Guide Price","","","High Yielding Retail Investment Occupying a Prime Pedestrianised Pitch Fully Let to Households Bargains Limited on a Recently Signed 10 Year Lease Expiring 20.05.2034 Investment Let at £35,000 per annum","https://www.rightmove.co.uk/properties/168997508#/?channel=COM_BUY","2025-11-05T09:03:26Z","","new","Marketed by Savills, Savills Auctions- Commercial","","54.998719","-1.432955","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/168997508/238697_E35D96C9-C6F4-40E9-9B03-53BBEE6584B8_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/168997508/238697_E35D96C9-C6F4-40E9-9B03-53BBEE6584B8_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/168997508/238697_E35D96C9-C6F4-40E9-9B03-53BBEE6584B8_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/168997508/238697_E35D96C9-C6F4-40E9-9B03-53BBEE6584B8_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/168997508/238697_E35D96C9-C6F4-40E9-9B03-53BBEE6584B8_IMG_00_0001_max_476x317.jpeg"
"168483323","South Tyneside","Light Industrial","Unit 2B, 102 Throckley Way, Middlefields Industrial Estate, South Shields, Tyne And Wear, NE34 0NU","£365,000","","","","The unit comprises a semi-detached, purpose-built warehouse facility that is configured to offer an open-plan warehouse area. Access to the warehouse is via a roller shutter located on the left side of the front elevation, measuring approximately 3.5m x 3.5m. There is also access via a pedestrian...","https://www.rightmove.co.uk/properties/168483323#/?channel=COM_BUY","2025-10-22T13:09:49Z","","new","Marketed by Naylors Gavin Black LLP, Newcastle Upon Tyne","","54.973747","-1.445273","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/168483323/100681_3308FH_IMG_07_0000_max_476x317.jpeg"
"168472559","South Tyneside","Pub","South Foreshore, South Shields, Tyne and Wear, NE33","£650,000","Guide Price","","","FOR SALE VIA ONLINE AUCTION: terms and conditions apply. Link to bid: auction.bradleyhall.co.uk/lot/details/161689 Waters Edge comprises a brick-built former public house dating from the 20th century, prominently positioned along the South Tyneside coastline. The site extends to approx...","https://www.rightmove.co.uk/properties/168472559#/?channel=COM_BUY","2025-10-22T10:40:05Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","55.002078","-1.421089","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168472559/282893_SND250105_IMG_18_0000_max_476x317.jpeg"
"168309437","South Tyneside","Land","Station Road, Boldon Colliery, Tyne and Wear, NE35","£179,950","Guide Price","","","FOR SALE VIA AUCTION: terms and conditions apply. Link to bid: auction.bradleyhall.co.uk/lot/details/158727 An exceptional opportunity to acquire a well-positioned 0.189 acre parcel of land located to the rear of Hedworth Lane in the popular area of Boldon Colliery, Tyne and Wear. The ...","https://www.rightmove.co.uk/properties/168309437#/?channel=COM_BUY","2025-10-17T13:58:55Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.950456","-1.469053","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168309437/282893_SND250223_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168309437/282893_SND250223_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168309437/282893_SND250223_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168309437/282893_SND250223_IMG_03_0000_max_476x317.jpeg"
