id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169928087","Southampton","Land","Rear of 166 Middle Road, Sholing, Southampton, SO19 8FS","£150,000","","3","2","","","","","","DEVELOPMENT OPPORTUNITY - Plot of land with planning permission to build a stunning and unique split-level three double bedroom bungalow in Sholing, Southampton. This is a rare opportunity to own and build a beautifully designed bungalow, meticulously planned to impress, situated on land that ...","https://www.rightmove.co.uk/properties/169928087#/?channel=COM_BUY","2025-12-02T16:11:11Z","","price_reduced","Marketed by Homer Estates, Bournemouth","","50.903906","-1.359197","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241730/169928087/241730_24628_IMG_06_0000_max_476x317.png"
"169926452","Southampton","Office","Millbrook Road East, Southampton, Hampshire, SO15","£525,000","","","","3,850 sq. ft.","3850","3850","358","358","This property is an attractive two-storey period-style office building with undercroft access leading to rear parking and a workshop. The combination of open-plan space, private offices and a boardroom offers a versatile layout ideal for office, clinic, training and other service-based occupiers ...","https://www.rightmove.co.uk/properties/169926452#/?channel=COM_BUY","2025-12-02T15:47:51Z","","new","Marketed by Keygrove Chartered Surveyors, Southampton","","50.909534","-1.426249","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169926452/95672_1083FH_IMG_19_0000_max_476x317.jpeg"
"169579151","Southampton","Commercial Development","161 Woodmill Lane and Land on the West Side of Woodmill Lane, Bitterne Park, Southampton, Hampshire, SO18 2PG","£550,000","Guide Price","","","3,000–4,000 sq. ft.","3000","4000","279","372","Freehold Commercial & Residential Development Opportunity - FOR SALE BY AUCTION 11TH DECEMBER 2025","https://www.rightmove.co.uk/properties/169579151#/?channel=COM_BUY","2025-11-21T17:19:46Z","","price_reduced","Marketed by Acuitus Limited, Acuitus","","50.93239","-1.36898","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169579151/275780_A13436-LOT13-SOUTHAMPON_IMG_07_0000_max_476x317.jpeg"
"723048725212880","Southampton","Office","Dukes Keep, Marsh Lane, Southampton, SO14 3EX","POA","","","","83,995 sq. ft.","83995","83995","7803","7803","Offices with conversion/redevelopment potential - CLOSING DATE FOR BIDS 5PM 30th SEPTEMBER 2022","https://www.rightmove.co.uk/properties/723048725212880#/?channel=COM_BUY","2025-12-04T11:24:05Z","","new","Marketed by Savills, Southampton","","50.900399","-1.396435","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723048725212880/214127_23258-1_IMG_15_0000_max_476x317.jpeg"
"169846037","Southampton","Bar / Nightclub","16 East Street, Southampton, Hampshire, SO14","£190,000","","","","1,951 sq. ft.","1951","1951","181","181","Comprises American-style sports bar arranged over the ground and first floors. Entire property Let until April 2034. Rent deposit held of £11,250. ","https://www.rightmove.co.uk/properties/169846037#/?channel=COM_BUY","2025-11-29T10:30:23Z","","new","Marketed by Blue Alpine, London","","50.9019","-1.40196","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169846037/230087_16eaststreet_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169846037/230087_16eaststreet_IMG_01_0000_max_476x317.png"
"723058642423648","Southampton","Restaurant","Old Bond Store Building, Back of the Walls, Southampton, SO14 3HA","POA","","","","6,049 sq. ft.","6049","6049","562","562","Detached 6,049 sq ft GII listed ""turn-key"" commercial HQ/leisure opportunity in Southampton’s ""cultural district"" suitable for range of uses","https://www.rightmove.co.uk/properties/723058642423648#/?channel=COM_BUY","2025-12-04T14:55:52Z","","size_change","Marketed by Savills, Southampton - Licensed Leisure","","50.900786","-1.401711","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058642423648/225509_338378-1_IMG_15_0000_max_476x317.jpeg"
"169358279","Southampton","Office","Upper Floors, 390c Bitterne Road, 390c Bitterne Road, Southampton, SO18 5RS","£95,000","","","","756 sq. ft.","756","756","70","70","For Sale - Self-Contained Commercial Premises (Potential for residential conversion) - 756 sq ft (70.23 sq m)","https://www.rightmove.co.uk/properties/169358279#/?channel=COM_BUY","2025-11-14T16:27:34Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","50.91437","-1.362119","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169358279/88949_333921-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169358279/88949_333921-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169358279/88949_333921-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169358279/88949_333921-1_IMG_03_0000_max_476x317.jpeg"
"159167642","Southampton","Mixed Use","30 Victoria Road, Southampton, Hampshire, SO19","£575,000","","","","1,872 sq. ft.","1872","1872","174","174","Four-storey building comprising retail shop (sold-off) and 4 x 1-bed residential apartments. Part newly developed in 2024 to a high standard. One of the flats benefit from private garden at rear. ","https://www.rightmove.co.uk/properties/159167642#/?channel=COM_BUY","2025-03-08T08:09:50Z","","size_change","Marketed by Blue Alpine, London","","50.89732","-1.37989","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_15_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_17_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/159167642/230087_30victoriafh_IMG_09_0000_max_476x317.jpeg"
"722865538933264","Southampton","Office","Unit 2 Yeoman Industrial Park, Portmore House Unit 2, Yeoman Industrial Park, Southampton, SO16 9JX","£750,000","Offers in Region of","","","1,870–3,792 sq. ft.","1870","3792","174","352","Self-Contained Office Good Parking Ratio Close to M27","https://www.rightmove.co.uk/properties/722865538933264#/?channel=COM_BUY","2025-12-03T11:04:08Z","","new","Marketed by Realest, Offices","","50.929291","-1.474172","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229079/722865538933264/229079_336680-1_IMG_07_0000_max_476x317.jpeg"
"168914270","Southampton","Land","Langhorn Road, Southampton, Hampshire, SO16","£595,000","","","","","","","","","Building Plot of 0.23 acres (approx.) with Full Planning Permission Granted for 4 Dwellings. Opportunity to acquire a building plot on Langhorn Road which is to the East of Southampton Highfield Campus for the erection of a two-storey building consisting of 4, three bedroom dwellings o...","https://www.rightmove.co.uk/properties/168914270#/?channel=COM_BUY","2025-11-03T11:23:41Z","","new","Marketed by Morris Dibben, Southampton","","50.9375","-1.383","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5024/168914270/5024_RSH240002_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5024/168914270/5024_RSH240002_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5024/168914270/5024_RSH240002_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5024/168914270/5024_RSH240002_IMG_03_0000_max_476x317.jpeg"
