id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168628034","Southend-on-Sea","Light Industrial","Unit 10a & 10b, The Wheelwrights, Temple Farm Industrial Estate, Southend On Sea, Essex, SS2","£2,000,000","Offers in Excess of","","","Detached double pitched industrial/warehouse unit arranged as factory and stores at ground floor with ancillary offices, separate male and female WCs, kitchenette, locker room with further offices, predominantly open plan arrangement at first floor and mezzanine storage. The property benefits fro...","https://www.rightmove.co.uk/properties/168628034#/?channel=COM_BUY","2025-10-27T09:42:11Z","","new","Marketed by Kemsley LLP, Basildon","","51.562912","0.713236","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_07_0000_max_476x317.jpeg"
"169320740","Southend-on-Sea","Commercial Property","3-5 High Street, Southend-on-Sea, Essex, SS1 1JE","£455,000","Guide Price","","","Postponed FOR SALE BY PUBLIC AUCTION ON WEDNESDAY, 3RD DECEMBER 2025 AT 12.00PM NOON. LIVE STREAMED VIA DEDMAN GRAY WEBSITE. BIDDING AVAILABLE BY TELEPHONE, PROXY AND ONLINE; COMMERCIAL INVESTMENT: SUBSTANTIAL VACANT COMMERCIAL PREMISES WITH TWO STREET FRONTED ELEVATIONS OVER TWO FLOORS. CLOSE TO...","https://www.rightmove.co.uk/properties/169320740#/?channel=COM_BUY","2025-11-13T17:54:58Z","","price_reduced","Marketed by Dedman Gray Auctions, Essex","","51.53447","0.713924","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320740/63413_317093_IMG_07_0000_max_476x317.jpeg"
"166578284","Southend-on-Sea","Warehouse","22, Belle Vue Place, Southend-On-Sea, Essex, SS1","£680,000","","","","This detached service station and MOT centre spans approximately 5,680 sq. ft. (527 sq. m.) on the ground floor. Key features include a roller shutter entrance (3.6m width x 3.5m height) for easy vehicle access, five car ramps, inspection pits, and a three-phase power. Air conditioning/heating in...","https://www.rightmove.co.uk/properties/166578284#/?channel=COM_BUY","2025-09-04T11:47:01Z","","price_reduced","Marketed by Kemsley LLP, Basildon","","51.539665","0.729001","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578284/264509_8906016FH_IMG_07_0000_max_476x317.jpeg"
"169337486","Southend-on-Sea","Mixed Use","143 Victoria Avenue, Southend-on-Sea, Essex, SS2 6EL","£235,000","Guide Price","6","2","FOR SALE BY PUBLIC AUCTION ON THURSDAY 4TH DECEMBER 2025 AT 3.00PM . Livestreamed via the Hair & Son Website. Bidding available by telephone, proxy and online.G.F.SHOP AND SIX BEDROOM LICENSED H.M.O. This Freehold Mixed Use building is currently arranged as a ground floor shop unit and six bedroo...","https://www.rightmove.co.uk/properties/169337486#/?channel=COM_BUY","2025-11-14T11:25:28Z","","new","Marketed by Hair & Son, Southend-On-Sea, Auctions","","51.547504","0.70536","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57116/169337486/57116_316524_IMG_11_0000_max_476x317.jpeg"
"169320167","Southend-on-Sea","Land","Land on the south side of, Boscombe Road, Southend-on-Sea, Essex, SS2 5EW","£15,000","Guide Price","","","FOR SALE BY PUBLIC AUCTION ON WEDNESDAY, 3RD DECEMBER 2025 AT 12.00PM NOON. LIVE STREAMED VIA DEDMAN GRAY WEBSITE. BIDDING AVAILABLE BY TELEPHONE, PROXY AND ONLINE; LAND INVESTMENT: A VACANT FREEHOLD PARCEL OF LAND LOCATED TO THE REAR OF SOUTHCHURCH ROAD WITH ACCESS VIA BOSCOMBE ROAD","https://www.rightmove.co.uk/properties/169320167#/?channel=COM_BUY","2025-11-13T17:43:27Z","","new","Marketed by Dedman Gray Auctions, Essex","","51.54089","0.719036","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320167/63413_289762_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63413/169320167/63413_289762_IMG_02_0000_max_476x317.jpeg"
"169051256","Southend-on-Sea","Commercial Property","216 London Road, Southend On Sea, Essex, SS1","£195,000","","","","First floor one bedroom flat with shop and storage below previously used as cafe and restaurant, with a main seating area with kitchen to side and storage to rear with W.C.","https://www.rightmove.co.uk/properties/169051256#/?channel=COM_BUY","2025-11-06T11:23:41Z","","new","Marketed by Sorrell Commercial, Southend-on-Sea","","51.539675","0.701614","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130993/169051256/130993_1276FH_IMG_00_0000_max_476x317.jpeg"
"168628034","Southend-on-Sea","Light Industrial","Unit 10a & 10b, The Wheelwrights, Temple Farm Industrial Estate, Southend On Sea, Essex, SS2","£2,000,000","Offers in Excess of","","","Detached double pitched industrial/warehouse unit arranged as factory and stores at ground floor with ancillary offices, separate male and female WCs, kitchenette, locker room with further offices, predominantly open plan arrangement at first floor and mezzanine storage. The property benefits fro...","https://www.rightmove.co.uk/properties/168628034#/?channel=COM_BUY","2025-10-27T09:42:11Z","","new","Marketed by Kemsley LLP, Basildon","","51.562912","0.713236","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/168628034/264509_8907310FH_IMG_07_0000_max_476x317.jpeg"
"168380114","Southend-on-Sea","Commercial Property","Unit 1, Beaumont Court, Victoria Road","£425,000","Guide Price","","","Guide Price £425,000 - £450,000. This is a rare opportunity to acquire the flying freehold investment currently leased to Beaumont Lounge Bar, located within Beaumont Court on Victoria Road, Southend. Positioned in a popular mixed-use development, the property benefits from strong local ...","https://www.rightmove.co.uk/properties/168380114#/?channel=COM_BUY","2025-10-20T11:51:53Z","","new","Marketed by Oakheart Property, Chelmsford, covering Witham & Braintree","","51.544799","0.708057","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380114/281948_33982207_IMG_16_0000_max_476x317.jpeg"
"168380135","Southend-on-Sea","Commercial Property","Unit 9, Richmond House, Victoria Road","£110,000","Guide Price","","","Nestled in the vibrant area of Victoria Avenue, Southend-On-Sea, this commercial property presents an excellent opportunity for businesses seeking a prime location. The property benefits from two dedicated parking spaces, ensuring convenience for both staff and clients. Surrounded by a t...","https://www.rightmove.co.uk/properties/168380135#/?channel=COM_BUY","2025-10-20T11:51:56Z","","new","Marketed by Oakheart Property, Chelmsford, covering Witham & Braintree","","51.54486","0.707451","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380135/281948_33982205_IMG_06_0000_max_476x317.jpeg"
"168380138","Southend-on-Sea","Commercial Property","Unit 3, Beaumont Court, Victoria Road","£200,000","Guide Price","","","Guide Price £200,000 - £225,000. This is a rare opportunity to acquire the flying freehold investment in Unit 1 Beaumont Court, Victoria Avenue, Southend-on-Sea, currently let to Beauty by Laser. Located within a popular mixed-use development, the property benefits from strong local foot...","https://www.rightmove.co.uk/properties/168380138#/?channel=COM_BUY","2025-10-20T11:51:57Z","","new","Marketed by Oakheart Property, Chelmsford, covering Witham & Braintree","","51.544921","0.707315","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281948/168380138/281948_33982206_IMG_15_0000_max_476x317.jpeg"
