id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168560768","Staffordshire","Land","Former Bowling Club, Crown Street, Stone, ST15 8QN","£600,000","Offers in Region of","","","23,958 sq. ft.","23958","23958","2226","2226","Residential Development Opportunity - Full planning permission (22/35503/FUL) has been obtained to establish 9 no., 3-bedroom town houses, with an access off Crown Street. 0.55 acres (0.22 hectares) Guide price in the region of £600,000 on an unconditional basis Written offers invited by info...","https://www.rightmove.co.uk/properties/168560768#/?channel=COM_BUY","2025-10-24T09:28:01Z","","new","Marketed by Legat Owen, Chester","","52.901731","-2.147838","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/168560768/262844_9137FH_IMG_04_0001_max_476x317.jpeg"
"162008399","Staffordshire","Restaurant","Hot Food Take Away, Staffordshire","£34,999","","","","","","","","","HOT FOOD TAKEAWAY Superb location with free on-site parking Excellent reviews online and on social media Very well equipped commercial kitchen Viewing is highly recommended Weekly turnover £5,000 REF 591042. EPC Band E. Business £34,999 Stafford ","https://www.rightmove.co.uk/properties/162008399#/?channel=COM_BUY","2025-05-15T18:00:16Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","52.8297","-2.1246","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162008399/153122_591042_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162008399/153122_591042_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162008399/153122_591042_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162008399/153122_591042_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/162008399/153122_591042_IMG_04_0000_max_476x317.jpeg"
"170011631","Staffordshire","Land","Greenfield Close, Brown Edge","£80,000","Offers Over","","","237,402 sq. ft.","237402","237402","22055","22055","Two parcels of grassland extending in total to 5.45 acres (2.21 hectares). The land is currently used for the grazing of horses and is well suited to this use. Lot 1 extends to approximately 2.14 acres and Lot 2 extends to approximately 3.31 acres. Offered for sale as a whole or in two separate L...","https://www.rightmove.co.uk/properties/170011631#/?channel=COM_BUY","2025-12-04T15:49:20Z","","new","Marketed by Whittaker & Biggs, Leek","","53.075622","-2.134714","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289520/170011631/289520_34341271_IMG_18_0000_max_476x317.jpeg"
"169996058","Staffordshire","Shop","Weston Road, Meir, Stoke-on-Trent","£99,950","","","","","","","","","Freehold shop unit with self-contained apartment over. The shop unit is recently refurbished and currently vacant, comprises; large ground floor showroom, office, store & WC. Rear access and roller shutter to the front. Upstairs 1 bed apartment which is currently let on a shorthold agreement at a...","https://www.rightmove.co.uk/properties/169996058#/?channel=COM_BUY","2025-12-04T12:38:12Z","","new","Marketed by Tinsley-Garner Independent Estate Agents, Stone","","52.979202","-2.102515","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31418/169996058/31418_34340552_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31418/169996058/31418_34340552_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31418/169996058/31418_34340552_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31418/169996058/31418_34340552_IMG_03_0000_max_476x317.jpeg"
"169988960","Staffordshire","Takeaway","Freehold Fish & Chip Takeaway, King Street, ST8 6AZ","£450,000","Offers in Region of","1","","","","","","","Freehold Fish & Chip Takeaway Located In Biddulph, Stoke-on-Trent. One Bedroom Flat Above. High Turnover. No Deliveries. 5 Star Food Hygiene Rating. 2 Bedroom Freehold House Can Also Be Purchased (£150,000).","https://www.rightmove.co.uk/properties/169988960#/?channel=COM_BUY","2025-12-04T11:00:57Z","","new","Marketed by VERITAS BUSINESS SALES LTD, Midlands","","53.11608","-2.17551","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/94ee9da0d/169988960/94ee9da0d9deced3fde9d367f7942627_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a6299c14/169988960/7a6299c1431afa7ea8ff39ff9b6c1204_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/393652a49/169988960/393652a492aed9f47d55f66a7260a53d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/92b4a85ba/169988960/92b4a85bab148647c5a8f04545fa205a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/18d495bfd/169988960/18d495bfdfc7e5268aaac60fffb1b94f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f04c30c4/169988960/0f04c30c4f30792eb9aaa64601cf6e14_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/869e588bc/169988960/869e588bc07142bf08946ee0b2bc62e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/907e212ce/169988960/907e212ce4361b8ed2ce318068f8d5dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bc30567c1/169988960/bc30567c1b64f4705003da824e652e5c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/02427ed57/169988960/02427ed57a5ce057720e304a372c4236_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d03df4bf7/169988960/d03df4bf72521e323c37f3ae5855ea51_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6beb77a9e/169988960/6beb77a9e455c5cb801ba89fecec1c92_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de623ef16/169988960/de623ef163979e185d14d71e4659297e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/616dfaf87/169988960/616dfaf87394f4399f33b4bee42be9c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/83e43eb57/169988960/83e43eb573646ecabc0902c58d841b16_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4344e6376/169988960/4344e6376a12a057c4e2462d63327e26_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b5718af39/169988960/b5718af3983905800fc291bfc0f3938b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/90f2e1fce/169988960/90f2e1fce888915028938f7776038174_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ca7da3b36/169988960/ca7da3b365e5455071da3bf0c11ae94e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1398464d4/169988960/1398464d43409df7eb5065debe7fc4ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7b4a5c46e/169988960/7b4a5c46e15d996a2287c3e3268d9b21_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/09ecca50f/169988960/09ecca50fb289459ddba1240be44aba2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/014b1d0f8/169988960/014b1d0f83c777c4bd3d01cf6dd17e86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52ebcbed4/169988960/52ebcbed407bfefe7981a73f1d82faca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ff7b46c6/169988960/0ff7b46c696382daa67c2c34c041ff40_max_476x317.jpeg"
"159799685","Staffordshire","Pub","Cheadle Road, ST13","£265,000","","2","","","","","","","Grade II listed public house in Staffordshire Moorlands village set in 0.75 acres.","https://www.rightmove.co.uk/properties/159799685#/?channel=COM_BUY","2025-03-25T14:57:27Z","","price_reduced","Marketed by Sidney Phillips Limited, North West","","53.06677","-2.04204","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223103/159799685/223103_95240_IMG_13_0000_max_476x317.jpeg"
"166219496","Staffordshire","Land","Crockington Lane, WV5","£210,000","Guide Price","","","","","","","","An excellent opportunity to acquire a conveniently located, versatile block of land - approximately 10.04 acres (4.063 hectares) at Crockington Lane, Seisdon, Wolverhampton, WV5 7EN","https://www.rightmove.co.uk/properties/166219496#/?channel=COM_BUY","2025-08-27T16:40:26Z","","price_reduced","Marketed by Nock Deighton, Agricultural LLP","","52.54883","-2.24058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114238/166219496/114238_F200_IMG_12_0000_max_476x317.jpeg"
"169925972","Staffordshire","Land","East of Bennetts Lane, Pattingham, Wolverhampton, WV6","£160,000","Guide Price","","","","","","","","A rare opportunity to acquire approximately 5.5 acres of attractive land set in the peaceful and sought-after village of Pattingham.","https://www.rightmove.co.uk/properties/169925972#/?channel=COM_BUY","2025-12-02T15:40:33Z","","new","Marketed by Barney Estates and Auctioneers, London","","52.58821","-2.23745","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169925972/130351_502012_002025_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169925972/130351_502012_002025_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169925972/130351_502012_002025_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169925972/130351_502012_002025_IMG_03_0000_max_476x317.jpeg"
"169962734","Staffordshire","Land","East of Bennetts Lane, Pattingham, Wolverhampton, WV6","£160,000","Guide Price","","","","","","","","LOT 28 - To Be Auctioned on Wednesday, 10th December","https://www.rightmove.co.uk/properties/169962734#/?channel=COM_BUY","2025-12-03T14:30:32Z","","new","Marketed by Barney Estates and Auctioneers, London","","52.58821","-2.23745","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962734/130351_502012_002052_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962734/130351_502012_002052_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962734/130351_502012_002052_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130351/169962734/130351_502012_002052_IMG_03_0000_max_476x317.jpeg"
"169904732","Staffordshire","Land","Birks Drive, Ashley Heath, Market Drayton","£280,000","Guide Price","","","35,284 sq. ft.","35284","35284","3278","3278","Residential Development Site Full planning for a 1 x 5 bedroom house & 1 x 5 bedroom dormer bungalow Located on the aspirational Ashley Heath For Sale on Auction Terms","https://www.rightmove.co.uk/properties/169904732#/?channel=COM_BUY","2025-12-02T09:55:54Z","","price_reduced","Marketed by Butters John Bee Land, Stoke-on-Trent","","52.921394","-2.381938","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244118/169904732/244118_33547538_IMG_09_0000_max_476x317.jpeg"
