id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169675904","Suffolk","Retail Property (high street)","1-5 Sizewell Road, Leiston, Suffolk , IP16","£395,000","Guide Price","","","5,558 sq. ft.","5558","5558","516","516","The property comprises purpose built, two storey retail premises incorporating a wide, recessed glazed frontage, with vehicular access to the side leading to an enclosed rear yard. The ground floor comprises a large open plan retail area, with ancillary stores and offices situated to the rear. ...","https://www.rightmove.co.uk/properties/169675904#/?channel=COM_BUY","2025-11-25T07:03:14Z","","new","Marketed by Fenn Wright, Ipswich Commercial Sales and Lettings","","52.206247","1.577871","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169675904/161330_14870890FH_IMG_05_0000_max_476x317.jpeg"
"723052682428449","Suffolk","Office","Opus Park, Exchange Place, Old Ipswich Road, Claydon, IP6 0FU","£475,000","From","","","1,800–9,000 sq. ft.","1800","9000","167","836","TO LET/FOR SALE: New Office Development in Claydon - 1,800 - 9,000 ft²","https://www.rightmove.co.uk/properties/723052682428449#/?channel=COM_BUY","2025-12-04T14:05:10Z","","new","Marketed by Savills, Chelmsford Industrial","","52.100087","1.111985","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/723052682428449/214109_197955-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/723052682428449/214109_197955-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/723052682428449/214109_197955-1_IMG_02_0000_max_476x317.jpeg"
"169999400","Suffolk","Plot","Harrison Road, Oulton Broad","£40,000","Offers Over","","","","","","","","CASH BUYERS ONLY - Being sold by SEALED BIDS, we will be inviting BEST AND FINAL offers to be submitted by 12.00pm on Thursday 18th December 2025 (submitted into Hardimans office) Please contact us for a sealed bid form. A rare opportunity to acquire a plot of land in Oulton Broad a sou...","https://www.rightmove.co.uk/properties/169999400#/?channel=COM_BUY","2025-12-04T13:23:14Z","","new","Marketed by Hardimans Estate Agents, Lowestoft","","52.477481","1.714394","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10788/169999400/10788_34340676_IMG_10_0000_max_476x317.jpeg"
"169983413","Suffolk","Guest House","Marine Parade, Lowestoft, Suffolk","£310,000","Offers in Excess of","8","7","2,004 sq. ft.","2004","2004","186","186","This chain-free guest house boasts stunning direct sea views opposite Lowestoft Beach and offers versatile living across four floors. With 7 bedrooms, it’s perfect as a spacious family home or a lucrative guest house. The property features 4 shower rooms, a utility room, and original features thr...","https://www.rightmove.co.uk/properties/169983413#/?channel=COM_BUY","2025-12-04T09:27:03Z","","new","Marketed by Paul Hubbard Commercial, Suffolk","","52.470706","1.748413","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76023/169983413/76023_34339829_IMG_22_0000_max_476x317.jpeg"
"168253088","Suffolk","Land","Potash Farm Development Site, Ipswich Road, Holbrook, Suffolk, IP9","£655,000","Guide Price","","","57,499 sq. ft.","57499","57499","5342","5342","The site lies to the north of Holbrook, set back from the B1080 between Holbrook and Freston, in a peaceful rural setting surrounded by open arable fields. Holbrook village, just to the south, offers everyday amenities including a convenience store, medical practise, village hall, church and seco...","https://www.rightmove.co.uk/properties/168253088#/?channel=COM_BUY","2025-10-16T11:48:30Z","","price_reduced","Marketed by Fenn Wright, Ipswich Commercial Sales and Lettings","","51.99564","1.155941","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/168253088/161330_14870859FH_IMG_08_0000_max_476x317.jpeg"
"169951658","Suffolk","Land","a Dobbs Lane, Kesgrave, Ipswich","£580,000","","4","","","","","","","Self build opportunity in Kesgrave with full planning for two contemporary detached homes. Striking modern design, generous layouts and integrated garages. Quiet yet well connected IP5 location with strong resale potential-ideal for developers, investors or multigenerational living.","https://www.rightmove.co.uk/properties/169951658#/?channel=COM_BUY","2025-12-03T11:30:46Z","","new","Marketed by IP Properties (Suffolk) Ltd, Woodbridge","","52.0629","1.26142","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163400/169951658/163400_RS0355_IMG_05_0000_max_476x317.jpeg"
"169932995","Suffolk","Farm Land","Hintlesham, Ipswich, IP8","£600,000","","","","","","","","","A BLOCK OF PRODUCTIVE ARABLE LAND IN TWO FIELD ENCLOSURES EXTENDING TO 66.04 ACRES (26.72 HECTARES). AVAILABLE AS A WHOLE OR IN TWO SEPARATE LOTS.","https://www.rightmove.co.uk/properties/169932995#/?channel=COM_BUY","2025-12-02T17:15:17Z","","new","Marketed by Brooks Leney, Hintlesham","","52.04992","1.06953","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272177/169932995/272177_CHS00043B_IMG_05_0000_max_476x317.jpeg"
"161228357","Suffolk","Land","High Street, Thorndon","£375,000","","","","","","","","","Exciting Development Opportunity in the Heart of Thorndon. A rare chance to acquire a centrally located parcel of land in the charming village of Thorndon, complete with full planning permission for three stunning new dwellings, approved in November 2024. This is a prime opportunity for developer...","https://www.rightmove.co.uk/properties/161228357#/?channel=COM_BUY","2025-04-28T16:21:52Z","","price_reduced","Marketed by David Burr Estate Agents, Woolpit","","52.27935","1.13905","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52120/161228357/52120_100424027027_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52120/161228357/52120_100424027027_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52120/161228357/52120_100424027027_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52120/161228357/52120_100424027027_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52120/161228357/52120_100424027027_IMG_07_0000_max_476x317.jpeg"
"169861388","Suffolk","Pub","High Street, CO10","£295,000","","5","","","","","","","SUFFOLK - WELL-PRESENTED VILLAGE PUB FOR SALE OR TO LET* Central location in Cavendish village. Two-storey red brick public house. Open plan bar and restaurant (55). Five bedroom accommodation. Car park (20) and terrace (30). For sale or to let on a new free-of-tie lease.","https://www.rightmove.co.uk/properties/169861388#/?channel=COM_BUY","2025-12-01T09:22:46Z","","new","Marketed by Sidney Phillips Limited, South East","","52.08742","0.63678","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205031/169861388/205031_96160_IMG_08_0000_max_476x317.jpeg"
"169816643","Suffolk","Retail Property (high street)","53-54 Thoroughfare, Halesworth, Suffolk, IP19","£695,000","Guide Price","","","6,554 sq. ft.","6554","6554","609","609","The property has a wide frontage of approximately 19 metres and is partly arranged over three levels to the front and two levels to the rear. The building was originally configured as two separate shops, which have since been combined to form single retail premises, although some areas remain onl...","https://www.rightmove.co.uk/properties/169816643#/?channel=COM_BUY","2025-11-28T12:49:41Z","","new","Marketed by Fenn Wright, Ipswich Commercial Sales and Lettings","","52.343731","1.501989","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161330/169816643/161330_14870897FH_IMG_07_0000_max_476x317.jpeg"
