id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168167216","Sunderland","Land","Halfway House Lane, Hendon, Sunderland, SR2 9QU","£450,000","Offers Over","","","Plot of Land | Potential for Residential and Recreational use | Site Area = 3.5 acres | Sunderland","https://www.rightmove.co.uk/properties/168167216#/?channel=COM_BUY","2025-10-21T13:08:31Z","","price_reduced","Marketed by Let Property Sales & Management, Glasgow","","54.88539","-1.36507","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_29_0000_max_476x317.jpeg"
"169070825","Sunderland","Office","Frederick Street, Sunderland, Tyne and Wear, SR1 1NF","£150,000","Guide Price","","","Presenting an exceptional Grade 11 listed commercial sale opportunity located in the bustling city of Sunderland. This property comprises well-situated offices on the lower levels, currently generating an impressive annual income of £22,400 pa. An attractive attribute of this property is ...","https://www.rightmove.co.uk/properties/169070825#/?channel=COM_BUY","2025-11-06T16:04:13Z","","size_change","Marketed by Pattinsons, Pattinsons Commercial North East","","54.9053","-1.3792","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169070825/251951_496195_IMG_00_0000_max_476x317.jpeg"
"165452738","Sunderland","Retail Property (high street)","St. Lukes Terrace, Sunderland, Tyne and Wear, SR4 6NQ","£70,000","Guide Price","","","*For sale via secure sale online bidding: terms and conditions apply.* Mixed-Use Property for Sale in Sunderland. Pattinson estate agents are delighted to bring to auction a remarkable mixed-use property located in the bustling St Lukes Terrace retail street, situated in the popular Pallion...","https://www.rightmove.co.uk/properties/165452738#/?channel=COM_BUY","2025-08-07T10:07:05Z","","price_reduced","Marketed by Pattinsons, Pattinsons Commercial North East","","54.9081","-1.4151","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/165452738/251951_478273_IMG_12_0000_max_476x317.jpeg"
"168167216","Sunderland","Land","Halfway House Lane, Hendon, Sunderland, SR2 9QU","£450,000","Offers Over","","","Plot of Land | Potential for Residential and Recreational use | Site Area = 3.5 acres | Sunderland","https://www.rightmove.co.uk/properties/168167216#/?channel=COM_BUY","2025-10-21T13:08:31Z","","price_reduced","Marketed by Let Property Sales & Management, Glasgow","","54.88539","-1.36507","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246740/168167216/246740_221301947_IMG_29_0000_max_476x317.jpeg"
"169826534","Sunderland","Retail Property (high street)","Victoria Place, Sunderland , Sunderland, Tyne and Wear, SR4 7EN","£75,000","Guide Price","","","FOR SALE VIA ONLINE AUCTION: FEES APPLY TWO-STOREY END-OF-TERRACE COMMERCIAL BUILDING WITH APPROVED PLANNING FOR CONVERSION INTO TWO FLATS An excellent investment opportunity ideal for developers, investors, or those looking for a renovation project. This two-storey end-of-terrace property oc...","https://www.rightmove.co.uk/properties/169826534#/?channel=COM_BUY","2025-11-28T15:19:10Z","","new","Marketed by Pattinsons, Pattinsons Commercial North East","","54.9027","-1.3996","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169826534/251951_494079_IMG_07_0000_max_476x317.jpeg"
"169763279","Sunderland","Land","Saint Georges Terrace, Roker, Sunderland","£400,000","","","","LAND FOR SALE - TO THE REAR OF SAINT GEORGES TERRACE, ROKER - GRANT OF PLANNING PERMISSION IN PRINCIPLE A rare and exciting opportunity to purchase land in Roker commanding a much sought after and highly regarded location being within walking distance of the sea front and its stunning c...","https://www.rightmove.co.uk/properties/169763279#/?channel=COM_BUY","2025-11-27T07:49:06Z","","new","Marketed by Michael Hodgson, Sunderland","","54.92303","-1.366842","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a300c3c13/169763279/a300c3c1388f056d0df255aec219ef6a_max_476x317.png"
"721642387514768","Sunderland","Residential Development","14 Northcote Avenue, Sunderland, SR1 2RP","£85,000","","","","Three-bed Mid-Terraced House","https://www.rightmove.co.uk/properties/721642387514768#/?channel=COM_BUY","2025-11-26T16:59:04Z","","new","Marketed by Align Chartered Surveyors, Northallerton","","54.90257","-1.375499","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bfdc1c3af/721642387514768/bfdc1c3af12acba96cfd085e72429e74_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b07565905/721642387514768/b07565905f29526b32b74f088403f4b5_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c70e537c/721642387514768/7c70e537c8deaae1c970a5f9491ef38b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/622f05e7e/721642387514768/622f05e7e602063e17e0572ad17bcdf1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6e8775c9b/721642387514768/6e8775c9bfba04b6f2ac75af3b9e2d40_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a9bea5ea1/721642387514768/a9bea5ea19716b47268f89e06e377cc0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/143cf134c/721642387514768/143cf134c033d49798ce84039102a2f0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9cc6e7830/721642387514768/9cc6e78304d43c3a4433c71503a17e60_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8143cd94b/721642387514768/8143cd94be7e2b2bcb90926f5f557d17_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/405bce827/721642387514768/405bce827f05e6dae792fd4d240ea265_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b095cc258/721642387514768/b095cc2589157032cc6b046b78331f6d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9aafa33b7/721642387514768/9aafa33b7b76c9e995197c2a8b589f75_max_476x317.jpeg"
"721642288951153","Sunderland","Residential Development","24 Northcote Avenue, Sunderland, SR1 2RP","£75,000","","","","Three-bed Mid-Terrace House","https://www.rightmove.co.uk/properties/721642288951153#/?channel=COM_BUY","2025-11-26T16:59:02Z","","new","Marketed by Align Chartered Surveyors, Northallerton","","54.90257","-1.375499","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721642288951153/226952_337460-1_IMG_16_0000_max_476x317.jpeg"
"163164338","Sunderland","Land","Beckwith Road, East Herrington, Sunderland","£85,000","Offers in Region of","","","DEVELOPMENT LAND FOR SALE WITH PLANNING. Rarely does a development plot in East Herrington come to the market. Nestled on Beckwith Road in East Herrington this plot offers the discerning developer and purchaser the opportunity to build a modern home. Planning has been passed for the erection o...","https://www.rightmove.co.uk/properties/163164338#/?channel=COM_BUY","2025-06-11T14:54:56Z","","price_reduced","Marketed by Michael Hodgson, Sunderland","","54.876762","-1.436604","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29429/163164338/29429_33956044_IMG_06_0000_max_476x317.png"
"719434585724465","Sunderland","Commercial Property","Mixed Use Freehold Investment in Sunderland, 9-9A Sea Road, Roker, Sunderland, SR6 9BP","£375,000","Offers in Region of","","","Mixed Use Freehold Investment For Sale","https://www.rightmove.co.uk/properties/719434585724465#/?channel=COM_BUY","2025-11-14T12:33:04Z","","new","Marketed by Sanderson Weatherall, Newcastle","","54.929469","-1.381122","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719434585724465/261938_337674-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719434585724465/261938_337674-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719434585724465/261938_337674-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719434585724465/261938_337674-1_IMG_03_0000_max_476x317.jpeg"
