id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167600378","Waltham Forest","Shop","High Road Leytonstone, London, E11","£275,000","","","1","Nationwide Residential and Commercial are delighted to offer these prominent shop premises - For Sale Freehold","https://www.rightmove.co.uk/properties/167600378#/?channel=COM_BUY","2025-09-30T11:34:32Z","","new","Marketed by Nationwide Residential & Commercial Limited, Commercial","","51.5535","0.005038","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2c3992444/167600378/2c39924441ef046787e160b39ed5829c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e8afcedcf/167600378/e8afcedcf6c44b5c913cd51ae6ab7cf2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bc84c7e2/167600378/0bc84c7e2dda7d3b4d6f28aebc088fa3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a01a54955/167600378/a01a54955c042f6b3eae1538c002c320_max_476x317.jpeg"
"169792562","Waltham Forest","Warehouse","Unit 5, Chingford Industrial Centre, Hall Lane, London, E4 8DJ","POA","","","","Mid-terrace Light Industrial Warehouse Unit","https://www.rightmove.co.uk/properties/169792562#/?channel=COM_BUY","2025-11-27T16:56:20Z","","new","Marketed by Strettons, Commercial and Industrial Agency","","51.613716","-0.030365","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/169792562/109090_344737-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/169792562/109090_344737-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/169792562/109090_344737-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/169792562/109090_344737-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109090/169792562/109090_344737-1_IMG_04_0000_max_476x317.jpeg"
"169788425","Waltham Forest","Retail Property (high street)","High Road Leytonstone, London, E11","£800,000","Offers in Excess of","3","","Freehold Building For Sale comprising Shop & Residential Upper Part","https://www.rightmove.co.uk/properties/169788425#/?channel=COM_BUY","2025-11-27T15:57:22Z","","new","Marketed by Claridges Commercial Property Consultants, Woodford Green","","51.56963","0.01316","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169788425/291845_025008_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169788425/291845_025008_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169788425/291845_025008_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291845/169788425/291845_025008_IMG_04_0000_max_476x317.jpeg"
"143947364","Waltham Forest","Leisure Facility","High Road Leyton, London, E10","£12,000","Offers in Region of","","","Are you ready to step into the world of beauty and entrepreneurship? Your opportunity awaits at Brows Boutique, a well-established and thriving beauty service located across two locations in the heart of East London. Take the reins of this flourishing business and make your mark in beauty services.","https://www.rightmove.co.uk/properties/143947364#/?channel=COM_BUY","2024-01-23T21:06:13Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.57082","-0.00887","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/143947364/263843_GO2442_IMG_06_0000_max_476x317.jpeg"
"160479980","Waltham Forest","Restaurant","High Road Leytonstone, London, E15","£320,000","Offers in Region of","","","Asado Steakhouse is a unique and exciting alternative to a traditional restaurant experience, serving the finest Argentine meats in an extensively modernised restaurant, completed to an exacting standard, this business is a turnkey opportunity for an incoming operator.","https://www.rightmove.co.uk/properties/160479980#/?channel=COM_BUY","2025-04-09T18:02:29Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.55256","0.00574","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/160479980/263843_GO3365_IMG_03_0000_max_476x317.jpeg"
"154981025","Waltham Forest","Shop","HIGHLY PROFITABLE STATIONERY SUPPLY COMPANY, London","£155,000","","","","London. Turnover of circa £254,000, with an EBITDA in excess of £40,000. Offers an extensive range of stationery products, including paper, office supplies, and equipment. Serves a loyal client base of around 1,400 active customers, with 70% providing consistent repeat business. Ope...","https://www.rightmove.co.uk/properties/154981025#/?channel=COM_BUY","2024-11-14T16:30:43Z","","price_reduced","Marketed by Knightsbridge Business Sales Limited, Bolton","","51.6271","-0.0202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90616/154981025/90616_165237_IMG_00_0001_max_476x317.png"
"169863980","Waltham Forest","Retail Property (high street)","8 Chingford Road, London, Greater London","£675,000","","","","The property is well placed between the green open space of Lloyd Park and the bustling amenities of Hoe Street. Just minutes away from the all-new Soho Theatre Walthamstow following a £30 million investment, part of the London Borough of Culture 2019 initiative. Walthamstow Central is only a 15-...","https://www.rightmove.co.uk/properties/169863980#/?channel=COM_BUY","2025-12-01T11:29:47Z","","price_reduced","Marketed by Cummings Commercial Ltd, London","","51.591324","-0.017416","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863980/206354_1128FH_IMG_09_0000_max_476x317.jpeg"
"165426704","Waltham Forest","Commercial Property","Chingford Road, Walthamstow","£675,000","Offers in Excess of","1","1","A fantastic and rare opportunity to purchase the freehold interest in this building, comprising a beautiful one-bedroom apartment along with the commercial unit on its ground floor, which operates as a much-loved neighbourhood cafe, all tucked in a lovely pocket of E17 right by Lloyd Park. ","https://www.rightmove.co.uk/properties/165426704#/?channel=COM_BUY","2025-08-06T15:23:51Z","","price_reduced","Marketed by The Stow Brothers New Homes, London","","51.590579","-0.017129","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216479/165426704/216479_34087638_IMG_34_0000_max_476x317.jpeg"
"169578950","Waltham Forest","Office","Merlin Works, 1 Frank Searle Passage, London, E17 6DB","£4,650,000","","","","Merlin Works offers 16,870 sq ft of flexible retail, office and leisure space opposite Blackhorse Road Station, in the heart of Walthamstow.","https://www.rightmove.co.uk/properties/169578950#/?channel=COM_BUY","2025-11-21T15:06:04Z","","new","Marketed by Dobbin & Sullivan, London","","51.588035","-0.042289","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169578950/97157_338372-1_IMG_14_0000_max_476x317.jpeg"
"168689612","Waltham Forest","Commercial Property","High Road Leytonstone, London, E11","£150,000","Guide Price","","","Stunning beauty salon. Meticulously designed, elegant ambience, 3 beauty rooms, top-of-the-line amenities. Prime location for high foot traffic. Perfect opportunity for business growth and success.","https://www.rightmove.co.uk/properties/168689612#/?channel=COM_BUY","2025-10-28T10:33:24Z","","price_reduced","Marketed by Birchills, London","","51.564143","0.010203","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115933/168689612/115933_973a7502-adb2-415e-9b99-39d5cd657d23_IMG_14_0000_max_476x317.jpeg"
