id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169928567","West Dunbartonshire","Commercial Property","The Witches Hut 96 Main Street, Alexandria, Dumbarton, G83 0PB","£145,000","Offers Over","","","","","","","","An excellent opportunity to purchase a thriving hair salon located in a prime position on a busy High Street in Alexandria, Dumbarton.","https://www.rightmove.co.uk/properties/169928567#/?channel=COM_BUY","2025-12-02T16:17:48Z","","new","Marketed by McEwan Fraser Legal, Covering Scotland","","55.987975","-4.582383","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169928567/67242_MFL1249700_IMG_13_0000_max_476x317.jpeg"
"167869055","West Dunbartonshire","Commercial Development","3 High Street, Dumbarton, G82 1NB","£235,000","Guide Price","","","","","","",""," PRIME NEW ENTRY. We are excited to present this fantastic commercial development opportunity, situated in a prime location in Dumbarton.   Property requires full renovation. Sure to appeal to shrewd commercial investors looking for a large high street property they can put their ...","https://www.rightmove.co.uk/properties/167869055#/?channel=COM_BUY","2025-10-06T16:46:19Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.942959","-4.568359","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167869055/251369_221468442_IMG_40_0000_max_476x317.jpeg"
"721601281136737","West Dunbartonshire","Light Industrial","Burroughs Way, Vale of Leven Industrial Estate, Dumbarton, G82 3PD","POA","","","","10,000–100,000 sq. ft.","10000","100000","929","9290","Letting / purchase industrial design and build opportunities available from 10,000 sq ft up to 100,000 sq ft","https://www.rightmove.co.uk/properties/721601281136737#/?channel=COM_BUY","2025-11-26T11:46:14Z","","new","Marketed by G M Brown, Glasgow","","55.969957","-4.573744","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601281136737/243653_335081-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601281136737/243653_335081-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601281136737/243653_335081-1_IMG_02_0000_max_476x317.jpeg"
"168369200","West Dunbartonshire","Commercial Property","Alexandria","£1,150,000","","","","","","","","","A historic retail destination located in Alexandria, West Dunbartonshire, Scotland. Lomond Galleries is located in Alexandria, the centre is easily accessible by car and public transport, with parking available for visitors. Its central location makes it a ideal prospect for developme...","https://www.rightmove.co.uk/properties/168369200#/?channel=COM_BUY","2025-10-20T09:07:42Z","","price_reduced","Marketed by Surrey & Hampshire Property Agents, Surrey & Hampshire","","55.992372","-4.583887","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12312/168369200/12312_25826_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12312/168369200/12312_25826_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12312/168369200/12312_25826_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12312/168369200/12312_25826_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12312/168369200/12312_25826_IMG_04_0000_max_476x317.jpeg"
"169455233","West Dunbartonshire","Commercial Property","Mede Food Club  296, Faifley Road, Clydebank, G81 5EY","£70,000","Offers in Region of","","","","","","","","This is an exceptional opportunity for prospective owners looking to invest in a well-established takeaway business. Located on a main road in Faifley, Clydebank the business is offered on a leasehold basis.","https://www.rightmove.co.uk/properties/169455233#/?channel=COM_BUY","2025-11-18T16:00:04Z","","new","Marketed by McEwan Fraser Legal, Covering Scotland","","55.928751","-4.385324","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/169455233/67242_MFL0240623_IMG_11_0000_max_476x317.jpeg"
"167929109","West Dunbartonshire","Commercial Property","St Peters RC Church, 52 Howathshaw Road, Dumbarton, G82 3DR","£150,000","Guide Price","","","","","","","","PRIME NEW LISTING. We are excited to present this large commercial investment opportunity located within a prime location in Dumbarton.This property offers excellent development potential (subject to gaining necessary planning consents).","https://www.rightmove.co.uk/properties/167929109#/?channel=COM_BUY","2025-10-07T16:50:25Z","","price_reduced","Marketed by Prime Property, Glasgow","","55.95685","-4.54898","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167929109/286790_221483187_IMG_11_0000_max_476x317.jpeg"
"167926073","West Dunbartonshire","Commercial Property","3 High Street, Dumbarton, G82 1NB","£210,000","Guide Price","","","","","","","","PRIME NEW ENTRY. We are excited to present this fantastic commercial development opportunity, situated in a prime location in Dumbarton.Property requires full renovation. Sure to appeal to shrewd commercial investors looking for a large high street property they can put their own stamp on. ","https://www.rightmove.co.uk/properties/167926073#/?channel=COM_BUY","2025-10-07T16:14:19Z","","price_reduced","Marketed by Prime Property, Glasgow","","55.94288","-4.56715","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/167926073/286790_221468442_IMG_40_0000_max_476x317.jpeg"
"160343258","West Dunbartonshire","Industrial Park","Block 2, 57a Beardmore Way, Clydebank, Scotland, G81 4HT","POA","","","","44,793 sq. ft.","44793","44793","4161","4161","57 Beardmore Way has recenlty been extended to provide a 44,793 sq ft of modern warehouse space. The unit benefits from 8.21M eaves and provides groud level access to a shared yard. Flexible terms available","https://www.rightmove.co.uk/properties/160343258#/?channel=COM_BUY","2025-04-07T12:17:00Z","","size_change","Marketed by Ryden LLP, Glasgow","","55.906815","-4.435321","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343258/287999_15250FH_IMG_16_0000_max_476x317.jpeg"
"167117459","West Dunbartonshire","Shop","Kilbowie Road, Clydebank, Dunbartonshire, G81","£80,000","","","","505 sq. ft.","505","505","47","47","The subjects are located on the east side of Kilbowie Road, close to the junction with Dumbarton Road (A814), in the heart of Clydebank town centre. Clydebank is located on the north bank of the River Clyde and is the largest town in West Dunbartonshire with a population of just under 30,000.","https://www.rightmove.co.uk/properties/167117459#/?channel=COM_BUY","2025-09-17T18:18:48Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","55.90076","-4.40563","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117459/73725_EE6925_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117459/73725_EE6925_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117459/73725_EE6925_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117459/73725_EE6925_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117459/73725_EE6925_IMG_02_0000_max_476x317.jpeg"
"162941102","West Dunbartonshire","Plot","Meikle Finnery Bothy, Old School Road, Gartocharn","£99,500","Offers Over","","","","","","","","***** PRICE CHANGE ****** Set in the heart of the Loch Lomond National Park, Meikle Finnery Bothy is a small traditional stone built detached building tucked behind an existing drystone wall, facing the road, and enjoying ground of circa 1 acre. Currently, there is no plannin...","https://www.rightmove.co.uk/properties/162941102#/?channel=COM_BUY","2025-06-06T10:06:38Z","","price_reduced","Marketed by G & S Properties, Bearsden","","56.04364","-4.492569","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/162941102/65710_33937162_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/162941102/65710_33937162_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/162941102/65710_33937162_IMG_02_0000_max_476x317.png"
